Date,Open,Last,High,Low,Volume
2024-01-29,8.38,8.984,9.012,8.26,5619085
2024-01-30,8.85,8.828,9.1,8.75,3483755
2024-01-31,8.7,8.612,9.338,8.552,5891470
2024-02-01,8.696,8.506,8.832,8.042,5970223
2024-02-02,8.182,8.69,8.888,8.088,4782090
2024-02-05,8.432,8.76,8.798,8.35,4466550
2024-02-06,8.892,9.638,9.652,8.774,9983103
2024-02-07,9.742,9.618,9.786,9.276,6337515
2024-02-08,9.664,10.478,10.512,9.508,8154138
2024-02-09,10.62,10.626,10.768,10.106,6847252
2024-02-12,10.736,11.056,11.516,10.7,6184370
2024-02-13,10.338,10.394,10.68,10.03,6424179
2024-02-14,10.638,10.832,10.956,10.542,6321491
2024-02-15,10.884,11.524,11.578,10.696,8060510
2024-02-16,11.034,10.496,11.098,10.388,7503656
2024-02-20,10.2,10.362,10.454,9.82,5741408
2024-02-21,10.158,9.88,10.41,9.63,6138158
2024-02-22,9.948,10.482,10.666,9.876,12148431
2024-02-23,13.568,13.846,15.266,13.29,39061168
2024-02-26,13.394,13.976,15.15,13.394,14796605
2024-02-27,14.406,16.084,16.674,14.406,22997443
2024-02-28,15.74,15.094,16.44,14.966,8229627
2024-02-29,15.642,15.186,15.88,14.908,5805519
2024-03-01,15.33,16.592,16.756,15.082,8344244
2024-03-04,16.19,16.308,16.918,16.034,5465027
2024-03-05,16.122,15.466,16.252,15.16,4920785
2024-03-06,15.83,15.562,16.214,15.5,4406467
2024-03-07,15.662,15.894,16.294,15.332,5516368
2024-03-08,17.23,17.06,18.096,16.5,11706697
2024-03-11,16.858,15.62,16.928,15.594,4977066
2024-03-12,16.094,15.256,16.192,15.068,4941997
2024-03-13,15.278,15.934,16.146,15.278,3074289
2024-03-14,15.71,15.336,15.942,15.112,3557901
2024-03-15,15.182,15.916,16.454,14.884,7896795
2024-03-18,16.028,16.158,16.612,15.728,3805459
2024-03-19,15.718,15.776,16.12,15.224,4615091
2024-03-20,16.042,17.284,17.29,15.904,6698474
2024-03-21,17.212,17.542,17.992,17.154,4603212
2024-03-22,17.404,17.188,17.542,16.88,2969872
2024-03-25,17.378,17.682,18.32,17.378,3896212
2024-03-26,18.142,18.162,18.808,17.792,5038190
2024-03-27,18.33,18.062,18.62,17.71,3848987
2024-03-28,18.092,17.582,18.402,17.158,4019279
2024-04-01,17.516,17.358,17.564,17.01,2209956
2024-04-02,16.864,16.574,17.032,16.286,3088664
2024-04-03,16.312,16.48,16.862,16.164,2133289
2024-04-04,16.8,16.488,17.314,16.4,3733439
2024-04-05,16.264,16.768,16.92,16.182,2175784
2024-04-08,17.144,16.534,17.372,16.528,2049557
2024-04-09,16.768,16.736,16.91,16.096,2622905
2024-04-10,16.01,16.104,16.656,15.73,3588310
2024-04-11,15.982,16.088,16.296,15.384,4827332
2024-04-12,15.73,14.998,15.818,14.852,4137274
2024-04-15,14.944,13.966,15.04,13.824,5893141
2024-04-16,13.784,14.128,14.268,13.674,4602821
2024-04-17,14.44,13.832,14.678,13.59,3542860
2024-04-18,14.35,14.23,14.65,13.85,4732344
2024-04-19,13.916,14.272,14.414,13.894,3369825
2024-04-22,14.48,14.288,14.598,13.522,4105311
2024-04-23,14.558,15.124,15.506,14.412,4327039
2024-04-24,15.2,15.07,15.596,14.976,2869892
2024-04-25,14.3,15.5,15.506,14.278,3304571
2024-04-26,15.59,16.862,16.902,15.4,4904618
2024-04-29,17.152,16.752,17.696,16.67,4843861
2024-04-30,16.4,16.584,16.726,16.014,3920383
2024-05-01,16.516,17.418,18.224,16.4,13906575
2024-05-02,23.99,23.3,24.46,22.29,24220790
2024-05-03,23.84,24.334,24.84,23.158,8528363
2024-05-06,24.86,24.594,25.8,24.528,7062159
2024-05-07,24.52,23.332,24.854,23.28,5116772
2024-05-08,22.982,22.884,23.28,22.524,3655493
2024-05-09,23.05,24.082,24.244,22.54,3317610
2024-05-10,23.96,23.4,24.012,23.052,3012127
2024-05-13,23.92,23.38,24.586,23.328,4543068
2024-05-14,24.308,24.19,24.924,23.674,4131770
2024-05-15,24.624,24.214,24.702,23.548,3780105
2024-05-16,24.072,23.586,24.688,23.458,3535881
2024-05-17,23.566,23.5,23.786,23.096,2737252
2024-05-20,23.28,23.5,24.184,22.976,2547870
2024-05-21,23.334,23.006,23.542,22.736,2195275
2024-05-22,23.196,23.144,23.686,22.884,2441328
2024-05-23,23.2,21.982,23.33,21.732,3252397
2024-05-24,22.382,21.83,22.558,21.714,2448453
2024-05-28,22.15,20.918,22.202,20.662,3399858
2024-05-29,20.6,21.01,21.454,20.308,2762604
2024-05-30,21.098,20.478,21.534,20.336,3168414
2024-05-31,20.608,19.996,20.66,19.616,3733686
2024-06-03,20.656,19.792,20.8,19.51,2398098
2024-06-04,19.76,20.22,20.298,19.584,3115451
2024-06-05,20.3,20.608,21.038,20.12,3482689
2024-06-06,21.546,20.934,21.978,20.654,4948036
2024-06-07,20.64,21.312,22.188,20.522,5491332
2024-06-10,21.31,21.61,22.132,21.112,4357781
2024-06-11,21.172,20.824,21.314,20.228,3571460
2024-06-12,21.598,22.214,23.0,21.402,7976350
2024-06-13,22.202,21.348,22.202,21.054,4370912
2024-06-14,21.11,20.612,21.11,20.256,2772546
2024-06-17,20.382,21.788,21.95,20.01,3423883
2024-06-18,21.56,22.156,22.35,21.51,2709674
2024-06-20,21.998,21.97,22.686,21.264,3087418
2024-06-21,21.97,22.598,22.598,21.55,4408168
2024-06-24,22.618,23.9,24.168,22.31,4452539
2024-06-25,23.69,25.716,25.882,23.37,6414366
2024-06-26,25.31,25.32,26.282,24.824,5121115
2024-06-27,25.396,26.576,26.936,24.836,5690461
