Date,Open,Last,High,Low,Volume
2024-01-29,108.22,110.45,110.49,107.44,3181046
2024-01-30,109.73,105.47,110.38,105.39,4319942
2024-01-31,104.79,104.2,106.72,103.91,2638033
2024-02-01,104.89,107.3,107.81,104.76,2171815
2024-02-02,107.08,109.5,109.99,105.2,2561401
2024-02-05,108.38,108.12,109.03,107.12,2383231
2024-02-06,109.71,112.34,113.37,108.23,4109847
2024-02-07,112.34,114.33,117.06,112.02,5495529
2024-02-08,116.32,118.3,119.3,115.32,3580029
2024-02-09,119.18,119.31,119.79,118.0,3037394
2024-02-12,118.47,118.44,120.57,118.03,3625155
2024-02-13,114.73,116.39,117.66,113.29,3498457
2024-02-14,119.27,120.01,120.34,117.76,4945409
2024-02-15,118.59,126.27,126.65,118.5,9254534
2024-02-16,111.88,116.01,116.86,109.0,19465469
2024-02-20,115.01,115.48,115.64,110.51,7963362
2024-02-21,115.22,114.69,117.2,112.89,3487569
2024-02-22,122.39,121.41,124.04,120.02,7053002
2024-02-23,121.2,121.76,123.87,120.04,3034430
2024-02-26,121.25,119.89,121.26,118.61,3114604
2024-02-27,120.96,123.7,124.19,120.26,2926063
2024-02-28,122.54,122.44,124.31,121.64,2132543
2024-02-29,123.35,124.57,124.83,122.71,3371571
2024-03-01,124.5,127.43,129.6,124.5,4484800
2024-03-04,132.01,132.4,134.43,131.28,5649494
2024-03-05,131.21,130.9,132.58,129.21,3723747
2024-03-06,133.09,132.13,133.38,129.93,3942792
2024-03-07,133.53,133.2,134.14,131.92,2898980
2024-03-08,133.35,131.8,134.74,129.31,4139246
2024-03-11,131.25,128.77,131.42,127.85,3529342
2024-03-12,128.77,130.45,131.42,128.25,3959402
2024-03-13,130.09,132.42,133.27,129.95,3159706
2024-03-14,132.3,132.55,133.96,130.29,3145828
2024-03-15,133.65,130.55,134.8,130.37,4411192
2024-03-18,132.9,129.58,132.9,128.31,3823973
2024-03-19,128.57,130.83,130.88,127.24,3697809
2024-03-20,131.25,137.91,138.0,131.05,3141500
2024-03-21,139.9,136.76,140.0,136.68,2532892
2024-03-22,136.81,137.24,137.75,135.71,1387328
2024-03-25,137.05,137.82,138.9,136.74,2162809
2024-03-26,138.44,140.26,140.93,138.09,3506723
2024-03-27,142.55,138.88,143.34,138.05,2172078
2024-03-28,139.15,137.72,140.0,137.6,3054833
2024-04-01,137.91,138.25,139.61,137.11,2358572
2024-04-02,136.44,137.5,138.61,135.01,2573006
2024-04-03,136.97,138.78,140.2,136.33,2365310
2024-04-04,141.6,134.61,142.76,134.45,2669110
2024-04-05,135.69,139.56,139.75,134.69,2534460
2024-04-08,139.0,137.43,139.62,135.85,1843053
2024-04-09,136.99,136.77,138.0,133.65,2546187
2024-04-10,133.0,137.18,137.45,132.3,3178441
2024-04-11,138.9,140.95,141.19,138.36,2565403
2024-04-12,139.74,138.38,139.86,137.2,1998135
2024-04-15,139.02,132.9,140.37,131.91,2776465
2024-04-16,133.05,133.84,134.65,132.22,1887476
2024-04-17,136.07,130.9,136.07,129.78,2554084
2024-04-18,131.24,130.1,133.01,129.68,2705759
2024-04-19,130.09,127.18,130.49,125.05,4616809
2024-04-22,128.46,127.27,131.11,124.77,3954622
2024-04-23,128.98,129.36,131.1,127.28,2995780
2024-04-24,130.0,126.76,130.8,126.71,4310321
2024-04-25,124.75,128.11,128.19,124.32,5904349
2024-04-26,127.9,132.11,133.43,127.51,3851223
2024-04-29,131.69,132.12,133.74,130.53,3383769
2024-04-30,130.71,129.26,133.01,128.88,2845604
2024-05-01,128.15,127.46,132.53,126.95,7274492
2024-05-02,117.25,114.31,117.78,109.06,22134757
2024-05-03,116.48,113.81,116.75,112.89,6210790
2024-05-06,114.44,117.59,117.73,113.75,3938251
2024-05-07,114.48,115.56,116.47,112.87,5140284
2024-05-08,113.53,113.02,113.97,110.1,4524615
2024-05-09,113.0,116.17,116.36,112.71,4122295
2024-05-10,116.72,114.84,117.21,114.1,4407025
2024-05-13,115.37,116.51,116.86,114.1,4717128
2024-05-14,116.35,114.68,117.96,114.5,4910268
2024-05-15,116.22,116.28,116.45,113.16,3368413
2024-05-16,115.19,116.16,116.77,114.75,2745810
2024-05-17,116.28,117.43,117.88,115.83,3717102
2024-05-20,117.81,113.96,117.81,112.19,7760666
2024-05-21,114.71,112.82,114.71,112.02,2705868
2024-05-22,113.02,111.63,114.3,110.63,2819574
2024-05-23,112.19,110.39,112.5,109.43,3590580
2024-05-24,111.15,112.83,113.36,110.81,2850002
2024-05-28,113.35,112.44,113.7,110.73,3390106
2024-05-29,111.87,111.74,113.41,111.12,4716733
2024-05-30,110.47,110.54,112.15,109.36,4001296
2024-05-31,111.0,110.11,111.36,106.22,6380325
2024-06-03,110.25,110.82,110.82,108.17,2776946
2024-06-04,110.55,111.3,112.02,110.39,3333955
2024-06-05,112.0,110.58,113.81,110.4,3775209
2024-06-06,110.93,114.07,114.42,110.91,4206302
2024-06-07,113.67,113.27,114.99,111.8,2909042
2024-06-10,112.87,112.25,113.27,108.86,4789149
2024-06-11,112.3,113.0,113.32,111.34,2376866
2024-06-12,114.5,115.05,115.69,112.47,2752166
2024-06-13,115.45,113.77,115.54,113.01,2851044
2024-06-14,112.8,112.05,113.01,110.71,1805028
2024-06-17,111.35,112.69,112.97,110.15,2683872
2024-06-18,113.0,112.91,114.18,111.87,3191132
2024-06-20,113.34,110.21,114.44,109.65,3226283
2024-06-21,110.43,113.88,114.31,109.72,7914587
2024-06-24,113.13,110.7,114.03,110.06,4157082
2024-06-25,110.97,112.08,114.38,110.68,4280362
2024-06-26,111.16,111.08,113.03,110.17,2031103
2024-06-27,111.25,110.58,111.43,109.44,3655467
2024-06-28,110.36,108.78,110.82,108.29,12262031
2024-07-01,107.6,108.51,108.64,105.94,3760021
2024-07-02,108.29,107.45,108.29,105.9,3990684
2024-07-03,107.3,107.62,109.52,107.24,1628075
2024-07-05,107.37,110.96,111.31,106.26,2665541
2024-07-08,110.96,109.04,110.96,108.62,2636641
2024-07-09,109.79,108.95,112.17,107.95,3633654
2024-07-10,109.64,106.0,109.64,102.15,6413992
2024-07-11,106.11,105.42,106.85,104.25,2798525
2024-07-12,106.12,105.0,106.71,104.77,3315984
2024-07-15,105.12,105.65,105.65,103.59,3662118
2024-07-16,107.48,108.74,109.62,106.98,4555827
2024-07-17,107.34,103.16,107.86,102.79,4118734
2024-07-18,103.06,100.28,104.33,99.89,6226954
2024-07-19,103.5,106.1,106.21,102.52,5782981
2024-07-22,106.58,104.5,107.71,104.36,3810333
2024-07-23,104.91,105.76,106.77,104.47,3193877
2024-07-24,104.52,102.46,105.13,101.91,3872590
2024-07-25,102.89,100.78,107.25,99.32,7356062
2024-07-26,104.09,104.74,106.65,102.81,4026241
2024-07-29,105.17,105.99,106.67,104.62,3032703
2024-07-30,106.59,107.21,108.48,105.34,4037208
2024-07-31,109.83,110.72,111.72,108.72,5076262
2024-08-01,108.62,108.2,112.77,105.91,7965396
2024-08-02,116.66,117.23,119.59,113.61,12666595
2024-08-05,106.31,121.3,121.38,106.21,11560129
2024-08-06,122.49,122.64,124.78,120.91,6530148
2024-08-07,123.81,121.49,126.37,121.41,7086618
2024-08-08,122.11,124.76,125.9,121.18,5212406
2024-08-09,124.71,123.81,125.58,123.4,3907839
2024-08-12,123.53,124.04,124.57,121.44,2822895
2024-08-13,124.19,127.94,128.69,123.88,3697750
2024-08-14,128.19,126.93,128.75,124.9,3127471
2024-08-15,127.54,130.29,130.55,126.5,3438402
2024-08-16,129.65,129.03,130.58,127.17,4485189
2024-08-19,129.6,129.56,130.01,127.41,2247517
2024-08-20,128.41,127.54,129.31,125.29,5557592
2024-08-21,127.83,129.45,129.71,126.64,2154255
2024-08-22,129.77,128.8,131.21,128.64,1995022
2024-08-23,129.39,128.81,130.46,128.17,1877112
2024-08-26,128.72,128.62,131.18,127.86,2360668
2024-08-27,127.31,128.48,129.51,127.13,2710201
2024-08-28,128.24,127.16,128.36,126.04,1898901
2024-08-29,127.88,126.53,128.46,125.91,1765363
2024-08-30,127.74,128.71,129.75,126.74,3633038
2024-09-03,128.04,125.05,129.51,124.28,2584611
2024-09-04,124.85,125.42,126.7,123.44,1817831
2024-09-05,125.04,126.35,128.15,124.68,2745994
2024-09-06,126.07,123.56,126.41,122.32,2343413
2024-09-09,124.62,124.61,126.72,123.94,2009267
2024-09-10,124.21,125.81,126.88,122.73,2298813
2024-09-11,125.91,130.02,130.34,124.47,3045009
2024-09-12,130.61,130.19,130.99,129.37,2474470
2024-09-13,131.09,131.35,133.19,130.67,3265253
2024-09-16,131.22,130.87,133.15,130.3,3254568
2024-09-17,131.35,129.88,131.37,126.9,2825503
2024-09-18,131.22,132.48,134.05,130.32,4913154
2024-09-19,137.56,137.29,138.65,136.05,4630233
2024-09-20,137.36,139.72,139.89,136.53,5570557
2024-09-23,140.0,139.51,140.68,138.71,3113292
2024-09-24,140.73,141.68,141.93,138.59,2599480
2024-09-25,144.31,143.93,146.36,143.3,3324717
2024-09-26,145.18,143.02,145.33,142.62,3750123
2024-09-27,143.37,142.23,144.8,142.12,2403606
2024-09-30,142.67,142.73,143.05,141.16,2390285
2024-10-01,143.36,141.93,144.5,140.53,3096098
2024-10-02,141.9,143.58,144.35,141.58,2526802
2024-10-03,142.17,142.12,143.33,140.62,2185754
2024-10-04,144.16,144.86,145.41,143.58,2658645
2024-10-07,144.46,142.08,144.83,141.84,2515786
2024-10-08,142.2,143.3,144.29,141.26,2669095
2024-10-09,143.0,142.65,143.96,142.45,1993472
2024-10-10,142.64,144.49,146.38,141.76,5665603
2024-10-11,145.5,149.44,150.0,145.0,5062704
2024-10-14,149.79,150.02,150.29,148.1,3023567
2024-10-15,150.0,148.87,150.0,143.37,3611013
2024-10-16,148.51,149.86,150.06,147.31,1751402
2024-10-17,151.71,151.4,152.11,149.8,2572517
2024-10-18,151.63,151.98,152.53,150.34,1791278
2024-10-21,151.38,152.89,152.89,150.7,1793537
2024-10-22,152.16,152.54,154.16,151.73,2000787
2024-10-23,152.0,150.92,153.04,150.26,1976838
2024-10-24,151.69,153.19,153.86,151.26,1651858
2024-10-25,153.72,153.88,155.29,152.86,2113960
2024-10-28,154.96,153.37,155.31,153.29,2447949
2024-10-29,154.48,155.2,155.93,153.59,3934100
2024-10-30,154.19,155.25,156.58,153.1,5614489
2024-10-31,164.31,156.7,165.07,154.2,8032924
