Date,Open,Close,High,Low,Volume
2014-03-26,2.907,2.716,2.961,2.712, 0 
2014-03-27,2.834,2.828,2.874,2.694, 0 
2014-03-28,2.856,2.838,2.975,2.774, 0 
2014-03-31,2.908,2.934,2.991,2.876, 0 
2014-04-01,2.943,3.067,3.107,2.916, 0 
2014-04-02,3.055,3.139,3.164,3.021, 0 
2014-04-03,3.161,3.117,3.252,3.047, 0 
2014-04-04,3.204,2.983,3.28,2.914, 0 
2014-04-07,2.967,2.866,3.053,2.794, 0 
2014-04-08,2.86,2.872,2.965,2.75, 0 
2014-04-09,2.916,3.019,3.061,2.888, 0 
2014-04-10,3.011,2.808,3.075,2.792, 0 
2014-04-11,2.714,2.732,2.832,2.696, 0 
2014-04-14,2.802,2.832,2.884,2.728, 0 
2014-04-15,2.842,2.894,2.943,2.71, 0 
2014-04-16,2.979,3.059,3.105,2.955, 0 
2014-04-17,2.947,2.91,3.057,2.83, 0 
2014-04-21,2.991,2.92,3.031,2.892, 0 
2014-04-22,2.92,2.985,3.025,2.87, 0 
2014-04-23,2.934,2.983,3.061,2.934, 0 
2014-04-24,2.979,2.937,3.015,2.86, 0 
2014-04-25,2.961,2.846,2.969,2.804, 0 
2014-04-28,2.941,2.868,2.995,2.76, 0 
2014-04-29,2.928,2.951,3.027,2.882, 0 
2014-04-30,2.86,2.979,3.009,2.854, 0 
2014-05-01,2.886,2.866,2.956,2.786, 0 
2014-05-02,2.842,2.884,2.975,2.838, 0 
2014-05-05,2.86,2.993,3.035,2.84, 0 
2014-05-06,2.945,2.953,3.013,2.896, 0 
2014-05-07,3.027,3.125,3.137,2.928, 0 
2014-05-08,3.115,3.135,3.26,3.077, 0 
2014-05-09,3.125,3.071,3.159,3.013, 0 
2014-05-12,3.135,3.153,3.178,3.119, 0 
2014-05-13,3.175,3.143,3.22,3.087, 0 
2014-05-14,3.175,3.149,3.236,3.123, 0 
2014-05-15,3.095,2.971,3.148,2.872, 0 
2014-05-16,2.999,3.009,3.025,2.868, 0 
2014-05-19,2.975,3.011,3.137,2.975, 0 
2014-05-20,3.027,2.942,3.037,2.89, 0 
2014-05-21,3.007,3.049,3.083,2.981, 0 
2014-05-22,3.059,3.107,3.159,3.029, 0 
2014-05-23,3.105,3.226,3.246,3.105, 0 
2014-05-27,3.262,3.238,3.31,3.189, 0 
2014-05-28,3.252,3.288,3.343,3.232, 0 
2014-05-29,3.322,3.4,3.406,3.215, 0 
2014-05-30,3.376,3.469,3.483,3.332, 0 
2014-06-02,3.473,3.459,3.507,3.416, 0 
2014-06-03,3.372,3.38,3.481,3.352, 0 
2014-06-04,3.362,3.471,3.535,3.316, 0 
2014-06-05,3.471,3.475,3.507,3.314, 0 
2014-06-06,3.487,3.541,3.549,3.478, 0 
2014-06-09,3.541,3.493,3.557,3.467, 0 
2014-06-10,3.467,3.501,3.507,3.376, 0 
2014-06-11,3.45,3.4,3.501,3.373, 0 
2014-06-12,3.392,3.222,3.406,3.173, 0 
