Date,Open,Last,High,Low,Volume
2024-01-29,124.78,128.87,128.94,124.59,3609598
2024-01-30,128.36,126.83,129.06,125.51,3371515
2024-01-31,123.29,124.44,127.32,122.55,3983565
2024-02-01,125.67,126.9,127.55,123.87,3222425
2024-02-02,132.02,134.31,135.22,130.25,7697226
2024-02-05,135.14,131.14,137.93,129.8,4089841
2024-02-06,132.08,129.18,132.78,126.85,3693786
2024-02-07,131.3,130.62,132.87,130.16,3696279
2024-02-08,128.08,131.45,133.24,127.87,4361318
2024-02-09,135.81,134.91,137.85,134.68,6683393
2024-02-12,135.13,134.85,137.11,133.31,9412826
2024-02-13,126.5,131.68,138.61,123.5,15677801
2024-02-14,134.79,136.15,137.93,133.42,8112834
2024-02-15,136.36,131.84,137.45,131.32,6140178
2024-02-16,131.98,129.74,132.48,128.44,4977646
2024-02-20,128.0,127.66,129.05,125.1,3732108
2024-02-21,124.81,125.84,126.65,123.43,3501281
2024-02-22,130.2,131.12,132.52,129.76,4298575
2024-02-23,131.77,129.51,132.78,129.14,3498398
2024-02-26,130.0,129.35,131.5,128.78,2323920
2024-02-27,130.86,130.95,132.18,129.9,1963242
2024-02-28,129.79,130.47,132.05,128.83,2108116
2024-02-29,130.47,131.46,134.3,129.41,5176432
2024-03-01,131.75,130.22,131.94,129.2,3470153
2024-03-04,129.39,130.67,131.87,126.4,5378205
2024-03-05,129.09,123.53,129.25,122.03,6143573
2024-03-06,126.75,124.59,127.0,122.19,4474591
2024-03-07,125.0,122.89,125.0,121.52,3884627
2024-03-08,122.0,121.31,125.7,120.78,3727158
2024-03-11,120.15,121.45,122.35,118.4,3695907
2024-03-12,121.7,122.99,123.07,119.92,3067075
2024-03-13,122.47,123.59,125.42,121.52,3302887
2024-03-14,122.63,122.65,123.85,120.09,2720711
2024-03-15,122.96,120.42,123.5,119.79,4325900
2024-03-18,121.53,120.87,122.85,120.56,2068658
2024-03-19,119.44,121.81,121.91,118.75,2699008
2024-03-20,122.64,123.44,124.08,121.23,2929623
2024-03-21,125.01,122.86,127.46,122.38,2096270
2024-03-22,122.65,123.02,123.4,121.17,1503916
2024-03-25,122.23,122.66,123.29,121.0,1140941
2024-03-26,123.57,123.45,124.29,122.37,2133090
2024-03-27,125.31,123.51,125.96,122.33,2281806
2024-03-28,123.16,123.6,125.36,122.15,1887188
2024-04-01,123.87,123.15,124.32,121.56,2187803
2024-04-02,120.49,124.39,124.55,118.74,2680289
2024-04-03,123.83,121.51,125.47,121.47,2742012
2024-04-04,122.59,120.72,125.56,120.56,2736473
2024-04-05,121.04,124.4,125.73,119.8,2528608
2024-04-08,125.34,125.76,125.98,122.84,1475589
2024-04-09,127.2,125.44,128.5,124.38,1913796
2024-04-10,121.5,125.82,125.98,121.4,3279769
2024-04-11,127.79,130.8,131.33,127.0,5160786
2024-04-12,129.09,127.51,131.58,127.45,3652444
2024-04-15,127.91,125.82,130.22,125.38,3846268
2024-04-16,125.94,126.95,128.29,124.85,3016865
2024-04-17,127.23,123.55,128.09,123.44,3477066
2024-04-18,123.9,125.02,126.77,122.4,2595827
2024-04-19,124.83,120.09,125.67,119.9,3627985
2024-04-22,120.48,122.07,122.49,118.46,2971441
2024-04-23,125.5,126.44,131.48,123.75,5101248
2024-04-24,126.69,127.07,130.38,125.57,3283714
2024-04-25,123.55,125.25,126.53,122.59,2950846
2024-04-26,131.34,131.45,132.9,128.11,5116602
2024-04-29,132.0,129.07,132.02,128.46,2730634
2024-04-30,128.25,125.5,129.84,125.45,3417792
2024-05-01,127.02,126.42,129.62,123.39,4214306
2024-05-02,127.66,125.46,128.59,124.6,3795410
2024-05-03,127.56,124.27,127.88,123.53,3884462
2024-05-06,123.52,126.97,127.0,122.13,5721742
2024-05-07,113.26,112.4,116.35,110.34,21740232
2024-05-08,114.1,117.28,117.75,113.37,8316229
2024-05-09,118.11,115.87,118.32,115.75,3443991
2024-05-10,116.52,118.97,119.44,115.66,5174685
2024-05-13,119.39,118.26,119.8,118.11,3235182
2024-05-14,118.0,116.75,118.41,115.9,3449665
2024-05-15,118.83,118.47,119.0,117.63,3526053
2024-05-16,118.84,120.61,122.16,118.25,3363004
2024-05-17,119.84,120.07,122.11,119.84,2069484
2024-05-20,120.07,121.29,122.14,119.67,2359975
2024-05-21,120.42,122.33,123.31,120.11,2769262
2024-05-22,122.91,122.75,123.29,121.17,1629702
2024-05-23,124.54,122.12,125.44,122.01,2699646
2024-05-24,121.77,123.6,125.38,121.0,2183231
2024-05-28,123.76,122.11,124.14,120.95,2197875
2024-05-29,120.3,121.68,122.16,120.14,1777739
2024-05-30,123.4,117.45,123.83,117.18,4395290
2024-05-31,114.75,110.18,115.18,108.08,10482951
2024-06-03,111.0,109.34,111.44,108.29,5068250
2024-06-04,108.44,108.84,110.21,107.3,4575240
2024-06-05,110.0,110.48,110.64,108.07,4473335
2024-06-06,110.48,109.62,112.8,109.5,2450095
2024-06-07,109.44,109.47,110.79,107.83,4034030
2024-06-10,109.0,112.99,113.94,108.99,3280849
2024-06-11,113.39,114.9,114.98,112.55,4775487
2024-06-12,117.26,119.11,120.32,116.7,5458876
2024-06-13,120.42,119.54,121.27,118.82,5067418
2024-06-14,118.5,117.84,118.8,115.74,3618892
2024-06-17,117.06,117.17,118.16,114.69,3645562
2024-06-18,117.0,116.5,118.0,116.05,2474640
2024-06-20,116.18,116.08,116.3,114.68,3275523
2024-06-21,117.24,117.57,117.95,115.93,4956288
2024-06-24,116.7,118.49,120.23,116.6,2297174
