Date,Open,Last,High,Low,Volume
2024-01-29,381.751,385.365,385.86,380.569,969505
2024-01-30,382.904,384.639,386.422,382.197,1098288
2024-01-31,385.017,381.392,385.676,380.588,1342451
2024-02-01,382.846,381.489,384.9,377.458,1485631
2024-02-02,378.156,380.443,382.846,374.658,1666920
2024-02-05,379.861,374.076,381.451,371.295,2164068
2024-02-06,377.158,376.857,381.964,376.121,1740712
2024-02-07,378.34,373.999,379.697,373.679,1671472
2024-02-08,373.931,373.882,375.569,372.371,1141987
2024-02-09,372.274,369.483,373.727,368.669,1426496
2024-02-12,372.429,377.332,379.387,372.429,1698168
2024-02-13,372.72,367.526,373.466,363.882,1765241
2024-02-14,371.14,372.865,373.621,365.452,2409036
2024-02-15,355.732,353.368,360.481,349.598,4933780
2024-02-16,349.812,349.511,352.728,347.166,2274348
2024-02-20,348.368,346.313,349.521,344.085,1973770
2024-02-21,345.548,346.226,347.496,343.484,1364519
2024-02-22,343.164,345.732,347.05,342.214,2198080
2024-02-23,346.895,353.368,354.143,346.333,1704312
2024-02-26,352.748,351.963,355.006,350.422,1592507
2024-02-27,351.885,349.492,352.835,347.147,1559821
2024-02-28,350.219,353.513,354.017,349.947,1673139
2024-02-29,355.025,353.746,356.459,351.614,2491371
2024-03-01,353.707,356.459,357.399,350.141,1967262
2024-03-04,357.186,353.135,358.523,351.692,1334967
2024-03-05,352.67,355.374,358.242,352.312,1710194
2024-03-06,354.705,355.277,356.44,353.077,1068836
2024-03-07,356.043,363.698,364.541,355.887,1844639
2024-03-08,364.492,362.516,365.006,360.675,1064814
2024-03-11,361.837,363.436,363.795,359.143,855848
2024-03-12,364.502,361.111,366.14,361.062,1140931
2024-03-13,361.779,367.119,368.737,361.227,1250718
2024-03-14,368.717,368.456,370.607,365.277,1436371
2024-03-15,366.295,371.518,372.09,366.295,3448456
2024-03-18,371.14,373.379,375.394,369.677,1145226
2024-03-19,373.592,379.387,380.181,373.572,1490596
2024-03-20,378.669,381.848,383.049,378.495,1763392
2024-03-21,381.683,385.327,386.984,379.861,1412009
2024-03-22,386.131,386.509,388.311,385.521,1514764
2024-03-25,386.451,385.705,389.193,384.745,1106511
2024-03-26,385.986,386.179,387.604,383.98,1053208
2024-03-27,387.108,397.943,398.215,386.398,1544016
2024-03-28,397.398,399.499,402.009,397.398,1426777
2024-04-01,398.945,393.08,400.647,392.633,1319513
2024-04-02,393.916,392.944,398.488,391.232,1164615
2024-04-03,393.167,394.918,397.467,392.253,1077389
2024-04-04,399.431,395.969,402.592,394.228,1218568
2024-04-05,397.467,401.25,401.843,394.899,994476
2024-04-08,401.697,399.509,403.448,398.439,1269842
2024-04-09,402.164,400.219,402.573,398.254,1114502
2024-04-10,395.755,400.696,401.425,393.333,1407738
2024-04-11,401.445,401.542,402.728,395.784,1472958
2024-04-12,399.995,386.398,401.201,385.951,1886049
2024-04-15,391.281,383.023,393.158,381.827,1353286
2024-04-16,381.525,382.255,384.881,376.059,1865373
2024-04-17,385.163,386.019,386.738,381.652,1442287
2024-04-18,387.575,389.637,391.271,385.863,1562949
2024-04-19,389.997,389.364,391.952,387.847,1125406
2024-04-22,387.935,388.674,391.864,381.447,1005524
2024-04-23,389.899,386.34,394.519,385.863,1278290
2024-04-24,386.67,383.82,386.875,381.632,986781
2024-04-25,375.213,383.276,384.103,373.627,1316947
2024-04-26,381.875,382.566,385.114,380.397,998338
2024-04-29,384.521,389.987,391.572,384.521,847191
2024-04-30,386.894,380.698,387.478,379.453,1016677
2024-05-01,378.315,376.895,380.523,373.267,2018089
2024-05-02,377.985,385.124,387.468,375.154,1790112
2024-05-03,388.703,389.987,390.357,384.044,1626960
2024-05-06,393.916,390.843,395.862,388.265,1042754
2024-05-07,392.613,394.471,395.443,391.718,942025
2024-05-08,393.158,394.325,395.823,390.473,640330
2024-05-09,394.325,397.807,399.256,394.325,995123
2024-05-10,399.266,396.727,400.423,394.568,1426791
2024-05-13,397.807,396.825,405.17,396.406,1402804
2024-05-14,398.78,401.483,406.045,398.78,1765968
2024-05-15,403.332,402.69,405.131,400.978,1861222
2024-05-16,395.755,383.636,398.78,383.393,3623785
2024-05-17,383.675,386.155,386.709,380.825,1612076
2024-05-20,384.92,380.766,385.97,380.241,1158468
2024-05-21,380.231,376.156,380.475,374.678,1370850
2024-05-22,375.436,375.446,377.926,373.734,1318814
