Date,Open,High,Low,Close,Volume
2026-06-03,105.75,106.89,101.87,105.09,4689701
2026-06-02,113.25,115.0,105.55,106.27,3564667
2026-06-01,111.05,111.99,108.15,109.93,7146520
2026-05-29,108.79,110.67,108.06,110.61,5525004
2026-05-28,111.0,111.45,107.38,109.9,4783634
2026-05-27,102.73,106.9,102.43,104.33,4967332
2026-05-26,105.63,105.63,101.79,103.61,3541213
2026-05-22,104.43,106.09,104.26,105.65,2435186
2026-05-21,101.84,105.27,99.57,105.11,3768221
2026-05-20,102.55,105.51,101.06,104.61,3260282
2026-05-19,106.02,106.03,100.21,103.48,4381968
2026-05-18,101.92,106.47,100.42,106.23,5083221
2026-05-15,105.36,105.36,102.32,102.38,3436087
2026-05-14,102.15,105.51,102.15,105.05,3933877
2026-05-13,102.19,103.38,100.81,101.75,4618228
2026-05-12,104.84,105.24,102.26,102.98,5469666
2026-05-11,111.83,112.31,103.64,104.63,6574903
2026-05-08,117.04,117.37,112.91,113.29,3307116
2026-05-07,116.17,117.55,113.56,116.47,3211126
2026-05-06,116.55,117.54,114.81,116.37,2930604
2026-05-05,116.18,118.58,115.82,117.01,2897267
2026-05-04,114.44,117.61,113.5,114.48,3379429
2026-05-01,116.53,116.56,113.4,114.43,2189511
2026-04-30,113.85,116.62,113.85,115.88,3061353
2026-04-29,115.91,116.26,112.76,114.13,2974997
2026-04-28,119.11,119.19,114.25,115.82,2580992
2026-04-27,121.03,121.43,116.72,117.35,1927580
2026-04-24,122.29,122.33,119.51,120.71,1850436
2026-04-23,123.09,123.67,120.43,122.06,2298019
2026-04-22,124.95,125.01,121.51,123.2,2392455
2026-04-21,126.09,126.95,123.69,124.11,2295127
2026-04-20,126.31,127.18,124.63,126.46,2362738
2026-04-17,123.31,127.26,123.31,126.68,3071781
2026-04-16,122.24,125.71,121.81,123.47,3664934
2026-04-15,119.35,121.75,117.65,121.56,2845680
2026-04-14,118.9,120.56,117.8,119.59,2609959
2026-04-13,114.9,119.95,114.68,119.26,4016704
2026-04-10,119.05,119.78,114.89,115.73,3286497
2026-04-09,121.44,121.93,118.02,119.75,3151314
2026-04-08,121.94,124.45,120.65,123.05,2904488
2026-04-07,123.77,124.33,120.47,121.21,3126409
2026-04-06,119.43,124.55,119.42,124.42,3163379
2026-04-02,115.77,119.31,114.78,119.18,2571273
2026-04-01,119.85,120.56,116.57,116.62,4018947
2026-03-31,118.02,119.34,116.15,118.17,3410576
2026-03-30,118.36,119.19,116.39,117.29,2950716
2026-03-27,119.04,119.17,116.58,116.61,2902001
2026-03-26,117.96,121.19,117.95,118.67,4084944
2026-03-25,118.94,119.77,116.05,118.99,3658080
2026-03-24,121.19,122.23,116.51,117.33,4570544
2026-03-23,125.49,125.85,123.17,124.52,2979899
2026-03-20,124.04,124.26,122.12,123.94,4147837
2026-03-19,125.41,126.33,122.31,122.87,3521589
2026-03-18,129.89,130.22,125.57,126.08,4004414
2026-03-17,134.74,134.74,129.77,130.31,3885630
2026-03-16,132.44,134.85,130.8,134.22,3251652
2026-03-13,134.3,135.34,130.51,131.22,3769982
2026-03-12,130.93,139.35,128.24,135.31,8687357
2026-03-11,144.68,146.3,143.07,144.16,4729234
2026-03-10,144.45,148.53,143.82,145.31,3358586
2026-03-09,144.07,145.09,140.95,144.84,2770867
2026-03-06,144.34,146.81,144.07,145.62,2842930
2026-03-05,149.02,149.5,143.84,145.86,3795133
2026-03-04,154.16,154.78,149.82,150.89,2893654
2026-03-03,149.35,154.1,148.6,152.32,2741067
2026-03-02,153.9,156.14,150.72,151.9,2497309
2026-02-27,152.8,156.33,152.8,155.51,3443526
2026-02-26,153.77,157.49,152.81,153.28,2347663
2026-02-25,152.98,155.79,152.54,154.06,3410884
2026-02-24,152.29,153.87,150.25,153.24,2195551
2026-02-23,149.59,152.59,148.47,152.18,2284277
2026-02-20,150.6,153.51,148.41,149.93,2596483
2026-02-19,150.03,153.18,148.98,151.08,2215591
2026-02-18,148.7,153.1,148.42,151.31,2564401
2026-02-17,153.07,154.27,146.88,148.98,2904786
2026-02-13,147.98,153.16,145.83,153.12,2940351
2026-02-12,147.3,149.97,145.25,147.86,3187997
2026-02-11,145.53,147.26,143.63,146.47,2769950
2026-02-10,147.66,148.1,145.19,145.56,1940855
2026-02-09,146.29,149.18,146.18,146.68,2247113
2026-02-06,145.84,147.51,145.13,145.96,1715450
2026-02-05,147.86,148.8,143.93,144.22,2433715
2026-02-04,148.64,150.46,145.75,148.55,2792687
2026-02-03,143.81,149.35,142.29,147.34,4347731
2026-02-02,143.03,144.59,142.04,142.84,3019599
2026-01-30,139.45,142.9,139.34,142.76,2307444
2026-01-29,144.4,144.97,140.19,141.11,2622986
2026-01-28,146.28,147.08,142.72,144.36,2117822
2026-01-27,150.28,150.38,146.47,146.97,2580034
2026-01-26,148.05,152.02,147.98,149.62,3367626
2026-01-23,144.55,146.72,143.71,146.23,2447708
2026-01-22,146.4,148.56,143.31,143.92,3926810
2026-01-21,146.26,147.18,144.61,146.47,3588591
2026-01-20,147.9,150.55,145.15,145.94,4301735
2026-01-16,150.7,151.44,147.02,148.04,3816707
2026-01-15,150.04,151.96,148.38,151.02,3047979
2026-01-14,151.32,154.02,150.16,150.24,2862681
2026-01-13,147.8,151.38,146.87,150.54,3054019
2026-01-12,142.1,148.36,141.54,148.16,3921931
2026-01-09,143.5,144.22,140.88,142.07,3020257
2026-01-08,143.32,144.48,141.84,143.32,3466016
2026-01-07,144.36,145.31,142.15,142.84,3743234
2026-01-06,138.58,145.5,138.36,144.01,5826118
2026-01-05,134.36,137.75,132.66,137.7,3707974
2026-01-02,131.61,136.48,131.47,135.6,3544359
2025-12-31,133.95,134.5,131.39,131.59,2345070
2025-12-30,135.62,136.86,134.53,134.61,1513447
2025-12-29,136.51,138.59,135.83,136.3,3212677
2025-12-26,134.64,136.68,134.34,136.62,1722544
2025-12-24,133.37,135.04,132.31,134.25,966921
2025-12-23,135.96,135.98,132.69,133.06,2338995
2025-12-22,136.78,137.23,135.17,136.3,3666686
2025-12-19,134.76,136.2,132.99,136.06,5137233
2025-12-18,134.74,136.68,134.46,135.47,4335377
2025-12-17,133.0,136.38,132.31,135.75,3765667
2025-12-16,131.76,134.47,131.62,133.32,6147945
2025-12-15,133.11,134.37,130.86,131.75,4561702
2025-12-12,131.32,132.13,129.62,132.03,4593192
2025-12-11,125.13,131.53,125.03,131.5,4209227
2025-12-10,125.42,125.51,122.76,124.77,2939356
2025-12-09,123.86,127.41,122.97,124.42,4086456
2025-12-08,131.9,131.91,121.61,123.17,6759779
2025-12-05,124.08,133.88,123.14,131.19,12342189
2025-12-04,114.72,124.33,113.6,124.18,14189827
2025-12-03,109.82,110.88,108.91,108.91,5472736
2025-12-02,108.55,109.53,107.43,109.05,3563062
2025-12-01,108.18,110.08,107.32,108.37,3321326
2025-11-28,107.69,108.81,107.54,108.52,1380407
2025-11-26,103.8,108.28,103.59,107.8,3118651
2025-11-25,101.63,105.39,101.34,103.38,3016867
2025-11-24,100.68,102.27,99.89,100.79,3812921
2025-11-21,99.86,101.9,98.72,100.8,2927006
2025-11-20,99.3,100.52,98.83,99.4,2458259
2025-11-19,102.56,103.23,98.62,98.77,3391130
2025-11-18,102.05,103.86,101.32,102.41,1897204
2025-11-17,102.88,104.81,101.76,102.23,2721740
2025-11-14,102.91,104.31,102.43,103.37,2375104
2025-11-13,102.75,104.1,102.22,103.27,3054880
2025-11-12,103.1,104.18,103.03,103.28,2415837
2025-11-11,99.41,103.3,99.41,103.15,3135568
2025-11-10,98.37,99.98,96.46,99.51,4042645
2025-11-07,95.48,98.48,94.27,98.34,3744255
2025-11-06,100.15,100.15,95.07,95.09,3093264
2025-11-05,98.85,99.94,98.18,99.72,2229747
2025-11-04,98.5,99.42,97.4,98.88,2287196
2025-11-03,97.46,98.63,95.16,98.29,2562326
2025-10-31,97.8,97.87,96.05,97.78,2897956
2025-10-30,99.77,99.97,98.16,98.7,2461864
2025-10-29,100.12,100.7,98.89,99.02,2222224
2025-10-28,101.14,102.35,99.98,101.02,2050857
2025-10-27,100.85,102.31,100.64,101.86,2659037
2025-10-24,102.26,102.86,100.45,101.08,2124924
2025-10-23,102.56,104.27,101.81,102.08,1651437
2025-10-22,104.12,104.58,102.05,102.66,2270433
2025-10-21,105.7,105.96,104.25,104.57,1931239
2025-10-20,104.81,107.39,104.33,105.5,2343829
2025-10-17,103.74,104.87,103.39,104.8,2088465
2025-10-16,105.31,106.3,102.51,102.96,3399544
2025-10-15,103.49,106.08,102.64,105.38,4313705
2025-10-14,101.34,103.02,100.2,102.79,3269452
2025-10-13,97.89,101.21,97.64,100.97,3319543
2025-10-10,98.12,99.64,97.23,98.34,2971618
2025-10-09,97.7,98.12,96.29,97.79,2942119
2025-10-08,95.87,98.35,95.65,97.29,3336860
2025-10-07,96.55,96.83,94.49,95.51,3428027
2025-10-06,98.78,99.04,96.62,96.67,3189541
2025-10-03,99.53,99.82,98.25,98.72,3450717
2025-10-02,97.98,100.14,97.96,99.9,2953255
2025-10-01,101.73,101.73,97.24,98.2,4677993
2025-09-30,101.58,102.29,99.72,101.82,4139119
2025-09-29,101.08,101.47,99.39,101.41,3380455
2025-09-26,101.68,101.68,100.16,100.61,3158474
2025-09-25,103.36,104.36,101.07,101.33,2468064
2025-09-24,101.64,102.96,101.51,102.95,2461241
2025-09-23,100.72,102.85,100.66,102.13,2840124
2025-09-22,100.59,100.7,98.42,100.35,3549512
2025-09-19,105.69,105.75,99.54,100.6,6059417
2025-09-18,104.5,105.69,103.41,105.31,3963755
2025-09-17,103.11,104.67,102.94,104.57,2592195
2025-09-16,102.76,103.44,101.81,102.67,2313442
2025-09-15,102.52,103.4,101.96,102.97,3383319
2025-09-12,102.89,103.86,102.18,102.85,2557386
2025-09-11,105.1,105.54,103.17,103.83,2931908
2025-09-10,102.95,104.91,102.49,104.89,3130652
2025-09-09,106.18,106.69,102.81,103.0,4369483
2025-09-08,108.93,109.06,105.67,107.11,3468167
2025-09-05,107.34,108.21,106.8,107.66,1913073
2025-09-04,108.48,108.61,106.27,106.83,2765183
2025-09-03,107.18,108.57,105.06,108.06,2687058
2025-09-02,108.12,109.28,106.73,108.82,2638311
2025-08-29,110.64,112.13,105.83,107.15,4583381
2025-08-28,113.28,113.3,104.12,110.05,7421241
2025-08-27,108.94,109.68,108.38,109.55,3621609
2025-08-26,110.76,110.81,108.45,108.86,2717711
