Date,Open,Last,High,Low,Volume
2024-01-29,229.955,230.953,231.041,228.208,3127698
2024-01-30,240.944,241.832,242.277,235.425,6158398
2024-01-31,242.474,236.856,245.614,236.55,5077184
2024-02-01,236.313,242.01,242.178,235.672,2711813
2024-02-02,240.894,243.195,244.715,239.068,2819515
2024-02-05,241.743,242.691,246.058,240.006,2644300
2024-02-06,242.563,245.041,245.298,241.309,2443075
2024-02-07,244.765,243.501,246.709,243.096,2300774
2024-02-08,243.313,242.741,243.659,240.973,1774371
2024-02-09,241.882,239.858,244.103,239.789,2538307
2024-02-12,240.657,243.688,243.935,238.614,2284798
2024-02-13,241.862,238.456,243.066,235.366,2189441
2024-02-14,239.927,244.834,245.308,239.246,2838159
2024-02-15,244.389,245.791,248.496,244.389,2360909
2024-02-16,245.643,246.818,249.118,245.12,2152228
2024-02-20,245.495,244.616,247.598,243.679,1982829
2024-02-21,243.175,247.46,247.559,242.928,1545442
2024-02-22,248.22,249.513,250.195,246.068,1826056
2024-02-23,250.767,250.609,251.754,249.365,1351229
2024-02-26,250.096,248.447,251.083,247.252,2506348
2024-02-27,248.911,251.616,252.337,248.171,2265218
2024-02-28,250.826,252.455,253.295,250.313,1945248
2024-02-29,253.502,249.918,253.818,249.76,3466682
2024-03-01,249.74,252.613,253.117,248.269,1908703
2024-03-04,253.255,252.929,255.703,251.606,2888793
2024-03-05,251.912,251.152,254.677,250.945,2278031
2024-03-06,252.228,249.681,253.808,249.039,3733215
2024-03-07,251.567,250.886,252.594,250.086,2857188
2024-03-08,249.879,250.461,252.584,249.74,1786045
2024-03-11,249.286,249.582,250.767,247.549,1360840
2024-03-12,249.612,249.879,252.169,248.802,2221784
2024-03-13,251.152,252.1,252.426,249.879,2249453
2024-03-14,250.639,249.997,252.742,247.351,2635549
2024-03-15,247.519,246.226,250.53,245.969,5793330
2024-03-18,247.203,248.269,249.701,246.798,3868270
2024-03-19,247.805,250.51,250.856,247.016,3211299
2024-03-20,250.076,248.477,250.52,247.045,1651287
2024-03-21,249.049,250.876,252.12,248.299,2313298
2024-03-22,251.754,251.557,253.245,250.323,2310519
2024-03-25,251.044,244.646,251.537,243.057,3372489
2024-03-26,244.123,245.298,246.285,244.123,1962942
2024-03-27,246.932,245.874,247.337,244.204,2665369
2024-03-28,245.449,246.813,248.137,244.322,2560205
2024-04-01,246.813,244.906,247.129,243.799,1728872
2024-04-02,242.148,243.077,243.413,239.756,2955689
2024-04-03,243.136,241.496,245.212,240.942,1898629
2024-04-04,243.611,239.084,244.253,238.906,2693891
2024-04-05,239.311,241.436,243.235,239.222,2280852
2024-04-08,241.693,241.407,243.126,240.883,2425994
2024-04-09,243.7,246.892,246.951,242.672,1602068
2024-04-10,241.97,243.008,243.383,240.596,2229554
2024-04-11,243.443,241.16,244.105,240.24,2081285
2024-04-12,239.559,237.157,240.349,236.218,2684915
2024-04-15,239.539,236.87,240.428,235.388,2824169
2024-04-16,238.293,237.542,238.531,235.753,3225524
2024-04-17,237.621,236.603,238.036,235.249,2988576
2024-04-18,229.556,233.609,235.664,228.054,4261041
2024-04-19,235.012,232.768,235.032,231.296,2351430
2024-04-22,233.213,233.332,235.951,231.741,2820270
2024-04-23,251.755,250.164,253.732,246.685,6876672
2024-04-24,246.131,247.495,251.132,245.093,3344940
2024-04-25,247.021,242.939,247.722,242.425,2943566
2024-04-26,240.843,243.71,245.212,240.843,2710446
2024-04-29,243.383,243.947,246.072,242.87,1616439
2024-04-30,243.631,243.749,244.125,241.436,3940994
2024-05-01,243.393,244.016,246.615,241.703,2310441
2024-05-02,246.092,243.967,246.536,239.835,2780607
2024-05-03,246.635,245.489,246.823,244.708,1787817
2024-05-06,245.815,244.52,246.645,244.036,1741111
2024-05-07,243.67,245.864,246.2,243.334,1683421
2024-05-08,246.398,246.645,246.912,245.261,1471346
2024-05-09,246.714,248.503,248.602,246.101,1604539
2024-05-10,249.106,250.43,251.933,247.91,1520786
2024-05-13,250.055,248.681,251.785,248.681,1305646
2024-05-14,251.34,256.242,256.766,249.59,3096680
2024-05-15,256.973,260.393,260.947,256.716,3073102
2024-05-16,259.405,261.757,262.281,258.505,3448391
2024-05-17,261.945,262.706,262.844,260.116,3187418
2024-05-20,262.548,264.001,264.524,261.965,1757819
2024-05-21,264.129,263.447,264.218,261.648,2561201
2024-05-22,264.277,264.08,265.849,263.457,2533646
2024-05-23,264.07,258.357,264.08,258.061,2901184
2024-05-24,259.128,259.721,260.067,257.813,2089037
2024-05-28,259.504,255.698,260.739,254.255,2881256
2024-05-29,250.519,252.951,253.494,250.519,2931704
2024-05-30,246.052,249.798,250.727,245.637,3450877
2024-05-31,250.144,253.811,253.989,249.798,4801089
2024-06-03,254.246,258.337,258.525,253.702,3003305
2024-06-04,258.347,260.265,261.154,256.973,3119814
2024-06-05,260.927,264.732,264.969,259.543,2551960
2024-06-06,264.307,264.86,265.977,262.479,2405927
2024-06-07,264.465,260.018,264.613,259.761,3626851
2024-06-10,259.326,261.589,262.548,258.832,3115366
2024-06-11,261.026,258.209,261.5,257.26,3444754
2024-06-12,258.377,261.53,263.012,257.537,3311190
2024-06-13,260.433,252.041,260.433,249.492,4945532
2024-06-14,250.638,251.883,251.903,250.005,3097194
2024-06-17,251.31,251.172,252.269,251.023,3366811
2024-06-18,251.953,254.512,255.372,251.043,3162250
2024-06-20,247.475,245.667,248.839,244.322,6112202
2024-06-21,246.942,251.992,252.14,246.576,6839526
2024-06-24,251.982,253.771,255.283,249.976,3122605
2024-06-25,253.158,251.182,254.414,251.053,2526691
2024-06-26,250.233,250.638,252.773,249.274,2460941
2024-06-27,249.996,248.829,250.134,248.108,2409367
2024-06-28,247.491,247.214,249.954,245.373,4638276
2024-07-01,247.342,241.93,247.659,240.634,3925570
2024-07-02,239.615,237.873,239.961,236.349,5068083
2024-07-03,238.368,237.468,240.495,237.468,1935837
2024-07-05,238.447,236.725,238.882,235.983,3932293
2024-07-08,236.933,238.111,238.16,235.439,2489795
2024-07-09,239.328,237.26,239.328,236.201,2064209
2024-07-10,237.853,239.644,239.822,237.418,2108385
2024-07-11,241.138,243.671,246.066,239.456,2815467
2024-07-12,243.335,244.097,245.631,242.207,2546265
2024-07-15,243.8,243.632,244.829,241.188,2869228
2024-07-16,245.383,249.479,250.024,244.463,2754056
2024-07-17,249.816,248.599,251.864,248.262,2718636
2024-07-18,247.006,242.207,252.764,239.328,4266945
