Date,Open,Last,High,Low,Volume
2024-01-29,82.669,83.211,83.698,82.284,2173342
2024-01-30,83.055,83.294,83.79,82.706,1550005
2024-01-31,84.029,83.496,84.295,82.982,3138166
2024-02-01,83.028,85.223,85.26,82.669,1625052
2024-02-02,84.534,83.68,84.8,82.835,1978373
2024-02-05,82.963,82.366,83.505,82.32,1852011
2024-02-06,82.063,82.458,83.009,81.944,1621500
2024-02-07,82.798,82.183,82.844,81.898,1413513
2024-02-08,81.815,81.448,82.192,80.933,1626478
2024-02-09,81.163,81.806,81.879,81.099,1457619
2024-02-12,81.824,82.164,82.265,81.236,1627308
2024-02-13,82.018,80.358,82.388,79.672,3513616
2024-02-14,80.701,80.516,81.044,80.154,2412954
2024-02-15,80.682,81.795,81.925,80.553,2168515
2024-02-16,81.174,80.961,81.943,80.414,2949343
2024-02-20,81.063,81.202,82.212,80.692,1974526
2024-02-21,81.693,82.157,82.324,81.331,1747225
2024-02-22,81.508,81.508,81.786,80.414,1628834
2024-02-23,81.675,81.526,82.379,81.313,1190734
2024-02-26,81.322,79.931,81.369,79.82,1562868
2024-02-27,80.228,80.553,80.831,79.885,1159107
2024-02-28,80.525,80.339,80.924,80.154,1185454
2024-02-29,80.692,80.859,81.35,80.339,2803360
2024-03-01,80.655,80.673,80.766,79.598,1571973
2024-03-04,80.256,82.639,82.889,80.256,1960927
2024-03-05,83.028,82.509,84.178,82.203,2037247
2024-03-06,83.037,83.306,83.705,82.926,1436735
2024-03-07,84.15,83.39,84.298,83.195,1007905
2024-03-08,83.603,83.557,83.761,82.676,1072856
2024-03-11,83.603,84.187,84.373,83.214,1197165
2024-03-12,83.788,83.381,84.428,83.362,1316827
2024-03-13,83.816,83.047,84.465,82.926,1673563
2024-03-14,82.704,82.212,83.019,81.628,1450252
2024-03-15,81.637,82.463,82.722,81.637,3462511
2024-03-18,82.333,82.509,82.852,81.999,1354963
2024-03-19,82.88,83.177,83.26,82.314,1507656
2024-03-20,82.926,82.555,83.64,82.166,1545741
2024-03-21,82.741,82.194,83.195,82.157,2162914
2024-03-22,82.657,82.147,82.843,81.943,1507460
2024-03-25,82.286,82.055,82.555,81.591,1163704
2024-03-26,81.999,81.081,82.082,80.812,1411961
2024-03-27,81.517,83.492,83.529,81.517,1935394
2024-03-28,83.64,84.196,84.28,83.251,1785835
2024-04-01,84.178,83.751,84.298,83.149,1109597
2024-04-02,83.826,84.002,85.049,83.826,1829435
2024-04-03,83.946,83.343,84.243,83.251,1404637
2024-04-04,83.9,83.622,84.122,82.852,1666995
2024-04-05,83.139,83.121,83.455,82.416,1737921
2024-04-08,83.158,84.002,84.159,82.973,1437861
2024-04-09,84.169,84.493,84.521,83.77,1184146
2024-04-10,82.991,82.416,83.214,81.869,1623462
2024-04-11,82.88,82.101,82.88,81.721,1325849
2024-04-12,82.277,82.175,82.824,81.61,1395978
2024-04-15,83.241,82.815,83.659,82.342,3517995
2024-04-16,82.555,81.053,82.769,81.035,2098153
2024-04-17,81.61,83.751,83.937,81.452,2923183
2024-04-18,84.057,84.28,84.54,83.139,2528774
2024-04-19,84.753,85.087,85.791,84.493,7398350
2024-04-22,84.799,85.977,86.097,84.604,1818305
2024-04-23,85.643,86.079,86.579,85.532,1843846
2024-04-24,85.346,86.626,86.922,84.669,2001652
2024-04-25,86.626,87.256,87.488,85.94,2191488
2024-04-26,87.256,86.162,87.506,86.162,1418568
2024-04-29,86.514,87.126,87.321,86.514,1146354
2024-04-30,86.514,87.525,87.951,86.023,3731976
2024-05-01,87.2,87.896,88.489,86.95,2372909
2024-05-02,88.174,88.313,88.656,87.581,1991646
2024-05-03,89.008,88.601,89.713,88.053,2465195
2024-05-06,88.675,89.129,89.25,88.146,2071466
