Date,Open,Last,High,Low,Volume
2024-01-29,767.945,788.633,789.392,767.945,524622
2024-01-30,786.49,797.944,802.751,784.291,688987
2024-01-31,801.576,786.746,802.941,786.159,540636
2024-02-01,783.674,802.448,804.022,782.025,535545
2024-02-02,801.613,799.736,802.922,785.95,457830
2024-02-05,791.032,793.042,798.807,787.6,372070
2024-02-06,798.949,794.559,802.163,792.075,499845
2024-02-07,799.964,802.827,804.714,791.648,350954
2024-02-08,796.693,810.981,815.144,796.693,403898
2024-02-09,811.882,811.389,812.394,801.092,394256
2024-02-12,813.949,805.909,814.063,801.604,434415
2024-02-13,794.123,789.506,794.123,783.381,448666
2024-02-14,789.506,789.629,796.399,782.357,574717
2024-02-15,795.498,829.603,836.079,795.176,768833
2024-02-16,818.718,811.835,828.683,806.174,842114
2024-02-20,810.782,810.422,818.917,804.847,568030
2024-02-21,807.141,819.894,821.373,802.372,448795
2024-02-22,823.336,835.15,837.624,823.336,516171
2024-02-23,839.606,836.543,840.061,833.424,309718
2024-02-26,838.079,832.115,845.636,832.115,380340
2024-02-27,840.739,831.859,840.739,828.438,363189
2024-02-28,831.973,849.791,851.239,829.839,437248
2024-02-29,853.288,846.885,855.574,844.293,703998
2024-03-01,843.15,858.042,858.242,840.425,497008
2024-03-04,852.297,870.553,871.763,846.942,578741
2024-03-05,866.217,853.297,871.706,848.924,449751
2024-03-06,858.042,863.864,865.789,852.849,302124
2024-03-07,867.065,863.311,869.914,856.089,347188
2024-03-08,868.971,867.161,870.486,862.73,408663
2024-03-11,862.597,851.401,864.226,842.082,359184
2024-03-12,851.401,850.686,857.918,846.303,382983
2024-03-13,841.816,826.313,843.636,824.741,810497
2024-03-14,824.922,823.922,829.553,809.915,690980
2024-03-15,820.368,810.268,824.417,808.143,1090287
2024-03-18,819.52,820.044,821.33,812.898,464582
2024-03-19,818.538,804.732,818.538,801.321,867229
2024-03-20,763.208,785.961,797.919,759.302,2372326
2024-03-21,786.076,773.346,786.076,766.857,1301725
2024-03-22,769.125,763.179,771.517,761.236,1087486
2024-03-25,748.115,755.128,768.487,748.115,1323564
2024-03-26,754.938,762.322,767.543,754.938,930705
2024-03-27,770.926,776.843,778.415,762.913,945123
2024-03-28,780.235,786.39,788.391,774.642,789170
2024-04-01,787.029,762.303,787.848,759.988,674280
2024-04-02,756.529,755.271,760.264,751.441,551554
2024-04-03,753.251,751.688,760.435,748.23,442644
2024-04-04,751.688,744.19,758.139,741.913,469477
2024-04-05,744.714,747.401,752.641,743.266,446532
2024-04-08,746.315,751.002,752.47,745.105,607676
