Date,Open,Last,High,Low,Volume
2024-01-29,333.076,330.827,335.905,330.402,134798
2024-01-30,330.827,332.931,334.553,327.602,91761
2024-01-31,333.453,333.877,337.952,326.695,1057921
2024-02-01,331.754,334.997,334.997,325.913,121815
2024-02-02,335.509,335.384,336.774,328.037,81850
2024-02-05,334.389,331.734,334.592,331.3,57201
2024-02-06,333.067,335.48,336.301,331.869,91377
2024-02-07,336.05,337.903,338.512,334.109,84377
2024-02-08,337.903,338.077,338.29,336.069,92875
2024-02-09,338.096,342.451,342.779,337.324,75409
2024-02-12,341.765,342.933,345.096,340.5,78756
2024-02-13,342.537,337.392,344.15,337.131,78744
2024-02-14,337.913,339.66,341.997,337.913,105550
2024-02-15,340.993,343.194,345.395,340.442,85740
2024-02-16,343.57,347.374,350.386,341.553,117020
2024-02-20,347.809,343.194,350.338,341.891,103917
2024-02-21,341.659,338.676,342.76,337.759,120921
2024-02-22,341.06,339.689,341.06,334.408,126045
2024-02-23,339.95,337.43,340.114,335.741,102722
2024-02-26,336.252,342.132,342.171,335.779,84160
2024-02-27,339.506,375.884,377.071,339.506,194903
2024-02-28,378.143,398.205,398.726,378.143,170568
2024-02-29,400.57,392.817,400.57,388.087,210525
2024-03-01,393.764,390.317,398.494,386.397,122602
2024-03-04,389.689,397.915,403.012,388.241,94344
2024-03-05,397.538,394.304,397.538,391.871,74754
2024-03-06,394.439,397.481,402.153,391.871,61705
2024-03-07,398.861,402.926,405.812,397.123,92209
2024-03-08,401.207,401.497,404.2,399.286,70271
2024-03-11,401.497,388.811,401.497,388.444,109176
2024-03-12,387.218,394.304,395.077,384.302,71283
2024-03-13,397.191,393.744,400.222,391.582,106729
2024-03-14,395.666,394.565,396.892,392.064,78481
2024-03-15,392.721,402.385,404.605,392.721,310977
2024-03-18,401.091,397.065,405.272,395.328,89332
2024-03-19,398.571,397.761,400.155,394.526,100296
2024-03-20,400.029,392.142,402.414,388.029,100626
2024-03-21,392.277,393.358,396.119,386.89,76888
2024-03-22,394.208,386.378,395.086,381.145,90524
2024-03-25,388.85,390.722,392.122,386.851,58393
2024-03-26,388.299,391.929,394.256,387.421,111820
2024-03-27,394.835,394.063,395.83,387.884,389269
2024-03-28,395.868,387.691,396.583,387.411,61281
2024-04-01,389.757,388.0,391.36,384.553,91858
2024-04-02,387.614,387.083,388.309,380.132,91292
2024-04-03,385.152,385.403,389.139,383.472,58035
2024-04-04,387.836,383.028,388.878,381.937,64153
2024-04-05,384.611,386.735,388.531,380.672,74420
2024-04-08,388.567,385.943,390.582,384.112,61544
2024-04-09,388.054,379.792,388.054,378.93,36310
2024-04-10,378.94,380.984,385.362,378.94,47953
2024-04-11,380.848,372.189,381.604,371.686,52773
2024-04-12,369.952,369.158,374.369,367.211,40265
2024-04-15,372.848,366.95,373.574,366.446,41371
2024-04-16,366.233,368.984,371.221,365.197,55754
2024-04-17,370.708,366.291,370.708,363.841,64625
2024-04-18,368.383,368.49,371.792,364.935,38942
2024-04-19,369.284,369.555,373.439,368.199,49823
2024-04-22,372.858,370.185,375.357,366.872,56538
2024-04-23,371.899,373.555,377.536,369.991,56606
2024-04-24,370.659,370.62,373.226,367.918,61446
2024-04-25,367.56,368.296,370.708,365.545,53562
2024-04-26,373.478,369.729,374.504,359.628,59004
2024-04-29,369.7,366.649,369.7,364.945,66497
2024-04-30,366.427,370.62,370.892,366.291,139935
2024-05-01,368.906,370.698,376.209,368.596,71329
2024-05-02,373.332,372.829,374.65,368.373,51210
2024-05-03,373.913,377.739,378.117,371.018,45299
2024-05-06,380.393,387.928,388.112,380.393,53097
2024-05-07,387.463,392.684,396.403,386.727,108026
2024-05-08,392.684,391.773,393.827,386.805,44178
2024-05-09,392.684,397.614,397.856,389.807,50701
2024-05-10,398.766,393.778,398.766,392.093,53290
2024-05-13,394.059,390.059,396.568,389.158,85878
2024-05-14,388.703,381.768,390.853,380.577,91053
2024-05-15,381.546,382.446,386.834,380.935,53492
2024-05-16,384.393,383.802,385.362,380.78,58909
2024-05-17,385.003,384.325,386.32,382.417,48368
2024-05-20,383.076,384.809,385.371,380.131,36744
2024-05-21,385.594,384.151,386.117,382.001,40350
2024-05-22,382.504,376.199,384.761,372.248,62367
2024-05-23,378.805,370.921,378.824,369.294,78031
2024-05-24,373.642,376.722,377.555,368.964,60506
2024-05-28,375.696,366.0,378.437,365.197,78129
2024-05-29,365.913,356.451,365.913,354.814,85148
2024-05-30,357.119,362.184,362.349,355.066,79355
2024-05-31,361.642,351.027,362.33,349.807,240295
2024-06-03,351.637,351.153,356.025,350.262,54611
2024-06-04,351.153,349.778,351.84,347.443,44298
2024-06-05,351.879,349.264,352.354,346.339,40963
2024-06-06,349.342,350.804,351.879,344.993,45138
2024-06-07,350.426,346.233,353.913,345.826,44817
2024-06-10,343.24,347.259,347.327,340.082,76406
2024-06-11,345.729,342.649,345.729,339.879,87696
2024-06-12,344.431,342.252,346.339,339.346,69071
2024-06-13,341.4,339.685,341.4,335.463,48342
2024-06-14,337.293,338.814,339.869,334.232,58987
2024-06-17,338.31,344.257,346.281,338.31,51612
2024-06-18,344.644,345.671,348.945,344.644,39444
2024-06-20,344.48,342.3,347.986,340.993,58333
2024-06-21,346.087,347.715,350.068,341.845,194726
2024-06-24,348.673,350.93,354.843,348.673,65197
2024-06-25,350.097,354.31,357.487,347.995,118365
2024-06-26,353.487,347.715,353.487,343.773,229404
2024-06-27,348.344,350.804,351.027,346.794,56226
2024-06-28,351.046,350.998,355.405,347.618,58134
2024-07-01,352.741,352.838,355.356,350.455,58920
2024-07-02,351.637,355.008,355.908,351.637,50821
2024-07-03,356.615,354.184,358.213,352.702,75874
2024-07-05,354.175,354.659,355.066,351.695,31331
2024-07-08,356.644,357.477,360.18,355.288,56734
2024-07-09,357.45,346.555,357.45,345.952,73784
2024-07-10,346.312,347.896,351.113,346.312,31001
2024-07-11,349.432,352.299,355.04,349.432,38687
2024-07-12,354.194,358.889,359.569,354.039,40769
2024-07-15,360.24,364.059,366.615,360.24,40869
2024-07-16,364.759,369.279,371.281,362.942,51997
2024-07-17,368.841,371.446,375.12,368.841,47733
2024-07-18,370.357,370.542,374.653,370.357,39824
2024-07-19,369.249,366.752,369.249,365.614,46171
2024-07-22,368.559,373.477,374.002,368.559,40475
2024-07-23,375.314,377.307,378.512,373.03,46902
2024-07-24,375.237,372.768,378.551,372.719,65789
2024-07-25,374.099,376.636,381.35,372.535,92175
2024-07-26,385.588,409.556,411.286,362.222,141795
2024-07-29,409.847,414.357,421.423,405.639,69287
2024-07-30,416.923,430.209,432.319,414.901,73071
2024-07-31,428.256,428.771,432.804,424.319,116172
2024-08-01,428.917,427.381,428.917,421.093,40389
2024-08-02,424.426,425.612,428.382,418.391,91256
2024-08-05,413.784,424.407,427.643,410.333,71262
2024-08-06,424.115,427.167,431.541,422.405,56665
2024-08-07,428.071,426.02,432.542,424.815,76140
2024-08-08,426.681,432.707,435.011,426.681,42377
2024-08-09,433.154,437.324,437.373,431.541,33518
2024-08-12,438.092,438.86,445.051,437.11,37360
2024-08-13,439.909,441.416,444.176,437.791,41584
