Date,Open,Last,High,Low,Volume
2024-01-29,217.265,217.771,219.012,216.466,280619
2024-01-30,215.785,215.537,217.366,214.526,299463
2024-01-31,217.44,214.434,219.591,214.029,801183
2024-02-01,213.726,218.414,218.479,211.768,574299
2024-02-02,215.822,216.962,217.513,213.414,503902
2024-02-05,214.324,211.741,214.324,211.336,444306
2024-02-06,210.95,214.158,214.452,210.95,421882
2024-02-07,213.763,210.527,213.763,207.567,668088
2024-02-08,210.196,210.821,210.996,207.576,439239
2024-02-09,210.224,211.244,211.759,210.012,276367
2024-02-12,212.246,212.145,212.595,209.829,283885
2024-02-13,206.942,207.374,207.668,205.048,402150
2024-02-14,207.742,208.909,210.591,206.914,457797
2024-02-15,211.161,215.675,215.748,210.987,366689
2024-02-16,213.175,216.364,217.155,213.175,405270
2024-02-20,215.611,214.14,217.091,213.965,627594
2024-02-21,215.105,216.236,216.953,214.011,329002
2024-02-22,215.454,211.382,216.162,211.373,513045
2024-02-23,211.309,210.821,211.897,209.47,917327
2024-02-26,210.757,207.558,211.777,207.199,401980
2024-02-27,209.36,209.341,210.812,207.613,404301
2024-02-28,208.082,211.088,213.965,207.926,445017
2024-02-29,213.469,212.715,214.131,211.814,410287
2024-03-01,211.134,215.445,215.537,208.523,455595
2024-03-04,215.813,223.911,224.059,214.223,697041
2024-03-05,222.303,223.194,225.713,221.917,559146
2024-03-06,224.684,223.103,225.318,221.2,276700
2024-03-07,225.024,222.919,225.024,221.742,515068
2024-03-08,225.024,225.621,226.596,224.463,372718
2024-03-11,225.621,223.351,227.616,223.139,277654
2024-03-12,222.073,221.2,224.353,219.462,299979
2024-03-13,220.694,222.772,223.47,220.694,278870
2024-03-14,221.466,217.982,221.549,215.693,409096
2024-03-15,216.052,219.766,220.473,216.052,562275
2024-03-18,220.731,218.414,220.731,217.578,305356
2024-03-19,218.736,217.063,219.655,216.41,244922
2024-03-20,215.436,221.264,222.101,215.436,353164
2024-03-21,221.999,224.307,225.033,220.768,315082
2024-03-22,224.647,222.45,225.226,220.777,359977
2024-03-25,221.797,220.188,223.654,219.085,310124
2024-03-26,220.483,218.534,221.292,218.525,324075
2024-03-27,220.594,224.226,224.328,220.594,258617
2024-03-28,226.019,227.384,228.136,225.192,350005
2024-04-01,228.935,222.61,228.935,222.35,293023
2024-04-02,221.087,218.737,221.087,217.761,294627
2024-04-03,217.938,220.594,221.114,216.489,239397
2024-04-04,223.827,219.183,224.031,218.449,253205
2024-04-05,217.761,220.762,221.774,217.761,170204
2024-04-08,222.508,226.167,227.375,222.508,286106
2024-04-09,226.938,231.824,231.963,226.938,315050
2024-04-10,225.87,226.641,227.449,225.043,434484
2024-04-11,228.517,226.864,228.777,223.817,378558
2024-04-12,225.916,222.257,226.622,220.994,376262
2024-04-15,223.678,218.82,224.105,217.585,248434
2024-04-16,217.585,216.136,217.696,215.384,294090
2024-04-17,216.563,216.09,218.207,215.012,342553
2024-04-18,216.916,217.316,217.817,214.464,284993
2024-04-19,218.059,218.43,220.594,218.059,335777
2024-04-22,219.294,222.814,223.659,218.644,381784
2024-04-23,223.455,224.913,226.622,222.944,557070
2024-04-24,222.331,230.105,231.229,222.331,396596
2024-04-25,228.452,229.613,229.901,227.087,466812
2024-04-26,231.164,229.344,234.703,229.335,422599
2024-04-29,231.471,230.365,231.935,229.13,313378
2024-04-30,228.22,228.721,230.839,228.22,599307
2024-05-01,230.161,227.997,231.276,223.455,714559
2024-05-02,229.418,232.019,233.802,227.876,605049
2024-05-03,234.954,232.492,235.483,231.619,399522
2024-05-06,234.945,237.304,237.462,232.678,282960
2024-05-07,239.57,239.329,239.691,237.666,304365
2024-05-08,238.186,236.384,239.013,235.678,164087
2024-05-09,237.415,241.103,241.288,236.737,216115
2024-05-10,241.976,240.517,241.976,238.855,205079
2024-05-13,241.502,242.013,243.081,240.369,253211
2024-05-14,244.716,246.109,246.304,242.301,365493
2024-05-15,250.066,248.775,250.066,246.341,407628
2024-05-16,248.645,245.867,249.852,245.83,210602
