Date,Open,Last,High,Low,Volume
2024-01-29,150.056,152.081,152.288,148.584,1811626
2024-01-30,151.636,149.848,151.903,148.169,2014390
2024-01-31,149.285,146.5,149.987,146.135,1459918
2024-02-01,147.152,149.651,149.898,144.959,1961069
2024-02-02,148.851,149.187,151.498,144.742,1969314
2024-02-05,148.1,149.839,150.451,145.72,1899403
2024-02-06,151.034,151.804,152.476,148.772,1865684
2024-02-07,153.147,152.476,154.836,149.226,2300934
2024-02-08,154.569,157.503,158.076,152.91,7400430
2024-02-09,128.999,129.493,131.162,124.495,18487358
2024-02-12,130.411,131.952,135.606,130.411,6862153
2024-02-13,129.769,133.177,134.698,129.088,4907433
2024-02-14,133.769,133.157,134.777,132.229,3396305
2024-02-15,134.322,136.821,137.996,134.214,3710946
2024-02-16,136.238,133.582,136.258,133.157,2670363
2024-02-20,132.031,134.312,135.103,131.794,2443211
2024-02-21,133.157,132.979,134.51,132.189,2020390
2024-02-22,134.322,137.384,137.572,133.927,2699836
2024-02-23,135.31,134.619,137.019,133.345,3320092
2024-02-26,134.619,133.285,135.429,132.831,2682442
2024-02-27,134.569,134.559,135.596,133.75,2070071
2024-02-28,133.838,133.858,135.626,133.661,1902044
2024-02-29,135.182,135.132,136.199,134.164,2412163
2024-03-01,134.619,135.152,136.1,134.54,1843238
2024-03-04,134.935,133.848,135.517,133.503,2229704
2024-03-05,132.92,132.377,134.066,131.468,3030946
2024-03-06,133.424,130.866,133.769,130.609,2361281
2024-03-07,131.112,131.784,131.982,129.789,1968559
2024-03-08,131.962,134.105,134.391,131.379,1859219
2024-03-11,133.503,135.241,135.606,133.503,1431648
2024-03-12,136.298,134.935,136.426,134.846,1611160
2024-03-13,133.137,133.651,135.527,132.179,2093400
2024-03-14,134.026,134.066,134.391,132.969,1869127
2024-03-15,133.246,131.824,133.631,130.875,3974634
2024-03-18,132.14,131.567,133.127,130.866,1688458
2024-03-19,131.537,133.888,133.947,131.063,1598420
2024-03-20,133.601,136.396,136.91,133.404,1906510
2024-03-21,137.236,134.708,137.285,134.648,1681339
2024-03-22,134.006,135.152,135.764,133.483,1246283
2024-03-25,135.488,135.616,136.554,135.093,1172866
2024-03-26,136.693,134.935,137.167,134.885,2524470
2024-03-27,136.179,137.275,137.414,134.945,2221072
2024-03-28,137.74,136.051,138.174,135.893,2081475
2024-04-01,135.853,131.577,136.031,131.27,3621861
2024-04-02,130.431,130.066,131.596,128.89,2306252
2024-04-03,129.345,128.949,130.638,127.952,2239126
2024-04-04,130.224,129.088,132.742,128.831,2750114
2024-04-05,129.433,130.164,130.698,128.811,1666805
2024-04-08,130.006,130.53,131.853,129.898,1113133
2024-04-09,131.162,131.626,131.715,130.125,1108957
2024-04-10,130.51,129.779,132.554,129.335,1510931
2024-04-11,130.51,131.577,132.584,129.947,1693171
2024-04-12,130.283,128.851,131.34,128.772,2126223
2024-04-15,129.878,127.063,131.488,126.51,1812664
2024-04-16,127.063,127.349,128.663,126.411,1598315
2024-04-17,128.574,127.142,129.256,126.658,1332249
2024-04-18,127.912,126.717,128.209,126.263,1252477
2024-04-19,127.221,127.409,128.337,126.451,1350987
2024-04-22,127.903,129.967,130.006,126.461,1418844
2024-04-23,130.895,133.354,133.641,130.5,1420221
2024-04-24,133.651,134.125,137.285,132.801,1776380
2024-04-25,132.87,134.569,135.251,132.367,1501604
2024-04-26,134.569,134.026,136.298,133.987,1412722
2024-04-29,134.609,134.974,135.379,133.226,2285440
2024-04-30,134.816,132.969,135.804,132.624,2096203
2024-05-01,131.3,131.498,133.661,128.831,3085223
2024-05-02,133.473,134.411,134.994,131.122,4854270
2024-05-03,120.801,113.907,121.226,113.72,13956064
2024-05-06,114.362,114.589,115.379,113.216,4516731
2024-05-07,114.204,111.517,115.26,110.865,4496332
2024-05-08,110.559,110.164,111.606,109.354,3646102
2024-05-09,109.473,111.142,111.675,108.515,4481399
2024-05-10,111.606,111.448,112.021,110.944,3253948
2024-05-13,112.06,111.28,112.613,110.964,2856435
2024-05-14,111.507,112.08,112.337,111.32,2239274
2024-05-15,112.643,111.063,113.206,110.53,2239457
2024-05-16,111.004,112.051,112.93,110.668,2220009
2024-05-17,112.594,112.604,113.186,111.389,3054747
2024-05-20,112.485,112.91,113.147,111.231,3011699
2024-05-21,112.317,110.332,112.791,110.036,2556163
2024-05-22,109.828,110.688,111.142,109.69,1598508
2024-05-23,110.816,109.127,111.616,108.811,1931775
2024-05-24,109.631,108.949,109.996,108.9,1232068
2024-05-28,108.989,108.752,109.601,107.952,2285578
2024-05-29,107.27,108.92,109.216,105.927,1801375
2024-05-30,108.92,108.13,109.344,107.685,1348652
2024-05-31,107.912,111.468,111.557,107.912,2272521
2024-06-03,111.547,112.653,113.117,110.964,2532871
2024-06-04,111.784,113.078,113.236,111.764,1810106
2024-06-05,113.522,113.937,115.458,113.088,2135129
2024-06-06,113.384,118.826,118.925,113.374,3050776
2024-06-07,118.263,121.542,121.661,118.194,2575365
2024-06-10,120.791,121.858,122.619,120.495,1650149
2024-06-11,121.354,121.275,121.789,120.594,1513678
2024-06-12,123.34,123.023,123.665,121.769,1869645
2024-06-13,122.698,121.898,123.122,120.979,1515087
2024-06-14,120.584,123.073,123.221,120.495,1592564
2024-06-17,122.875,122.54,123.221,121.206,1641629
2024-06-18,122.52,123.004,125.295,121.967,1964817
2024-06-20,123.073,123.932,126.243,123.073,1896509
2024-06-21,123.665,126.144,126.51,123.152,3839362
2024-06-24,125.404,126.579,128.317,124.87,1892057
2024-06-25,127.369,128.159,129.226,126.688,1903246
2024-06-26,127.152,125.789,127.725,122.47,1759149
2024-06-27,125.473,123.122,125.789,122.777,2419027
2024-06-28,123.261,124.436,124.979,123.093,2692902
2024-07-01,124.673,120.989,125.265,120.495,1927989
2024-07-02,121.236,121.344,122.51,120.307,1428704
2024-07-03,122.105,122.717,122.836,121.344,845703
2024-07-05,122.381,122.085,123.399,121.137,1492178
2024-07-08,122.954,123.952,124.633,122.619,1496509
2024-07-09,124.554,126.974,128.288,124.031,2141878
2024-07-10,127.478,127.932,128.436,126.243,1686055
2024-07-11,127.419,127.132,128.959,125.522,1449341
2024-07-12,127.606,130.066,130.303,127.28,1454077
2024-07-15,130.233,130.885,132.268,128.959,1512017
2024-07-16,131.369,137.977,139.853,131.359,3805424
2024-07-17,137.048,133.868,137.187,132.535,1763007
2024-07-18,133.868,131.873,136.031,131.784,1362759
2024-07-19,132.831,134.204,134.895,132.219,1412336
2024-07-22,133.167,132.801,134.629,130.984,1641953
2024-07-23,133.187,131.033,134.53,130.885,1524639
2024-07-24,130.016,126.905,130.224,125.631,2084659
2024-07-25,125.058,123.359,125.137,120.446,2212386
2024-07-26,125.127,124.317,125.621,123.646,1440159
2024-07-29,124.87,126.698,127.251,124.396,1321765
2024-07-30,127.043,126.945,128.11,126.095,1379556
2024-07-31,127.498,126.095,127.695,124.386,1641446
2024-08-01,125.236,119.981,125.542,118.579,2711181
2024-08-02,115.063,114.065,115.725,111.794,3051294
2024-08-05,110.372,110.737,112.93,108.841,3321278
2024-08-06,111.606,116.08,116.357,111.152,2952163
2024-08-07,113.581,111.843,114.737,109.71,3040151
2024-08-08,111.972,116.515,117.097,111.29,4123856
2024-08-09,128.396,128.406,129.69,123.952,6092480
2024-08-12,126.925,125.325,128.09,124.772,2417612
2024-08-13,126.846,128.969,129.088,125.868,1868334
2024-08-14,129.404,127.438,130.846,126.036,2829970
2024-08-15,128.643,130.589,131.231,128.11,1569966
2024-08-16,129.315,129.424,130.174,128.545,1675629
2024-08-19,130.322,133.789,133.967,129.957,1552503
2024-08-20,133.335,131.873,134.579,131.705,1333400
2024-08-21,132.347,131.547,133.177,130.303,1279827
2024-08-22,131.982,131.478,133.483,131.083,1065460
2024-08-23,132.742,136.426,137.187,132.258,1303564
2024-08-26,136.426,135.429,137.957,135.3,1270615
2024-08-27,135.004,139.063,140.041,134.678,1710960
2024-08-28,138.075,137.996,138.777,137.078,1237053
2024-08-29,139.261,139.172,140.663,138.214,1263191
2024-08-30,140.476,137.374,140.476,136.683,2008340
2024-09-03,136.851,135.053,137.917,134.204,1532158
2024-09-04,134.52,133.256,136.021,133.078,1065106
