Date,Open,Last,High,Low,Volume
2024-01-29,9.681,9.834,9.843,9.609,58249574
2024-01-30,10.033,10.042,10.123,9.897,70213343
2024-01-31,10.024,9.988,10.231,9.988,74558853
2024-02-01,10.078,10.33,10.366,9.897,81065811
2024-02-02,10.267,10.366,10.411,10.186,73130933
2024-02-05,10.249,9.87,10.312,9.825,81026752
2024-02-06,9.915,10.303,10.33,9.897,99263928
2024-02-07,10.898,10.961,11.124,10.42,137224000
2024-02-08,11.024,10.988,11.051,10.727,68653945
2024-02-09,10.97,10.853,11.069,10.817,47649648
2024-02-12,10.853,11.124,11.205,10.817,54036501
2024-02-13,10.934,10.853,11.051,10.673,67907704
2024-02-14,10.889,10.745,10.952,10.709,52978755
2024-02-15,10.853,11.006,11.033,10.817,57811774
2024-02-16,10.916,10.808,10.997,10.772,43228567
2024-02-20,10.709,10.763,10.835,10.628,44591049
2024-02-21,10.727,10.664,10.826,10.583,41910263
2024-02-22,10.655,10.646,10.754,10.583,36980470
2024-02-23,10.628,10.664,10.772,10.619,32152064
2024-02-26,10.655,10.492,10.781,10.492,40241300
2024-02-27,10.556,10.538,10.691,10.501,36508807
2024-02-28,10.511,10.808,10.898,10.501,51447900
2024-02-29,10.871,10.934,10.961,10.826,43098490
2024-03-01,11.015,10.943,11.115,10.826,48761436
2024-03-04,11.051,11.205,11.466,11.051,81871730
2024-03-05,11.124,11.06,11.205,10.988,47896213
2024-03-06,11.006,10.88,11.051,10.835,48834461
2024-03-07,10.907,10.907,10.961,10.772,38971016
2024-03-08,10.925,10.7,11.006,10.664,54723777
2024-03-11,10.655,10.637,10.754,10.61,35135363
2024-03-12,10.664,10.637,10.682,10.565,31245242
2024-03-13,10.646,10.871,10.97,10.637,50595276
2024-03-14,10.844,10.61,10.871,10.547,52619863
2024-03-15,10.583,10.592,10.781,10.556,88254036
2024-03-18,10.664,10.7,10.709,10.52,36599219
2024-03-19,10.637,10.808,10.853,10.637,32668658
2024-03-20,10.772,11.349,11.367,10.772,67721511
2024-03-21,11.367,11.367,11.493,11.25,55822521
2024-03-22,11.322,11.358,11.403,11.304,33137467
2024-03-25,11.367,11.349,11.493,11.205,39063514
2024-03-26,11.403,10.934,11.403,10.925,67140228
2024-03-27,11.015,11.493,11.502,11.006,53555794
2024-03-28,11.502,11.692,11.71,11.484,61846366
2024-04-01,11.737,11.701,11.782,11.565,35898334
2024-04-02,11.583,11.692,11.773,11.52,42653403
2024-04-03,11.665,12.025,12.052,11.647,57498871
2024-04-04,12.251,11.628,12.296,11.592,67812379
2024-04-05,11.683,11.692,11.8,11.52,46937362
