Date,Open,Last,High,Low,Volume
2024-01-29,192.621,190.448,192.737,188.897,2612201
2024-01-30,186.832,187.177,189.696,185.319,3961508
2024-01-31,186.901,185.273,187.7,184.697,2990634
2024-02-01,185.35,185.78,186.271,183.653,2417149
2024-02-02,185.434,186.095,187.216,183.776,1999383
2024-02-05,184.889,182.985,185.511,182.709,2624882
2024-02-06,183.438,185.296,187.185,183.292,2625108
2024-02-07,185.834,185.918,186.801,184.536,2155680
2024-02-08,185.742,185.626,186.847,184.597,1847276
2024-02-09,185.864,186.294,186.448,184.382,1786278
2024-02-12,186.363,187.692,187.815,185.711,1773250
2024-02-13,184.858,181.511,184.928,180.482,2513560
2024-02-14,182.302,181.849,182.517,180.681,1454009
2024-02-15,181.419,181.611,182.993,181.012,1520410
2024-02-16,181.065,182.432,182.893,180.021,2113042
2024-02-20,181.611,183.929,184.022,180.689,1671562
2024-02-21,184.068,185.365,185.465,182.908,1497131
2024-02-22,185.926,187.477,187.584,185.496,1344913
2024-02-23,187.531,186.939,188.083,186.218,1128793
2024-02-26,185.527,185.143,187.27,184.682,1294706
2024-02-27,185.296,185.358,186.279,184.974,1030014
2024-02-28,183.768,187.638,187.753,183.569,1442629
2024-02-29,188.721,191.17,191.546,188.283,2789271
2024-03-01,190.456,189.35,191.331,188.56,1682698
2024-03-04,188.153,189.481,190.502,187.761,1594813
2024-03-05,188.567,190.978,191.032,188.245,1381096
2024-03-06,191.815,190.732,193.228,189.988,1649922
2024-03-07,191.738,192.145,192.859,191.186,1536610
2024-03-08,192.98,191.135,193.15,190.989,1117099
2024-03-11,191.259,195.009,195.55,191.259,1475093
2024-03-12,195.434,196.182,199.261,195.388,1912412
2024-03-13,197.209,196.954,199.238,196.908,1492343
2024-03-14,196.53,197.193,197.834,195.665,1333915
2024-03-15,195.141,195.465,197.409,194.724,3296730
2024-03-18,195.488,195.38,196.738,194.222,1558640
2024-03-19,195.187,198.034,198.536,194.863,1444351
2024-03-20,198.034,200.635,200.782,196.792,1890239
2024-03-21,200.296,204.386,204.91,200.288,4879372
2024-03-22,220.707,219.411,224.774,217.157,8186588
2024-03-25,216.679,218.06,218.407,214.186,3028465
2024-03-26,218.492,223.014,224.465,218.284,4527764
2024-03-27,223.647,222.158,223.647,219.395,1786587
2024-03-28,221.695,223.593,224.133,221.062,1650866
2024-04-01,219.349,216.177,221.548,215.591,2783955
2024-04-02,213.384,212.442,214.479,211.323,2516403
2024-04-03,213.515,214.912,215.799,212.218,1805831
2024-04-04,216.409,212.612,216.995,211.755,1836530
2024-04-05,212.218,211.076,212.951,210.027,1568954
2024-04-08,212.203,212.658,213.391,211.647,2048696
2024-04-09,212.242,213.276,213.415,211.138,1223883
2024-04-10,210.081,208.591,211.346,206.631,2603197
2024-04-11,208.661,210.042,210.721,208.128,1031935
2024-04-12,209.216,206.662,209.687,205.196,1176474
2024-04-15,208.993,205.844,209.602,205.389,999078
2024-04-16,205.721,204.455,205.929,203.081,1421134
2024-04-17,204.038,203.012,205.219,202.356,1371907
2024-04-18,203.815,203.243,204.656,202.248,1063718
2024-04-19,203.915,206.037,207.665,203.313,1894373
2024-04-22,207.333,208.476,209.857,206.06,1246671
2024-04-23,208.684,209.71,211.377,208.36,1186998
2024-04-24,208.753,205.327,209.386,203.406,1696568
2024-04-25,203.683,204.903,205.119,202.726,876128
2024-04-26,203.83,205.15,206.392,203.197,958876
2024-04-29,205.682,205.165,207.002,203.706,787712
2024-04-30,204.378,202.016,204.478,201.924,853888
2024-05-01,201.916,201.206,202.981,200.473,901041
2024-05-02,203.182,202.209,203.637,200.651,1311629
2024-05-03,203.344,201.144,204.941,200.527,1085243
2024-05-06,202.834,200.867,202.958,200.774,929625
2024-05-07,201.592,200.234,202.217,199.478,1356150
2024-05-08,198.93,199.107,199.871,197.409,1453867
2024-05-09,199.238,202.233,202.58,199.238,923721
2024-05-10,202.233,205.065,205.234,202.233,1092424
2024-05-13,205.296,205.96,207.071,204.524,2036442
2024-05-14,206.215,199.902,206.531,199.37,2534036
2024-05-15,200.643,200.118,201.206,199.246,1145756
2024-05-16,199.532,199.701,201.407,198.644,1136270
2024-05-17,200.705,198.521,200.705,197.772,1419700
2024-05-20,198.32,196.561,198.644,196.067,899543
2024-05-21,196.013,194.724,196.63,193.643,1027206
2024-05-22,194.469,194.523,194.979,192.764,1766130
2024-05-23,194.122,192.378,194.585,190.534,1446511
2024-05-24,192.926,191.066,193.613,190.078,1096590
2024-05-28,190.765,191.413,192.486,190.387,1229816
2024-05-29,189.716,189.152,190.634,188.535,1108329
2024-05-30,189.955,192.602,192.694,189.461,1084452
2024-05-31,192.926,195.982,196.267,191.475,1747147
2024-06-03,195.534,191.861,196.005,190.387,1409883
2024-06-04,191.382,189.8,191.637,188.496,1253621
2024-06-05,191.305,191.421,191.645,188.658,930390
2024-06-06,191.421,193.134,193.921,190.85,1171199
2024-06-07,191.352,191.174,193.983,190.726,1281900
2024-06-10,190.611,195.797,196.175,189.777,1475471
2024-06-11,194.593,194.801,194.925,192.849,1176868
2024-06-12,195.534,191.845,196.244,191.483,1555991
2024-06-13,192.262,191.845,192.54,188.496,1015640
2024-06-14,190.263,190.171,191.313,187.462,1245761
2024-06-17,189.484,192.972,193.289,188.952,1252183
2024-06-18,193.08,191.452,194.786,191.074,1506100
2024-06-20,191.969,194.87,195.511,191.745,1488600
2024-06-21,195.225,195.75,197.471,194.168,3145207
2024-06-24,197.061,199.024,199.645,196.409,1897242
2024-06-25,198.745,198.923,199.249,195.99,6313659
2024-06-26,223.791,229.812,230.331,220.353,11126144
2024-06-27,227.43,229.253,229.548,223.775,3989167
2024-06-28,228.035,232.644,234.638,227.678,4278920
2024-07-01,231.309,231.743,233.761,230.603,2469072
2024-07-02,230.044,231.387,233.706,230.044,1834588
2024-07-03,232.178,227.887,232.38,227.073,1274326
2024-07-05,227.887,228.112,228.865,226.615,1480190
2024-07-08,228.508,229.299,231.131,227.817,1532993
2024-07-09,229.664,227.127,230.316,226.964,1252354
2024-07-10,227.127,227.546,227.848,224.59,1466553
2024-07-11,228.88,232.411,233.497,228.64,1860782
2024-07-12,231.65,232.007,233.551,230.968,1445706
2024-07-15,233.125,236.663,237.105,232.038,2068704
2024-07-16,237.299,243.258,243.506,237.252,2812578
2024-07-17,240.86,240.86,243.374,239.052,1588345
2024-07-18,239.735,237.904,242.978,237.144,1603002
2024-07-19,237.904,237.664,239.541,235.887,1294627
2024-07-22,238.199,238.533,238.773,233.854,1414201
2024-07-23,231.992,233.388,235.941,231.022,2268483
2024-07-24,233.396,231.433,233.396,230.114,1541125
2024-07-25,231.441,231.674,235.32,231.224,1262657
2024-07-26,232.651,232.876,234.459,230.805,1200882
2024-07-29,233.016,232.17,234.296,231.262,865086
2024-07-30,232.737,233.45,235.095,232.232,1038532
2024-07-31,233.582,234.513,237.12,233.45,947414
2024-08-01,235.266,231.084,237.322,229.889,1532574
2024-08-02,227.321,226.793,228.531,223.247,2252729
2024-08-05,220.827,219.647,224.372,216.939,2684030
2024-08-06,220.974,221.696,224.776,219.244,1424722
2024-08-07,224.233,215.799,224.233,214.969,1790974
2024-08-08,216.567,216.179,218.646,214.511,1573352
2024-08-09,215.264,215.24,215.675,212.711,1256175
2024-08-12,216.637,216.59,218.344,215.302,1247323
2024-08-13,217.428,219.655,219.88,216.629,1232043
2024-08-14,219.818,219.834,221.153,219.438,768241
2024-08-15,222.914,220.493,226.328,219.298,1292881
2024-08-16,220.353,221.44,221.556,216.59,1318335
2024-08-19,221.812,223.783,224.132,221.533,804192
2024-08-20,223.449,223.798,224.233,222.262,591742
2024-08-21,225.598,226.188,227.049,224.458,787399
2024-08-22,227.026,228.33,228.601,225.529,980082
2024-08-23,229.594,230.58,231.658,228.764,865593
2024-08-26,231.658,230.626,232.232,229.47,771591
2024-08-27,230.618,228.811,230.937,227.127,828694
2024-08-28,228.818,229.765,230.89,228.267,712298
2024-08-29,231.022,229.858,232.139,229.245,729970
2024-08-30,230.51,231.813,232.069,228.663,1096965
2024-09-03,229.711,227.709,230.564,226.219,1138831
2024-09-04,228.042,227.212,229.168,226.561,719195
2024-09-05,227.693,221.37,228.074,220.159,1317998
2024-09-06,221.424,219.609,223.465,219.306,1117464
2024-09-09,221.049,220.893,223.138,220.604,880031
2024-09-10,221.376,221.322,222.078,218.382,940090
2024-09-11,220.394,222.109,222.507,216.674,937701
2024-09-12,222.741,222.998,224.799,221.696,862185
2024-09-13,224.222,223.294,224.222,218.998,1142647
2024-09-16,225.914,228.167,229.088,224.83,1141728
2024-09-17,230.795,231.84,234.265,229.781,1331334
2024-09-18,230.421,232.487,234.701,230.421,1373510
2024-09-19,237.134,234.218,240.152,232.253,4220491
2024-09-20,203.334,198.546,204.721,197.657,17455457
2024-09-23,199.225,201.782,203.295,199.217,3730597
2024-09-24,202.039,208.285,209.22,202.039,4108980
2024-09-25,207.412,205.665,208.784,204.948,2593692
2024-09-26,208.254,207.661,211.294,206.788,1862548
2024-09-27,208.261,208.612,210.897,207.794,1819238
2024-09-30,210.226,213.392,215.786,209.79,2908280
2024-10-01,213.532,210.179,214.671,208.963,1703842
2024-10-02,209.688,208.129,210.148,207.684,1406439
2024-10-03,207.404,204.347,207.591,203.794,1733135
2024-10-04,206.468,203.38,206.647,202.156,1638679
2024-10-07,202.242,203.115,203.669,201.244,1342256
2024-10-08,203.458,203.817,204.519,202.226,1073116
2024-10-09,205.478,206.343,208.254,204.862,1308338
2024-10-10,205.337,206.055,207.388,205.221,872825
2024-10-11,206.897,206.125,208.324,205.977,965705
2024-10-14,206.109,208.534,208.885,205.805,922317
2024-10-15,208.784,207.341,209.797,207.123,1363221
2024-10-16,209.743,211.926,212.784,209.283,1713680
