Date,Open,Last,High,Low,Volume
2024-01-29,106.172,106.894,106.972,104.738,429606
2024-01-30,106.894,105.509,107.49,104.65,395051
2024-01-31,106.348,105.616,108.397,105.392,796510
2024-02-01,106.611,108.085,109.197,106.446,821466
2024-02-02,105.958,104.641,106.182,103.762,593187
2024-02-05,103.421,102.767,103.528,101.528,643205
2024-02-06,103.489,104.338,104.728,102.582,432962
2024-02-07,104.299,105.255,105.382,103.938,548811
2024-02-08,104.572,105.86,106.006,104.572,553304
2024-02-09,106.221,106.192,106.446,105.167,682134
2024-02-12,106.25,106.572,107.733,105.958,732889
2024-02-13,104.494,104.006,104.982,102.914,1161174
2024-02-14,104.397,103.733,104.397,103.021,526951
2024-02-15,104.504,107.655,107.909,104.221,852846
2024-02-16,107.441,106.426,108.124,106.299,632569
2024-02-20,106.719,105.431,107.597,104.982,585874
2024-02-21,105.47,104.631,105.626,103.158,701153
2024-02-22,103.997,103.772,104.543,103.431,630060
2024-02-23,103.499,105.099,105.441,103.177,437895
2024-02-26,104.406,104.231,105.109,102.933,567760
2024-02-27,104.611,102.504,104.884,102.416,527693
2024-02-28,102.055,102.406,102.738,101.118,784736
2024-02-29,103.948,102.309,104.465,102.123,712035
2024-03-01,102.816,104.387,105.558,102.211,1262873
2024-03-04,105.811,106.807,107.187,104.445,1331162
2024-03-05,107.782,109.782,110.807,107.607,1584081
2024-03-06,109.538,106.846,112.836,106.777,1541823
2024-03-07,108.319,109.509,111.031,108.299,1047984
2024-03-08,110.553,112.221,113.987,110.553,1099082
2024-03-11,112.036,110.992,112.7,110.016,1019754
2024-03-12,109.665,110.631,111.334,109.255,2005413
2024-03-13,111.035,113.727,113.776,110.428,882849
2024-03-14,113.012,112.024,113.649,111.133,679296
2024-03-15,111.603,112.053,113.022,111.211,1049417
2024-03-18,111.593,114.148,114.95,111.583,970888
2024-03-19,113.609,111.916,113.737,111.887,552174
2024-03-20,111.808,114.686,115.743,111.348,520952
2024-03-21,116.311,114.148,117.28,113.972,606700
2024-03-22,113.521,111.955,113.815,111.681,452018
2024-03-25,112.562,112.425,113.747,112.171,403850
2024-03-26,114.285,111.407,114.285,111.251,452825
2024-03-27,111.456,114.804,115.146,111.358,492663
2024-03-28,116.008,116.634,117.104,115.146,747282
2024-04-01,118.435,118.484,119.619,117.309,768058
2024-04-02,118.68,117.27,118.738,115.499,651862
2024-04-03,117.094,117.867,118.318,116.223,793905
2024-04-04,118.494,116.605,119.316,116.438,604230
2024-04-05,116.272,119.717,120.079,115.714,670310
2024-04-08,120.706,117.593,121.215,116.947,741531
2024-04-09,119.551,119.208,120.295,117.897,549318
2024-04-10,118.083,119.003,119.257,116.634,655825
2024-04-11,119.972,118.748,120.07,117.221,525884
2024-04-12,120.51,115.548,120.833,114.95,1344864
2024-04-15,116.321,113.942,116.83,113.717,692241
2024-04-16,112.572,114.618,115.41,111.769,594277
2024-04-17,114.53,117.916,118.19,114.52,935548
2024-04-18,118.934,119.091,119.903,117.936,636640
2024-04-19,118.983,118.895,119.58,118.406,829352
2024-04-22,115.557,115.714,116.977,114.794,914387
2024-04-23,114.813,116.791,117.143,114.813,432504
2024-04-24,116.203,116.487,117.583,115.714,333018
2024-04-25,116.409,118.983,119.287,115.244,629283
2024-04-26,120.187,120.324,120.882,118.641,527685
2024-04-29,120.745,120.755,121.303,119.247,662445
2024-04-30,118.738,117.848,119.717,117.828,700548
