Date,Open,Last,High,Low,Volume
2024-01-29,65.81,66.45,66.64,65.66,4443352
2024-01-30,66.19,66.71,66.92,65.8,5829977
2024-01-31,64.87,64.49,65.28,63.59,9668130
2024-02-01,64.71,66.45,66.69,64.59,9622546
2024-02-02,66.34,66.44,66.99,65.9,8320021
2024-02-05,66.41,66.09,66.44,64.86,9137541
2024-02-06,66.5,67.48,67.56,65.89,13315838
2024-02-07,73.83,70.03,73.91,67.22,25551135
2024-02-08,69.79,67.85,70.64,67.76,8370859
2024-02-09,68.25,70.44,70.86,68.2,7522413
2024-02-12,70.66,70.26,71.09,70.13,4790775
2024-02-13,68.52,69.4,69.56,68.25,5427329
2024-02-14,70.08,70.88,70.94,69.93,3703416
2024-02-15,71.45,70.26,71.49,70.04,3186036
2024-02-16,70.08,68.48,70.08,67.9,4528400
2024-02-20,68.16,67.91,68.36,66.76,3271365
2024-02-21,62.03,65.34,65.52,61.0,12820123
2024-02-22,66.95,66.96,67.23,65.77,7627622
2024-02-23,67.5,67.64,67.89,67.19,3772767
2024-02-26,68.0,68.4,69.48,67.77,5204973
2024-02-27,69.32,69.95,70.28,68.87,4991533
2024-02-28,69.95,69.51,70.05,68.78,2744765
2024-02-29,70.05,69.11,70.15,68.15,5782091
2024-03-01,69.09,70.44,70.49,68.57,4840847
2024-03-04,70.69,71.39,71.69,70.5,4277706
2024-03-05,71.07,69.04,71.07,67.31,6840679
2024-03-06,70.97,71.32,71.73,69.11,7401228
2024-03-07,71.95,73.07,73.33,71.19,6314272
2024-03-08,73.26,71.35,73.5,71.09,5278875
2024-03-11,70.93,71.46,71.8,69.91,3139267
2024-03-12,71.68,71.34,71.95,70.74,3858463
2024-03-13,71.59,70.18,71.59,70.0,4078372
2024-03-14,69.29,68.04,69.75,67.62,6500142
2024-03-15,67.72,66.72,67.97,66.51,10117981
2024-03-18,66.99,67.55,68.18,66.81,3909019
2024-03-19,67.13,67.79,67.88,66.45,3059385
2024-03-20,67.79,67.87,68.06,67.02,4230313
2024-03-21,68.58,68.57,68.72,67.75,3716264
2024-03-22,68.92,68.3,68.93,67.53,2832796
2024-03-25,67.85,67.89,68.41,67.61,3296053
2024-03-26,67.96,67.45,68.17,67.04,3312375
2024-03-27,68.29,67.27,68.32,66.19,3534963
2024-03-28,67.21,68.31,68.6,67.0,3922212
2024-04-01,68.73,67.82,68.73,66.73,3003378
2024-04-02,66.97,68.85,68.93,66.6,4711615
2024-04-03,68.61,71.32,72.02,68.58,7868905
2024-04-04,72.03,69.23,73.63,69.21,6959741
2024-04-05,69.75,70.91,71.83,69.34,7475375
2024-04-08,70.04,68.39,70.24,68.23,5099856
2024-04-09,69.14,68.22,69.14,67.8,2799553
2024-04-10,67.08,68.13,68.5,67.08,3641299
2024-04-11,68.61,68.22,68.86,67.44,2917975
2024-04-12,67.47,66.45,67.72,65.93,5134673
2024-04-15,67.08,64.73,67.19,64.58,4911148
2024-04-16,64.62,64.48,65.57,64.26,3015060
2024-04-17,64.89,64.66,65.55,64.5,3278443
2024-04-18,64.77,64.03,65.01,63.53,3087289
2024-04-19,63.79,63.4,64.41,62.92,4836140
2024-04-22,63.97,63.69,64.23,62.61,3629295
2024-04-23,64.08,64.8,65.1,63.98,3544127
2024-04-24,64.89,65.45,65.8,64.59,3817138
2024-04-25,64.61,64.03,64.69,62.87,3670755
2024-04-26,64.42,64.18,65.15,63.9,4138352
2024-04-29,64.35,64.3,65.14,63.7,3824366
2024-04-30,63.79,63.18,64.44,63.16,5324350
2024-05-01,63.51,63.53,64.87,63.14,4336994
2024-05-02,63.15,65.2,65.26,63.01,8288946
2024-05-03,61.86,58.88,62.49,58.79,15896615
2024-05-06,59.25,58.81,60.35,58.43,14472605
2024-05-07,59.0,59.43,60.4,58.41,18440295
2024-05-08,59.42,59.63,59.8,57.84,10886899
2024-05-09,59.4,58.11,59.75,58.01,6929752
2024-05-10,58.25,58.16,59.4,58.07,3934532
2024-05-13,58.56,59.63,59.92,58.4,5491977
2024-05-14,59.8,60.2,60.5,59.23,4269834
2024-05-15,60.82,60.73,61.28,60.61,3551810
2024-05-16,60.61,61.24,61.35,59.58,4443146
2024-05-17,61.04,61.43,61.86,60.78,2799682
2024-05-20,61.17,62.34,62.41,60.86,2842407
2024-05-21,61.74,61.31,61.8,59.85,5127601
2024-05-22,61.43,61.57,61.69,60.75,3048404
2024-05-23,61.97,60.93,62.08,60.65,3714123
2024-05-24,61.11,61.35,61.76,60.68,2653983
2024-05-28,61.0,59.45,61.08,59.28,4875281
2024-05-29,58.93,59.73,60.3,58.7,4597970
2024-05-30,59.12,58.0,59.23,57.86,5437156
2024-05-31,58.87,59.32,59.41,57.71,16362989
2024-06-03,59.61,58.8,59.61,58.18,3565526
2024-06-04,58.66,58.64,59.48,58.61,3687971
2024-06-05,59.39,59.71,60.14,58.45,3614749
2024-06-06,59.84,59.75,60.06,59.21,3060270
2024-06-07,59.38,59.72,59.99,59.01,2613238
2024-06-10,59.11,60.09,60.25,58.94,3462829
2024-06-11,60.0,59.74,60.09,58.16,5133437
2024-06-12,59.69,60.62,60.75,59.05,5706040
2024-06-13,60.51,60.23,60.69,59.65,3574803
2024-06-14,60.45,60.78,60.89,60.13,3212908
2024-06-17,60.64,60.9,61.48,60.18,4979297
2024-06-18,60.88,59.15,61.25,59.0,5501773
2024-06-20,58.6,57.94,58.76,57.17,10407451
2024-06-21,58.28,58.56,58.65,57.77,16786744
2024-06-24,58.4,58.28,59.18,58.26,4147862
2024-06-25,58.44,58.69,59.08,57.9,5248337
2024-06-26,58.17,58.11,58.43,57.0,6374167
2024-06-27,58.31,60.04,60.18,57.93,5019493
2024-06-28,60.03,60.27,60.84,59.79,7987420
2024-07-01,60.43,59.85,60.43,59.58,4884493
2024-07-02,59.66,61.01,61.04,59.66,4604927
2024-07-03,61.14,60.73,61.48,60.66,3039750
2024-07-05,60.62,61.09,61.38,60.37,3120561
2024-07-08,60.98,60.11,61.05,59.52,4845385
2024-07-09,60.26,60.28,60.78,59.32,3563658
2024-07-10,60.5,59.59,60.55,58.98,3905224
2024-07-11,59.63,58.79,59.92,58.78,4377694
2024-07-12,58.93,59.55,59.9,58.77,4398851
2024-07-15,59.74,59.9,60.72,59.26,3879710
2024-07-16,60.15,59.48,60.27,59.41,4158831
2024-07-17,58.49,59.11,59.59,57.97,7022566
2024-07-18,60.48,58.13,60.51,58.07,5598977
2024-07-19,58.12,58.48,58.78,57.58,8563233
2024-07-22,59.0,58.45,59.0,58.04,4386488
2024-07-23,58.34,57.94,58.95,57.68,5989369
2024-07-24,57.83,56.64,58.7,56.52,5379116
2024-07-25,57.13,57.31,58.62,56.81,5262437
2024-07-26,57.66,57.0,57.81,56.84,4244996
2024-07-29,57.0,57.39,58.06,56.42,4001838
2024-07-30,57.49,57.5,58.45,56.93,4116066
2024-07-31,58.3,58.04,59.07,57.94,4676336
2024-08-01,58.03,57.2,58.3,56.47,4542904
2024-08-02,56.62,56.51,56.75,55.52,5940825
2024-08-05,54.91,55.39,56.36,54.57,7664667
2024-08-06,56.0,55.81,56.86,55.19,9433793
2024-08-07,65.68,69.93,71.82,65.0,23535602
2024-08-08,69.72,68.68,70.99,68.39,10955053
2024-08-09,68.99,69.69,69.98,67.98,6988618
2024-08-12,69.8,70.36,71.54,69.4,6173310
2024-08-13,70.32,71.5,71.59,69.65,5524287
2024-08-14,71.62,72.79,73.67,71.44,6099262
