Date,Open,Last,High,Low,Volume
2024-04-02,142.251,139.413,151.841,138.059,18246124
2024-04-03,141.703,136.764,143.396,135.231,8866864
2024-04-04,135.43,125.531,138.766,124.735,14207744
2024-04-05,124.974,122.186,127.643,118.501,16054788
2024-04-08,125.601,129.415,131.397,125.332,12195039
2024-04-09,130.321,131.616,133.04,127.712,9143523
2024-04-10,128.957,137.79,139.343,128.399,8376809
2024-04-11,138.616,135.997,138.736,135.838,5326943
2024-04-12,134.434,133.438,137.531,133.0,3765246
2024-04-15,134.036,131.198,134.753,129.306,3724891
2024-04-16,131.944,129.525,132.492,127.712,5870930
2024-04-17,131.486,134.185,137.601,130.7,6154554
2024-04-18,137.571,136.645,137.83,134.862,5022268
2024-04-19,136.675,134.534,140.001,134.344,4518763
2024-04-22,134.952,136.117,136.565,131.556,2435104
2024-04-23,137.879,147.21,147.728,137.292,4682814
2024-04-24,146.384,145.567,149.272,143.745,4684613
2024-04-25,142.4,147.688,151.502,138.089,6069264
2024-04-26,152.996,152.428,156.591,149.57,4230515
2024-04-29,152.936,158.343,158.881,152.936,5937215
2024-04-30,157.477,153.066,162.416,151.612,3490075
2024-05-01,153.544,151.034,156.043,148.794,3397459
2024-05-02,152.886,153.185,154.788,151.024,2530741
2024-05-03,154.977,165.563,166.469,154.49,4635134
2024-05-06,166.459,168.431,170.452,163.82,4007044
2024-05-07,167.953,166.658,172.773,166.469,2884150
2024-05-08,166.3,163.312,166.31,162.546,3679684
2024-05-09,164.308,165.702,168.013,163.96,4022569
2024-05-10,168.291,166.569,170.084,165.294,3459622
2024-05-13,164.308,160.853,166.848,159.508,4413798
2024-05-14,160.016,164.936,165.862,158.194,3855420
2024-05-15,167.654,167.166,171.627,166.26,2572025
2024-05-16,167.326,165.702,169.287,165.653,1604395
2024-05-17,166.18,161.938,166.937,160.265,1937153
2024-05-20,162.376,160.275,163.611,159.538,1736122
2024-05-21,159.568,163.243,163.8,158.403,1945469
2024-05-22,163.601,163.163,166.658,162.317,2018868
2024-05-23,165.722,160.992,169.287,160.763,3139003
2024-05-24,162.127,176.686,177.025,161.41,4294052
2024-05-28,177.592,177.343,182.014,176.039,2632749
2024-05-29,175.262,176.577,177.941,173.37,1537710
2024-05-30,176.228,174.346,177.064,173.768,2043133
2024-05-31,176.357,175.163,179.016,164.707,5454904
2024-06-03,178.18,169.656,178.25,165.742,3434765
2024-06-04,167.644,162.356,168.7,160.654,5279783
2024-06-05,164.398,162.805,167.594,161.789,8005543
2024-06-06,162.566,159.638,163.442,154.848,5249018
2024-06-07,158.831,161.4,165.065,158.373,4850297
2024-06-10,160.544,165.941,169.287,159.927,4224304
2024-06-11,164.806,167.525,167.833,162.615,2036122
2024-06-12,170.821,176.776,178.469,170.442,4016501
2024-06-13,179.046,175.431,181.197,172.115,3462158
2024-06-14,173.36,169.457,174.047,165.503,3128342
2024-06-17,169.038,168.052,171.159,165.453,2804196
2024-06-18,167.236,178.817,179.494,165.633,3364919
2024-06-20,177.722,176.437,184.722,174.366,4005304
2024-06-21,176.357,174.993,176.437,169.686,3876954
2024-06-24,175.81,177.393,178.399,174.037,2552892
2024-06-25,179.046,180.689,180.739,175.531,2554030
2024-06-26,180.132,179.245,180.968,176.875,2283955
2024-06-27,177.642,175.541,178.518,172.524,2541263
2024-06-28,174.067,170.791,175.561,166.479,3783554
2024-07-01,170.283,166.818,170.482,164.428,2748335
2024-07-02,164.716,169.098,171.259,164.716,2447440
2024-07-03,169.387,171.956,174.047,168.471,1317151
2024-07-05,170.781,175.491,176.696,170.542,1629585
2024-07-08,176.069,173.639,177.851,173.44,1659343
2024-07-09,173.549,172.255,174.097,171.876,1801065
2024-07-10,174.197,178.976,179.046,173.868,1835670
2024-07-11,180.241,175.959,182.392,175.81,2574654
2024-07-12,177.204,179.693,183.557,173.669,1603909
2024-07-15,179.484,176.696,181.048,175.76,3026614
2024-07-16,178.03,181.974,183.119,177.433,1789742
2024-07-17,179.444,165.135,179.444,162.217,6033756
2024-07-18,167.296,160.813,170.731,158.762,4736552
2024-07-19,161.321,162.655,163.004,158.443,2547792
2024-07-22,165.682,166.061,167.545,162.994,1738608
2024-07-23,166.3,169.775,170.293,165.523,3221764
2024-07-24,166.638,162.217,171.578,162.048,5532133
2024-07-25,165.304,159.329,165.593,155.754,5163169
2024-07-26,167.754,172.384,173.251,163.004,3871920
2024-07-29,173.589,171.329,174.037,169.138,1757967
2024-07-30,172.205,162.018,173.34,161.769,2639331
2024-07-31,170.532,177.493,179.504,170.532,4056500
2024-08-01,181.137,173.3,183.089,171.09,3706765
2024-08-02,168.072,164.039,169.277,160.823,3314487
2024-08-05,151.771,161.56,164.697,149.381,3700451
2024-08-06,162.396,163.661,165.772,159.329,2800031
2024-08-07,167.953,165.374,172.026,164.0,3312842
2024-08-08,168.491,176.467,176.716,164.358,2755834
2024-08-09,175.78,178.359,178.797,171.876,2766628
2024-08-12,177.742,175.7,179.743,173.659,1797785
2024-08-13,177.303,178.897,179.504,174.585,1552036
2024-08-14,179.245,183.388,184.414,177.503,2242670
2024-08-15,184.722,188.028,190.0,180.849,3477950
2024-08-16,187.929,183.288,188.028,179.634,2718507
2024-08-19,183.328,184.623,184.732,180.46,1626853
2024-08-20,184.185,183.229,185.22,180.918,1138332
2024-08-21,182.701,183.487,184.463,181.048,1601541
2024-08-22,184.224,185.22,185.967,181.546,2067915
2024-08-23,180.042,182.522,182.79,172.344,4872683
2024-08-26,180.719,181.366,182.502,178.439,2177004
2024-08-27,180.241,184.772,186.316,179.733,1613268
2024-08-28,183.079,183.229,184.593,180.012,2067683
2024-08-29,185.22,190.558,194.86,184.583,3155472
2024-08-30,195.039,200.157,200.526,193.386,3347707
2024-09-03,199.161,191.743,201.751,186.764,4275304
2024-09-04,192.221,198.793,203.334,191.314,3765078
2024-09-05,196.264,197.608,199.888,193.455,3064325
2024-09-06,198.156,197.498,200.337,192.569,3884686
2024-09-09,199.171,200.964,202.079,196.552,1654895
2024-09-10,201.89,201.163,202.149,198.305,1894687
2024-09-11,203.244,208.273,209.239,200.655,3787508
2024-09-12,199.161,214.367,216.18,198.813,4042215
2024-09-13,219.725,224.644,227.721,218.092,3697548
2024-09-16,226.925,228.966,230.539,224.296,2334854
2024-09-17,236.673,236.156,238.994,232.531,5143950
2024-09-18,237.62,234.682,240.507,233.019,3255887
2024-09-19,242.29,243.425,243.973,237.112,3060826
2024-09-20,242.21,244.431,249.798,241.234,4111410
2024-09-23,246.791,250.475,253.801,245.755,3336725
2024-09-24,252.935,254.409,256.42,251.063,3804409
2024-09-25,256.022,253.981,256.669,251.113,2454244
2024-09-26,256.679,250.167,257.556,246.034,2817719
2024-09-27,249.709,248.812,253.363,248.534,2293570
2024-09-30,249.948,253.911,254.279,247.916,3374184
2024-10-01,254.927,255.454,256.52,250.047,2304083
2024-10-02,249.948,251.232,256.45,247.458,2769650
2024-10-03,252.089,253.612,256.161,249.838,1913736
2024-10-04,255.922,264.476,265.303,252.168,3159216
2024-10-07,264.297,261.439,264.865,259.428,1925059
2024-10-08,262.923,263.162,265.442,261.15,1671943
2024-10-09,263.391,265.482,268.171,261.778,1891695
2024-10-10,262.893,263.51,265.432,260.692,1795789
2024-10-11,262.644,265.771,268.977,259.955,1848390
2024-10-14,266.139,268.37,269.694,264.576,1822285
2024-10-15,268.868,265.243,269.734,258.96,2190164
2024-10-16,267.773,273.618,275.032,266.568,1844916
2024-10-17,278.069,270.86,280.19,270.75,2510144
2024-10-18,272.542,271.577,274.146,270.212,2353706
2024-10-21,275.839,275.271,276.436,271.138,2569958
2024-10-22,269.864,275.261,277.123,269.416,2631832
2024-10-23,272.562,278.707,281.784,267.374,4244597
2024-10-24,284.612,295.755,296.292,281.813,3620065
2024-10-25,294.151,292.309,297.557,291.174,2087779
2024-10-28,294.5,288.017,294.699,286.872,2231616
2024-10-29,286.792,297.517,297.707,282.909,2030580
2024-10-30,298.742,296.352,300.266,293.434,2085187
2024-10-31,298.742,300.395,302.437,294.779,2550666
2024-11-01,303.721,299.828,310.274,299.26,2702214
2024-11-04,296.751,294.221,300.236,291.313,2070478
2024-11-05,294.61,314.446,315.123,293.634,3461434
2024-11-06,319.813,334.89,337.16,317.662,4486408
2024-11-07,337.579,335.368,338.983,331.106,2347594
2024-11-08,335.089,339.749,341.353,334.342,1719992
2024-11-11,346.342,347.975,348.323,337.081,2486591
2024-11-12,345.047,322.353,347.935,317.762,6123678
2024-11-13,333.018,331.863,342.199,329.164,3054493
2024-11-14,331.863,324.673,333.705,323.916,2449456
2024-11-15,323.737,328.377,337.818,323.737,2931274
2024-11-18,325.201,324.006,331.843,320.809,1816464
2024-11-19,318.668,338.574,338.963,316.219,2200573
