Date,Open,Last,High,Low,Volume
2024-01-29,120.758,120.552,120.983,119.817,360253
2024-01-30,120.581,121.895,122.091,120.327,383999
2024-01-31,122.365,120.385,122.699,120.287,548474
2024-02-01,119.239,117.67,119.807,115.926,598863
2024-02-02,118.523,118.464,118.964,117.651,448193
2024-02-05,117.886,117.886,118.552,117.21,549138
2024-02-06,117.494,118.788,119.043,117.072,393957
2024-02-07,119.15,120.042,120.248,119.15,674908
2024-02-08,121.072,122.473,122.63,120.052,794140
2024-02-09,122.13,123.444,123.483,121.532,616668
2024-02-12,123.483,123.826,124.835,123.277,514158
2024-02-13,124.071,122.983,124.777,122.071,668336
2024-02-14,123.287,122.865,123.924,122.679,671048
2024-02-15,123.208,123.316,124.169,123.149,634871
2024-02-16,123.11,123.042,124.13,122.728,524284
2024-02-20,122.601,123.355,124.277,122.463,507978
2024-02-21,123.747,124.081,124.11,123.081,405018
2024-02-22,124.6,124.835,129.383,123.806,541645
2024-02-23,124.188,124.385,125.188,123.943,460647
2024-02-26,123.973,124.571,124.816,123.777,465780
2024-02-27,124.404,125.659,125.737,124.041,415046
2024-02-28,125.463,125.855,126.619,125.463,419665
2024-02-29,126.178,124.414,126.502,123.865,701975
2024-03-01,124.355,123.669,124.845,123.198,363511
2024-03-04,123.277,123.796,124.492,123.091,357580
2024-03-05,123.375,123.806,125.12,123.375,360936
2024-03-06,124.237,125.561,125.639,123.502,464532
2024-03-07,125.463,124.669,126.061,124.649,591633
2024-03-08,124.61,121.17,125.276,120.64,1238386
2024-03-11,120.748,121.434,122.179,120.562,825182
2024-03-12,121.473,121.885,122.326,121.023,621160
2024-03-13,122.032,116.72,122.248,115.308,1924145
2024-03-14,116.641,113.691,118.552,111.574,1628038
2024-03-15,112.054,113.73,114.955,112.054,2247721
2024-03-18,114.122,114.308,115.455,113.24,961736
2024-03-19,114.622,115.612,116.22,114.318,1152890
2024-03-20,115.22,115.553,116.278,115.22,831376
2024-03-21,115.612,113.544,115.622,112.72,1157460
2024-03-22,113.936,113.181,114.896,113.083,1215791
2024-03-25,113.181,114.112,114.877,113.181,926112
2024-03-26,113.936,114.171,115.122,113.73,1064612
2024-03-27,114.004,114.289,114.72,113.201,1234231
2024-03-28,114.593,114.063,114.926,113.407,1033765
2024-04-01,113.73,111.868,113.73,111.838,807517
2024-04-02,112.122,109.427,112.358,109.339,1739706
2024-04-03,109.378,108.702,110.397,106.271,2654175
2024-04-04,109.236,108.165,110.258,107.429,1442544
2024-04-05,108.106,106.535,108.106,106.456,1252011
2024-04-08,106.407,105.945,106.466,104.148,1701938
2024-04-09,106.436,105.709,106.967,105.375,1309081
2024-04-10,105.218,103.077,105.719,102.743,1784058
2024-04-11,96.741,48.302,96.839,38.262,36577524
