Date,Open,Last,High,Low,Volume
2024-01-29,188.31,188.33,188.54,187.19,5629695
2024-01-30,189.7,188.59,189.83,187.98,4976467
2024-01-31,189.37,188.45,190.46,188.13,7886115
2024-02-01,189.71,190.41,191.36,188.99,10278129
2024-02-02,188.07,188.61,188.87,187.85,7337573
2024-02-05,186.88,187.57,187.82,186.7,5436062
2024-02-06,187.94,188.55,188.85,187.74,4866122
2024-02-07,188.45,188.5,189.39,188.28,6276879
2024-02-08,187.91,188.33,188.53,187.82,3873445
2024-02-09,187.56,187.6,187.77,187.14,4412654
2024-02-12,186.6,187.11,187.27,186.36,4706253
2024-02-13,185.35,184.53,185.38,184.33,9525794
2024-02-14,184.27,184.42,184.88,183.78,7031562
2024-02-15,185.6,185.66,186.02,185.1,6228859
2024-02-16,185.08,186.34,186.67,184.84,6518526
2024-02-20,187.96,187.47,188.03,187.4,5531152
2024-02-21,187.88,187.48,188.04,187.1,5789951
2024-02-22,187.56,187.56,187.64,187.05,4550823
2024-02-23,187.56,188.62,189.18,187.46,6827271
2024-02-26,187.79,188.2,188.36,187.53,4491937
2024-02-27,188.58,188.0,188.72,187.88,5165376
2024-02-28,188.34,188.34,188.52,188.03,2824131
2024-02-29,189.64,189.31,189.92,189.23,6848639
2024-03-01,190.27,192.89,193.4,189.44,13410997
2024-03-04,194.15,196.01,196.33,193.88,12216341
2024-03-05,197.44,197.19,198.14,196.65,9672210
2024-03-06,198.08,198.81,199.3,197.44,10459292
2024-03-07,199.54,199.94,200.11,198.91,8403737
2024-03-08,200.89,201.63,203.3,200.45,13540110
2024-03-11,201.71,202.0,202.41,201.46,7329560
2024-03-12,200.42,199.79,200.63,199.16,9436586
2024-03-13,200.44,201.19,201.86,200.35,5929990
2024-03-14,200.37,200.35,200.47,199.34,6865044
2024-03-15,199.94,199.71,200.63,199.57,4556710
2024-03-18,199.66,200.03,200.15,199.51,7206823
2024-03-19,199.62,199.8,199.81,198.94,4657527
2024-03-20,199.16,202.18,202.66,199.12,9593754
2024-03-21,203.88,201.97,203.92,200.6,7396540
2024-03-22,201.32,200.35,201.86,199.72,6918508
2024-03-25,201.19,200.99,201.95,200.97,4034750
2024-03-26,202.65,201.64,202.76,201.07,5752677
2024-03-27,202.32,203.1,203.22,202.32,6040980
2024-03-28,204.54,205.72,206.05,203.87,9194473
2024-04-01,208.68,207.82,208.73,206.29,13677114
2024-04-02,209.07,210.89,211.03,208.36,13421070
2024-04-03,210.57,212.74,212.83,210.3,11416226
2024-04-04,212.0,211.52,213.45,211.02,12307274
2024-04-05,212.49,215.14,215.74,212.22,13382720
2024-04-08,215.98,216.48,216.81,214.61,10331406
2024-04-09,217.81,217.67,218.86,216.45,13079306
2024-04-10,215.37,215.61,217.78,214.68,13317492
2024-04-11,216.85,219.8,219.84,215.89,11415224
2024-04-12,221.87,216.89,225.09,216.02,30898775
2024-04-15,217.94,220.95,221.03,215.16,13238952
2024-04-16,220.18,221.22,221.99,218.78,10746123
2024-04-17,221.05,219.59,221.76,218.52,11521054
2024-04-18,221.31,220.34,221.46,219.31,6496885
2024-04-19,220.49,221.03,222.36,220.08,8688967
2024-04-22,216.35,215.57,216.96,215.14,13404253
2024-04-23,213.96,215.04,215.86,213.87,10730332
2024-04-24,214.76,214.64,216.35,214.36,5741072
2024-04-25,214.47,215.92,217.05,214.34,6606512
2024-04-26,216.77,216.62,217.07,215.53,6268504
2024-04-29,216.02,216.18,217.22,215.25,6409870
2024-04-30,213.38,211.87,214.13,211.8,11248615
2024-05-01,212.96,213.79,215.5,212.41,10373880
2024-05-02,211.9,213.13,213.71,211.49,6286967
