Date,Open,Last,High,Low,Volume
2024-01-29,114.56,116.09,116.47,114.27,859152
2024-01-30,115.37,115.84,117.5,114.7,582772
2024-01-31,115.35,113.67,118.25,113.55,744503
2024-02-01,115.22,115.33,117.1,113.66,742744
2024-02-02,113.63,116.14,116.6,112.18,506376
2024-02-05,114.17,113.99,115.36,112.25,651881
2024-02-06,113.88,117.35,117.56,113.21,752050
2024-02-07,119.98,125.8,127.97,119.22,1638159
2024-02-08,125.21,127.14,127.74,124.26,773459
2024-02-09,127.53,126.91,128.39,125.16,1101485
2024-02-12,126.34,130.47,132.5,126.18,1694186
2024-02-13,124.21,123.79,127.12,122.44,1729085
2024-02-14,113.17,123.44,126.8,112.34,5071376
2024-02-15,118.84,120.68,122.87,116.64,2242465
2024-02-16,119.0,117.28,119.68,116.41,1270132
2024-02-20,115.97,114.39,116.75,113.64,1339070
2024-02-21,113.49,113.62,114.54,111.38,1384520
2024-02-22,114.5,111.75,115.59,111.53,1357790
2024-02-23,112.49,112.79,114.02,110.18,1111241
2024-02-26,112.54,110.45,112.54,108.89,1144241
2024-02-27,111.94,111.35,112.75,110.01,860308
2024-02-28,110.77,111.06,112.78,110.22,778952
2024-02-29,112.35,112.51,114.89,111.95,1192918
2024-03-01,112.0,114.18,114.87,110.04,840085
2024-03-04,114.63,113.22,114.69,112.48,708498
2024-03-05,112.51,110.09,113.05,109.9,976333
2024-03-06,111.84,110.9,112.54,110.21,537817
2024-03-07,111.64,113.71,114.09,111.6,641779
2024-03-08,114.95,117.1,117.56,114.71,892009
2024-03-11,116.84,116.55,118.77,116.35,596467
2024-03-12,117.11,115.3,117.67,113.89,641499
2024-03-13,115.04,114.62,116.94,114.02,533088
2024-03-14,115.0,112.74,115.58,111.63,609419
2024-03-15,112.06,111.88,113.9,110.35,1220309
2024-03-18,113.04,111.91,113.86,111.81,604241
2024-03-19,110.9,113.29,113.37,110.86,572851
2024-03-20,113.15,118.32,118.95,112.81,1071871
2024-03-21,119.25,119.93,123.6,118.95,943874
2024-03-22,119.85,115.91,119.85,115.86,930364
2024-03-25,115.76,118.01,119.83,115.76,1427167
2024-03-26,117.52,118.84,119.37,117.16,834996
2024-03-27,119.99,124.59,124.87,119.11,1035642
2024-03-28,124.8,126.14,127.56,124.76,1256126
2024-04-01,126.94,127.41,128.81,125.0,1054142
2024-04-02,129.27,128.15,129.65,125.38,1741059
2024-04-03,126.53,128.26,129.26,125.3,850418
2024-04-04,129.46,131.34,138.85,128.76,2860680
2024-04-05,132.55,134.41,134.93,130.87,1098473
2024-04-08,135.5,135.51,137.43,134.88,898358
2024-04-09,136.3,140.22,140.34,136.24,1202998
2024-04-10,135.19,136.87,138.52,134.05,1038758
2024-04-11,138.08,136.08,138.08,133.09,811288
2024-04-12,135.16,131.76,136.77,131.46,990436
2024-04-15,133.14,128.51,133.31,127.27,893423
2024-04-16,127.14,129.1,130.07,126.46,929551
2024-04-17,129.89,130.25,130.77,127.75,1042045
2024-04-18,130.96,133.47,135.26,128.46,1652884
2024-04-19,132.98,135.15,137.12,132.06,1839848
2024-04-22,133.61,134.12,135.24,131.36,1136085
2024-04-23,134.17,136.1,138.04,133.84,1450442
2024-04-24,136.41,137.18,139.7,135.31,770392
2024-04-25,135.29,138.85,139.38,133.89,1481610
2024-04-26,140.0,140.12,143.3,139.28,1178988
2024-04-29,140.65,137.3,141.99,137.08,2112921
2024-04-30,136.27,135.96,139.85,135.07,1714902
2024-05-01,139.95,127.63,140.85,125.57,3335716
2024-05-02,131.11,128.66,132.54,125.36,1542124
2024-05-03,131.66,133.38,134.98,131.01,1315710
2024-05-06,134.69,136.3,136.38,133.03,850404
2024-05-07,136.1,136.42,138.81,135.73,899690
2024-05-08,135.29,137.16,138.18,134.09,743064
2024-05-09,137.0,139.16,140.15,136.84,551772
2024-05-10,140.22,137.52,140.71,136.45,484530
2024-05-13,138.47,140.07,141.31,138.2,661238
2024-05-14,141.49,143.08,145.74,141.49,887741
2024-05-15,145.52,145.1,146.65,143.43,892808
2024-05-16,144.77,143.0,145.02,141.91,560947
2024-05-17,143.72,144.77,145.42,143.34,718371
2024-05-20,145.0,151.22,151.3,144.61,1048224
2024-05-21,150.18,154.23,154.54,150.18,1069497
