Date,Open,Last,High,Low,Volume
2024-01-29,119.313,120.09,120.11,118.69,459369
2024-01-30,118.93,116.896,118.987,116.781,1039027
2024-01-31,116.896,114.623,116.896,114.44,936020
2024-02-01,115.15,116.081,116.1,114.296,708525
2024-02-02,115.083,115.505,116.014,114.412,722129
2024-02-05,114.651,114.997,115.889,114.45,734380
2024-02-06,115.285,116.848,116.963,115.169,570101
2024-02-07,116.848,116.771,117.241,116.071,708129
2024-02-08,117.069,117.337,117.472,115.937,596359
2024-02-09,117.289,118.249,118.661,116.934,599454
2024-02-12,118.249,118.584,118.882,117.951,713996
2024-02-13,116.925,116.186,116.925,115.169,538788
2024-02-14,116.819,117.827,117.884,115.812,723722
2024-02-15,117.961,118.911,118.987,117.884,644736
2024-02-16,118.594,117.222,118.738,117.126,1602529
2024-02-20,116.656,117.75,118.431,116.263,1233272
2024-02-21,124.695,128.139,132.254,123.64,2561139
2024-02-22,129.28,128.484,129.28,125.856,2101546
2024-02-23,129.155,129.99,130.191,128.167,1236802
2024-02-26,129.443,129.712,129.971,127.736,1352401
2024-02-27,129.491,129.203,129.827,128.551,936619
2024-02-28,128.647,131.707,133.808,128.647,1809545
2024-02-29,131.803,131.755,132.436,130.7,1627456
2024-03-01,131.419,131.832,132.753,131.218,927599
2024-03-04,131.477,133.981,134.738,131.419,1281515
2024-03-05,133.846,134.383,134.518,132.666,1149235
2024-03-06,134.911,134.249,136.005,133.846,999918
2024-03-07,134.777,135.669,135.88,134.077,917988
2024-03-08,135.707,136.158,136.916,135.314,832169
2024-03-11,135.861,140.043,140.695,135.832,2714492
2024-03-12,140.129,142.403,142.825,139.4,1625622
2024-03-13,142.931,142.307,143.333,142.058,925516
2024-03-14,142.699,141.735,143.519,141.176,985721
2024-03-15,140.559,140.501,141.996,140.087,3466219
2024-03-18,140.935,140.752,141.581,140.559,586214
2024-03-19,141.032,141.205,141.475,140.203,747450
2024-03-20,141.051,141.398,141.6,140.212,746677
2024-03-21,141.465,142.805,143.152,141.244,628423
2024-03-22,142.545,141.986,142.921,141.62,977313
2024-03-25,141.658,141.398,142.526,141.176,520853
2024-03-26,141.244,142.092,142.468,141.244,676001
2024-03-27,142.632,142.651,142.844,141.62,709455
2024-03-28,143.095,143.509,144.155,142.719,859568
2024-04-01,143.181,142.053,143.548,141.928,625733
2024-04-02,141.861,140.492,141.861,139.971,737700
2024-04-03,140.714,140.781,141.35,140.569,549510
2024-04-04,141.716,139.682,142.025,139.624,552799
2024-04-05,140.154,142.217,142.391,139.991,603397
2024-04-08,142.584,143.634,144.039,142.497,818649
2024-04-09,143.914,143.037,144.116,142.266,537214
2024-04-10,141.543,140.704,141.919,140.154,637394
2024-04-11,141.186,140.82,141.697,140.559,509818
2024-04-12,139.682,137.957,140.154,137.532,739971
2024-04-15,139.094,136.539,139.663,135.845,899981
2024-04-16,136.626,137.07,137.937,135.922,833902
2024-04-17,137.609,135.99,138.072,135.142,757660
2024-04-18,136.404,135.653,136.858,135.113,828178
2024-04-19,135.98,134.496,136.674,133.86,2924108
2024-04-22,135.556,135.942,136.761,134.621,933195
2024-04-23,135.903,137.378,137.928,135.903,788075
2024-04-24,137.609,137.648,138.313,137.079,612576
2024-04-25,136.752,137.879,138.13,135.402,528230
2024-04-26,137.841,138.284,139.123,137.841,625349
2024-04-29,137.706,139.952,139.981,137.706,788550
2024-04-30,139.865,139.268,140.974,139.21,1185434
2024-05-01,147.731,157.535,158.798,145.562,2765722
2024-05-02,158.094,159.376,159.955,157.072,1361155
2024-05-03,159.82,159.993,160.446,158.258,973141
2024-05-06,161.112,161.835,161.854,159.849,827882
2024-05-07,161.902,163.84,164.717,161.179,878611
2024-05-08,163.261,163.84,164.032,162.943,542364
2024-05-09,164.032,163.203,164.032,162.384,552479
2024-05-10,163.483,162.847,163.589,162.182,737154
2024-05-13,163.078,163.261,163.705,162.721,369865
2024-05-14,163.348,163.791,164.62,162.972,506645
2024-05-15,164.138,164.408,164.939,163.984,596976
2024-05-16,164.669,163.859,165.074,163.83,526820
2024-05-17,164.437,164.784,165.295,163.396,525781
2024-05-20,164.842,164.061,165.459,163.56,529766
2024-05-21,164.013,164.582,164.823,163.387,510060
2024-05-22,161.372,156.224,163.001,155.299,1321739
2024-05-23,156.427,156.87,157.506,155.019,890133
2024-05-24,157.834,157.911,158.489,156.687,541643
2024-05-28,157.053,156.552,157.458,156.031,704866
2024-05-29,155.665,155.839,157.121,155.279,471074
2024-05-30,156.629,156.909,159.01,155.993,778941
2024-05-31,156.822,157.95,157.959,155.636,1398364
2024-06-03,157.429,157.323,158.094,156.282,623957
2024-06-04,156.86,157.159,158.306,156.812,528667
2024-06-05,157.564,158.094,158.248,156.831,506554
2024-06-06,158.355,158.007,160.08,157.506,390259
2024-06-07,157.419,157.381,158.663,157.178,324302
2024-06-10,157.034,156.764,157.13,155.241,527079
2024-06-11,156.157,155.704,156.166,154.431,870773
2024-06-12,157.217,158.277,159.511,156.995,588255
2024-06-13,158.104,156.099,158.952,154.768,809575
2024-06-14,154.74,153.785,155.318,152.956,561558
2024-06-17,153.901,155.257,155.79,153.398,605165
2024-06-18,155.451,155.664,156.003,154.521,501511
