Date,Open,Last,High,Low,Volume
2024-01-29,11.86,11.969,11.969,11.787,10520170
2024-01-30,11.96,11.96,12.024,11.914,11897101
2024-01-31,11.604,11.604,11.914,11.541,21259055
2024-02-01,11.614,11.358,11.677,11.003,34530948
2024-02-02,11.222,11.477,11.55,11.13,24041504
2024-02-05,11.331,11.304,11.395,11.212,16493140
2024-02-06,11.304,11.276,11.404,11.167,17535353
2024-02-07,11.386,11.258,11.413,11.057,16753338
2024-02-08,11.158,11.231,11.276,11.076,11406665
2024-02-09,11.258,11.313,11.377,11.112,14115658
2024-02-12,11.367,11.541,11.677,11.34,14163190
2024-02-13,11.331,11.249,11.349,11.103,26226921
2024-02-14,11.495,11.595,11.614,11.422,23336527
2024-02-15,11.65,11.705,11.905,11.623,18364102
2024-02-16,11.641,11.732,11.851,11.55,15977262
2024-02-20,11.559,11.632,11.778,11.559,16990922
2024-02-21,11.614,11.732,11.787,11.504,15789090
2024-02-22,11.796,11.723,11.914,11.686,15841896
2024-02-23,11.732,11.723,11.805,11.65,10812699
2024-02-26,11.723,11.65,11.778,11.541,12264175
2024-02-27,11.723,11.869,11.869,11.696,16196600
2024-02-28,11.741,11.759,11.878,11.732,13304851
2024-02-29,11.942,11.887,11.978,11.759,18259490
2024-03-01,11.768,11.805,11.832,11.568,20580867
2024-03-04,11.896,12.179,12.306,11.896,24610565
2024-03-05,12.16,12.452,12.552,12.151,20047515
2024-03-06,12.407,12.352,12.452,12.16,31375777
2024-03-07,12.489,12.334,12.525,12.27,24055308
2024-03-08,12.434,12.306,12.47,12.297,17524696
2024-03-11,12.261,12.27,12.343,12.179,12576954
2024-03-12,12.297,12.252,12.306,12.17,11758621
2024-03-13,12.224,12.252,12.352,12.179,18189809
2024-03-14,12.124,11.905,12.233,11.823,16601352
2024-03-15,11.79,12.039,12.113,11.79,55706007
2024-03-18,11.984,12.012,12.067,11.873,12120406
2024-03-19,11.984,11.993,12.058,11.956,12492924
2024-03-20,11.947,12.288,12.344,11.892,14183749
2024-03-21,12.344,12.556,12.556,12.307,15040241
2024-03-22,12.593,12.279,12.676,12.27,11865867
2024-03-25,12.279,12.335,12.473,12.261,10506973
2024-03-26,12.344,12.307,12.418,12.298,9172161
