Date,Open,Last,High,Low,Volume
2024-01-29,277.155,281.385,281.836,276.36,1742821
2024-01-30,294.407,295.968,299.265,290.6,2483214
2024-01-31,297.764,299.216,303.564,296.753,2555880
2024-02-01,297.695,308.794,308.951,297.695,1739760
2024-02-02,307.165,303.652,307.165,301.424,1280094
2024-02-05,303.034,304.829,306.684,302.347,861939
2024-02-06,304.839,301.1,306.665,299.285,1261321
2024-02-07,301.925,301.552,304.398,300.531,890834
2024-02-08,301.336,299.766,301.974,296.478,899476
2024-02-09,299.923,300.61,301.777,299.795,770443
2024-02-12,300.296,304.378,305.673,297.813,1367663
2024-02-13,300.335,298.863,302.268,296.203,996792
2024-02-14,300.443,299.736,301.62,298.156,936145
2024-02-15,301.169,301.925,303.544,300.109,839673
2024-02-16,301.512,302.798,305.546,300.904,869056
2024-02-20,300.963,302.828,304.084,300.963,774903
2024-02-21,301.768,305.811,306.017,301.768,572969
2024-02-22,305.222,307.008,312.366,303.799,1618066
2024-02-23,307.901,309.481,311.071,307.901,787179
2024-02-26,310.109,307.361,310.6,307.244,858250
2024-02-27,307.057,308.146,309.128,305.781,620056
2024-02-28,308.755,306.243,310.816,303.966,738663
2024-02-29,308.107,305.889,308.176,303.799,1479178
2024-03-01,305.781,306.164,308.137,302.72,1211957
2024-03-04,306.723,308.225,308.833,304.928,750583
2024-03-05,309.128,309.658,311.935,306.714,987356
2024-03-06,311.385,317.371,318.127,310.845,1914034
2024-03-07,319.246,318.608,322.563,318.245,966801
2024-03-08,318.402,319.305,322.612,318.402,708713
2024-03-11,317.636,315.261,318.981,311.091,1043905
2024-03-12,314.771,317.518,320.148,313.142,1048725
2024-03-13,317.715,315.899,319.138,315.242,969742
2024-03-14,316.407,319.396,319.662,313.958,1058172
2024-03-15,313.614,316.633,318.305,313.614,1230985
2024-03-18,316.633,321.747,322.73,316.367,829493
2024-03-19,323.055,325.002,325.238,322.268,916813
2024-03-20,324.775,323.409,325.906,323.123,828226
