Date,Open,Last,High,Low,Volume
2023-11-13,0.007,0.007,0.007,0.007,2194092
2023-11-14,0.007,0.007,0.007,0.007,2274195
2023-11-15,0.007,0.007,0.007,0.007,2526158
2023-11-16,0.007,0.007,0.007,0.007,2089211
2023-11-17,0.007,0.007,0.007,0.007,2037323
2023-11-20,0.007,0.007,0.007,0.007,2034218
2023-11-21,0.007,0.007,0.007,0.007,2119061
2023-11-22,0.007,0.007,0.007,0.007,1266465
2023-11-24,0.007,0.007,0.007,0.007,876597
2023-11-27,0.007,0.007,0.007,0.007,1515253
2023-11-28,0.007,0.007,0.007,0.007,2032248
2023-11-29,0.007,0.007,0.007,0.007,1841195
2023-11-30,0.007,0.007,0.007,0.007,3151662
2023-12-01,0.007,0.007,0.007,0.007,1344935
2023-12-04,0.007,0.007,0.007,0.007,2104302
2023-12-05,0.007,0.007,0.007,0.007,2062468
2023-12-06,0.007,0.007,0.007,0.007,1752923
2023-12-07,0.007,0.007,0.007,0.007,2363544
2023-12-08,0.007,0.007,0.007,0.007,1672566
2023-12-11,0.007,0.007,0.007,0.007,1448726
2023-12-12,0.007,0.007,0.007,0.007,2091108
2023-12-13,0.007,0.007,0.007,0.007,1390254
2023-12-14,0.007,0.007,0.007,0.007,2173781
2023-12-15,0.007,0.007,0.007,0.007,4656758
2023-12-18,0.007,0.007,0.007,0.007,1593104
2023-12-19,0.007,0.007,0.007,0.007,1785440
2023-12-20,0.007,0.007,0.007,0.007,1375763
2023-12-21,0.007,0.007,0.007,0.007,1030155
2023-12-22,0.007,0.007,0.007,0.007,1391967
2023-12-26,0.007,0.007,0.007,0.007,734542
2023-12-27,0.007,0.007,0.007,0.007,1367199
2023-12-28,0.007,0.007,0.007,0.007,873105
2023-12-29,0.007,0.007,0.007,0.007,1122199
2024-01-02,0.007,0.007,0.007,0.007,2005112
2024-01-03,0.007,0.007,0.007,0.007,2911061
2024-01-04,0.007,0.007,0.007,0.007,2261210
2024-01-05,0.007,0.007,0.007,0.007,1793617
2024-01-08,0.007,0.007,0.007,0.007,2749237
2024-01-09,0.007,0.007,0.007,0.007,1991544
2024-01-10,0.007,0.007,0.007,0.007,1506236
2024-01-11,0.007,0.007,0.007,0.007,2123011
2024-01-12,0.007,0.007,0.007,0.007,1701435
2024-01-16,0.007,0.007,0.007,0.007,1760660
2024-01-17,0.007,0.007,0.007,0.007,1275433
2024-01-18,0.007,0.007,0.007,0.007,1167001
2024-01-19,0.007,0.007,0.007,0.007,1193346
2024-01-22,0.007,0.007,0.007,0.007,1084790
2024-01-23,0.007,0.008,0.008,0.007,1440370
2024-01-24,0.008,0.007,0.008,0.007,1540457
2024-01-25,0.008,0.007,0.008,0.007,1713277
2024-01-26,0.007,0.007,0.008,0.007,1816157
2024-01-29,0.007,0.008,0.008,0.007,1571186
2024-01-30,0.008,0.008,0.008,0.008,1410821
2024-01-31,0.008,0.007,0.008,0.007,2461239
2024-02-01,0.007,0.007,0.008,0.007,1861260
2024-02-02,0.007,0.007,0.008,0.007,4242539
2024-02-05,0.007,0.007,0.007,0.007,2840356
2024-02-06,0.007,0.007,0.008,0.007,2697511
2024-02-07,0.008,0.007,0.008,0.007,2266938
2024-02-08,0.007,0.007,0.007,0.007,1886926
2024-02-09,0.007,0.007,0.007,0.007,1534541
2024-02-12,0.007,0.007,0.007,0.007,1571773
2024-02-13,0.007,0.007,0.008,0.007,1734958
2024-02-14,0.007,0.007,0.007,0.007,1766133
2024-02-15,0.007,0.007,0.007,0.007,2418666
2024-02-16,0.007,0.007,0.008,0.007,2947343
2024-02-20,0.007,0.008,0.008,0.007,1452544
2024-02-21,0.008,0.008,0.008,0.008,1970952
2024-02-22,0.008,0.008,0.008,0.008,1479522
2024-02-23,0.008,0.008,0.008,0.008,1417898
2024-02-26,0.008,0.008,0.008,0.008,1657158
2024-02-27,0.008,0.008,0.008,0.007,1524602
2024-02-28,0.008,0.007,0.008,0.007,1866311
2024-02-29,0.007,0.007,0.008,0.007,2114742
2024-03-01,0.007,0.007,0.008,0.007,1358025
2024-03-04,0.007,0.008,0.008,0.007,1533089
2024-03-05,0.008,0.007,0.008,0.007,1410193
2024-03-06,0.007,0.008,0.008,0.007,1543938
2024-03-07,0.008,0.008,0.008,0.008,1573512
2024-03-08,0.008,0.008,0.008,0.008,1417269
2024-03-11,0.008,0.008,0.008,0.008,1223561
2024-03-12,0.008,0.008,0.008,0.008,1586065
2024-03-13,0.008,0.008,0.008,0.008,1604545
2024-03-14,0.008,0.008,0.008,0.008,1877582
2024-03-15,0.008,0.008,0.008,0.007,5286988
2024-03-18,0.008,0.008,0.008,0.008,1500979
2024-03-19,0.008,0.008,0.008,0.008,2299394
2024-03-20,0.008,0.008,0.008,0.008,1264998
2024-03-21,0.008,0.008,0.008,0.008,1269797
2024-03-22,0.008,0.008,0.008,0.008,862212
2024-03-25,0.008,0.008,0.008,0.008,1435201
2024-03-26,0.008,0.008,0.008,0.008,2484138
2024-03-27,0.008,0.008,0.008,0.008,1270206
2024-03-28,0.008,0.008,0.008,0.008,1990262
2024-04-01,0.008,0.008,0.008,0.008,1405009
2024-04-02,0.008,0.008,0.008,0.008,1415409
2024-04-03,0.008,0.008,0.008,0.008,1661420
2024-04-04,0.008,0.008,0.008,0.008,1835920
2024-04-05,0.008,0.008,0.008,0.008,1485429
2024-04-08,0.008,0.008,0.008,0.008,1603200
2024-04-09,0.008,0.008,0.008,0.008,1336395
2024-04-10,0.008,0.008,0.008,0.008,1670312
2024-04-11,0.008,0.008,0.008,0.008,1657913
2024-04-12,0.008,0.008,0.008,0.008,1573811
2024-04-15,0.008,0.008,0.008,0.008,1605404
2024-04-16,0.008,0.008,0.008,0.008,1764609
2024-04-17,0.008,0.008,0.008,0.008,1697868
2024-04-18,0.008,0.008,0.008,0.008,1576803
2024-04-19,0.008,0.008,0.008,0.008,1288503
2024-04-22,0.008,0.008,0.008,0.008,1516324
2024-04-23,0.008,0.008,0.008,0.008,1603280
2024-04-24,0.008,0.008,0.008,0.008,963154
2024-04-25,0.008,0.008,0.008,0.008,1190940
2024-04-26,0.008,0.008,0.008,0.008,919462
2024-04-29,0.008,0.008,0.008,0.008,799283
2024-04-30,0.008,0.008,0.008,0.008,1515878
2024-05-01,0.008,0.008,0.008,0.008,1423724
2024-05-02,0.008,0.008,0.008,0.008,1795905
2024-05-03,0.008,0.008,0.008,0.008,2069424
2024-05-06,0.008,0.008,0.008,0.008,1585120
2024-05-07,0.008,0.008,0.008,0.008,984581
2024-05-08,0.008,0.008,0.008,0.008,973729
2024-05-09,0.008,0.008,0.008,0.008,2037848
2024-05-10,0.008,0.008,0.008,0.008,1402648
2024-05-13,0.008,0.008,0.008,0.008,1039454
2024-05-14,0.008,0.008,0.008,0.008,1286553
2024-05-15,0.008,0.008,0.008,0.008,1637741
2024-05-16,0.008,0.008,0.008,0.008,1749516
2024-05-17,0.008,0.008,0.008,0.007,1451370
2024-05-20,0.008,0.008,0.008,0.007,1027857
2024-05-21,0.008,0.008,0.008,0.007,897598
2024-05-22,0.008,0.008,0.008,0.007,1217141
2024-05-23,0.008,0.007,0.008,0.007,1314633
2024-05-24,0.007,0.007,0.007,0.007,1303244
2024-05-28,0.007,0.007,0.007,0.007,1217018
2024-05-29,0.007,0.007,0.007,0.007,1142328
2024-05-30,0.007,0.007,0.007,0.007,1568800
2024-05-31,0.007,0.007,0.007,0.007,2501317
2024-06-03,0.007,0.008,0.008,0.007,1065009
2024-06-04,0.008,0.008,0.008,0.007,1107186
2024-06-05,0.008,0.007,0.008,0.007,1371524
2024-06-06,0.007,0.008,0.008,0.007,1284135
2024-06-07,0.007,0.008,0.008,0.007,1186677
2024-06-10,0.007,0.007,0.007,0.007,878774
2024-06-11,0.007,0.007,0.007,0.007,1605389
2024-06-12,0.007,0.007,0.007,0.007,1459985
2024-06-13,0.007,0.007,0.007,0.007,1417248
2024-06-14,0.007,0.007,0.007,0.007,1033028
2024-06-17,0.007,0.007,0.007,0.007,1249842
2024-06-18,0.007,0.007,0.007,0.007,1384234
2024-06-20,0.007,0.007,0.007,0.007,1050703
2024-06-21,0.007,0.007,0.007,0.007,2048929
2024-06-24,0.007,0.007,0.007,0.007,1000839
2024-06-25,0.007,0.007,0.007,0.007,942929
2024-06-26,0.007,0.007,0.007,0.007,973316
2024-06-27,0.007,0.007,0.007,0.007,2403054
2024-06-28,0.007,0.007,0.008,0.007,2782114
2024-07-01,0.007,0.007,0.008,0.007,1153347
2024-07-02,0.007,0.007,0.007,0.007,1663770
2024-07-03,0.007,0.007,0.007,0.007,1201107
2024-07-05,0.007,0.007,0.007,0.007,992462
2024-07-08,0.007,0.008,0.008,0.007,1169554
2024-07-09,0.008,0.008,0.008,0.007,1366442
2024-07-10,0.008,0.008,0.008,0.008,1295227
2024-07-11,0.008,0.008,0.008,0.008,1440377
2024-07-12,0.008,0.008,0.008,0.008,1694537
2024-07-15,0.008,0.008,0.008,0.008,1653157
2024-07-16,0.008,0.008,0.008,0.008,1492308
2024-07-17,0.008,0.008,0.008,0.008,2177366
2024-07-18,0.008,0.008,0.008,0.008,2332247
2024-07-19,0.008,0.008,0.008,0.008,1660498
2024-07-22,0.008,0.008,0.008,0.008,601500
2024-07-23,0.008,0.008,0.008,0.008,1606690
2024-07-24,0.008,0.008,0.008,0.008,1042199
2024-07-25,0.008,0.008,0.008,0.008,1391837
2024-07-26,0.008,0.008,0.008,0.008,1472174
2024-07-29,0.008,0.008,0.008,0.008,2196892
2024-07-30,0.008,0.008,0.008,0.008,2820222
2024-07-31,0.008,0.008,0.008,0.008,3005532
2024-08-01,0.008,0.008,0.008,0.008,2646431
2024-08-02,0.008,0.008,0.008,0.008,1701105
2024-08-05,0.008,0.008,0.008,0.008,2365348
