Date,Open,Last,High,Low,Volume
2024-01-29,27.016,26.331,27.025,26.241,8002644
2024-01-30,26.295,26.25,26.431,26.196,6618121
2024-01-31,26.061,25.854,26.259,25.836,10409588
2024-02-01,25.809,26.061,26.061,25.557,11987926
2024-02-02,25.908,25.827,25.953,25.62,7193061
2024-02-05,25.728,25.512,25.746,25.368,10526226
2024-02-06,25.53,25.476,25.71,25.35,7927423
2024-02-07,25.44,25.17,25.44,25.089,7357961
2024-02-08,25.215,25.476,25.485,25.152,4639233
2024-02-09,25.467,25.593,25.683,25.386,4852209
2024-02-12,25.593,25.836,25.935,25.566,4896452
2024-02-13,25.503,25.341,25.575,25.116,6505897
2024-02-14,26.124,25.737,26.187,25.521,6547433
2024-02-15,25.737,26.142,26.196,25.737,7071789
2024-02-16,26.106,25.737,26.205,25.692,5681541
2024-02-20,25.557,25.782,25.89,25.521,5677893
2024-02-21,25.701,25.602,25.8,25.449,7580415
2024-02-22,25.656,26.07,26.205,25.656,6276183
2024-02-23,26.232,26.358,26.413,26.106,5547355
2024-02-26,26.394,25.935,26.557,25.917,9431050
2024-02-27,26.079,25.962,26.097,25.809,6683652
2024-02-28,25.863,25.863,26.196,25.827,10811290
2024-02-29,25.089,25.512,26.178,24.909,22925540
2024-03-01,26.115,26.485,26.683,26.016,13170691
2024-03-04,26.431,26.169,26.656,26.106,10322183
2024-03-05,26.097,26.232,26.521,25.998,10274353
2024-03-06,26.548,27.223,27.466,26.485,14187961
2024-03-07,27.34,27.52,27.871,27.151,14006846
2024-03-08,27.682,27.682,27.961,27.511,11435706
2024-03-11,27.565,27.79,27.853,27.367,7029007
2024-03-12,27.813,27.713,27.976,27.431,13376925
2024-03-13,27.713,27.94,28.122,27.531,8006371
2024-03-14,27.985,27.813,28.094,27.586,9767208
2024-03-15,27.667,27.64,28.131,27.622,15269825
2024-03-18,27.613,27.204,27.685,26.904,9223772
2024-03-19,27.086,27.095,27.158,26.804,6113604
2024-03-20,26.986,26.968,27.049,26.65,5292794
2024-03-21,27.122,27.331,27.613,26.986,6699348
2024-03-22,27.358,27.304,27.477,27.213,4796907
2024-03-25,27.158,27.149,27.313,27.086,6904862
2024-03-26,27.304,27.249,27.386,27.24,6167110
2024-03-27,27.431,27.367,27.44,27.013,6441024
2024-03-28,27.367,27.458,27.595,27.286,5954070
2024-04-01,27.486,27.604,27.767,27.458,6811865
2024-04-02,27.404,26.859,27.576,26.84,6127599
2024-04-03,26.777,26.95,27.34,26.731,6862822
2024-04-04,27.304,26.931,27.622,26.886,5402082
2024-04-05,26.831,26.45,26.895,26.395,5160763
2024-04-08,26.604,26.631,26.741,26.459,5210303
2024-04-09,26.75,27.231,27.24,26.686,6593714
2024-04-10,26.804,26.304,27.122,26.277,6664821
2024-04-11,26.404,26.559,26.604,26.059,5519864
2024-04-12,26.341,25.923,26.513,25.768,7626113
2024-04-15,26.141,25.405,26.259,25.359,6224193
2024-04-16,25.423,25.25,25.478,25.032,7086643
2024-04-17,25.396,25.16,25.632,25.105,6144063
2024-04-18,25.16,25.096,25.459,24.996,4525451
2024-04-19,25.132,25.269,25.387,25.051,4770045
2024-04-22,25.441,25.169,25.532,24.987,5156331
2024-04-23,25.16,25.141,25.305,25.06,6116240
2024-04-24,25.269,25.532,25.977,24.923,14491946
2024-04-25,25.414,25.559,25.714,25.223,5032707
2024-04-26,25.559,25.441,25.796,25.405,5356232
2024-04-29,25.55,25.687,25.85,25.55,5807143
2024-04-30,25.487,25.523,25.841,25.468,5557719
2024-05-01,25.441,25.214,25.514,25.087,6137292
2024-05-02,25.423,25.387,25.468,25.005,4828792
2024-05-03,25.696,25.605,25.896,25.45,6648423
2024-05-06,25.741,25.823,25.841,25.641,4354692
2024-05-07,25.959,25.814,26.168,25.668,3953052
2024-05-08,25.786,26.75,26.877,25.786,8796653
2024-05-09,26.704,26.94,26.968,26.65,6431722
2024-05-10,27.113,27.004,27.149,26.913,4973216
2024-05-13,27.113,27.204,27.467,27.086,5568284
2024-05-14,27.386,27.949,28.094,27.277,8018168
2024-05-15,28.167,28.494,28.53,28.158,6480610
2024-05-16,28.403,28.231,28.485,28.167,5737465
2024-05-17,28.376,28.34,28.421,28.176,4618189
2024-05-20,28.512,28.912,29.012,28.403,5591044
2024-05-21,29.03,29.703,29.848,28.976,8201359
2024-05-22,29.766,29.993,30.23,29.757,7717629
2024-05-23,30.148,29.666,30.33,29.612,6822730
2024-05-24,29.784,29.757,29.912,29.557,6503898
2024-05-28,29.884,30.111,30.393,29.848,8019542
2024-05-29,29.784,29.803,30.284,29.448,12481280
2024-05-30,31.256,34.854,35.908,31.256,38267181
2024-05-31,34.155,33.164,34.182,31.72,29952123
2024-06-03,33.164,32.092,33.392,31.656,12390673
2024-06-04,31.992,32.12,32.601,31.947,9633562
2024-06-05,32.492,32.374,32.746,32.02,8143815
2024-06-06,32.374,32.874,33.164,32.329,9319515
2024-06-07,32.792,33.119,33.428,32.746,8718813
2024-06-10,32.983,32.874,33.028,32.247,8796540
2024-06-11,32.846,33.001,33.137,32.601,7708849
2024-06-12,33.519,33.235,33.858,33.18,7372513
2024-06-13,33.217,33.373,33.675,33.052,6847453
2024-06-14,33.162,32.512,33.537,32.448,8582423
2024-06-17,32.604,32.897,33.043,32.246,7500303
2024-06-18,33.061,33.647,33.693,32.897,9607530
2024-06-20,33.748,33.18,34.041,33.061,9202372
2024-06-21,33.052,33.299,33.547,32.823,17244553
2024-06-24,33.281,33.235,33.785,33.098,5496072
2024-06-25,33.089,33.208,33.382,32.979,6003042
2024-06-26,33.071,32.127,33.098,31.834,9658302
2024-06-27,32.219,31.78,32.32,31.725,5716774
2024-06-28,31.954,32.063,32.393,31.834,14543019
2024-07-01,32.228,32.018,32.256,31.78,4952926
2024-07-02,31.816,31.862,32.164,31.496,5834530
2024-07-03,31.954,31.908,32.127,31.789,3985175
2024-07-05,31.944,31.706,31.954,31.487,4365509
2024-07-08,31.908,32.338,32.503,31.862,6511282
2024-07-09,32.292,32.43,32.613,32.182,5153020
2024-07-10,32.704,33.025,33.052,32.521,5344689
2024-07-11,33.144,33.052,33.464,32.988,6723524
2024-07-12,33.171,33.629,33.794,32.897,6599877
2024-07-15,33.354,34.188,34.197,33.336,5720720
2024-07-16,34.426,34.792,34.911,34.325,8571108
2024-07-17,34.426,34.892,35.176,34.215,8906753
2024-07-18,34.856,34.224,34.966,34.078,5895456
2024-07-19,34.252,34.014,34.279,33.766,4773663
2024-07-22,34.444,34.81,34.828,34.261,4520058
2024-07-23,34.59,34.526,34.92,34.471,4472835
2024-07-24,34.407,34.627,34.902,34.334,6310453
2024-07-25,34.435,33.19,34.6,33.144,8589665
2024-07-26,33.455,33.272,33.647,33.144,7299563
2024-07-29,33.327,33.08,33.354,32.732,4788397
2024-07-30,33.08,32.521,33.235,32.173,6915689
2024-07-31,32.933,33.043,33.29,32.723,8189940
2024-08-01,32.942,32.201,33.226,32.036,5437490
2024-08-02,31.505,30.873,31.642,30.727,6489106
2024-08-05,29.829,29.985,30.196,29.445,7339280
2024-08-06,30.077,29.958,30.397,29.774,6154408
2024-08-07,30.132,29.317,30.287,29.253,7603692
2024-08-08,29.564,30.232,30.296,29.564,5909040
2024-08-09,30.086,30.708,31.029,30.086,6605502
2024-08-12,30.791,30.928,31.285,30.745,5609232
2024-08-13,31.139,31.825,31.844,31.102,6477398
2024-08-14,31.825,31.816,32.063,31.624,5158590
2024-08-15,32.228,32.494,32.558,32.182,4847785
2024-08-16,32.485,32.878,32.988,32.42,5580370
2024-08-19,31.697,31.679,32.311,31.386,9622314
2024-08-20,31.679,31.871,32.091,31.67,6885405
2024-08-21,32.045,32.292,32.347,31.88,4676966
2024-08-22,32.329,32.118,32.668,32.045,4955466
2024-08-23,32.347,32.649,33.116,32.338,6319665
2024-08-26,32.823,32.567,33.107,32.356,5415212
2024-08-27,32.503,32.594,32.668,32.356,6473819
2024-08-28,32.521,31.825,32.686,31.715,12074196
2024-08-29,31.23,32.466,33.757,30.946,18740425
2024-08-30,32.64,33.125,33.19,32.466,12068586
2024-09-03,32.951,32.393,33.116,32.173,9151741
2024-09-04,32.366,32.347,32.631,32.182,6514274
2024-09-05,31.899,31.496,32.073,31.441,6862109
2024-09-06,31.377,30.965,31.715,30.919,7995956
2024-09-09,31.386,31.294,31.889,31.148,9803668
2024-09-10,31.148,30.644,31.294,30.553,7862963
2024-09-11,30.63,30.805,30.861,30.178,7186832
2024-09-12,30.685,30.556,30.833,30.418,6508797
2024-09-13,30.648,30.759,30.971,30.593,5924173
2024-09-16,30.639,31.165,31.248,30.593,7775915
2024-09-17,31.433,31.784,32.227,31.378,10054403
2024-09-18,31.941,31.876,32.292,31.664,7077894
2024-09-19,32.402,32.144,32.513,32.125,7466653
2024-09-20,32.042,32.088,32.236,31.747,37215904
2024-09-23,32.116,32.412,32.541,31.968,7951741
2024-09-24,32.55,33.085,33.122,32.541,6576949
2024-09-25,33.233,33.279,33.612,33.169,6621992
2024-09-26,33.676,34.018,34.092,33.298,6278208
2024-09-27,33.012,32.688,33.307,32.412,9961863
2024-09-30,32.772,33.113,33.224,32.772,8304171
2024-10-01,32.347,32.088,32.485,31.525,10361189
2024-10-02,32.116,32.476,32.753,31.811,8804148
