Date,Open,Last,High,Low,Volume
2024-01-29,103.469,102.044,103.469,101.94,368951
2024-01-30,102.186,103.063,103.223,101.988,325465
2024-01-31,102.865,101.469,102.959,101.356,265958
2024-02-01,102.365,104.78,104.799,102.082,481300
2024-02-02,105.016,104.912,105.449,104.082,391570
2024-02-05,104.308,104.317,104.949,103.789,521463
2024-02-06,103.091,103.487,106.364,101.308,1031860
2024-02-07,103.525,104.402,105.581,103.384,654721
2024-02-08,104.846,103.252,105.1,103.204,377959
2024-02-09,102.818,102.025,103.082,101.874,305934
2024-02-12,101.931,102.884,103.516,101.657,420457
2024-02-13,102.205,102.233,102.544,101.79,391237
2024-02-14,102.61,104.506,104.563,102.252,519787
2024-02-15,106.676,108.392,108.411,105.695,476426
2024-02-16,108.279,107.694,108.364,107.242,309687
2024-02-20,107.591,109.289,109.468,107.383,453351
2024-02-21,109.336,108.666,109.722,107.949,318391
2024-02-22,108.355,108.204,108.355,107.261,556978
2024-02-23,108.298,108.449,109.364,107.977,315619
2024-02-26,108.666,108.119,109.034,108.072,254077
2024-02-27,108.006,108.628,109.345,107.977,378971
2024-02-28,108.666,109.741,110.024,108.081,350936
2024-02-29,110.364,110.958,111.449,110.005,585924
2024-03-01,111.222,110.487,111.345,109.996,329498
2024-03-04,110.741,110.694,111.364,110.119,388001
2024-03-05,110.76,110.09,111.628,109.949,324959
2024-03-06,110.59,109.732,110.883,109.524,457530
2024-03-07,110.128,109.694,110.986,109.515,459790
2024-03-08,109.675,110.807,110.996,109.675,343434
2024-03-11,110.515,110.949,111.647,110.515,426516
2024-03-12,111.241,111.241,111.251,109.468,392202
2024-03-13,111.496,110.364,112.09,110.024,532036
2024-03-14,110.251,108.864,110.364,108.298,386921
2024-03-15,108.374,108.242,109.873,107.676,1765100
2024-03-18,107.959,108.826,109.939,107.855,358300
2024-03-19,108.845,110.477,110.637,108.845,341854
2024-03-20,110.449,109.958,110.571,108.704,404844
2024-03-21,110.213,109.496,110.213,109.194,334431
2024-03-22,109.59,110.487,110.562,109.241,309732
2024-03-25,110.571,110.741,111.515,110.505,360579
2024-03-26,111.213,110.873,111.647,110.392,301118
2024-03-27,111.402,111.402,111.901,110.949,367573
2024-03-28,111.363,110.955,111.971,110.907,340615
2024-04-01,110.974,111.316,112.085,110.546,337549
2024-04-02,111.24,110.518,111.24,110.119,322425
2024-04-03,110.328,108.638,110.622,108.524,366165
2024-04-04,109.075,109.227,110.186,108.457,307019
2024-04-05,109.056,108.59,109.416,108.429,267001
2024-04-08,108.324,107.555,108.695,107.451,391856
2024-04-09,107.66,107.422,107.812,107.014,371462
2024-04-10,107.584,107.185,107.688,106.568,455629
2024-04-11,107.726,106.245,107.964,106.027,273603
2024-04-12,105.78,104.593,106.169,104.355,316532
2024-04-15,104.849,104.574,105.419,104.156,285315
2024-04-16,104.688,105.894,105.951,103.985,755613
2024-04-17,106.511,105.675,106.843,105.049,388366
2024-04-18,106.349,106.663,107.005,105.865,249378
2024-04-19,106.691,107.888,108.078,106.539,360059
2024-04-22,108.249,108.543,109.075,107.593,223836
2024-04-23,108.268,108.562,109.151,107.812,180054
2024-04-24,108.04,109.293,109.473,108.04,194547
2024-04-25,109.483,108.704,109.587,108.4,201870
2024-04-26,108.448,107.574,108.951,107.489,296644
2024-04-29,107.935,109.255,109.265,107.289,325288
2024-04-30,109.255,108.809,109.35,108.59,201995
2024-05-01,108.268,108.533,108.847,107.888,264379
2024-05-02,109.103,109.435,109.758,108.268,266260
2024-05-03,109.454,108.78,109.473,107.973,200871
2024-05-06,109.397,109.587,109.825,108.695,199874
2024-05-07,110.338,110.689,110.793,110.119,358930
2024-05-08,111.335,112.474,112.521,107.062,806879
2024-05-09,112.977,113.917,113.946,111.743,439575
2024-05-10,113.946,114.155,114.449,112.597,426331
2024-05-13,114.895,115.247,116.016,114.544,580354
2024-05-14,115.731,112.17,115.797,111.638,544801
2024-05-15,112.161,111.724,112.161,110.784,438575
2024-05-16,112.085,112.882,113.158,111.923,403846
2024-05-17,112.968,113.594,113.889,112.322,317012
2024-05-20,113.5,112.265,113.746,112.218,254387
2024-05-21,112.512,112.816,112.835,111.259,320131
2024-05-22,112.275,112.351,112.74,111.439,334571
2024-05-23,111.895,111.714,112.939,111.344,477515
2024-05-24,112.17,111.762,112.597,111.467,169990
2024-05-28,111.268,110.565,112.066,110.385,302092
2024-05-29,110.005,109.606,110.385,109.208,264989
2024-05-30,109.92,110.717,110.755,109.606,326649
2024-05-31,110.907,111.648,111.838,110.518,328230
2024-06-03,111.771,110.689,111.99,109.92,263243
2024-06-04,110.309,109.132,110.518,109.084,234882
2024-06-05,108.951,110.005,110.1,108.676,341112
2024-06-06,110.015,110.366,110.717,109.663,312238
2024-06-07,109.986,110.091,111.097,109.711,252719
2024-06-10,109.568,109.511,110.11,109.084,259383
2024-06-11,109.16,109.189,109.483,107.992,315708
2024-06-12,109.502,109.132,110.594,108.97,368801
2024-06-13,108.809,108.961,109.322,108.211,324163
2024-06-14,108.571,108.144,108.809,107.489,286607
2024-06-17,108.182,109.511,110.024,108.097,375973
2024-06-18,109.435,109.91,110.423,109.435,399742
2024-06-20,109.331,108.78,110.489,108.704,448173
2024-06-21,109.189,109.673,109.796,108.571,2333936
2024-06-24,109.673,110.461,110.907,108.875,354733
2024-06-25,110.518,109.236,110.518,108.828,419793
2024-06-26,108.391,108.353,108.894,108.04,529445
2024-06-27,108.894,109.018,109.948,108.429,357220
2024-06-28,109.625,108.913,109.625,108.315,520390
2024-07-01,109.219,108.77,109.525,108.349,481474
2024-07-02,107.69,107.862,108.311,106.934,776081
2024-07-03,108.053,107.986,108.894,107.852,268092
2024-07-05,107.594,107.441,107.833,106.638,885112
2024-07-08,107.881,107.929,108.512,107.556,363504
2024-07-09,107.69,107.059,107.871,107.011,367454
2024-07-10,107.278,108.292,108.435,107.278,264476
2024-07-11,108.454,109.726,110.213,108.454,312262
2024-07-12,110.424,109.955,110.481,109.372,302524
2024-07-15,110.5,108.99,110.663,108.932,289339
2024-07-16,109.611,111.954,112.02,109.018,387966
2024-07-17,112.441,114.019,115.52,112.173,544340
2024-07-18,113.627,114.506,115.711,113.627,241114
2024-07-19,114.994,113.799,114.994,112.871,343123
2024-07-22,114.238,114.688,114.965,112.575,208906
2024-07-23,114.525,112.68,114.793,112.565,311301
2024-07-24,112.766,113.426,114.669,112.326,277942
2024-07-25,113.866,114.458,115.959,113.856,350512
2024-07-26,114.516,115.883,116.791,114.516,278038
2024-07-29,115.586,116.017,116.59,114.793,241191
2024-07-30,115.434,118.302,118.55,114.975,312767
2024-07-31,118.55,118.904,119.755,117.202,337139
2024-08-01,119.21,117.919,119.956,116.696,434803
2024-08-02,117.709,117.613,118.828,116.428,328027
2024-08-05,115.921,114.736,115.94,113.627,491008
2024-08-06,119.898,122.327,124.918,118.359,594812
2024-08-07,122.891,120.816,124.44,120.443,634740
2024-08-08,121.304,121.189,122.374,120.778,362201
2024-08-09,122.757,124.449,124.468,121.648,462282
2024-08-12,123.264,122.623,124.076,122.46,405073
2024-08-13,123.273,124.048,124.258,122.145,275933
2024-08-14,124.373,125.128,125.434,123.952,268366
2024-08-15,125.74,125.023,125.74,124.449,308735
2024-08-16,124.64,125.233,125.329,124.114,250678
2024-08-19,125.606,126.543,126.6,124.918,249893
2024-08-20,126.103,126.084,127.26,125.644,204901
2024-08-21,126.782,126.686,127.432,125.587,245378
2024-08-22,126.629,126.237,126.983,125.826,145172
2024-08-23,126.983,126.983,127.47,126.323,255586
2024-08-26,127.575,126.877,128.283,126.6,216453
2024-08-27,126.677,126.82,127.222,126.065,180712
2024-08-28,127.403,127.891,128.225,126.39,349378
2024-08-29,127.843,127.661,128.302,127.155,382806
2024-08-30,127.633,128.407,128.541,127.011,304887
2024-09-03,128.608,128.398,129.201,127.747,243912
2024-09-04,128.111,128.713,128.856,127.451,386626
2024-09-05,129.124,128.99,130.013,128.847,322688
2024-09-06,128.713,129.287,130.424,128.713,285678
2024-09-09,129.287,129.774,130.3,128.474,387423
2024-09-10,130.157,129.526,131.18,129.009,336844
2024-09-11,129.526,128.541,130.319,127.203,355737
2024-09-12,128.579,128.952,129.172,127.709,239260
2024-09-13,129.057,128.684,129.478,128.398,256999
2024-09-16,129.287,128.78,129.574,128.445,347807
2024-09-17,129.067,128.312,129.822,128.168,295622
2024-09-18,128.761,129.736,130.625,128.589,269914
2024-09-19,130.96,130.176,130.96,129.21,256291
2024-09-20,129.201,129.048,129.679,127.652,1322766
2024-09-23,129.115,129.105,130.023,128.455,446536
2024-09-24,129.22,129.784,130.348,128.79,269850
2024-09-25,129.937,129.248,130.663,129.019,406415
2024-09-26,129.43,131.466,131.6,129.43,462694
2024-09-27,131.734,131.333,132.289,130.711,228340
2024-09-30,131.553,131.39,131.648,130.501,342728
2024-10-01,131.637,130.81,131.897,130.349,317593
2024-10-02,130.358,130.762,131.358,129.166,412033
2024-10-03,130.118,129.05,130.752,128.396,195751
2024-10-04,129.599,129.916,130.06,129.233,202700
2024-10-07,129.916,129.329,130.349,129.098,314758
2024-10-08,129.512,128.887,129.512,128.281,283678
2024-10-09,129.599,128.425,129.964,128.079,236842
2024-10-10,128.752,128.454,128.964,127.752,350587
2024-10-11,128.743,128.291,129.214,128.05,340749
2024-10-14,128.675,129.223,129.368,128.262,252590
2024-10-15,128.733,129.887,130.935,128.733,273456
2024-10-16,129.868,130.32,131.724,129.8,220851
2024-10-17,130.839,129.647,131.156,129.502,251549
2024-10-18,129.839,129.108,130.185,128.541,222999
2024-10-21,129.195,128.791,129.993,128.271,277868
2024-10-22,128.098,129.233,130.185,127.348,264467
2024-10-23,128.57,130.752,130.82,127.81,400995
2024-10-24,130.57,130.387,131.445,129.983,253050
2024-10-25,130.512,129.82,131.089,129.445,280716
2024-10-28,129.925,129.666,130.781,129.589,234188
2024-10-29,129.31,128.243,129.858,128.214,254276
2024-10-30,127.877,128.512,128.935,127.877,299723
2024-10-31,128.233,127.666,129.291,127.396,282220
2024-11-01,128.089,128.637,129.512,128.079,258060
2024-11-04,128.685,128.897,129.464,128.214,333138
2024-11-05,137.618,148.918,148.927,137.618,1440841
2024-11-06,148.581,144.744,149.475,143.763,1165675
2024-11-07,145.215,144.244,146.629,144.119,688161
2024-11-08,144.735,145.735,146.062,143.282,488970
2024-11-11,146.139,143.936,146.379,143.725,358096
2024-11-12,144.129,144.465,145.013,142.994,485362
2024-11-13,144.725,144.196,144.946,143.427,384068
2024-11-14,144.196,143.465,145.052,143.215,477044
2024-11-15,143.023,135.426,143.302,134.436,955174
2024-11-18,136.041,133.503,136.234,132.512,840662
2024-11-19,132.782,136.532,136.859,132.782,490928
2024-11-20,136.109,136.888,137.897,135.561,396181
2024-11-21,136.849,138.821,139.446,136.849,369443
2024-11-22,138.917,140.85,141.503,138.59,528312
2024-11-25,141.253,142.59,142.629,141.253,568885
2024-11-26,142.542,143.09,143.504,142.321,288804
2024-11-27,143.715,141.388,144.244,141.148,461567
2024-11-29,141.494,141.686,142.225,140.051,269671
2024-12-02,141.811,142.427,143.581,141.051,408996
2024-12-03,142.205,143.388,144.061,142.205,489613
2024-12-04,142.436,143.658,144.09,141.35,396049
2024-12-05,143.167,142.177,143.484,141.907,561318
2024-12-06,142.494,139.657,142.907,138.994,531254
2024-12-09,139.859,137.33,140.686,137.186,665210
2024-12-10,137.33,138.369,139.022,135.772,512955
2024-12-11,139.176,138.888,139.936,137.917,510131
2024-12-12,139.282,139.234,140.878,139.147,426760
2024-12-13,139.234,138.772,140.013,138.244,294202
2024-12-16,139.109,137.493,139.109,137.263,360326
2024-12-17,136.388,136.705,137.724,135.964,458715
2024-12-18,136.157,136.397,138.282,136.032,1240356
2024-12-19,135.551,133.455,136.195,132.301,771241
2024-12-20,132.743,132.887,135.128,132.224,1508362
2024-12-23,132.358,133.378,133.618,131.474,420352
2024-12-24,133.157,134.118,134.349,133.089,154799
2024-12-26,133.464,133.58,134.349,132.945,308998
2024-12-27,132.733,133.253,134.08,132.33,246116
2024-12-30,132.637,131.878,132.791,131.108,230015
2024-12-31,131.878,132.281,133.012,131.878,336404
2025-01-02,132.647,132.028,133.614,131.66,356526
2025-01-03,131.951,132.057,132.782,131.564,348382
2025-01-06,131.08,129.678,131.776,129.281,437467
2025-01-07,129.329,128.372,130.519,127.791,418502
2025-01-08,127.753,129.136,129.213,127.095,323603
2025-01-10,128.265,126.524,129.039,126.205,708097
2025-01-13,126.515,127.501,128.256,125.954,733639
2025-01-14,127.946,128.41,128.807,127.056,523150
2025-01-15,129.61,128.478,129.668,127.627,545134
2025-01-16,128.12,129.929,130.122,127.453,579102
2025-01-17,130.509,130.683,131.361,129.678,460441
2025-01-21,131.244,132.028,132.715,131.08,490030
2025-01-22,132.27,131.003,132.782,130.683,487940
2025-01-23,130.5,132.212,132.347,130.248,460642
2025-01-24,131.767,131.312,131.767,130.209,357313
2025-01-27,131.66,132.105,133.856,131.032,514245
2025-01-28,132.279,130.664,132.966,130.451,556073
2025-01-29,131.032,132.192,132.85,130.113,438435
2025-01-30,133.479,132.86,134.059,131.863,640115
2025-01-31,132.521,131.97,133.295,131.061,562104
2025-02-03,130.093,130.316,131.138,128.372,903257
