Date,Open,Last,High,Low,Volume
2024-01-29,78.906,80.303,80.373,78.866,2658203
2024-01-30,79.974,80.433,80.652,79.944,2156074
2024-01-31,80.183,79.685,80.672,79.555,2470904
2024-02-01,80.183,81.81,82.049,80.183,4281309
2024-02-02,81.69,83.556,83.825,81.411,2395639
2024-02-05,82.778,82.728,83.336,82.329,2464717
2024-02-06,82.678,83.057,83.217,82.029,7467121
2024-02-07,83.376,84.384,84.783,83.197,2846301
2024-02-08,84.484,85.192,85.312,84.225,2500908
2024-02-09,85.462,85.711,86.32,85.083,4011864
2024-02-12,85.552,85.282,86.05,85.142,1683488
2024-02-13,83.975,84.923,85.192,83.556,2129399
2024-02-14,85.801,86.3,86.649,85.402,2309788
2024-02-15,86.739,87.597,87.717,86.33,2854632
2024-02-16,91.518,89.273,92.117,89.164,5024851
2024-02-20,88.076,86.549,88.296,86.41,3452816
2024-02-21,87.208,88.745,88.814,87.038,3305175
2024-02-22,90.082,90.59,90.72,89.663,2486079
2024-02-23,90.84,90.331,90.91,89.483,2064900
2024-02-26,90.132,90.561,90.94,90.002,2037117
2024-02-27,90.75,90.181,90.91,89.343,2167260
2024-02-28,90.132,89.653,90.581,89.553,2105378
2024-02-29,89.862,91.129,91.249,89.573,4062385
2024-03-01,90.74,91.429,92.237,90.571,2726416
2024-03-04,91.469,91.339,92.157,91.139,1913325
2024-03-05,90.96,89.772,91.059,89.333,4325473
2024-03-06,90.499,90.06,90.988,89.9,2578926
2024-03-07,90.728,90.978,91.217,90.09,2339347
2024-03-08,91.098,90.189,91.487,89.511,1962009
2024-03-11,89.281,89.341,89.681,88.653,2126928
2024-03-12,89.172,90.679,90.838,88.533,1810295
2024-03-13,90.888,90.349,90.938,89.92,2311311
2024-03-14,90.768,90.828,91.217,90.05,2036916
2024-03-15,89.92,90.289,91.078,89.92,2658063
2024-03-18,90.878,91.028,91.577,90.279,1472851
2024-03-19,91.088,91.377,91.587,90.529,1626895
2024-03-20,91.497,93.493,93.533,91.197,2647574
2024-03-21,93.912,94.91,95.1,93.643,2453065
2024-03-22,94.76,94.551,94.9,93.802,1574474
2024-03-25,95.06,94.291,95.978,94.172,2404965
