Date,Open,Last,High,Low,Volume
2024-01-29,110.902,111.33,111.394,110.03,510407
2024-01-30,111.298,111.653,112.04,110.983,901201
2024-01-31,111.701,108.795,111.701,108.181,866462
2024-02-01,108.819,110.555,110.805,108.609,1040904
2024-02-02,110.087,111.645,112.089,109.683,1070525
2024-02-05,110.813,110.595,111.346,110.305,1281874
2024-02-06,113.057,112.944,116.19,111.717,1249517
2024-02-07,114.155,115.907,116.093,113.824,1128654
2024-02-08,115.616,115.576,116.149,114.615,697636
2024-02-09,115.616,117.473,117.497,115.511,758379
2024-02-12,117.473,117.473,117.675,116.86,566711
2024-02-13,116.738,115.487,117.279,115.067,723857
2024-02-14,116.351,116.48,117.15,116.02,1101751
2024-02-15,116.884,118.91,118.91,116.884,766925
2024-02-16,118.91,119.104,120.42,118.208,900914
2024-02-20,118.07,117.352,118.95,117.021,529166
2024-02-21,117.239,116.698,118.054,115.996,818740
2024-02-22,117.442,118.048,118.291,116.406,735059
2024-02-23,118.194,118.898,119.181,117.951,328340
2024-02-26,118.97,118.485,119.601,118.194,767238
2024-02-27,118.93,119.14,119.512,118.032,418923
2024-02-28,119.262,119.011,119.973,118.849,460237
2024-02-29,119.189,118.623,119.666,118.081,927199
2024-03-01,118.623,118.598,118.906,117.854,477193
2024-03-04,118.598,119.019,119.65,117.709,535079
2024-03-05,118.526,119.003,119.828,118.38,496786
2024-03-06,119.391,118.841,119.496,117.967,410053
2024-03-07,119.318,120.305,120.37,119.059,502839
2024-03-08,120.523,118.849,120.928,118.598,394807
2024-03-11,118.849,119.593,119.642,118.056,452969
2024-03-12,119.82,120.669,120.871,119.084,385499
2024-03-13,120.815,121.85,122.724,120.815,472392
2024-03-14,120.985,120.79,121.292,119.561,543092
2024-03-15,120.176,120.499,121.802,119.949,1341324
2024-03-18,120.499,119.65,120.823,119.431,416133
2024-03-19,119.715,121.146,121.195,119.334,398360
2024-03-20,121.114,121.826,122.368,120.742,506136
2024-03-21,122.368,122.481,123.355,121.955,401827
2024-03-22,122.61,121.357,122.61,121.017,425523
2024-03-25,121.47,121.397,121.551,120.556,593796
2024-03-26,121.955,121.64,122.61,121.478,462738
2024-03-27,122.481,123.702,123.767,122.416,600380
2024-03-28,123.751,124.349,124.972,123.533,496695
2024-04-01,123.921,122.327,123.921,121.923,413606
2024-04-02,122.513,121.098,122.554,120.766,718144
2024-04-03,121.154,121.227,122.093,120.936,771590
2024-04-04,122.327,120.637,122.95,120.216,587679
2024-04-05,120.718,119.65,121.195,119.561,540234
2024-04-08,119.982,118.194,120.612,118.089,604145
2024-04-09,118.849,118.679,119.116,117.417,433891
2024-04-10,117.061,116.754,117.781,116.722,291860
2024-04-11,116.754,118.008,118.687,115.363,604741
2024-04-12,117.207,117.005,118.032,116.35,477372
2024-04-15,118.372,116.463,118.372,116.22,524961
2024-04-16,116.479,117.272,117.466,116.058,589256
2024-04-17,118.024,115.646,118.024,114.513,552945
2024-04-18,116.075,116.075,117.11,115.63,311782
2024-04-19,116.617,116.342,117.199,115.792,382757
2024-04-22,117.175,116.568,117.45,116.212,324237
2024-04-23,116.972,116.989,117.595,116.803,345363
2024-04-24,116.625,116.463,117.264,115.8,350128
2024-04-25,115.913,116.625,116.633,114.853,282535
2024-04-26,116.431,117.215,117.781,116.431,391169
2024-04-29,117.199,117.975,118.056,117.199,596528
2024-04-30,117.539,116.099,117.959,115.994,458876
2024-05-01,116.366,115.824,117.28,115.703,496417
2024-05-02,116.164,117.231,117.288,114.813,423633
2024-05-03,118.0,119.795,119.982,117.167,668452
2024-05-06,120.855,120.588,122.141,120.119,1085793
2024-05-07,119.723,114.57,120.54,113.365,1386745
2024-05-08,112.435,112.038,113.891,111.108,1291417
2024-05-09,112.2,113.074,113.745,111.618,1086217
2024-05-10,113.745,112.629,113.834,112.224,472520
2024-05-13,113.155,111.885,113.203,111.707,503971
2024-05-14,112.418,111.521,112.58,111.189,399904
2024-05-15,112.087,111.391,112.087,110.849,549378
2024-05-16,111.043,111.424,111.699,109.846,739309
2024-05-17,111.642,110.364,111.707,109.959,482349
2024-05-20,110.356,110.728,111.205,110.065,394735
2024-05-21,110.76,112.265,112.37,109.733,720726
2024-05-22,112.232,111.521,112.354,111.027,718358
2024-05-23,111.917,112.282,113.295,111.342,794667
2024-05-24,112.874,113.887,114.001,111.982,532160
2024-05-28,114.138,111.463,114.195,111.334,674645
2024-05-29,110.693,108.716,110.993,108.699,583135
2024-05-30,108.618,111.35,111.577,107.921,898003
2024-05-31,111.723,112.947,113.109,110.523,1230925
2024-06-03,113.02,111.844,113.06,110.58,595167
2024-06-04,111.593,112.363,112.404,110.62,682064
2024-06-05,112.282,112.104,112.752,110.953,716513
2024-06-06,111.512,112.104,112.274,110.928,517084
2024-06-07,112.104,112.72,113.96,112.007,505088
2024-06-10,112.533,113.498,113.612,112.323,551563
2024-06-11,113.012,113.068,113.101,111.877,522263
2024-06-12,113.806,113.336,114.292,112.606,648812
2024-06-13,113.239,112.825,113.239,111.382,571225
2024-06-14,112.234,112.023,113.206,110.953,703115
2024-06-17,111.861,114.082,114.236,111.617,449279
2024-06-18,114.228,114.292,114.868,113.903,567609
2024-06-20,114.292,114.446,114.835,113.838,953170
2024-06-21,114.292,114.26,114.908,112.906,1267541
2024-06-24,114.519,115.176,115.792,114.025,822931
2024-06-25,115.022,113.425,115.168,112.768,922027
2024-06-26,112.671,112.728,113.182,112.144,791856
2024-06-27,113.158,113.036,113.595,112.185,1076646
2024-06-28,113.482,113.247,114.884,112.477,1305354
2024-07-01,113.433,112.104,113.644,111.593,660686
2024-07-02,112.112,111.674,112.112,110.985,456940
2024-07-03,111.277,112.258,112.663,111.212,515410
2024-07-05,111.277,110.839,111.382,108.813,913880
2024-07-08,111.253,111.585,112.079,111.212,355174
2024-07-09,111.472,110.596,111.617,110.531,300481
2024-07-10,110.783,112.323,112.388,110.191,339790
2024-07-11,112.744,114.382,114.479,112.331,476346
2024-07-12,115.273,116.667,117.202,114.746,597501
2024-07-15,116.724,117.292,117.786,116.594,639285
2024-07-16,117.818,122.187,122.204,117.535,762459
2024-07-17,121.823,121.223,123.282,121.223,744813
2024-07-18,121.563,120.574,123.509,119.877,575166
2024-07-19,120.947,119.877,121.636,119.188,374131
2024-07-22,120.534,121.134,121.182,119.723,339226
2024-07-23,120.955,122.625,122.698,120.615,455458
2024-07-24,122.479,115.857,122.674,115.792,1414178
2024-07-25,116.667,118.086,119.634,116.578,700653
2024-07-26,119.167,118.566,120.118,118.006,527153
2024-07-29,119.159,118.42,119.59,118.185,565789
2024-07-30,118.842,118.737,119.768,118.656,541454
2024-07-31,119.573,118.867,120.434,118.315,542643
2024-08-01,119.297,117.575,119.444,116.325,866382
2024-08-02,117.08,115.529,117.08,114.806,595391
2024-08-05,112.978,113.815,114.879,111.987,1023418
2024-08-06,113.823,114.27,116.333,111.728,880820
2024-08-07,114.465,113.238,115.91,113.198,1076617
2024-08-08,113.872,115.545,116.422,113.482,1446676
2024-08-09,115.618,116.552,117.137,114.684,1008832
2024-08-12,116.788,116.544,116.991,115.594,664776
2024-08-13,116.901,116.999,117.551,116.065,823712
2024-08-14,116.983,117.762,118.388,116.113,818694
2024-08-15,118.777,119.094,119.565,118.233,563032
2024-08-16,118.924,119.322,119.898,118.842,575065
2024-08-19,119.476,120.248,120.556,119.297,502940
2024-08-20,119.955,119.768,120.418,119.046,542216
2024-08-21,120.239,120.564,120.67,119.841,426358
2024-08-22,120.475,120.711,121.263,119.988,394659
2024-08-23,121.271,121.019,121.791,120.378,508157
2024-08-26,121.685,121.864,123.293,121.498,563969
2024-08-27,121.807,121.815,122.075,121.352,351487
