Date,Open,Last,High,Low,Volume
2024-01-29,54.087,54.337,54.356,53.522,9004275
2024-01-30,53.052,52.265,53.608,51.037,10868651
2024-01-31,51.747,50.539,52.054,49.896,11717567
2024-02-01,51.085,51.824,52.294,50.817,5815274
2024-02-02,51.44,52.227,52.265,51.114,5413084
2024-02-05,51.594,51.162,51.939,51.133,5822568
2024-02-06,50.932,51.085,51.383,50.634,8325107
2024-02-07,51.737,52.179,52.198,51.162,4807826
2024-02-08,52.294,52.86,53.08,51.977,5620770
2024-02-09,52.965,53.234,53.454,52.85,4475926
2024-02-12,53.253,53.195,53.752,53.138,3520247
2024-02-13,52.514,52.505,52.946,51.862,7073033
2024-02-14,52.821,54.74,54.97,52.821,9543602
2024-02-15,54.596,55.056,55.756,54.509,6408859
2024-02-16,54.941,54.538,55.545,54.375,4529341
2024-02-20,54.011,54.318,54.596,53.982,5807622
2024-02-21,54.174,55.44,55.459,54.135,4742413
2024-02-22,55.632,55.891,56.111,55.43,5316017
2024-02-23,55.843,56.054,56.514,55.728,5334848
2024-02-26,55.881,56.188,56.303,55.776,3890972
2024-02-27,56.85,56.994,57.118,56.495,4043523
2024-02-28,56.946,57.08,57.166,56.639,3601473
2024-02-29,57.502,56.85,57.608,56.773,6170818
2024-03-01,56.754,57.665,57.895,56.696,3761759
2024-03-04,57.78,57.895,58.346,57.397,5160052
2024-03-05,57.684,57.886,58.231,57.406,10455642
2024-03-06,58.413,58.039,58.672,57.982,4250969
2024-03-07,58.519,58.816,58.874,58.365,4019547
2024-03-08,59.171,59.209,59.449,58.864,4707466
2024-03-11,59.075,58.711,59.238,58.289,4254101
2024-03-12,58.883,59.459,59.555,58.528,4085357
2024-03-13,59.401,59.756,59.794,59.324,4437657
2024-03-14,59.9,60.514,60.639,59.766,9737572
2024-03-15,60.38,60.61,60.955,60.255,10462620
2024-03-18,60.878,60.581,61.089,60.437,5138283
2024-03-19,60.6,61.156,61.214,60.389,3601710
2024-03-20,61.262,61.511,61.742,60.85,3077814
2024-03-21,61.674,62.135,62.202,61.483,4690624
2024-03-22,62.202,61.497,62.308,61.459,3631884
2024-03-25,61.575,61.382,61.729,61.256,5132960
2024-03-26,61.536,61.835,62.173,61.372,6032843
2024-03-27,62.095,62.578,62.587,61.835,4126073
2024-03-28,62.684,63.012,63.089,62.491,9387861
2024-04-01,63.06,62.829,63.137,62.385,4797060
2024-04-02,62.906,63.186,63.263,62.597,5658496
2024-04-03,63.186,63.205,63.822,62.964,4702699
2024-04-04,63.957,62.115,64.141,61.874,5979349
2024-04-05,62.327,62.886,63.137,62.279,3043053
2024-04-08,63.137,62.559,63.234,62.52,3761578
2024-04-09,62.578,63.34,63.398,62.182,3605156
2024-04-10,62.559,63.099,63.195,62.337,4016201
2024-04-11,63.456,62.867,63.533,62.076,3438347
2024-04-12,62.288,62.983,63.166,62.221,4673201
2024-04-15,63.87,62.124,63.957,61.912,3384450
2024-04-16,61.845,61.96,62.134,61.266,3655062
2024-04-17,62.491,61.44,62.491,60.928,3920429
2024-04-18,61.864,61.517,62.317,61.459,3263181
2024-04-19,61.71,61.411,62.221,61.314,5220302
2024-04-22,61.449,62.356,62.848,61.449,3195649
2024-04-23,62.559,62.867,63.137,62.491,2654684
2024-04-24,62.713,62.327,63.243,61.729,7309742
2024-04-25,62.231,62.173,62.491,61.526,5145292
2024-04-26,62.404,62.809,63.108,62.182,6408009
2024-04-29,62.819,63.002,63.292,62.694,5015570
2024-04-30,63.012,62.771,63.658,62.684,5314781
2024-05-01,59.877,58.333,60.658,57.716,14984806
2024-05-02,58.574,58.603,58.98,57.918,7559399
2024-05-03,59.086,60.176,60.263,58.69,7096178
2024-05-06,60.079,61.14,61.198,59.906,7291958
2024-05-07,61.324,62.182,62.317,61.15,5413433
2024-05-08,62.298,62.935,63.137,61.922,4819675
2024-05-09,63.186,63.417,63.639,62.703,4620399
2024-05-10,63.581,63.272,63.813,62.935,3957414
2024-05-13,63.591,63.726,64.054,63.542,5026260
2024-05-14,64.179,64.517,64.864,64.083,3895035
2024-05-15,64.671,65.771,65.896,64.604,5961255
2024-05-16,65.916,65.858,67.035,65.771,5774359
2024-05-17,65.79,66.581,66.774,65.568,5002949
2024-05-20,69.263,68.125,70.411,67.777,13185787
2024-05-21,68.125,70.285,70.498,68.125,11636229
2024-05-22,69.543,70.604,70.691,69.504,7180978
2024-05-23,71.057,70.671,71.076,69.697,6172389
2024-05-24,71.125,71.289,71.607,70.546,4473217
2024-05-28,71.192,70.112,71.308,69.774,5684539
2024-05-29,70.324,68.588,70.816,68.501,6001757
2024-05-30,68.646,69.031,69.224,68.318,3705512
2024-05-31,69.08,69.369,69.504,68.366,6091049
2024-06-03,69.658,69.128,69.745,68.211,4976601
2024-06-04,68.877,68.568,69.543,68.318,3815399
2024-06-05,68.597,69.408,69.591,68.491,2577315
2024-06-06,69.282,67.121,69.302,67.015,4226746
2024-06-07,66.919,67.478,67.874,66.34,3976893
2024-06-10,67.179,68.289,68.395,66.668,2989941
2024-06-11,67.835,68.057,68.202,67.305,2173726
2024-06-12,68.867,68.655,69.08,67.797,5608293
2024-06-13,68.549,68.125,68.588,67.218,3969202
2024-06-14,67.478,66.977,67.691,66.186,4533528
2024-06-17,66.591,66.861,67.044,66.321,3502704
2024-06-18,66.803,66.658,66.928,65.144,4749352
2024-06-20,66.523,65.78,66.89,65.723,4164840
2024-06-21,65.723,65.761,66.089,65.163,7326886
2024-06-24,66.225,66.7,67.234,65.992,4352900
2024-06-25,66.632,65.585,66.914,65.478,3494642
2024-06-26,65.168,63.926,65.381,63.897,5102290
2024-06-27,64.208,65.013,65.071,63.936,5580412
2024-06-28,64.702,64.469,65.759,64.421,5242277
2024-07-01,64.77,63.548,65.022,63.519,4176876
2024-07-02,63.839,64.324,64.576,63.606,3126467
2024-07-03,64.159,64.848,65.129,64.159,1934278
2024-07-05,64.848,64.78,64.983,64.188,3702911
2024-07-08,64.983,65.207,65.585,64.848,3082576
2024-07-09,65.565,65.119,65.73,65.061,3723622
2024-07-10,65.284,65.759,65.837,64.586,3187332
2024-07-11,66.099,67.602,67.835,66.05,3220223
2024-07-12,67.893,67.874,68.281,67.593,2482501
2024-07-15,68.621,67.903,69.009,67.864,2630184
2024-07-16,68.233,70.008,70.066,68.233,2998049
2024-07-17,69.542,67.748,69.688,67.651,2923112
2024-07-18,67.389,67.447,69.639,67.049,6398866
2024-07-19,68.01,66.875,68.01,66.749,2441695
2024-07-22,67.544,68.087,68.116,66.826,2133280
2024-07-23,67.544,67.04,67.874,66.147,7095244
2024-07-24,66.729,65.507,66.768,65.391,8242551
2024-07-25,65.517,64.712,65.982,64.576,5836188
2024-07-26,65.808,66.7,67.146,65.672,4794459
2024-07-29,66.846,67.214,67.534,66.778,6716382
2024-07-30,67.272,66.952,67.874,66.904,4127147
2024-07-31,72.743,69.387,73.092,68.592,13980070
2024-08-01,69.629,68.213,70.774,67.816,6129145
