Date,Open,Last,High,Low,Volume
2024-01-29,164.21,163.814,164.877,163.099,379082
2024-01-30,163.611,163.727,164.732,163.35,440230
2024-01-31,163.91,160.229,164.19,159.07,2118666
2024-02-01,160.229,161.041,163.089,158.77,531967
2024-02-02,161.06,160.045,161.147,158.731,500886
2024-02-05,158.818,157.726,160.277,156.664,463226
2024-02-06,157.437,158.374,159.379,155.205,871640
2024-02-07,160.76,163.466,164.896,157.301,933569
2024-02-08,163.707,168.171,168.336,163.524,622660
2024-02-09,169.089,169.988,170.152,167.823,461677
2024-02-12,172.345,169.775,172.345,169.592,427268
2024-02-13,167.766,166.78,168.915,165.34,520041
2024-02-14,167.137,169.34,169.418,167.089,495867
2024-02-15,170.075,168.2,170.548,167.852,584254
2024-02-16,167.785,166.654,169.737,166.635,428357
2024-02-20,165.649,167.253,167.949,165.166,383697
2024-02-21,166.761,166.316,166.761,164.857,287613
2024-02-22,167.244,167.775,169.795,166.828,471886
2024-02-23,168.79,170.007,170.857,168.529,307233
2024-02-26,169.06,168.529,170.326,168.046,449055
2024-02-27,169.012,169.273,169.476,168.249,262406
2024-02-28,168.935,167.476,169.553,166.896,300181
2024-02-29,168.606,167.901,169.022,167.369,445651
2024-03-01,167.901,166.152,167.901,165.872,392891
2024-03-04,166.432,167.688,167.997,165.804,379783
2024-03-05,167.64,166.693,168.577,165.843,337787
2024-03-06,167.195,168.432,169.94,166.606,294748
2024-03-07,169.38,168.45,169.845,167.461,249665
2024-03-08,169.099,169.293,171.251,169.099,360622
2024-03-11,169.157,168.197,169.971,167.519,319838
2024-03-12,168.246,166.55,168.895,165.784,433367
2024-03-13,167.209,167.063,168.159,166.695,356776
2024-03-14,167.393,165.571,167.849,164.727,308275
2024-03-15,163.836,165.706,166.055,163.836,491255
2024-03-18,165.726,165.173,166.472,164.979,292366
2024-03-19,165.435,165.803,166.162,164.999,257193
2024-03-20,166.113,166.239,166.491,164.776,231857
2024-03-21,166.617,166.588,166.957,165.571,530075
2024-03-22,167.151,163.768,167.238,163.632,285695
2024-03-25,164.097,160.666,164.097,160.54,716258
2024-03-26,160.85,161.286,163.341,160.695,438685
2024-03-27,162.12,166.976,167.112,161.994,585423
2024-03-28,167.354,168.401,168.924,167.17,411616
2024-04-01,168.139,165.231,168.139,164.727,374960
2024-04-02,165.212,165.067,166.346,163.865,446918
2024-04-03,165.008,165.037,165.997,163.748,399786
2024-04-04,166.007,164.214,166.327,163.719,415951
2024-04-05,164.204,164.815,164.989,163.816,275370
2024-04-08,164.785,166.307,168.42,163.826,450410
2024-04-09,166.966,168.828,168.915,166.22,346394
2024-04-10,167.122,165.231,167.122,164.611,348883
2024-04-11,165.638,164.834,165.638,163.409,373474
2024-04-12,163.884,162.43,165.125,161.751,304376
2024-04-15,163.341,159.978,164.01,159.638,287193
2024-04-16,159.978,158.727,160.627,158.64,230692
2024-04-17,159.454,159.619,160.472,158.514,295598
2024-04-18,159.861,159.716,160.075,158.659,310160
2024-04-19,160.249,160.52,161.509,158.824,368438
2024-04-22,160.898,159.784,161.509,159.638,329182
2024-04-23,160.249,161.373,162.643,159.784,297528
2024-04-24,160.608,160.133,161.412,159.299,350843
2024-04-25,159.609,160.802,161.441,158.902,240179
2024-04-26,160.346,159.823,161.877,159.609,378670
2024-04-29,160.094,161.024,161.519,159.997,294075
2024-04-30,159.968,157.7,159.978,157.264,502331
2024-05-01,157.593,157.535,159.348,157.225,498824
2024-05-02,158.155,157.525,158.97,156.062,369854
2024-05-03,158.068,159.144,159.444,157.448,359286
2024-05-06,159.939,159.9,160.627,158.359,402895
2024-05-07,160.86,160.569,162.188,159.551,576417
2024-05-08,161.751,160.511,167.18,160.084,893334
2024-05-09,161.092,163.855,163.942,160.802,478512
2024-05-10,163.981,164.049,164.747,162.808,319815
2024-05-13,164.785,162.575,164.979,161.897,471525
2024-05-14,163.079,160.608,163.079,158.252,449233
2024-05-15,161.499,162.682,162.798,160.821,387926
2024-05-16,162.682,164.184,164.64,161.994,358805
2024-05-17,164.456,163.806,164.456,161.926,313859
2024-05-20,163.777,164.252,164.96,162.634,298875
2024-05-21,164.485,163.894,164.863,163.06,300744
2024-05-22,163.632,164.427,164.989,163.477,265672
2024-05-23,164.223,163.167,164.514,162.769,422807
2024-05-24,163.639,163.979,164.096,162.637,226664
2024-05-28,163.308,158.105,163.308,157.424,630436
2024-05-29,156.685,157.094,158.154,155.781,470291
2024-05-30,157.094,156.724,158.056,155.771,338151
2024-05-31,156.996,160.157,160.245,156.277,1047874
2024-06-03,159.612,158.776,160.867,157.22,350659
2024-06-04,157.881,157.259,159.447,156.88,859418
2024-06-05,157.901,159.865,160.225,157.016,412338
2024-06-06,160.128,160.031,161.334,159.778,223264
2024-06-07,159.496,160.254,160.896,158.951,237268
2024-06-10,160.128,159.544,160.235,157.21,271509
2024-06-11,158.854,157.094,159.953,156.763,418430
2024-06-12,158.095,155.81,158.582,155.693,356165
2024-06-13,155.197,154.195,155.431,152.688,793583
2024-06-14,153.69,157.133,157.22,153.583,580031
2024-06-17,156.578,160.507,161.052,155.645,578973
2024-06-18,160.643,157.755,161.207,157.57,525637
2024-06-20,157.551,161.324,162.015,157.415,519661
2024-06-21,161.81,162.161,162.744,160.614,686699
2024-06-24,161.772,161.859,163.794,161.295,402201
2024-06-25,162.112,161.791,162.462,160.031,539156
2024-06-26,161.314,162.52,162.832,160.634,670311
2024-06-27,162.491,162.141,163.571,161.48,390842
2024-06-28,162.433,161.46,164.067,160.468,1184918
2024-07-01,162.063,159.0,162.433,157.979,450160
2024-07-02,159.467,159.262,160.702,158.825,473734
2024-07-03,158.903,159.155,159.895,157.852,272236
2024-07-05,159.155,158.582,159.33,158.018,324540
2024-07-08,158.805,159.826,160.459,158.348,380840
2024-07-09,159.826,158.407,160.186,158.261,395092
2024-07-10,158.436,156.452,158.436,154.264,412245
2024-07-11,157.658,159.632,159.69,157.045,332663
2024-07-12,160.391,161.713,163.026,160.235,331294
2024-07-15,161.703,162.773,163.882,160.391,323541
2024-07-16,163.59,165.078,165.992,162.802,345170
2024-07-17,165.341,165.078,166.43,164.329,311045
2024-07-18,164.106,163.435,166.731,163.25,243839
2024-07-19,163.969,161.538,165.234,161.081,320830
2024-07-22,162.151,164.3,164.679,161.412,260323
2024-07-23,164.738,162.481,165.136,162.131,245095
2024-07-24,162.481,163.318,164.358,162.102,346117
2024-07-25,164.154,162.88,167.276,162.725,338137
2024-07-26,163.454,165.652,165.895,163.396,237151
2024-07-29,165.924,165.496,167.218,164.553,249146
2024-07-30,166.274,167.675,168.083,164.747,257028
2024-07-31,167.957,166.77,168.288,166.304,354342
2024-08-01,166.693,164.427,167.334,163.678,329147
2024-08-02,163.717,165.535,166.381,162.199,331760
2024-08-05,164.242,159.301,164.358,159.097,373882
2024-08-06,159.515,161.937,163.892,159.233,278968
2024-08-07,162.686,161.451,164.854,160.488,405162
2024-08-08,161.801,162.754,163.649,161.266,351806
2024-08-09,162.9,161.869,163.862,161.46,401391
2024-08-12,161.859,158.241,162.054,158.105,382017
2024-08-13,158.698,160.624,160.692,157.638,504346
2024-08-14,160.381,160.264,161.83,159.671,335848
2024-08-15,160.887,160.245,161.927,158.3,329292
2024-08-16,159.904,160.536,160.906,159.243,503227
2024-08-19,160.984,159.583,161.334,158.796,825743
2024-08-20,159.603,161.003,162.18,159.078,790635
2024-08-21,157.551,160.906,163.055,155.829,1467179
2024-08-22,160.877,159.292,162.083,158.125,579261
2024-08-23,159.612,160.108,160.322,158.883,459071
2024-08-26,160.867,164.203,164.747,160.108,517670
2024-08-27,164.203,166.683,166.955,163.551,432441
2024-08-28,167.218,168.988,170.067,167.218,588144
2024-08-29,169.805,167.169,169.805,166.965,442967
2024-08-30,167.354,168.278,168.57,166.547,427055
