Date,Open,Last,High,Low,Volume
2024-01-29,164.18,164.647,164.751,163.284,6971192
2024-01-30,164.742,168.021,168.488,164.742,10822075
2024-01-31,167.954,166.2,169.956,166.181,11521820
2024-02-01,165.514,165.6,166.658,163.407,9354798
2024-02-02,165.19,166.553,167.592,165.152,8607839
2024-02-05,165.724,166.334,166.896,164.828,7820160
2024-02-06,166.439,166.906,167.64,165.628,6765684
2024-02-07,167.468,167.22,167.64,165.819,7225478
2024-02-08,166.81,166.62,167.106,165.447,6060285
2024-02-09,166.81,166.82,166.906,165.543,6296729
2024-02-12,166.601,167.563,168.536,165.571,8539316
2024-02-13,167.115,166.105,167.983,164.542,8397631
2024-02-14,166.877,167.792,167.859,166.258,7056664
2024-02-15,167.907,171.452,171.777,167.907,8723390
2024-02-16,171.205,170.652,171.557,169.823,8152647
2024-02-20,170.804,171.319,172.015,170.061,9667959
2024-02-21,171.529,172.434,172.52,170.166,7027857
2024-02-22,173.311,174.503,174.836,172.758,9296459
2024-02-23,175.208,175.38,176.533,174.617,7105833
2024-02-26,175.151,174.779,175.828,173.94,7145391
2024-02-27,174.732,174.865,174.951,173.712,5717065
2024-02-28,174.846,175.751,176.533,174.398,6131608
2024-02-29,176.972,177.353,177.705,175.246,9643012
2024-03-01,177.01,176.619,177.715,176.438,6311996
2024-03-04,176.066,177.944,178.811,175.647,7063605
2024-03-05,177.639,179.726,180.441,177.639,6617832
2024-03-06,180.394,180.66,181.175,178.849,7572891
2024-03-07,181.023,179.078,181.585,177.896,7618277
2024-03-08,179.621,179.412,181.547,179.126,6172199
2024-03-11,178.516,179.478,179.621,177.505,5762569
2024-03-12,180.108,180.956,181.261,179.116,5708384
2024-03-13,181.452,182.424,182.757,180.956,7795535
2024-03-14,182.09,179.173,182.662,178.344,10310948
2024-03-15,177.753,181.394,182.004,177.753,17214229
2024-03-18,181.709,183.644,183.682,181.004,9013843
2024-03-19,183.692,184.721,184.855,183.377,8478717
2024-03-20,185.102,187.142,187.361,184.549,9367043
2024-03-21,187.323,189.744,190.097,187.142,11203796
2024-03-22,189.697,187.419,191.098,187.342,8108840
2024-03-25,187.4,185.703,187.724,185.264,8620015
2024-03-26,185.484,186.57,187.457,184.978,5961484
2024-03-27,187.304,190.183,190.259,187.19,8725757
2024-03-28,190.154,190.926,191.327,189.249,8628313
2024-04-01,190.631,189.63,191.536,189.277,7309009
2024-04-02,189.106,189.554,190.431,188.81,7014683
2024-04-03,189.725,189.02,190.221,188.448,9353426
2024-04-04,190.938,187.582,191.446,187.486,9243793
2024-04-05,188.071,189.308,189.95,187.064,6532278
2024-04-08,189.471,190.295,190.775,189.471,8000963
2024-04-09,189.902,189.02,190.679,186.872,7358631
2024-04-10,187.486,187.409,188.943,186.172,7681377
2024-04-11,187.917,187.371,188.464,185.271,10137699
2024-04-12,180.554,175.252,181.139,175.012,31532308
2024-04-15,176.892,175.348,179.73,174.686,14766592
2024-04-16,175.358,173.344,175.607,172.242,16451801
2024-04-17,173.891,172.654,174.897,171.81,9017093
2024-04-18,173.632,173.776,175.799,172.548,9557720
2024-04-19,174.878,178.138,178.215,173.929,13402313
2024-04-22,178.32,181.599,182.289,178.311,11529668
2024-04-23,183.248,184.217,184.303,182.663,9144372
2024-04-24,182.673,185.118,185.262,182.328,6964905
2024-04-25,184.322,185.396,185.942,183.296,9802265
2024-04-26,185.588,185.511,186.834,185.099,6413655
2024-04-29,185.501,185.31,186.249,184.495,5411129
2024-04-30,184.859,183.833,186.949,183.737,8153681
2024-05-01,184.341,183.948,186.441,182.922,7446703
2024-05-02,185.108,183.756,185.52,181.705,6501657
2024-05-03,184.082,182.654,184.59,180.688,8922775
2024-05-06,183.823,184.082,184.274,181.992,7911134
2024-05-07,183.795,183.843,184.974,183.747,7688771
2024-05-08,183.124,187.582,188.541,183.124,9227561
2024-05-09,187.122,189.356,189.442,187.055,7977291
2024-05-10,190.353,190.573,191.12,190.094,7529790
2024-05-13,190.602,190.535,191.609,189.873,7049241
2024-05-14,190.794,193.2,193.267,189.988,8596175
2024-05-15,193.68,193.775,194.332,191.532,8369975
2024-05-16,193.881,194.121,196.048,193.66,8497927
2024-05-17,195.405,196.345,196.594,194.447,9260490
2024-05-20,195.961,187.515,197.39,187.342,17373253
2024-05-21,188.876,191.292,191.657,188.493,14420799
2024-05-22,190.794,190.132,192.654,189.538,9425338
2024-05-23,189.653,188.799,190.123,187.985,8069445
2024-05-24,189.595,192.433,192.481,189.413,7356233
2024-05-28,191.618,191.273,192.146,190.468,6910206
2024-05-29,189.835,189.94,190.784,188.771,6120045
2024-05-30,190.372,191.11,191.609,190.218,6829719
2024-05-31,191.081,194.274,194.916,190.17,14417885
2024-06-03,193.967,193.497,194.073,190.976,6444309
2024-06-04,191.906,190.947,193.651,190.103,6848338
2024-06-05,191.522,189.125,191.58,188.799,8351597
2024-06-06,189.125,188.79,189.854,187.275,7640289
2024-06-07,189.288,191.705,192.635,188.886,6964498
2024-06-10,191.024,191.379,192.558,190.257,6071201
2024-06-11,189.749,186.345,189.777,185.616,9235302
2024-06-12,187.917,183.632,188.608,183.421,12751329
2024-06-13,184.389,185.674,186.556,183.009,8587786
2024-06-14,183.555,185.789,186.824,183.526,6874029
2024-06-17,185.501,186.939,187.515,184.696,8725445
2024-06-18,186.575,188.876,189.797,186.125,9022971
2024-06-20,188.291,190.477,191.225,188.023,8731062
2024-06-21,188.598,188.205,189.039,186.211,20972495
2024-06-24,189.653,190.679,191.014,188.972,9785929
2024-06-25,189.921,189.902,191.82,189.586,6915909
2024-06-26,189.308,189.288,189.777,188.186,7758582
2024-06-27,189.298,190.957,191.618,188.78,7913453
2024-06-28,191.762,193.919,194.245,191.081,15307616
2024-07-01,194.475,196.978,198.55,194.303,10205836
2024-07-02,196.824,200.218,200.247,196.326,7802936
2024-07-03,200.909,200.084,201.704,199.087,5560925
2024-07-05,199.552,197.431,199.918,197.171,8093096
2024-07-08,197.672,197.797,199.465,196.64,8706967
2024-07-09,198.241,200.169,202.222,198.067,9060258
2024-07-10,198.732,200.333,200.497,198.193,8328493
2024-07-11,198.8,199.995,200.622,198.0,10666937
2024-07-12,196.669,197.576,199.995,194.838,15443441
2024-07-15,199.745,202.502,204.006,199.292,10719670
2024-07-16,202.454,205.944,206.059,200.603,11557018
2024-07-17,206.117,209.077,209.742,205.606,11572470
2024-07-18,207.881,202.434,208.855,201.721,12415125
2024-07-19,203.611,202.242,204.719,201.413,8095898
2024-07-22,202.897,202.724,204.546,202.174,7663223
2024-07-23,203.437,202.772,203.881,201.827,5557262
2024-07-24,202.02,201.094,204.411,200.593,7118957
2024-07-25,201.152,201.171,202.637,200.574,6403774
2024-07-26,201.721,204.613,205.5,201.123,8027787
2024-07-29,205.008,203.273,205.934,202.984,6533636
2024-07-30,205.568,207.457,208.036,205.307,8850705
2024-07-31,207.062,205.153,208.614,205.028,9071637
2024-08-01,205.539,200.487,206.146,198.964,10918644
2024-08-02,196.554,191.984,197.315,189.815,18041676
2024-08-05,187.077,187.896,189.121,184.04,13926997
2024-08-06,188.378,193.141,195.32,187.029,10605780
2024-08-07,196.197,193.199,198.356,193.006,9204434
2024-08-08,195.194,196.727,197.547,194.539,7761199
2024-08-09,196.158,198.405,199.051,195.609,5540240
2024-08-12,198.993,198.781,199.696,196.342,6935954
2024-08-13,200.265,200.468,200.612,198.019,6387942
2024-08-14,200.275,202.685,203.186,199.677,6999809
2024-08-15,205.346,203.948,206.204,203.514,7001005
2024-08-16,204.083,206.281,206.397,203.987,7931234
2024-08-19,206.31,207.708,207.785,206.136,6090818
2024-08-20,207.274,206.811,208.238,206.001,5640223
2024-08-21,206.725,206.888,207.274,205.192,5202472
2024-08-22,206.869,208.845,209.009,206.638,5247098
2024-08-23,209.781,210.465,211.313,208.72,7213981
2024-08-26,211.14,211.294,211.786,210.214,5105245
2024-08-27,211.622,212.268,212.499,211.313,5185221
2024-08-28,211.371,213.338,214.225,211.313,6506402
2024-08-29,214.167,214.225,214.967,211.072,6416149
2024-08-30,214.505,216.722,217.377,213.955,8574128
2024-09-03,214.312,212.384,216.047,211.362,8956089
2024-09-04,213.097,211.448,214.09,209.405,7389474
2024-09-05,212.239,209.81,212.866,208.267,8067874
2024-09-06,209.781,204.825,210.88,203.505,7776998
2024-09-09,207.457,209.019,210.311,206.483,8935074
2024-09-10,210.745,198.173,210.783,193.401,28406903
2024-09-11,197.874,199.783,200.236,194.577,13658743
2024-09-12,200.188,199.176,201.278,197.527,9055756
2024-09-13,199.427,196.978,200.381,195.725,10226694
2024-09-16,198.434,200.391,200.728,198.202,8634936
2024-09-17,200.265,201.731,202.386,200.198,7573345
2024-09-18,201.499,200.072,203.746,199.272,8259876
2024-09-19,202.242,202.916,204.295,199.889,11635168
2024-09-20,202.386,203.505,203.823,201.972,20884974
2024-09-23,203.418,203.842,204.189,202.444,7223491
2024-09-24,203.562,203.987,205.298,202.81,7323239
2024-09-25,204.073,202.637,204.613,201.114,8976520
2024-09-26,203.543,202.242,204.093,201.499,7807480
2024-09-27,203.08,202.936,204.806,201.808,7032450
2024-09-30,198.896,203.283,203.379,197.884,8668314
2024-10-01,201.393,199.6,201.576,198.781,8540064
2024-10-02,199.639,199.841,201.441,198.299,5810931
2024-10-03,198.761,197.855,199.07,196.997,7251325
2024-10-04,203.017,204.88,205.316,200.699,10213415
2024-10-07,204.695,204.598,206.926,203.396,6718898
2024-10-08,204.259,204.424,204.986,202.125,6021772
2024-10-09,203.405,207.014,207.809,203.095,7023998
2024-10-10,208.362,206.451,208.362,205.122,7927051
2024-10-11,209.196,215.617,217.887,208.701,18320650
2024-10-14,216.5,214.832,216.985,212.31,9048925
2024-10-15,216.946,215.714,218.682,215.161,9235825
2024-10-16,215.656,216.927,216.966,214.405,6382515
2024-10-17,217.538,217.683,219.07,216.607,6470186
2024-10-18,218.246,218.605,219.138,216.403,7000543
2024-10-21,218.459,216.306,218.925,216.209,5869959
2024-10-22,216.325,217.392,218.518,214.463,9586793
2024-10-23,216.946,216.704,218.052,215.85,6180528
2024-10-24,215.171,218.227,218.304,215.006,6002202
2024-10-25,218.246,215.637,218.847,214.25,6369720
2024-10-28,216.646,218.731,218.867,216.258,6842956
2024-10-29,218.45,216.209,219.943,216.122,6580004
2024-10-30,215.86,217.674,219.517,214.929,7110941
2024-10-31,217.955,215.258,218.915,215.161,7829932
2024-11-01,216.849,216.248,219.361,216.015,6923452
2024-11-04,215.967,213.183,217.043,212.591,8229588
2024-11-05,213.425,214.841,215.297,213.396,5600686
2024-11-06,227.946,239.644,240.556,227.723,23987753
2024-11-07,237.161,229.284,237.229,228.159,16451071
2024-11-08,232.156,229.866,232.156,228.702,9502100
2024-11-11,232.796,232.107,234.833,231.826,9017079
2024-11-12,233.329,232.369,234.212,231.593,6860956
2024-11-13,233.358,233.921,236.763,233.096,11472557
2024-11-14,235.143,234.61,236.957,233.814,10172202
2024-11-15,234.212,237.946,239.023,234.212,11518836
2024-11-18,240.323,237.675,240.488,235.395,9052575
2024-11-19,234.978,235.793,237.791,234.299,6792660
2024-11-20,237.064,233.552,237.267,231.477,9015290
2024-11-21,235.929,237.413,238.121,234.842,8783516
2024-11-22,236.297,241.089,241.671,235.735,7997307
2024-11-25,242.098,242.777,246.676,241.584,10295350
2024-11-26,242.971,242.466,243.466,240.885,6212142
2024-11-27,241.865,242.292,243.65,241.302,5472265
2024-11-29,242.36,242.224,244.212,241.962,5494825
2024-12-02,242.059,238.858,242.738,237.675,8899741
2024-12-03,240.779,237.471,241.564,237.287,6657694
2024-12-04,237.355,236.094,237.985,234.959,7346265
2024-12-05,238.024,238.111,239.76,237.277,6572536
2024-12-06,238.325,239.935,240.303,237.49,5519738
2024-12-09,239.712,236.491,240.429,236.443,7076466
2024-12-10,236.569,235.57,240.517,234.949,9108339
2024-12-11,236.676,236.22,236.938,234.91,7884442
2024-12-12,235.706,234.28,236.773,233.805,6113771
2024-12-13,234.804,232.738,235.434,231.962,10392749
2024-12-16,233.387,232.388,233.446,230.39,9032044
2024-12-17,231.486,231.205,231.845,229.527,8083635
2024-12-18,231.826,223.455,231.894,222.64,11322358
2024-12-19,225.298,225.967,229.265,225.298,11790773
2024-12-20,224.958,230.468,232.029,224.638,32348414
2024-12-23,228.984,231.234,231.457,227.829,8611528
