Date,Open,Last,High,Low,Volume
2024-01-29,58.467,58.819,59.026,58.278,1060555
2024-01-30,58.323,58.355,59.008,58.273,1036487
2024-01-31,57.609,58.227,59.006,57.017,1081358
2024-02-01,58.691,58.723,59.011,58.285,890076
2024-02-02,58.345,59.234,59.559,58.126,854364
2024-02-05,59.529,60.269,60.29,58.864,902975
2024-02-06,60.415,58.97,60.415,58.405,1027768
2024-02-07,59.732,59.683,60.036,58.681,857850
2024-02-08,59.683,60.623,61.242,59.612,733203
2024-02-09,61.668,63.692,63.835,61.609,1246384
2024-02-12,63.329,63.52,64.453,63.243,1233324
2024-02-13,61.572,62.836,63.66,61.31,1499634
2024-02-14,63.712,64.088,64.875,63.494,1175003
2024-02-15,64.343,64.086,65.013,63.901,1025640
2024-02-16,65.521,64.967,66.551,64.595,1060403
2024-02-20,64.295,64.026,64.932,63.331,1262762
2024-02-21,63.378,64.041,64.055,62.788,746149
2024-02-22,66.373,67.169,67.555,66.097,1077775
2024-02-23,67.094,65.701,67.543,65.623,597982
2024-02-26,66.369,67.174,67.464,66.209,649815
2024-02-27,66.798,66.561,67.261,66.472,717488
2024-02-28,65.591,66.111,66.37,65.591,622749
2024-02-29,67.039,67.025,67.202,66.292,998855
2024-03-01,67.612,70.49,70.652,67.61,1124895
2024-03-04,71.195,70.513,71.514,70.378,751361
2024-03-05,69.975,69.34,70.357,68.549,1107519
2024-03-06,69.92,70.282,70.873,69.357,1063689
2024-03-07,70.658,71.049,71.627,70.658,1059117
2024-03-08,71.004,68.686,71.168,68.686,1121948
2024-03-11,67.786,67.328,67.922,66.319,1037728
2024-03-12,67.95,68.607,68.651,67.128,875570
2024-03-13,67.84,67.655,68.337,67.012,1155487
2024-03-14,68.612,68.01,68.862,67.562,934329
2024-03-15,67.47,67.182,67.967,66.771,1669472
2024-03-18,68.403,67.85,69.272,67.71,798087
2024-03-19,66.583,66.903,67.389,65.689,888650
2024-03-20,66.815,68.366,68.588,66.167,904367
2024-03-21,70.423,70.054,71.479,69.896,758168
2024-03-22,69.395,69.801,70.56,69.276,412731
2024-03-25,68.553,68.737,69.559,68.357,493266
2024-03-26,69.259,67.626,69.491,67.543,865191
2024-03-27,68.017,68.456,68.538,66.987,976345
2024-03-28,68.456,68.623,68.746,67.782,1080962
2024-04-01,68.764,69.833,70.55,68.739,772430
2024-04-02,68.197,68.168,68.495,67.398,950885
2024-04-03,67.799,68.521,69.464,67.486,782472
2024-04-04,69.381,66.087,69.535,65.663,1103106
2024-04-05,66.217,67.078,67.667,66.217,790881
2024-04-08,67.619,67.862,68.019,66.651,518283
2024-04-09,68.764,68.452,68.764,67.065,708888
2024-04-10,67.379,67.499,68.273,67.213,610057
2024-04-11,68.256,68.824,68.924,67.57,831488
2024-04-12,67.235,66.876,67.71,66.546,810828
2024-04-15,67.77,66.651,68.636,66.065,886076
2024-04-16,66.651,68.107,68.461,66.651,922631
2024-04-17,66.973,64.734,67.276,64.621,1193219
2024-04-18,64.421,63.284,64.678,63.066,903113
2024-04-19,63.479,61.707,63.627,61.216,1072881
2024-04-22,62.413,62.245,62.745,61.429,924297
2024-04-23,62.481,63.676,64.245,62.46,710101
2024-04-24,64.813,64.495,65.638,63.616,873448
2024-04-25,64.538,66.107,66.575,63.853,1065820
2024-04-26,67.094,69.379,69.772,66.682,1193523
2024-04-29,69.393,70.132,70.334,68.802,931605
2024-04-30,69.907,67.712,70.505,67.613,902176
2024-05-01,66.845,65.428,67.951,65.08,1273173
2024-05-02,66.371,67.0,67.094,65.246,675160
2024-05-03,68.273,68.429,69.163,67.889,820130
2024-05-06,68.681,70.569,70.601,68.577,873781
2024-05-07,70.397,70.176,71.06,69.9,782861
2024-05-08,69.738,70.448,70.493,69.356,672878
2024-05-09,70.608,69.812,70.728,69.651,976064
2024-05-10,70.728,70.559,71.514,70.047,448796
2024-05-13,70.728,70.154,70.728,69.899,554073
2024-05-14,69.615,71.847,72.025,69.411,884011
2024-05-15,72.636,74.78,74.839,72.335,850309
2024-05-16,74.807,73.772,75.194,73.738,751353
2024-05-17,74.46,73.595,74.667,72.804,585874
2024-05-20,74.008,76.067,76.623,73.924,763682
2024-05-21,74.807,75.313,75.788,74.675,703657
2024-05-22,75.829,75.96,76.084,75.072,769518
2024-05-23,77.621,75.309,77.812,74.961,828916
2024-05-24,76.202,76.684,77.082,75.698,548554
2024-05-28,77.319,77.38,77.953,76.376,601435
2024-05-29,75.618,76.024,76.783,75.309,855140
2024-05-30,75.687,75.805,76.438,75.409,712388
2024-05-31,75.863,74.761,76.411,72.534,1684852
2024-06-03,75.937,74.232,75.953,72.402,515264
2024-06-04,73.87,73.878,74.443,72.86,474505
2024-06-05,75.83,77.265,77.518,75.014,943159
2024-06-06,76.809,76.703,77.497,76.009,722071
2024-06-07,77.514,75.69,77.555,75.198,736079
2024-06-10,74.916,78.192,78.349,74.916,649990
2024-06-11,78.087,78.564,78.613,76.965,590023
2024-06-12,79.422,81.482,81.849,79.182,807304
2024-06-13,80.322,81.701,81.992,80.228,546405
2024-06-14,80.221,81.19,81.357,80.221,474829
2024-06-17,81.344,83.556,83.832,80.807,737841
2024-06-18,83.568,84.976,86.28,83.37,878242
2024-06-20,84.982,81.657,85.063,81.358,1281958
2024-06-21,81.701,80.374,82.223,80.049,1995401
2024-06-24,80.1,78.152,80.271,77.994,894411
2024-06-25,78.83,80.52,80.737,77.9,975303
2024-06-26,80.16,80.054,81.392,78.671,712616
2024-06-27,80.661,80.208,81.348,79.413,510370
2024-06-28,81.347,81.157,82.821,80.556,849376
2024-07-01,81.027,81.48,81.593,79.515,480661
2024-07-02,80.654,82.594,82.679,80.516,537048
2024-07-03,82.676,83.994,84.617,82.28,440788
2024-07-05,84.192,84.179,84.559,83.378,461193
2024-07-08,84.367,85.295,85.542,84.114,438793
2024-07-09,85.891,86.117,86.608,84.965,409427
2024-07-10,86.408,87.835,88.073,85.684,664395
2024-07-11,88.226,83.957,88.226,83.879,875302
2024-07-12,84.045,84.426,86.574,83.174,655259
