Date,Open,Last,High,Low,Volume
2024-01-29,202.866,202.923,203.747,200.979,2194778
2024-01-30,201.994,205.49,207.263,201.257,2742541
2024-01-31,206.056,203.881,207.464,203.757,3429347
2024-02-01,204.054,210.96,211.276,203.431,3265383
2024-02-02,208.383,210.251,211.64,203.565,3305043
2024-02-05,208.182,208.834,209.14,205.835,2303718
2024-02-06,208.632,208.939,210.663,207.119,2147574
2024-02-07,210.088,212.359,212.991,209.667,3303149
2024-02-08,212.656,211.113,214.179,210.021,1909727
2024-02-09,211.516,212.905,212.953,209.945,1359165
2024-02-12,216.842,220.185,221.219,216.372,3258428
2024-02-13,215.462,215.941,218.221,214.236,3388592
2024-02-14,216.487,217.378,217.608,213.489,2002276
2024-02-15,218.164,218.719,218.987,216.861,1925111
2024-02-16,217.704,217.301,219.304,215.884,2388390
2024-02-20,213.604,216.018,216.899,212.435,2580058
2024-02-21,216.209,218.202,218.499,215.558,1701034
2024-02-22,218.71,220.807,221.555,218.049,2115687
2024-02-23,221.708,222.771,223.279,221.43,2112698
2024-02-26,223.173,221.583,224.371,221.258,2928025
2024-02-27,222.647,225.482,229.409,220.338,5076660
2024-02-28,227.982,228.748,231.277,227.36,3288573
2024-02-29,228.911,230.54,231.229,228.509,3107636
2024-03-01,230.157,234.391,234.774,229.668,2712535
2024-03-04,233.94,231.91,234.965,231.843,2321570
2024-03-05,231.584,230.683,232.8,230.003,2514736
2024-03-06,231.172,230.971,232.264,229.764,2367655
2024-03-07,231.938,231.546,233.873,231.258,1792912
2024-03-08,231.44,231.766,233.72,231.344,1503062
2024-03-11,231.162,230.818,231.967,228.863,2058978
2024-03-12,231.517,233.021,234.18,230.961,2095414
2024-03-13,233.959,236.996,238.088,233.959,2238060
2024-03-14,236.278,234.333,237.37,232.283,2492732
2024-03-15,233.95,234.429,236.843,233.356,5692794
2024-03-18,235.358,233.231,235.962,232.781,2480954
2024-03-19,234.209,237.58,237.753,234.18,2408500
2024-03-20,238.079,241.355,241.795,237.006,1882575
2024-03-21,242.312,250.014,250.34,242.303,3418453
2024-03-22,250.139,247.619,251.441,247.495,2493244
2024-03-25,247.83,243.309,248.539,243.05,2024658
2024-03-26,242.801,240.837,244.305,240.703,3048905
2024-03-27,241.747,242.667,242.696,240.665,2351859
2024-03-28,242.169,244.008,244.544,240.416,2631256
2024-04-01,242.686,238.787,244.573,238.059,2362999
2024-04-02,235.914,234.161,236.622,233.231,2819734
2024-04-03,230.913,230.569,233.864,230.367,3144468
2024-04-04,233.308,227.992,235.023,227.8,2343670
2024-04-05,227.982,229.247,230.31,227.819,1680813
2024-04-08,228.231,232.379,232.503,227.953,2389245
2024-04-09,233.528,234.103,234.506,230.741,2126476
2024-04-10,228.116,227.178,229.218,225.175,2955194
2024-04-11,228.94,225.53,230.176,223.375,2494647
2024-04-12,223.547,222.283,224.074,221.028,2117498
2024-04-15,224.879,220.328,224.965,219.524,1933112
2024-04-16,219.294,218.738,220.175,217.752,2201031
2024-04-17,220.549,219.227,221.171,217.675,1982302
2024-04-18,220.194,219.16,222.512,217.972,1993307
