Date,Open,Last,High,Low,Volume
2024-01-29,478.03,481.99,482.44,475.74,1072354
2024-01-30,481.99,481.4,491.3,479.76,1295082
2024-01-31,472.02,453.82,473.1,451.35,2879176
2024-02-01,454.9,461.94,463.03,454.02,1526234
2024-02-02,458.5,462.4,464.62,454.62,1144317
2024-02-05,458.41,456.73,459.05,450.55,1166123
2024-02-06,457.31,456.54,459.66,450.06,1531041
2024-02-07,459.04,457.75,463.25,456.2,1013491
2024-02-08,463.27,472.98,476.62,460.98,1510301
2024-02-09,466.61,470.24,471.26,458.78,1350033
2024-02-12,473.28,466.08,478.0,465.12,1174690
2024-02-13,457.56,456.23,461.95,454.0,1264280
2024-02-14,460.44,460.71,461.99,456.7,697273
2024-02-15,461.32,458.98,463.24,454.5,915605
2024-02-16,457.12,449.6,457.39,445.53,1340971
2024-02-20,445.77,444.6,449.6,441.01,1185268
2024-02-21,447.28,443.46,448.41,440.26,808288
2024-02-22,448.1,455.26,457.36,447.35,1104969
2024-02-23,458.5,457.89,462.82,454.22,862276
2024-02-26,461.06,468.25,472.96,459.26,1446990
2024-02-27,471.09,467.84,471.5,463.95,919605
2024-02-28,466.5,464.14,474.17,463.34,913757
2024-02-29,466.03,467.09,469.9,461.1,1431890
2024-03-01,461.44,458.5,464.57,457.63,1295260
2024-03-04,458.63,450.79,459.03,449.77,1254151
2024-03-05,448.81,446.06,448.81,443.61,975657
2024-03-06,451.99,448.54,452.66,443.52,941273
2024-03-07,449.03,457.28,461.0,449.03,1078429
2024-03-08,461.27,460.39,465.42,457.29,755175
2024-03-11,461.53,457.76,461.53,453.67,729732
2024-03-12,459.48,465.28,467.86,458.56,841235
2024-03-13,467.93,465.55,471.72,465.37,799871
2024-03-14,472.06,470.01,472.06,462.75,1316881
2024-03-15,467.12,464.94,470.67,463.16,1678133
2024-03-18,465.92,459.57,469.69,459.48,1261256
2024-03-19,457.69,467.27,467.86,454.23,1428923
2024-03-20,467.34,469.05,469.79,461.92,1627824
2024-03-21,472.0,478.84,480.94,469.0,4022027
2024-03-22,416.25,403.19,418.7,387.11,19680078
2024-03-25,405.09,388.9,405.09,387.05,5122872
2024-03-26,393.59,386.14,395.27,385.88,2881703
2024-03-27,387.08,389.46,394.46,386.47,2340531
