Date,Open,Last,High,Low,Volume
2024-01-29,89.02,89.11,89.32,88.27,2233660
2024-01-30,89.43,88.83,90.05,88.53,1720045
2024-01-31,88.77,88.85,90.06,88.32,2628738
2024-02-01,89.08,89.39,89.78,87.29,2653194
2024-02-02,88.88,88.2,89.32,87.75,2025786
2024-02-05,87.59,87.41,87.83,86.68,1633808
2024-02-06,87.5,88.84,89.86,86.67,2616840
2024-02-07,89.14,87.66,89.2,87.58,2152751
2024-02-08,88.62,88.0,89.0,87.6,1926500
2024-02-09,88.28,89.53,90.5,87.94,3167987
2024-02-12,89.69,89.5,90.44,89.22,1656721
2024-02-13,88.47,87.75,88.89,87.42,2464013
2024-02-14,88.2,89.4,89.45,87.27,2441801
2024-02-15,89.9,93.83,94.11,89.4,3824356
2024-02-16,93.9,93.25,93.9,92.52,1862197
2024-02-20,92.88,92.05,92.98,91.17,2332740
2024-02-21,91.96,91.2,92.58,90.88,1565269
2024-02-22,92.37,93.49,93.88,91.55,3289635
2024-02-23,98.48,95.32,101.5,94.8,5787662
2024-02-26,94.64,92.17,94.75,92.15,3228276
2024-02-27,92.81,93.54,93.82,92.25,2124430
2024-02-28,93.27,94.28,95.21,93.2,1511499
2024-02-29,95.22,96.98,97.23,94.42,3460796
2024-03-01,96.93,97.15,97.69,96.41,3390817
2024-03-04,97.37,98.7,99.98,96.95,3002287
2024-03-05,98.28,98.2,98.76,96.84,5492238
2024-03-06,98.74,99.19,99.46,97.33,1567521
2024-03-07,99.64,100.51,100.91,99.14,1681707
2024-03-08,100.5,99.74,101.25,98.81,1529020
2024-03-11,99.56,100.06,100.55,98.85,1629826
2024-03-12,100.59,101.9,102.55,100.34,1900458
2024-03-13,102.08,104.28,104.36,102.0,2431556
2024-03-14,104.38,103.41,104.64,102.74,2396235
2024-03-15,102.76,103.77,104.88,102.76,3487192
2024-03-18,104.34,104.38,105.03,103.23,2076926
2024-03-19,104.44,104.02,104.52,102.75,1849709
2024-03-20,103.9,104.42,104.79,103.31,894958
2024-03-21,105.03,106.66,107.01,104.5,2138735
2024-03-22,106.31,105.99,107.18,105.83,2065911
2024-03-25,106.41,106.1,106.68,105.7,1834214
2024-03-26,106.7,104.38,106.75,104.29,2355001
2024-03-27,105.1,106.81,107.07,104.82,1358327
2024-03-28,106.94,105.77,107.24,105.48,1465797
2024-04-01,105.78,104.22,106.71,103.93,2028833
2024-04-02,103.69,104.88,105.0,102.26,2421796
2024-04-03,104.01,104.2,104.97,103.65,1635511
2024-04-04,105.0,102.41,105.14,102.36,1582974
2024-04-05,102.74,103.52,104.18,102.74,1092666
2024-04-08,103.46,102.8,104.07,102.71,1408265
2024-04-09,103.1,102.73,103.31,102.28,983574
2024-04-10,101.45,101.42,102.0,101.0,1913964
2024-04-11,101.35,102.74,102.9,100.6,1160400
2024-04-12,101.38,101.04,102.39,100.54,1357164
2024-04-15,101.95,99.77,102.72,99.19,1965554
2024-04-16,90.99,92.21,94.28,90.61,10063974
2024-04-17,92.75,91.82,94.53,91.55,4480122
2024-04-18,91.36,89.64,91.88,89.62,3452651
2024-04-19,89.98,89.96,90.52,89.15,2697148
2024-04-22,90.26,88.45,90.68,88.15,2311393
2024-04-23,88.75,90.09,92.08,88.46,2133574
2024-04-24,90.0,89.65,90.61,89.33,1396726
2024-04-25,88.55,88.49,89.55,88.26,1925617
2024-04-26,88.38,89.83,89.92,87.78,1890272
2024-04-29,90.01,90.54,90.7,89.55,1429381
2024-04-30,90.41,88.91,90.5,88.56,2382229
2024-05-01,89.61,89.28,90.49,88.31,1730684
2024-05-02,89.55,88.27,89.68,87.61,2224681
2024-05-03,92.3,94.66,97.04,92.3,5775969
2024-05-06,95.5,95.88,96.36,93.68,2523475
2024-05-07,96.1,96.34,98.18,95.23,2679992
2024-05-08,95.64,95.79,96.84,95.26,1319199
2024-05-09,96.37,97.03,97.08,94.61,2184589
2024-05-10,96.68,97.02,97.12,94.81,1658571
2024-05-13,97.5,95.59,98.0,95.31,2050951
2024-05-14,96.2,95.83,96.93,95.27,1401130
2024-05-15,96.45,96.48,96.9,95.76,1174352
2024-05-16,96.45,96.38,97.1,96.06,1497590
2024-05-17,96.65,96.59,96.74,95.47,1542730
2024-05-20,96.66,99.43,99.58,96.6,1895071
2024-05-21,99.24,101.98,102.34,99.17,2507206
2024-05-22,102.13,101.4,102.84,100.91,1442121
2024-05-23,95.05,93.48,99.89,92.72,7242132
