Date,Open,Last,High,Low,Volume
2024-01-29,430.061,434.798,435.173,428.966,2314246
2024-01-30,435.114,439.348,440.364,434.275,2663616
2024-01-31,444.095,443.335,455.937,440.759,4740634
2024-02-01,449.029,454.871,455.089,448.092,3292697
2024-02-02,456.144,454.536,457.753,452.483,2050335
2024-02-05,453.48,450.766,455.315,449.552,2438961
2024-02-06,449.384,454.457,454.516,449.384,2201912
2024-02-07,455.158,455.848,456.174,453.588,2544469
2024-02-08,453.963,452.246,454.704,451.447,2081511
2024-02-09,452.049,451.871,452.967,450.381,2155449
2024-02-12,453.154,452.69,453.371,450.095,1794533
2024-02-13,450.766,454.417,455.819,450.055,2407755
2024-02-14,455.937,459.085,459.342,453.411,2202784
2024-02-15,459.717,465.095,465.915,459.125,2354215
2024-02-16,467.948,461.987,467.948,460.941,2237275
2024-02-20,446.858,445.822,449.868,444.213,5044210
2024-02-21,447.361,453.026,453.569,446.068,2896527
2024-02-22,455.75,465.372,466.299,455.523,2572782
2024-02-23,467.513,467.207,468.934,465.668,1764216
2024-02-26,466.793,468.283,468.846,465.806,2066883
2024-02-27,468.323,468.52,468.767,463.783,2011129
2024-02-28,467.948,472.566,472.852,467.454,1931986
2024-02-29,471.727,468.53,472.112,465.855,3072717
2024-03-01,468.678,470.375,471.234,467.681,1748452
2024-03-04,469.428,462.342,470.375,459.658,3212483
2024-03-05,461.237,461.385,463.082,458.523,2015063
2024-03-06,461.03,465.411,467.405,461.03,1917151
2024-03-07,466.99,461.405,467.059,459.776,2178103
2024-03-08,460.97,463.102,465.431,460.97,1596884
2024-03-11,462.845,463.003,463.211,458.592,1774642
2024-03-12,464.355,466.665,468.145,462.559,1853933
2024-03-13,468.007,469.369,469.911,466.576,2103955
2024-03-14,474.708,473.188,475.675,470.918,2757821
2024-03-15,467.128,469.586,472.181,466.872,4179328
2024-03-18,472.359,472.606,474.51,470.395,2072358
2024-03-19,475.3,477.649,478.251,473.217,2049644
2024-03-20,477.964,481.636,482.04,477.293,1691084
2024-03-21,482.119,482.228,483.57,477.056,2580338
2024-03-22,481.902,475.349,482.474,475.142,2277794
2024-03-25,475.28,469.793,475.991,468.184,2600371
2024-03-26,471.451,470.543,473.701,466.112,2515051
2024-03-27,474.194,471.678,475.833,468.52,2309507
2024-03-28,471.638,475.25,476.099,471.017,2214542
2024-04-01,474.352,472.122,476.938,471.066,1648343
2024-04-02,470.711,473.138,474.106,470.05,3265212
2024-04-03,474.135,471.155,476.958,470.948,2265162
2024-04-04,473.671,463.605,475.635,462.845,2552759
2024-04-05,467.78,470.888,473.02,466.329,2462740
2024-04-08,470.808,473.229,474.049,468.712,1961897
2024-04-09,472.359,466.617,473.268,462.338,2218019
2024-04-10,464.651,463.662,468.821,463.346,2710709
2024-04-11,462.783,462.813,464.829,458.741,2299867
2024-04-12,460.53,459.917,464.008,456.685,2486361
2024-04-15,464.72,454.393,465.471,453.049,2070679
2024-04-16,454.6,454.422,457.94,453.612,1787264
2024-04-17,457.338,454.758,457.97,452.772,1735073
2024-04-18,455.094,449.362,456.488,448.473,1998880
2024-04-19,453.503,450.044,454.462,447.277,2548844
2024-04-22,452.129,451.388,455.331,449.787,2157434
2024-04-23,453.098,457.387,457.545,451.942,2029056
2024-04-24,459.828,457.071,462.654,454.946,4043134
2024-04-25,455.529,456.685,458.553,451.359,2006668
2024-04-26,457.476,456.992,459.364,455.529,1963273
2024-04-29,455.539,451.734,456.171,450.331,2121464
2024-04-30,450.904,445.903,452.347,445.587,2698813
2024-05-01,440.567,436.881,443.709,433.234,4979366
2024-05-02,437.8,435.922,439.44,432.908,3866467
2024-05-03,439.687,438.373,440.033,431.771,3711610
2024-05-06,441.98,444.095,445.212,440.33,2536211
2024-05-07,446.457,447.742,447.979,442.276,2345486
2024-05-08,448.671,449.432,449.768,444.638,2332440
2024-05-09,448.226,450.143,450.677,448.226,1970193
2024-05-10,451.961,451.616,453.197,449.639,1730054
2024-05-13,451.566,452.386,453.335,450.163,2069345
2024-05-14,452.545,448.868,453.592,444.026,2990997
2024-05-15,447.475,452.624,453.217,447.475,2437772
2024-05-16,454.6,453.483,459.472,453.434,2412233
2024-05-17,455.045,454.867,456.27,452.732,1985903
2024-05-20,454.086,454.264,456.794,453.394,1397291
2024-05-21,452.535,453.711,454.986,450.281,2165999
2024-05-22,453.513,451.161,457.071,449.827,1713650
2024-05-23,451.161,445.913,452.673,445.152,2084733
2024-05-24,447.198,445.884,449.115,445.034,2162182
2024-05-28,444.717,439.855,445.34,437.207,2670989
2024-05-29,436.92,437.276,439.341,436.614,1876996
2024-05-30,437.019,436.91,438.976,435.497,2189905
2024-05-31,437.493,441.822,442.089,434.104,3917303
2024-06-03,438.274,437.987,439.776,432.75,2123775
2024-06-04,438.155,439.549,439.658,436.139,2096578
2024-06-05,441.555,441.417,442.316,437.118,2157011
2024-06-06,443.225,443.413,444.5,439.411,1887061
2024-06-07,444.174,444.51,447.682,442.01,1664850
2024-06-10,443.156,443.976,444.886,439.154,1954548
2024-06-11,442.583,443.769,443.976,439.885,1777281
2024-06-12,446.19,437.8,447.188,436.416,2738928
2024-06-13,437.8,439.776,439.924,434.163,2916648
2024-06-14,438.136,439.411,439.737,436.021,2161546
2024-06-17,437.236,442.85,444.065,436.495,2351895
2024-06-18,441.812,444.826,445.903,441.456,2636506
2024-06-20,445.765,447.198,449.145,443.097,3006765
2024-06-21,446.882,449.511,449.955,444.974,5062383
2024-06-24,449.59,451.596,457.634,449.59,2597068
2024-06-25,453.098,450.301,454.906,448.473,2529625
