Date,Open,Last,High,Low,Volume
2024-01-29,118.983,118.928,119.683,118.238,810262
2024-01-30,118.429,118.084,119.21,117.547,713459
2024-01-31,118.656,114.822,119.037,114.595,2167447
2024-02-01,114.577,116.221,116.43,113.523,1793717
2024-02-02,115.358,116.294,117.22,114.449,1198454
2024-02-05,114.867,113.423,115.203,113.423,944172
2024-02-06,113.141,114.095,114.522,112.896,994697
2024-02-07,114.104,113.732,114.413,112.451,1030666
2024-02-08,113.695,113.096,114.486,110.87,1436953
2024-02-09,112.669,113.132,113.523,112.087,1076238
2024-02-12,113.359,113.995,114.895,113.032,729425
2024-02-13,111.651,112.069,112.205,110.397,1032635
2024-02-14,112.414,113.65,114.231,112.151,820155
2024-02-15,114.767,117.666,117.729,114.767,775744
2024-02-16,117.666,117.357,118.22,116.257,1027593
2024-02-20,117.202,115.04,117.829,114.767,768015
2024-02-21,115.267,115.994,116.257,114.885,420078
2024-02-22,116.721,115.013,116.721,114.94,611254
2024-02-23,114.885,114.767,115.821,114.249,465587
2024-02-26,114.431,112.387,114.776,111.96,775954
2024-02-27,113.641,113.468,114.44,112.878,689520
2024-02-28,112.614,114.322,115.649,112.451,667394
2024-02-29,115.276,114.186,115.576,113.913,1478501
2024-03-01,114.068,115.958,116.03,112.941,786700
2024-03-04,115.621,117.475,117.711,113.55,1089639
2024-03-05,117.048,117.12,118.138,116.594,667691
2024-03-06,118.047,118.065,118.729,117.402,579005
2024-03-07,118.538,120.555,120.646,118.465,819539
2024-03-08,121.7,122.572,122.763,120.618,676928
2024-03-11,122.663,122.626,123.607,122.326,574934
2024-03-12,122.372,120.255,122.517,119.028,816185
2024-03-13,119.946,119.882,121.236,119.664,616728
2024-03-14,119.346,118.356,119.655,116.721,616809
2024-03-15,116.902,118.42,119.056,116.902,1167795
2024-03-18,118.32,117.92,118.874,117.547,545986
2024-03-19,118.183,118.474,118.701,116.884,557716
2024-03-20,118.247,119.283,120.037,117.702,815067
2024-03-21,119.728,120.782,121.672,119.619,656008
2024-03-22,120.891,118.883,120.982,118.42,485799
2024-03-25,119.147,118.111,119.61,118.056,311546
2024-03-26,118.238,117.048,118.392,116.957,549819
2024-03-27,118.256,118.838,119.982,118.256,693815
2024-03-28,119.474,119.546,120.237,119.274,741936
2024-04-01,119.419,116.93,119.592,116.93,577475
2024-04-02,115.912,115.794,116.357,115.067,598710
2024-04-03,115.258,116.703,116.902,114.767,758136
2024-04-04,117.965,115.231,118.311,114.976,637639
2024-04-05,114.776,115.476,115.967,113.922,668587
2024-04-08,117.075,120.582,121.236,116.548,1128588
2024-04-09,121.209,122.999,123.916,121.091,1096680
2024-04-10,120.782,120.791,121.609,119.319,801353
2024-04-11,121.709,119.919,121.709,118.983,647779
2024-04-12,119.17,117.718,119.62,117.232,572651
2024-04-15,118.564,116.34,118.931,115.697,406730
2024-04-16,115.844,113.731,115.973,113.676,579340
2024-04-17,113.777,114.659,116.524,113.777,1375936
2024-04-18,114.788,114.494,115.486,113.933,1016613
2024-04-19,114.999,115.835,116.101,114.999,564680
2024-04-22,115.991,117.112,117.792,115.348,486341
2024-04-23,117.085,117.13,118.288,116.836,708009
2024-04-24,116.101,117.967,118.38,115.752,495023
2024-04-25,117.204,116.864,117.884,116.405,863182
2024-04-26,117.149,118.729,119.234,117.149,874720
2024-04-29,119.492,120.475,120.971,119.492,942224
2024-04-30,119.124,119.437,121.109,119.124,1025661
2024-05-01,119.262,120.006,121.274,118.766,943513
2024-05-02,119.363,120.98,121.017,116.901,1451643
2024-05-03,122.294,122.193,123.617,121.724,1071007
2024-05-06,123.644,125.702,125.895,122.919,1078690
2024-05-07,126.86,125.124,126.97,124.885,648319
2024-05-08,124.811,122.184,124.875,122.101,676490
2024-05-09,122.735,125.261,125.372,122.68,612067
2024-05-10,125.721,124.462,125.813,124.232,334158
2024-05-13,124.857,125.013,125.757,124.315,316836
2024-05-14,125.868,125.702,126.171,124.747,537811
2024-05-15,127.43,126.52,127.659,125.969,571155
2024-05-16,126.428,125.739,126.961,125.739,456409
2024-05-17,126.217,126.548,126.713,125.307,455304
2024-05-20,126.548,125.739,126.759,125.151,422385
2024-05-21,125.757,125.408,126.07,125.142,365134
2024-05-22,125.298,124.949,126.575,124.728,534242
2024-05-23,124.692,122.119,124.811,122.037,588836
2024-05-24,122.376,122.376,122.873,121.862,351078
2024-05-28,123.056,119.721,123.415,119.574,551851
2024-05-29,118.187,118.316,118.398,116.469,790557
2024-05-30,119.152,119.308,119.988,118.747,489932
2024-05-31,120.098,122.845,122.964,119.4,1523453
2024-06-03,123.635,122.836,124.361,122.367,475038
2024-06-04,123.102,125.381,126.079,123.102,684594
2024-06-05,125.004,125.638,125.748,124.039,538085
2024-06-06,124.839,125.95,125.969,124.095,443156
2024-06-07,124.774,125.555,125.813,124.673,505327
2024-06-10,125.574,127.246,128.027,125.473,878784
2024-06-11,126.465,125.84,127.374,125.656,739171
2024-06-12,128.302,126.18,128.624,125.813,527488
2024-06-13,127.108,126.979,128.321,126.621,454860
2024-06-14,126.566,127.999,128.119,125.73,495913
2024-06-17,127.365,128.036,128.808,126.41,427018
2024-06-18,128.422,129.772,129.993,128.422,411933
2024-06-20,128.936,128.798,129.488,127.962,462367
2024-06-21,129.69,129.506,129.69,128.174,1175741
2024-06-24,129.754,131.674,132.152,129.469,487730
2024-06-25,131.702,129.653,131.748,129.46,463295
2024-06-26,128.532,127.834,129.12,127.733,545646
2024-06-27,127.834,129.12,129.221,127.053,457615
2024-06-28,129.892,131.022,131.04,128.945,844915
2024-07-01,130.608,129.708,130.866,128.256,422626
2024-07-02,130.287,129.552,130.7,128.606,518407
2024-07-03,129.129,128.1,129.671,127.531,311783
2024-07-05,128.431,127.521,128.826,127.319,489746
2024-07-08,127.742,127.834,128.33,126.915,666340
2024-07-09,128.183,127.806,128.55,126.336,754278
2024-07-10,128.376,128.642,128.789,127.558,478066
2024-07-11,130.654,129.506,131.858,129.212,648219
2024-07-12,130.342,129.212,130.627,128.385,957363
2024-07-15,129.534,129.942,131.567,129.413,944989
2024-07-16,130.323,132.431,132.784,129.803,663044
2024-07-17,132.44,133.963,134.241,132.44,639892
2024-07-18,133.22,134.436,137.361,133.22,617619
2024-07-19,135.095,133.424,135.095,132.57,442133
2024-07-22,133.536,134.659,135.068,132.932,497590
2024-07-23,134.381,133.433,135.309,133.22,577860
2024-07-24,133.433,133.155,134.297,132.533,472334
2024-07-25,133.359,130.1,135.058,128.958,855252
2024-07-26,130.527,132.31,133.155,130.109,496776
2024-07-29,132.57,132.923,133.74,131.205,532763
2024-07-30,133.229,131.205,133.656,130.267,621228
2024-07-31,130.917,129.775,131.697,129.617,908361
2024-08-01,131.372,135.94,136.813,131.372,835353
2024-08-02,137.008,139.292,141.159,136.312,1152170
2024-08-05,138.345,136.043,138.345,135.374,938038
2024-08-06,136.033,139.497,139.97,136.033,844117
2024-08-07,139.831,140.119,143.164,139.107,1489499
2024-08-08,140.249,142.124,142.431,139.859,754200
2024-08-09,142.124,142.124,142.486,140.341,765238
2024-08-12,143.591,141.363,143.591,140.657,678778
2024-08-13,142.375,142.059,142.96,141.576,589634
2024-08-14,142.059,142.366,142.886,141.196,634876
2024-08-15,142.366,142.384,143.684,141.149,638617
2024-08-16,142.458,141.911,142.932,140.536,671669
2024-08-19,142.31,141.734,142.932,141.001,517097
2024-08-20,142.143,142.152,142.468,140.722,550554
2024-08-21,142.477,142.059,142.644,141.511,852176
2024-08-22,142.774,143.183,144.12,141.641,731254
2024-08-23,143.768,145.43,145.94,143.443,858125
2024-08-26,147.184,146.646,147.184,145.077,641068
2024-08-27,145.857,148.846,149.153,145.383,742649
2024-08-28,149.023,149.961,150.248,148.819,565990
2024-08-29,149.311,149.58,150.443,148.336,517165
2024-08-30,150.128,150.759,150.982,149.292,687537
2024-09-03,150.378,151.873,153.09,150.313,660237
2024-09-04,151.873,151.344,153.331,150.044,895802
2024-09-05,152.291,149.626,152.663,148.456,844952
2024-09-06,149.719,148.122,149.719,146.702,1050395
2024-09-09,148.466,148.837,149.961,147.639,833472
2024-09-10,149.58,151.845,154.083,148.819,554211
2024-09-11,150.425,152.923,153.025,149.524,542360
2024-09-12,152.681,152.681,153.712,151.585,425905
2024-09-13,153.387,154.297,154.408,152.273,675316
2024-09-16,155.169,154.733,155.42,154.083,552639
2024-09-17,154.037,152.273,154.399,151.623,660117
2024-09-18,152.44,152.198,154.52,151.316,1120963
2024-09-19,153.201,152.746,153.684,151.056,753149
2024-09-20,152.161,150.843,152.802,150.351,2367407
2024-09-23,151.688,151.957,152.663,150.954,984568
2024-09-24,150.991,151.242,152.003,150.601,512192
2024-09-25,151.948,150.007,152.031,149.914,765657
2024-09-26,149.747,147.37,150.601,147.036,1073123
2024-09-27,148.624,146.488,148.624,146.275,636131
2024-09-30,146.386,147.537,148.113,145.82,815804
2024-10-01,148.187,146.525,148.289,145.727,702051
2024-10-02,145.207,145.736,146.042,144.427,579470
2024-10-03,145.541,144.055,145.68,143.146,527618
2024-10-04,143.248,143.563,143.777,141.678,515881
2024-10-07,142.728,142.561,142.886,141.613,480127
2024-10-08,143.433,142.096,143.619,141.279,520673
2024-10-09,142.096,142.319,142.635,141.279,425819
2024-10-10,141.799,141.326,142.83,140.731,383052
2024-10-11,142.375,142.44,142.57,141.316,445005
2024-10-14,141.92,142.505,143.257,141.131,457519
2024-10-15,143.436,143.117,144.692,142.977,609097
2024-10-16,143.258,144.289,145.302,143.258,503914
2024-10-17,143.896,143.399,144.317,142.771,550390
2024-10-18,144.092,144.927,145.114,143.399,406627
2024-10-21,145.311,143.071,145.311,142.583,653815
2024-10-22,143.071,144.289,145.283,142.789,444174
2024-10-23,144.43,146.567,147.346,144.402,819298
2024-10-24,146.849,146.314,148.039,146.099,486771
2024-10-25,146.764,143.736,146.764,143.661,428351
2024-10-28,144.692,144.177,145.864,143.652,315381
2024-10-29,144.008,141.533,144.467,141.533,680397
2024-10-30,141.505,142.639,143.127,141.486,690440
2024-10-31,143.811,141.88,145.021,140.614,1752390
2024-11-01,141.308,139.846,143.052,139.714,1027700
2024-11-04,140.277,142.667,142.686,140.249,661541
2024-11-05,141.486,145.339,145.339,141.186,565386
2024-11-06,147.842,143.989,147.842,140.164,1144957
2024-11-07,144.664,145.021,145.658,143.68,435222
2024-11-08,145.949,149.192,150.383,145.536,549200
2024-11-11,148.677,150.008,151.18,148.677,572054
2024-11-12,149.558,149.774,150.833,149.014,1150936
2024-11-13,151.039,151.255,152.277,150.505,663162
2024-11-14,151.105,147.533,151.339,147.392,617590
2024-11-15,147.102,148.208,148.602,146.155,553097
2024-11-18,146.896,148.611,148.686,146.896,510007
2024-11-19,148.096,148.246,148.414,146.755,450151
2024-11-20,147.58,147.88,148.208,146.502,475193
2024-11-21,147.664,148.62,149.417,147.467,565504
2024-11-22,149.192,150.88,151.142,149.192,507143
2024-11-25,151.395,151.855,153.083,151.02,1044565
2024-11-26,151.817,152.961,153.439,151.395,520492
2024-11-27,153.861,154.874,155.736,153.711,520855
2024-11-29,154.902,153.899,155.549,153.749,578363
2024-12-02,152.952,152.155,152.952,151.602,729639
2024-12-03,152.614,150.927,152.82,150.824,781985
2024-12-04,151.32,149.999,151.32,149.539,523462
2024-12-05,148.77,149.239,149.774,148.424,495609
2024-12-06,149.239,149.005,149.989,148.461,609836
2024-12-09,148.461,149.202,149.502,147.88,650461
2024-12-10,149.08,148.649,149.849,147.721,474703
2024-12-11,149.23,148.433,149.652,147.514,1095378
2024-12-12,147.486,148.452,150.814,147.402,612814
2024-12-13,148.124,147.392,148.864,146.652,387736
2024-12-16,147.43,148.639,150.683,146.399,437909
2024-12-17,147.599,146.314,148.967,145.124,767875
2024-12-18,145.724,141.439,147.88,141.28,633178
2024-12-19,141.046,140.089,143.389,139.921,852037
2024-12-20,140.699,143.811,144.796,140.699,2366752
2024-12-23,143.371,143.746,143.989,142.142,495568
2024-12-24,143.783,145.086,145.274,142.958,168049
2024-12-26,144.955,145.517,145.724,144.177,277807
2024-12-27,144.458,144.139,145.864,143.886,421779
2024-12-30,143.586,143.474,143.989,141.655,410262
2024-12-31,144.458,144.908,145.433,143.117,697500
2025-01-02,144.571,142.939,145.339,142.611,505235
2025-01-03,142.592,145.367,145.499,142.039,550793
2025-01-06,144.842,140.408,145.246,140.052,617977
2025-01-07,140.624,138.992,142.246,138.411,644742
2025-01-08,138.955,140.005,140.136,137.671,672410
2025-01-10,138.439,138.927,140.624,137.596,813859
2025-01-13,139.311,140.802,140.858,138.936,738815
2025-01-14,140.811,141.908,142.424,140.53,483993
2025-01-15,144.449,141.533,145.368,141.4,592308
2025-01-16,142.177,142.641,142.735,140.851,396646
2025-01-17,143.133,142.536,143.777,142.063,671623
2025-01-21,142.432,142.527,144.686,141.429,675098
2025-01-22,141.381,139.326,141.4,139.156,668549
2025-01-23,139.156,139.108,140.046,136.703,756172
2025-01-24,139.582,140.538,141.485,138.559,685841
2025-01-27,141.656,145.482,146.277,141.268,818076
2025-01-28,144.866,143.379,145.51,143.01,611194
2025-01-29,144.194,140.68,144.194,140.283,503449
2025-01-30,142.489,143.786,144.714,142.082,454784
2025-01-31,143.427,144.487,145.964,143.427,934424
2025-02-03,143.947,144.402,146.163,142.29,873701
2025-02-04,143.749,146.428,146.646,142.461,871918
2025-02-05,147.707,148.55,149.298,146.419,1118239
2025-02-06,149.336,150.434,150.832,147.745,1591501
2025-02-07,151.391,149.743,152.669,149.175,1390930
2025-02-10,149.601,148.54,149.601,147.11,867239
2025-02-11,147.309,147.754,147.821,146.078,674384
2025-02-12,144.894,147.555,147.991,144.752,691865
2025-02-13,147.792,148.663,149.033,147.404,605872
2025-02-14,149.62,148.673,150.5,148.625,688437
2025-02-18,148.673,149.203,149.629,148.095,524600
2025-02-19,148.805,149.108,149.629,148.237,719694
2025-02-20,148.786,151.589,152.129,148.275,849644
2025-02-21,151.523,152.148,152.641,150.339,1041296
2025-02-24,152.593,154.212,155.216,151.334,762890
2025-02-25,154.355,155.983,156.741,154.212,1029977
2025-02-26,155.917,155.51,156.836,154.639,632208
2025-02-27,155.235,158.048,158.834,155.207,813243
2025-02-28,159.165,159.203,160.084,157.091,1005518
2025-03-03,159.089,161.854,162.186,158.72,882110
2025-03-04,163.426,159.231,164.184,159.175,924532
2025-03-05,157.29,161.012,161.57,157.101,1121317
2025-03-06,159.658,157.925,159.885,156.665,606854
2025-03-07,158.692,157.536,159.411,157.101,918344
2025-03-10,158.909,158.464,162.461,157.669,948640
2025-03-11,158.938,156.248,158.985,154.97,898488
2025-03-12,155.803,153.19,156.533,152.991,855495
2025-03-13,153.123,153.161,154.127,150.264,1191153
2025-03-14,153.597,154.648,154.923,152.678,1081059
2025-03-17,153.872,155.766,156.23,153.872,662357
2025-03-18,155.718,153.711,156.438,152.991,626605
2025-03-19,153.711,153.209,154.317,151.523,753218
2025-03-20,153.531,153.947,154.392,152.006,686953
2025-03-21,153.266,152.716,153.995,151.106,1539253
2025-03-24,153.436,155.027,155.406,152.659,472244
2025-03-25,155.055,154.392,156.078,153.123,605919
