Date,Open,Last,High,Low,Volume
2024-01-29,235.986,236.523,236.904,234.228,1302970
2024-01-30,234.628,237.559,238.36,234.628,1059861
2024-01-31,237.783,234.179,238.262,233.73,1181240
2024-02-01,234.843,238.028,238.145,233.192,1191016
2024-02-02,237.588,239.444,241.036,236.015,1222339
2024-02-05,238.506,238.575,239.61,236.24,1338286
2024-02-06,238.575,239.092,240.059,237.207,1471497
2024-02-07,240.401,242.199,244.211,239.405,1046799
2024-02-08,243.908,243.801,244.641,240.118,1030919
2024-02-09,244.836,241.3,244.944,239.766,1479755
2024-02-12,240.577,243.078,243.371,240.304,1429926
2024-02-13,236.299,229.5,236.299,226.638,3110216
2024-02-14,230.35,229.939,230.936,226.823,2349732
2024-02-15,232.03,234.921,235.283,231.405,1521703
2024-02-16,233.495,236.035,237.578,232.782,2119841
2024-02-20,235.605,237.315,238.321,234.941,2162176
2024-02-21,236.189,238.215,238.861,235.494,1396478
2024-02-22,239.821,244.05,245.146,239.615,1383565
2024-02-23,243.345,246.174,246.849,243.345,1477347
2024-02-26,246.164,243.962,246.164,241.837,1475992
2024-02-27,243.638,243.776,244.549,242.454,1079289
2024-02-28,243.482,243.736,245.929,242.943,953425
2024-02-29,244.431,244.598,245.068,242.64,1698183
2024-03-01,243.727,244.725,245.861,242.709,1096855
2024-03-04,244.5,242.199,245.205,241.808,1156253
2024-03-05,242.307,242.65,243.932,240.506,1083968
2024-03-06,242.65,241.886,245.283,241.759,1314748
2024-03-07,243.159,241.7,243.717,241.015,1197493
2024-03-08,241.955,244.999,245.812,241.025,1276756
2024-03-11,244.999,243.227,245.41,241.779,1176455
2024-03-12,243.443,245.4,247.006,243.443,1271141
2024-03-13,244.627,246.105,247.779,242.953,1804650
2024-03-14,247.055,242.767,247.662,242.493,1711041
2024-03-15,240.956,238.92,241.759,238.225,3709734
2024-03-18,241.397,243.276,244.099,241.211,1915491
2024-03-19,244.099,244.549,244.735,242.601,1164320
2024-03-20,244.167,248.69,249.316,244.001,1630410
2024-03-21,249.365,249.884,250.716,248.034,1530806
2024-03-22,250.51,249.776,251.117,247.877,1282881
2024-03-25,249.923,246.791,250.275,246.722,856014
2024-03-26,247.818,246.859,248.934,245.87,1351407
2024-03-27,249.58,248.21,249.58,247.407,1302306
2024-03-28,249.688,246.986,249.717,246.34,999237
2024-04-01,248.171,246.027,249.14,245.44,1178685
2024-04-02,244.891,242.513,244.891,241.338,1252386
2024-04-03,241.955,245.303,245.508,241.563,1071150
2024-04-04,247.995,243.638,249.453,242.826,1607501
2024-04-05,243.648,248.572,248.964,243.032,1293446
2024-04-08,248.876,249.306,249.668,248.063,1205693
2024-04-09,250.07,249.561,250.099,246.047,1152825
2024-04-10,246.967,248.983,249.806,245.958,1317494
2024-04-11,248.748,253.095,255.072,247.672,1545327
2024-04-12,250.706,245.763,251.714,244.059,1931880
2024-04-15,249.688,243.169,251.587,242.973,1433293
2024-04-16,242.973,240.437,243.492,239.576,1088930
2024-04-17,238.92,233.429,240.154,232.528,2684061
2024-04-18,235.572,231.314,236.15,231.099,1841224
2024-04-19,232.371,231.02,234.251,229.601,1842310
2024-04-22,233.526,232.401,234.045,230.541,1046353
2024-04-23,232.401,234.633,234.916,232.401,1196185
2024-04-24,239.018,238.91,244.353,238.176,2301316
