Date,Open,Last,High,Low,Volume
2024-01-29,80.249,81.309,81.346,80.091,7144745
2024-01-30,81.328,80.872,81.421,80.444,5760184
2024-01-31,82.1,81.402,82.927,81.384,10357900
2024-02-01,81.235,81.914,82.332,80.621,4319952
2024-02-02,81.328,81.486,81.96,80.956,5052031
2024-02-05,81.439,80.668,81.625,80.658,4083640
2024-02-06,80.975,81.588,81.681,80.779,4667164
2024-02-07,81.877,81.049,82.062,80.937,4740113
2024-02-08,80.482,80.138,80.677,79.403,5938152
2024-02-09,80.045,79.031,80.119,78.538,8843539
2024-02-12,78.696,79.105,79.347,78.464,5892373
2024-02-13,78.641,77.729,79.04,77.301,7579609
2024-02-14,77.804,77.813,78.436,77.404,4934627
2024-02-15,77.952,78.78,79.05,77.887,4867874
2024-02-16,78.566,78.501,79.728,78.213,10848637
2024-02-20,80.863,79.831,81.105,76.799,11771448
2024-02-21,80.463,79.877,80.463,78.892,6877145
2024-02-22,79.756,79.096,79.849,78.557,9824939
2024-02-23,79.347,79.663,79.924,78.91,4707655
2024-02-26,79.561,77.804,79.561,77.627,5974145
2024-02-27,77.608,77.962,78.278,77.311,4546366
2024-02-28,77.766,77.515,77.952,77.394,4755340
2024-02-29,77.673,77.515,77.897,76.985,8893093
2024-03-01,77.571,77.739,77.971,76.855,4266698
2024-03-04,77.739,79.096,79.143,77.404,5553111
2024-03-05,79.45,78.668,79.821,78.389,5073742
2024-03-06,78.789,79.552,79.784,78.668,6048456
2024-03-07,79.97,79.18,80.37,78.743,6177553
2024-03-08,79.487,79.161,80.221,78.966,6561312
2024-03-11,78.613,79.505,79.626,78.613,5539055
2024-03-12,79.18,79.728,80.054,78.947,4562160
2024-03-13,79.98,79.115,80.296,78.845,5908339
2024-03-14,78.594,78.473,78.771,78.101,7836207
2024-03-15,77.59,77.711,78.12,77.013,17082112
2024-03-18,77.924,77.794,78.166,77.497,4783947
2024-03-19,77.822,78.213,78.25,77.46,4903025
2024-03-20,77.878,78.148,78.278,77.683,4191688
2024-03-21,78.353,78.203,78.747,77.903,6233826
2024-03-22,78.475,77.894,78.625,77.753,5181488
2024-03-25,77.641,78.044,78.194,77.556,5481262
2024-03-26,78.287,78.475,78.634,77.866,4806870
2024-03-27,78.934,81.494,81.597,78.85,8220106
2024-03-28,81.663,81.71,82.253,81.503,7579459
2024-04-01,81.419,81.588,81.738,81.035,4727418
2024-04-02,81.438,79.881,81.485,79.647,6007243
2024-04-03,80.134,79.694,80.378,79.441,5887405
2024-04-04,80.013,78.681,80.069,78.522,6797059
2024-04-05,78.231,79.281,79.394,77.912,4935938
2024-04-08,79.0,77.734,79.084,77.331,8725417
2024-04-09,78.175,78.569,78.597,77.819,5681094
2024-04-10,77.678,77.191,78.091,76.722,6509396
2024-04-11,77.744,77.041,77.875,76.994,5241326
2024-04-12,76.637,75.128,76.684,74.593,6562831
2024-04-15,75.906,75.222,76.412,74.884,7500241
2024-04-16,75.325,74.303,75.465,73.872,7674490
2024-04-17,74.453,74.143,74.865,74.022,5640094
2024-04-18,74.303,74.247,74.35,73.534,6065702
2024-04-19,74.565,74.518,74.668,74.153,6756950
2024-04-22,74.884,75.54,75.85,74.443,4962583
2024-04-23,75.906,76.215,76.262,75.587,5296230
2024-04-24,75.728,75.362,75.784,75.015,5028857
2024-04-25,75.043,74.303,75.334,73.862,5624078
2024-04-26,74.443,74.762,74.865,74.022,5024880
2024-04-29,74.65,75.812,76.056,74.556,6154266
2024-04-30,75.025,75.231,75.644,74.781,6487413
2024-05-01,74.997,75.84,76.628,74.997,5366116
2024-05-02,76.356,75.869,76.628,75.128,6338796
2024-05-03,76.009,76.59,76.806,75.953,4987236
2024-05-06,77.369,76.656,77.406,76.187,3676174
2024-05-07,77.05,76.787,77.144,76.572,4939733
2024-05-08,76.394,76.459,76.9,76.29,4175665
2024-05-09,76.562,77.594,77.612,76.478,5545720
2024-05-10,77.819,77.669,77.875,77.144,4217841
2024-05-13,77.912,78.306,78.616,77.884,4950890
2024-05-14,78.503,79.038,79.328,78.4,4053666
2024-05-15,79.403,79.431,79.591,78.466,6227356
2024-05-16,79.45,80.294,80.369,79.328,5506954
2024-05-17,80.472,80.556,80.791,79.788,8236275
2024-05-20,80.088,79.234,80.491,79.178,5513007
2024-05-21,79.263,79.853,79.966,79.225,4131608
2024-05-22,79.581,80.406,80.538,79.581,8527853
2024-05-23,78.353,76.3,78.859,76.15,10712261
2024-05-24,75.934,77.153,77.209,75.831,8732273
2024-05-28,77.003,76.881,77.575,76.759,7478985
2024-05-29,76.262,76.403,76.825,75.709,7910489
2024-05-30,75.915,75.569,76.319,75.437,8871618
2024-05-31,75.681,76.29,76.394,75.587,11406030
2024-06-03,76.422,76.994,77.322,76.056,6151100
2024-06-04,76.675,78.072,78.175,76.422,6331319
2024-06-05,77.912,77.172,77.987,76.628,7058331
2024-06-06,77.284,77.2,77.791,76.75,7366734
2024-06-07,77.116,78.822,78.963,77.031,7038909
2024-06-10,78.494,77.95,78.709,77.453,4966543
