Date,Open,Last,High,Low,Volume
2024-01-29,1796.98,1777.43,1800.09,1760.15,359554
2024-01-30,1760.0,1735.3,1762.53,1733.86,300366
2024-01-31,1715.0,1711.81,1736.0,1705.3,295772
2024-02-01,1751.83,1748.28,1759.96,1730.3,250703
2024-02-02,1727.08,1772.9,1783.51,1726.32,304974
2024-02-05,1769.82,1774.75,1778.97,1752.06,200530
2024-02-06,1770.0,1710.39,1772.61,1676.01,704436
2024-02-07,1718.45,1713.87,1734.92,1704.37,442774
2024-02-08,1729.33,1732.83,1743.78,1712.65,297707
2024-02-09,1757.51,1742.26,1775.01,1740.1,379868
2024-02-12,1740.18,1733.23,1767.0,1727.83,242343
2024-02-13,1682.22,1706.24,1729.88,1669.01,325060
2024-02-14,1721.72,1746.37,1746.48,1703.5,290547
2024-02-15,1760.0,1771.83,1773.02,1742.32,300440
2024-02-16,1772.66,1768.78,1792.57,1750.3,354154
2024-02-20,1746.99,1740.01,1768.78,1729.0,371948
2024-02-21,1740.21,1737.77,1752.61,1711.35,326390
2024-02-22,1767.64,1817.98,1825.0,1760.35,711942
2024-02-23,1670.0,1629.32,1670.0,1577.0,1858157
2024-02-26,1625.01,1610.13,1667.85,1600.45,631622
2024-02-27,1630.55,1607.44,1630.55,1590.18,480703
2024-02-28,1596.0,1579.49,1600.69,1577.77,330155
2024-02-29,1593.95,1595.3,1614.85,1584.13,519383
2024-03-01,1605.06,1612.75,1614.9,1579.44,379099
2024-03-04,1611.11,1560.08,1612.34,1552.79,543482
2024-03-05,1550.0,1527.29,1562.2,1508.13,481097
2024-03-06,1550.75,1525.59,1557.15,1504.22,672634
2024-03-07,1541.43,1529.94,1543.0,1510.0,349021
2024-03-08,1528.0,1512.5,1552.99,1511.51,378881
2024-03-11,1525.65,1547.32,1550.59,1516.02,385655
2024-03-12,1553.11,1545.56,1575.0,1530.45,314657
2024-03-13,1546.0,1550.62,1558.76,1529.96,300908
2024-03-14,1555.66,1561.27,1583.49,1547.45,332999
2024-03-15,1560.21,1499.51,1567.5,1496.41,631833
2024-03-18,1524.81,1509.05,1529.61,1500.79,301000
2024-03-19,1502.76,1519.44,1523.45,1480.04,296026
2024-03-20,1524.32,1528.84,1534.26,1495.65,324513
2024-03-21,1538.07,1555.69,1581.0,1538.07,497984
2024-03-22,1557.3,1571.99,1577.01,1537.86,266499
2024-03-25,1568.05,1550.07,1569.91,1533.78,269109
2024-03-26,1558.01,1537.46,1564.0,1532.68,327515
2024-03-27,1552.8,1522.65,1552.8,1503.05,288432
2024-03-28,1522.65,1511.96,1534.14,1509.34,262030
2024-04-01,1527.25,1528.95,1540.98,1518.76,326797
2024-04-02,1504.21,1512.51,1516.32,1490.1,228193
2024-04-03,1500.2,1504.98,1521.15,1492.3,205884
2024-04-04,1524.12,1487.81,1531.15,1486.54,252208
2024-04-05,1495.13,1501.72,1507.0,1486.03,291880
2024-04-08,1513.25,1488.58,1513.98,1488.0,230606
2024-04-09,1492.37,1495.01,1503.0,1478.62,255419
2024-04-10,1474.85,1478.0,1491.86,1463.49,251723
2024-04-11,1486.0,1507.56,1509.02,1479.0,286763
2024-04-12,1495.19,1444.14,1517.14,1442.89,539352
2024-04-15,1466.39,1415.88,1495.3,1400.83,627137
2024-04-16,1418.0,1397.88,1419.85,1396.69,364859
2024-04-17,1404.4,1397.86,1414.19,1389.0,448670
2024-04-18,1388.95,1370.25,1398.89,1366.93,391352
2024-04-19,1379.13,1356.43,1379.13,1344.31,359380
2024-04-22,1364.22,1368.23,1370.34,1324.99,389429
2024-04-23,1390.0,1395.0,1408.18,1367.28,418061
2024-04-24,1384.87,1370.0,1399.7,1360.0,301301
2024-04-25,1350.0,1363.83,1369.08,1341.0,211265
2024-04-26,1380.0,1406.0,1416.76,1376.69,443331
2024-04-29,1430.0,1438.36,1446.44,1419.86,334336
2024-04-30,1438.36,1458.7,1485.24,1433.02,547957
2024-05-01,1446.37,1456.51,1483.63,1427.95,526507
2024-05-02,1463.38,1505.99,1506.25,1444.1,695968
2024-05-03,1620.0,1630.56,1680.0,1617.0,1346802
2024-05-06,1642.21,1653.85,1694.04,1633.32,601904
2024-05-07,1652.94,1688.69,1702.69,1640.23,496958
2024-05-08,1665.0,1716.78,1731.38,1663.37,485494
2024-05-09,1718.0,1695.4,1718.0,1685.0,473976
