Date,Open,Last,High,Low,Volume
2024-01-29,391.488,397.465,399.358,389.615,18742433
2024-01-30,400.012,396.514,402.758,396.028,18614727
2024-01-31,385.552,386.681,394.472,383.668,20180817
2024-02-01,390.448,391.28,396.95,389.566,29727051
2024-02-02,455.526,470.779,481.652,448.994,84707646
2024-02-05,465.715,455.337,467.717,455.149,40832376
2024-02-06,459.887,450.689,462.979,448.984,21655214
2024-02-07,453.94,465.427,467.34,452.136,23065994
2024-02-08,464.168,465.833,466.418,460.908,18815097
2024-02-09,468.757,463.96,469.392,463.326,18413137
2024-02-12,464.04,464.743,474.902,462.444,19381963
2024-02-13,452.82,456.041,463.742,451.056,20916602
2024-02-14,463.782,469.084,469.907,461.958,16858401
2024-02-15,471.067,479.739,484.288,468.034,24212326
2024-02-16,473.872,469.124,474.714,465.051,23324620
2024-02-20,465.556,467.568,471.959,462.424,18015523
2024-02-21,462.874,464.392,465.355,458.201,12977050
2024-02-22,476.507,482.351,486.181,472.36,21625805
2024-02-23,484.256,480.268,490.517,478.601,18374286
2024-02-26,479.712,477.995,482.361,476.864,12101415
2024-02-27,476.249,483.264,483.483,476.19,10809595
2024-02-28,481.23,480.258,487.233,478.998,12715486
2024-02-29,484.643,486.32,487.878,478.859,17732045
2024-03-01,488.285,498.396,500.331,488.027,15884882
2024-03-04,499.09,494.318,500.499,492.561,12324141
2024-03-05,491.152,486.41,491.728,484.098,15325299
2024-03-06,493.762,492.234,499.06,490.448,11757925
2024-03-07,499.368,508.209,515.809,497.483,18586437
2024-03-08,510.193,502.017,519.5,495.469,18597059
2024-03-11,493.147,479.831,493.454,472.3,20428274
2024-03-12,489.426,495.865,498.406,480.962,15448232
2024-03-13,491.539,491.718,497.086,487.213,12090656
2024-03-14,496.372,488.007,497.453,484.366,12620014
2024-03-15,485.209,480.337,488.007,477.559,29153576
2024-03-18,488.086,493.117,493.554,483.026,11755251
2024-03-19,484.376,492.383,492.77,477.539,10903092
2024-03-20,495.617,501.591,504.25,491.321,11711100
2024-03-21,510.709,503.813,511.037,502.077,9712549
2024-03-22,503.059,505.619,506.006,500.42,8120593
2024-03-25,501.859,499.11,503.277,496.352,8380617
2024-03-26,501.204,492.035,506.036,491.361,11205382
2024-03-27,495.419,490.021,496.004,484.276,9989676
2024-03-28,489.009,481.806,489.059,481.379,15212764
2024-04-01,483.413,487.531,493.564,478.035,9247007
2024-04-02,481.329,493.504,493.663,480.883,11081026
2024-04-03,495.052,502.801,503.297,494.873,12099171
2024-04-04,512.406,506.949,525.88,506.611,26476253
2024-04-05,512.842,523.241,526.575,510.412,19263265
2024-04-08,525.166,515.214,527.359,514.857,13260579
2024-04-09,518.171,512.882,521.782,502.801,10881445
2024-04-10,505.331,515.789,518.498,501.868,11418491
2024-04-11,517.059,519.094,519.788,513.269,10369469
2024-04-12,513.726,507.921,516.147,505.371,11984535
2024-04-15,512.704,496.342,514.5,493.415,13512893
2024-04-16,494.238,495.875,500.846,493.246,9847925
2024-04-17,499.189,490.329,499.249,483.354,12193743
2024-04-18,495.935,497.9,508.229,495.161,14808670
2024-04-19,498.892,477.331,498.892,472.032,25215364
2024-04-22,485.913,477.986,488.186,469.72,17271125
2024-04-23,487.432,492.244,494.883,485.169,15079196
2024-04-24,504.111,489.664,506.036,480.813,37772677
2024-04-25,418.125,437.949,442.305,411.278,82890741
2024-04-26,438.029,439.844,442.97,428.602,32691443
2024-04-29,436.143,429.257,436.342,425.229,21502646
2024-04-30,427.699,426.826,436.203,426.38,18429496
2024-05-01,425.269,435.776,446.463,423.79,20344947
2024-05-02,435.429,438.247,440.509,428.92,15221322
2024-05-03,442.464,448.447,450.64,440.4,16489057
2024-05-06,452.039,462.06,462.537,449.816,15094627
2024-05-07,462.666,464.6,467.865,457.724,13406816
2024-05-08,459.897,468.927,471.883,459.401,11683929
2024-05-09,466.347,471.725,472.379,463.995,9437651
2024-05-10,473.382,472.499,473.788,465.95,10749999
2024-05-13,469.075,464.372,469.671,459.252,14668798
2024-05-14,459.768,468.182,468.867,456.504,10478553
2024-05-15,471.288,477.797,478.75,467.537,13100470
2024-05-16,471.308,469.552,473.977,469.075,16608179
2024-05-17,467.17,468.242,469.125,464.779,10807289
2024-05-20,466.297,465.196,469.522,463.41,11745080
2024-05-21,463.489,461.018,467.041,458.677,11742189
2024-05-22,464.233,464.144,470.038,462.031,10078611
2024-05-23,469.204,462.16,470.673,457.952,11747913
2024-05-24,463.985,474.503,476.12,462.676,12024254
2024-05-28,472.876,476.19,477.122,471.149,10175770
2024-05-29,470.971,470.673,476.12,470.018,9226218
2024-05-30,468.004,463.42,468.063,461.098,10735226
2024-05-31,462.179,463.201,465.474,450.928,16919805
2024-06-03,467.2,473.779,475.872,464.6,11279390
2024-06-04,473.292,473.282,475.168,469.552,7088718
2024-06-05,480.684,491.212,492.79,480.149,15690484
2024-06-06,489.148,489.922,498.912,487.074,10667339
2024-06-07,492.055,489.128,495.032,486.36,9380745
2024-06-10,490.021,498.693,498.753,489.575,11236919
2024-06-11,496.272,503.525,503.654,494.397,9673715
2024-06-12,509.995,504.885,510.015,500.549,11983227
2024-06-13,501.779,500.182,505.401,497.463,9954621
2024-06-14,499.242,500.742,503.712,497.355,10243347
2024-06-17,498.269,503.195,507.287,492.647,11266601
2024-06-18,501.139,496.104,502.569,491.664,13060425
2024-06-20,498.596,498.299,500.255,493.402,11801182
2024-06-21,500.037,491.425,500.037,489.052,23130732
2024-06-24,495.815,495.527,504.357,490.939,13525278
2024-06-25,493.68,507.138,507.247,492.141,12109769
2024-06-26,503.215,509.641,510.326,501.258,8882337
2024-06-27,510.763,516.037,519.335,510.416,10121199
2024-06-28,513.644,500.801,518.342,500.424,15855137
2024-07-01,501.526,501.258,503.145,489.826,10328150
2024-07-02,497.365,506.046,507.039,496.064,7739479
2024-07-03,502.937,506.503,507.814,502.589,6005615
2024-07-05,508.131,536.249,537.203,508.131,21354093
2024-07-08,538.673,525.731,539.13,523.079,14917495
2024-07-09,530.131,526.407,533.836,524.609,8769088
2024-07-10,527.191,531.065,535.226,524.778,10983276
2024-07-11,527.291,509.224,531.83,504.923,16458253
2024-07-12,494.385,495.488,504.645,490.879,19750544
2024-07-15,495.249,492.796,503.245,490.025,12539163
2024-07-16,498.1,486.469,500.533,482.496,14075833
2024-07-17,475.921,458.858,475.921,456.007,28076595
2024-07-18,471.78,472.624,475.991,461.39,19267160
2024-07-19,472.832,473.557,483.41,472.485,15149416
2024-07-22,483.281,484.095,488.724,480.619,12023088
2024-07-23,486.519,485.377,491.862,484.413,9455527
2024-07-24,469.108,458.143,473.071,457.457,17649738
2024-07-25,460.119,450.336,460.407,439.649,18240489
2024-07-26,461.053,462.543,466.585,456.305,14222388
2024-07-29,466.694,462.553,470.747,461.867,11339630
2024-07-30,463.834,460.05,469.525,453.604,11390439
2024-07-31,467.827,471.611,473.269,463.585,24285777
2024-08-01,517.468,494.365,523.596,488.764,43083082
2024-08-02,485.685,484.83,497.752,472.922,24044658
2024-08-05,448.29,472.505,480.202,447.744,21396191
2024-08-06,475.752,490.74,499.153,475.405,20954959
2024-08-07,499.719,485.605,506.691,483.559,20105307
2024-08-08,494.127,506.175,506.503,491.366,16156843
2024-08-09,504.268,514.26,514.826,502.271,13696640
2024-08-12,513.356,512.452,514.508,505.648,9767422
2024-08-13,516.484,524.957,527.896,514.637,13743839
2024-08-14,524.48,523.189,530.38,519.583,11444189
2024-08-15,528.185,533.687,536.11,523.129,13482141
2024-08-16,528.294,523.844,530.042,521.103,14776684
2024-08-19,523.298,525.692,528.055,519.216,9879713
2024-08-20,524.768,523.159,527.489,522.315,7944391
2024-08-21,523.576,531.532,535.743,523.367,13423292
2024-08-22,533.359,528.324,540.54,525.006,15708292
2024-08-23,533.28,524.42,536.21,521.5,11323936
2024-08-26,524.023,517.587,524.42,511.459,9584002
2024-08-27,515.461,515.581,520.457,511.816,6282720
2024-08-28,514.17,513.276,517.557,508.976,9106077
2024-08-29,515.531,514.707,523.626,512.184,8317424
2024-08-30,517.815,517.776,519.99,511.707,9157541
2024-09-03,516.117,508.29,521.927,505.172,12459113
2024-09-04,502.639,509.264,513.088,500.652,8335207
2024-09-05,508.251,513.356,518.093,507.684,8640888
2024-09-06,518.342,496.878,521.023,494.872,14744521
2024-09-09,502.728,501.368,507.863,498.676,11047828
2024-09-10,504.715,501.368,510.694,496.64,9899022
2024-09-11,503.573,508.36,509.641,492.24,10782532
2024-09-12,513.544,522.036,523.139,511.727,11993342
2024-09-13,516.812,521.063,524.003,513.604,10321422
2024-09-16,521.505,530.194,531.01,514.406,9527646
2024-09-17,534.489,533.217,538.963,527.5,11690779
2024-09-18,533.963,534.837,541.051,530.811,10323537
2024-09-19,546.818,555.865,558.818,543.358,15646951
2024-09-20,556.76,558.102,561.234,553.081,22066817
2024-09-23,566.205,561.144,570.659,559.156,12830669
2024-09-24,563.401,560.071,564.465,550.984,12992956
2024-09-25,560.786,565.022,573.542,560.458,16543350
2024-09-26,572.399,564.555,574.059,559.096,14400787
2024-09-27,566.801,564.077,567.537,561.244,9398367
2024-09-30,564.415,569.128,571.355,561.532,12807206
2024-10-01,574.636,573.135,579.667,566.801,15259274
2024-10-02,571.534,569.496,572.667,566.046,6524650
2024-10-03,566.851,579.398,579.985,565.439,11580980
2024-10-04,580.353,592.492,593.397,578.066,14199788
2024-10-07,594.759,581.397,599.461,580.661,12014198
2024-10-08,586.278,589.46,590.126,582.58,7857377
2024-10-09,590.553,587.093,590.951,578.245,9529707
2024-10-10,584.17,580.452,586.815,579.15,7740449
2024-10-11,581.446,586.537,587.789,579.338,8587051
2024-10-14,590.782,587.004,596.628,586.547,8251971
2024-10-15,586.745,582.878,587.193,576.783,9564236
2024-10-16,578.036,573.453,578.712,570.709,11268384
2024-10-17,579.955,573.592,581.585,571.872,8701158
2024-10-18,577.738,573.135,580.591,571.922,7694274
2024-10-21,572.697,571.832,573.9,565.817,8171879
2024-10-22,570.967,578.643,580.154,568.81,8544463
2024-10-23,576.614,560.429,581.615,559.245,14248419
2024-10-24,563.849,564.495,565.589,558.271,7184651
2024-10-25,570.619,569.933,577.927,568.412,11337874
2024-10-28,578.633,574.815,580.372,570.798,10925131
2024-10-29,576.793,589.847,590.235,572.071,13019092
2024-10-30,597.503,588.376,597.722,585.97,26864925
2024-10-31,581.615,564.296,586.487,559.752,26838395
2024-11-01,564.326,563.878,570.351,559.305,15303235
2024-11-04,560.836,557.436,565.4,554.662,12064601
2024-11-05,564.028,569.118,570.162,563.391,9775379
2024-11-06,559.494,568.74,569.685,551.958,18305429
2024-11-07,573.552,588.276,591.359,571.882,14653708
2024-11-08,588.117,585.93,589.668,581.138,9415699
2024-11-11,582.967,579.796,583.604,573.174,10209051
2024-11-12,585.145,581.436,596.19,577.022,16287724
2024-11-13,579.239,576.644,582.252,571.842,10757583
2024-11-14,573.662,573.821,577.4,569.695,11053743
2024-11-15,567.915,550.874,569.257,548.309,17712864
2024-11-18,553.817,551.192,556.66,546.907,14346715
2024-11-19,548.667,557.844,558.182,547.414,9522445
2024-11-20,559.673,562.248,563.073,550.993,9797339
2024-11-21,566.225,559.832,566.702,545.873,11154749
2024-11-22,560.289,555.905,560.568,551.381,9164004
2024-11-25,558.848,561.84,569.277,553.171,13599830
2024-11-26,562.725,570.222,574.159,561.93,10356550
2024-11-27,571.564,565.907,571.653,560.836,7200228
2024-11-29,565.708,570.997,575.113,563.62,7130519
2024-12-02,574.159,589.4,591.06,572.24,12522371
2024-12-03,591.557,610.099,610.646,587.829,14907164
2024-12-04,609.413,610.229,614.206,601.599,14697006
2024-12-05,613.51,605.407,616.313,603.538,8081212
2024-12-06,606.57,620.161,626.146,605.009,16935503
2024-12-09,620.32,610.02,622.776,602.663,11426015
2024-12-10,613.987,615.737,621.97,609.195,10938854
2024-12-11,619.763,629.019,634.706,617.934,10837228
2024-12-12,627.846,627.14,632.976,623.581,7474717
2024-12-13,623.591,616.761,627.429,613.321,8453349
2024-12-16,626.836,621.125,628.001,615.493,10885625
2024-12-17,623.045,616.349,629.215,613.464,12897842
2024-12-18,617.901,594.21,624.23,593.344,17075480
2024-12-19,607.344,592.598,608.469,592.031,14958082
2024-12-20,587.633,582.33,600.101,577.106,48989390
2024-12-23,586.658,596.857,598.091,583.325,10205750
2024-12-24,599.712,604.717,604.956,596.29,4726056
2024-12-26,602.459,600.339,603.275,595.951,6091239
2024-12-27,596.419,596.817,598.847,586.857,8084229
2024-12-30,585.812,588.29,593.961,582.658,7025864
2024-12-31,589.315,582.588,591.006,580.937,6019520
2025-01-02,586.777,596.25,601.892,584.887,12682269
2025-01-03,601.742,601.613,606.459,593.434,11436784
2025-01-06,608.777,627.055,627.841,602.598,14560754
2025-01-07,628.548,614.807,628.946,605.195,12071479
2025-01-08,610.339,607.673,613.364,599.782,10085846
2025-01-10,606.986,612.787,626.767,594.359,19256564
2025-01-13,604.071,605.294,605.931,595.464,10785031
2025-01-14,602.051,591.285,602.469,585.613,13597992
2025-01-15,607.165,614.041,619.354,603.474,15524302
2025-01-16,608.449,608.25,613.175,606.668,8355349
2025-01-17,620.936,609.712,621.851,600.658,17280600
2025-01-21,614.747,613.384,618.399,605.971,11674016
2025-01-22,620.19,620.389,630.538,616.349,12274011
2025-01-23,624.23,633.274,633.423,618.051,9910163
2025-01-24,633.224,644.259,648.747,631.035,19065329
2025-01-27,623.483,656.587,660.557,621.981,28399190
2025-01-28,662.677,670.965,679.174,656.179,20950107
2025-01-29,671.632,673.114,677.652,662.348,21377820
2025-01-30,693.343,683.572,707.243,672.726,29322898
2025-01-31,687.552,685.741,701.781,682.159,19331660
2025-02-03,672.537,693.98,700.487,671.881,21415739
2025-02-04,698.995,700.676,704.179,688.159,13826270
2025-02-05,700.039,701.353,714.557,695.522,17793766
2025-02-06,702.358,708.437,715.313,699.99,13080690
2025-02-07,713.223,710.955,721.392,708.198,16427067
2025-02-10,714.974,713.82,717.601,707.781,12904317
2025-02-11,709.761,716.208,720.049,706.497,12997959
2025-02-12,711.731,721.76,723.472,709.044,12016517
2025-02-13,717.92,724.925,725.362,714.457,12569064
2025-02-14,722.517,732.994,737.213,721.999,16901249
2025-02-18,732.327,712.795,733.322,702.915,21938703
2025-02-19,700.587,700.258,703.472,691.92,17535480
2025-02-20,693.801,691.373,702.109,690.179,12587408
2025-02-21,693.104,680.139,700.358,678.955,15660355
2025-02-24,682.856,664.796,683.841,659.144,15676994
2025-02-25,662.647,654.219,664.667,638.657,20579662
2025-02-26,656.358,670.338,679.602,654.717,14488705
2025-02-27,679.045,654.955,685.214,654.289,12500013
2025-02-28,654.756,664.866,666.289,639.393,17534168
2025-03-03,670.318,651.781,677.851,647.592,10843763
2025-03-04,642.289,636.806,646.508,620.538,21495208
2025-03-05,637.801,653.194,656.209,634.478,13770026
2025-03-06,644.767,624.797,647.314,620.996,13446454
2025-03-07,622.249,622.538,631.622,597.613,21375671
2025-03-10,605.036,595.006,607.066,583.942,21999943
2025-03-11,592.091,602.688,611.862,590.369,17401469
2025-03-12,626.757,616.468,630.17,606.309,15746966
2025-03-13,617.155,587.693,617.404,583.583,16480324
2025-03-14,600.343,605.113,606.368,592.346,12364505
2025-03-17,604.974,602.424,610.591,595.552,15473909
2025-03-18,597.594,579.976,597.793,572.308,20297708
2025-03-19,581.889,581.669,589.896,572.418,20537498
2025-03-20,580.375,583.602,607.703,577.138,24336505
2025-03-21,581.042,593.81,595.104,578.572,25015864
2025-03-24,612.453,616.317,619.992,609.694,15741274
2025-03-25,624.195,623.747,631.286,618.638,15312540
