Date,Open,Last,High,Low,Volume
2024-01-29,65.429,64.768,65.505,64.485,2598441
2024-01-30,64.4,65.42,65.987,64.362,2967887
2024-01-31,65.08,64.372,65.297,64.164,2795458
2024-02-01,63.928,64.872,64.891,63.323,1855160
2024-02-02,64.778,63.918,65.108,63.38,2293896
2024-02-05,63.55,62.19,63.644,62.181,1523727
2024-02-06,62.256,63.323,64.117,62.209,1719089
2024-02-07,63.597,61.973,63.616,61.878,1544188
2024-02-08,61.944,62.162,62.53,61.633,1936972
2024-02-09,62.332,61.057,62.332,60.754,2111095
2024-02-12,61.009,62.398,62.417,60.915,1850480
2024-02-13,62.284,61.718,62.719,60.754,1990372
2024-02-14,61.916,61.378,61.916,60.858,1325167
2024-02-15,61.859,61.907,62.728,61.321,2016044
2024-02-16,61.633,62.473,63.031,61.255,1746645
2024-02-20,62.558,64.277,64.409,62.558,2326526
2024-02-21,64.56,63.777,64.56,63.21,2292185
2024-02-22,63.361,64.022,64.06,62.067,2088982
2024-02-23,63.899,64.296,64.891,63.72,2966090
2024-02-26,64.192,64.107,64.693,63.607,1319872
2024-02-27,64.22,64.069,64.315,63.777,1053915
2024-02-28,63.89,63.965,64.447,63.588,1396953
2024-02-29,64.447,65.033,65.212,63.871,2743479
2024-03-01,64.834,64.041,64.91,63.805,1325887
2024-03-04,63.918,64.674,64.721,63.777,1233483
2024-03-05,64.91,65.07,65.316,64.551,1841878
2024-03-06,65.571,64.513,65.637,64.05,1558245
2024-03-07,64.853,64.589,64.863,63.909,1232504
2024-03-08,64.475,64.768,65.089,64.192,957567
2024-03-11,64.749,66.005,66.109,64.749,1554789
2024-03-12,65.713,65.127,66.582,65.099,1471553
2024-03-13,65.439,64.853,66.242,64.768,2311149
2024-03-14,64.589,64.202,65.033,63.928,1986981
2024-03-15,63.739,64.381,64.627,63.295,3794572
2024-03-18,64.372,64.334,65.325,64.183,2081347
2024-03-19,64.296,65.543,65.703,63.937,1846734
2024-03-20,65.779,64.91,66.619,64.542,2096136
2024-03-21,64.797,65.618,65.835,64.164,1731487
2024-03-22,65.845,66.138,66.223,65.637,1577323
2024-03-25,66.374,66.053,66.997,65.675,4910673
2024-03-26,70.69,73.004,73.429,69.651,6318377
2024-03-27,73.429,71.804,73.447,71.03,4352522
2024-03-28,72.522,72.541,73.155,72.229,2583936
2024-04-01,71.577,72.361,72.692,71.096,2306933
2024-04-02,73.268,73.92,74.052,72.654,3759101
2024-04-03,73.665,72.012,73.872,71.757,1934406
2024-04-04,72.106,72.163,72.758,71.521,1856230
2024-04-05,72.116,71.669,72.154,70.872,1616911
2024-04-08,71.603,71.821,72.496,71.574,1279442
2024-04-09,72.068,71.821,72.201,71.47,1045848
2024-04-10,71.223,71.014,71.584,70.482,1235150
2024-04-11,71.128,69.723,71.128,69.229,1719041
2024-04-12,69.504,68.146,69.504,67.766,1708048
2024-04-15,68.441,68.289,68.934,67.795,1912539
2024-04-16,68.46,68.184,68.821,68.07,1217914
2024-04-17,68.583,68.631,68.745,68.032,1158759
2024-04-18,69.096,69.039,69.276,68.726,1330397
2024-04-19,69.504,70.198,70.444,69.067,1726874
2024-04-22,70.473,70.929,71.565,70.188,1715005
2024-04-23,70.815,71.242,71.432,70.663,1701229
2024-04-24,70.473,72.03,72.173,69.97,1824423
2024-04-25,72.163,71.755,73.027,71.366,1731988
2024-04-26,71.574,71.916,72.22,71.366,1248036
2024-04-29,72.059,72.448,72.505,71.954,1402105
2024-04-30,72.239,72.23,72.619,71.47,3019036
2024-05-01,71.878,70.796,71.954,70.311,1767023
2024-05-02,71.1,71.356,71.916,70.663,1479298
2024-05-03,71.518,71.65,72.315,71.233,1584356
2024-05-06,71.717,71.945,72.125,71.204,1637367
2024-05-07,72.401,72.344,72.724,71.945,1510059
2024-05-08,72.486,71.755,72.97,71.707,1331092
2024-05-09,71.831,71.546,71.964,70.425,1097841
2024-05-10,71.546,72.315,72.372,71.461,793080
2024-05-13,72.429,71.926,72.894,71.859,879878
2024-05-14,72.144,70.843,72.458,70.568,1037392
2024-05-15,71.014,70.872,71.366,70.596,1029430
2024-05-16,71.214,70.729,71.641,70.72,1416531
2024-05-17,70.929,70.283,70.929,70.169,1279501
2024-05-20,70.207,70.53,70.834,69.685,2137350
2024-05-21,70.587,70.273,70.891,69.761,1450646
2024-05-22,69.894,69.932,70.283,69.561,1804269
2024-05-23,69.314,68.517,70.207,68.431,1346894
2024-05-24,68.726,68.574,68.991,68.251,1053823
2024-05-28,68.251,67.719,68.526,67.425,1561678
2024-05-29,67.349,66.646,67.709,66.56,1314889
2024-05-30,66.836,67.159,67.558,66.532,1783244
2024-05-31,67.149,68.583,68.887,67.092,4091088
2024-06-03,68.621,68.279,69.181,67.709,1624688
2024-06-04,67.425,65.402,67.614,65.012,3345714
2024-06-05,65.183,64.87,65.202,64.015,2665577
2024-06-06,65.126,65.734,65.981,64.832,2188939
2024-06-07,65.373,65.126,65.81,65.05,1250362
2024-06-10,64.927,64.68,64.955,63.863,1251677
2024-06-11,64.557,65.715,65.753,64.376,1451648
2024-06-12,66.389,65.582,66.769,65.193,2473039
2024-06-13,65.506,64.5,65.506,64.148,1460001
2024-06-14,64.348,64.376,64.509,63.645,1374651
2024-06-17,64.12,65.981,66.029,64.101,1945415
2024-06-18,65.563,65.174,66.171,64.794,2034544
2024-06-20,64.918,65.107,65.62,64.699,1805537
2024-06-21,65.345,65.221,66.238,64.794,2282044
2024-06-24,65.136,65.715,66.598,64.832,2245212
2024-06-25,65.411,65.088,66.247,64.974,2095063
2024-06-26,63.835,64.262,64.566,63.512,3171324
2024-06-27,68.08,67.045,68.479,66.541,5768145
2024-06-28,67.235,67.368,67.482,66.522,4136213
2024-07-01,67.282,66.427,68.659,66.408,2432842
2024-07-02,66.37,66.703,67.111,66.114,1784712
2024-07-03,66.817,66.351,67.064,66.029,1059623
2024-07-05,66.399,67.311,67.358,65.915,1551909
2024-07-08,67.519,66.334,67.519,66.239,1922158
2024-07-09,66.296,66.936,67.108,65.914,1541328
2024-07-10,67.271,68.14,68.465,67.013,2105295
2024-07-11,68.197,68.006,68.57,67.672,1905618
2024-07-12,68.589,68.255,68.981,68.111,2085701
2024-07-15,68.188,69.496,70.299,67.978,4089898
2024-07-16,69.735,70.041,70.117,69.028,1599686
2024-07-17,70.28,71.12,71.923,70.261,2931553
2024-07-18,70.452,70.91,72.018,70.404,1740397
2024-07-19,70.948,70.299,71.302,69.812,1616626
2024-07-22,70.414,70.146,70.48,69.325,1228421
2024-07-23,70.041,70.633,71.015,69.802,1353250
2024-07-24,70.557,70.91,71.082,69.716,2182394
2024-07-25,71.025,71.426,73.021,70.958,1785166
2024-07-26,71.569,72.4,72.811,71.55,2667739
2024-07-29,72.4,72.716,73.384,72.085,1620988
2024-07-30,72.391,73.432,73.757,72.391,1701566
2024-07-31,73.47,73.566,74.416,72.964,2291046
2024-08-01,73.681,74.569,74.655,72.916,1434608
2024-08-02,75.075,75.295,75.763,73.423,2183204
2024-08-05,75.247,72.878,75.82,72.572,2940445
2024-08-06,73.174,73.451,74.617,73.174,2682862
2024-08-07,73.528,74.139,75.171,73.222,1567999
2024-08-08,73.69,74.387,74.559,73.537,1398050
2024-08-09,74.435,74.158,74.483,73.404,1158556
2024-08-12,74.024,73.06,74.024,72.974,1098110
2024-08-13,73.241,73.862,73.967,72.983,761806
2024-08-14,74.301,74.473,75.257,73.843,1422484
2024-08-15,74.684,73.404,74.684,73.107,1419408
2024-08-16,73.375,73.728,74.005,73.155,1566137
2024-08-19,73.853,74.665,75.066,73.728,1540503
2024-08-20,74.493,74.607,74.836,74.244,978277
2024-08-21,74.836,75.266,75.715,74.464,987713
2024-08-22,75.429,75.19,75.639,74.655,844250
2024-08-23,75.362,75.754,75.83,75.075,1014178
2024-08-26,75.811,75.629,76.518,75.601,948952
2024-08-27,75.677,75.715,76.231,75.142,1044391
2024-08-28,75.515,76.136,76.566,75.228,1521278
2024-08-29,76.413,75.496,76.508,75.219,974848
2024-08-30,75.696,76.451,76.527,75.696,1902919
2024-09-03,76.46,77.569,78.218,76.403,2563007
2024-09-04,77.588,78.4,78.982,77.33,3501069
2024-09-05,78.915,79.326,79.747,78.533,2531765
2024-09-06,79.364,79.173,79.842,78.954,1444960
2024-09-09,79.326,79.517,80.09,78.638,2787876
2024-09-10,79.775,80.043,80.721,79.556,1781163
2024-09-11,79.823,78.896,79.823,78.524,1160326
2024-09-12,78.667,79.45,79.546,78.209,1408425
2024-09-13,79.489,80.014,80.215,79.298,1210860
2024-09-16,80.721,80.969,81.667,80.434,1148911
2024-09-17,80.941,80.721,81.428,80.606,1251499
2024-09-18,80.482,80.167,80.922,79.794,1355457
2024-09-19,80.224,79.613,80.243,78.849,1735356
2024-09-20,79.498,79.278,79.565,78.868,4289009
2024-09-23,79.212,79.47,80.014,78.963,1554312
2024-09-24,79.326,80.014,80.062,79.03,1938994
2024-09-25,80.282,79.651,80.282,79.403,1246806
2024-09-26,79.384,79.527,79.861,79.078,1613006
2024-09-27,79.861,79.517,80.52,79.345,2037412
2024-09-30,79.431,78.619,79.498,78.256,3215630
2024-10-01,79.594,80.329,81.017,77.941,4415884
2024-10-02,79.307,78.371,79.785,77.626,3608944
