Date,Open,Last,High,Low,Volume
2024-01-29,494.988,506.204,506.441,493.626,287486
2024-01-30,503.669,510.505,513.178,503.669,242664
2024-01-31,508.068,501.548,509.242,500.384,308631
2024-02-01,504.931,508.542,508.67,490.391,416199
2024-02-02,502.357,512.882,515.151,500.966,426965
2024-02-05,507.763,501.656,507.763,497.602,437624
2024-02-06,501.124,507.555,508.571,497.671,410967
2024-02-07,512.774,517.391,520.528,511.452,399337
2024-02-08,517.627,518.308,519.334,511.649,374003
2024-02-09,516.562,520.015,520.025,515.043,320095
2024-02-12,526.772,525.105,534.486,520.863,595273
2024-02-13,515.812,520.123,522.451,512.675,644140
2024-02-14,528.459,532.168,537.683,524.316,483774
2024-02-15,532.701,528.4,535.69,523.29,430540
2024-02-16,527.768,532.573,543.345,527.768,648595
2024-02-20,527.907,525.934,531.635,521.041,339721
2024-02-21,526.013,529.051,529.929,523.645,334382
2024-02-22,535.345,540.751,542.25,533.253,285979
2024-02-23,542.556,541.264,543.394,537.673,344631
2024-02-26,541.619,545.831,549.668,541.619,258565
2024-02-27,546.374,551.523,551.641,544.302,358618
2024-02-28,551.276,558.448,560.096,551.276,493961
2024-02-29,562.295,569.901,572.94,559.375,854109
2024-03-01,570.475,582.733,582.802,570.11,654316
2024-03-04,595.742,594.537,597.599,586.892,1051227
2024-03-05,590.981,595.525,603.259,589.944,1040790
2024-03-06,597.876,599.92,604.622,597.293,722651
2024-03-07,604.039,604.425,609.531,602.093,554761
2024-03-08,602.429,589.549,604.513,587.129,797934
2024-03-11,589.104,588.423,590.477,583.178,452081
2024-03-12,589.727,595.782,596.147,588.472,312564
2024-03-13,595.604,597.52,601.501,593.51,295060
2024-03-14,595.386,599.12,600.75,592.67,411874
2024-03-15,592.077,588.976,601.086,588.818,620177
2024-03-18,590.013,589.46,595.219,589.144,437128
2024-03-19,587.119,594.902,596.858,586.447,351971
2024-03-20,594.379,596.256,599.002,591.109,388000
2024-03-21,598.893,605.452,606.054,597.066,347848
2024-03-22,600.582,599.693,600.72,595.722,362437
2024-03-25,600.256,597.411,600.691,594.725,325509
2024-03-26,598.044,602.637,603.091,596.611,327564
2024-03-27,606.716,604.375,607.477,594.982,525002
2024-03-28,604.336,606.43,607.585,601.906,309882
2024-04-01,606.489,597.026,608.958,596.977,302555
2024-04-02,595.535,594.715,595.801,586.161,396557
2024-04-03,595.1,602.913,605.343,595.1,347858
2024-04-04,608.366,596.7,613.186,596.582,430731
2024-04-05,600.385,611.833,614.668,597.125,397297
2024-04-08,613.156,613.927,619.004,610.697,438507
2024-04-09,614.263,603.16,614.263,595.979,457588
2024-04-10,587.613,599.13,603.545,580.481,386030
2024-04-11,597.856,599.654,603.763,596.522,283594
2024-04-12,594.448,594.744,599.357,592.818,239074
2024-04-15,606.667,591.91,611.912,590.527,442760
2024-04-16,594.32,587.958,594.537,584.728,344146
2024-04-17,589.361,585.667,592.71,583.217,494659
2024-04-18,589.648,579.948,589.648,574.722,541568
2024-04-19,582.585,568.845,587.129,565.566,1076995
2024-04-22,570.702,577.172,581.726,567.857,336799
2024-04-23,578.436,587.119,589.924,577.755,300053
2024-04-24,585.479,584.58,591.327,577.982,331852
2024-04-25,577.32,589.766,593.065,571.374,408280
2024-04-26,591.465,597.589,598.982,591.465,386242
2024-04-29,598.528,595.268,600.553,591.475,517037
2024-04-30,592.858,579.888,599.002,575.118,821899
2024-05-01,579.553,583.632,595.999,569.349,649176
2024-05-02,584.649,582.743,588.423,573.438,593585
2024-05-03,588.225,583.8,591.337,581.044,491967
2024-05-06,589.717,592.453,595.248,586.763,361345
2024-05-07,593.243,591.485,597.066,588.294,339137
2024-05-08,590.349,589.341,592.621,587.198,284561
2024-05-09,590.813,595.821,596.611,588.344,269177
2024-05-10,599.17,602.963,606.064,598.449,339407
2024-05-13,605.274,600.612,605.758,597.905,321783
2024-05-14,600.039,598.715,601.323,595.505,346274
2024-05-15,602.577,605.185,608.435,600.74,333811
2024-05-16,603.901,574.574,603.901,573.399,722250
