Date,Open,Last,High,Low,Volume
2024-01-29,29.652,29.671,29.772,29.301,3622116
2024-01-30,29.357,29.357,29.717,29.181,4111432
2024-01-31,29.255,28.368,29.338,28.368,5742427
2024-02-01,28.839,28.516,28.987,28.202,8121908
2024-02-02,28.276,28.507,28.59,27.906,4420279
2024-02-05,27.962,27.648,28.128,27.638,5056949
2024-02-06,27.62,28.036,28.23,27.472,5356503
2024-02-07,28.137,28.054,28.304,27.546,5200483
2024-02-08,28.054,27.795,28.054,27.592,3504041
2024-02-09,27.925,27.638,28.165,27.546,5869937
2024-02-12,27.768,28.257,28.479,27.703,5199266
2024-02-13,27.888,27.26,28.193,27.038,5051500
2024-02-14,27.38,27.297,27.546,27.02,6270817
2024-02-15,27.186,27.842,28.267,27.186,6094192
2024-02-16,27.86,28.22,28.257,27.555,5131807
2024-02-20,27.989,28.045,28.174,27.712,5996909
2024-02-21,27.86,27.925,28.211,27.583,6316285
2024-02-22,29.467,29.763,30.031,28.839,11504517
2024-02-23,29.449,29.079,29.671,28.895,6119528
2024-02-26,28.885,29.227,29.431,28.738,4272196
2024-02-27,29.394,28.839,29.504,28.812,4620402
2024-02-28,28.488,28.534,29.19,28.451,6601328
2024-02-29,28.239,28.784,28.885,28.146,9124961
2024-03-01,29.375,29.218,29.431,29.024,7706143
2024-03-04,29.181,28.904,29.273,28.728,6875248
2024-03-05,28.692,28.858,29.477,28.599,5022428
2024-03-06,29.257,29.248,29.564,29.006,3406185
2024-03-07,29.508,29.694,30.261,29.387,4050926
2024-03-08,29.834,29.378,29.992,29.304,3037413
2024-03-11,29.285,29.434,29.703,29.145,3710205
2024-03-12,29.536,29.164,29.536,28.885,3321728
2024-03-13,29.211,29.713,29.973,29.173,3743215
2024-03-14,29.508,29.415,29.75,29.136,5023045
2024-03-15,29.294,29.852,29.917,29.266,9151281
2024-03-18,29.936,29.964,30.317,29.573,4053613
2024-03-19,29.908,29.908,29.955,29.601,3276484
2024-03-20,29.787,30.01,30.178,29.62,3562234
2024-03-21,30.038,29.796,30.215,29.787,3311258
2024-03-22,29.815,28.997,29.889,28.932,4087372
2024-03-25,29.136,29.099,29.527,28.997,3864268
2024-03-26,28.718,28.364,29.108,28.299,5368847
2024-03-27,28.467,29.769,29.778,28.392,4885624
2024-03-28,29.927,30.187,30.289,29.266,7077946
2024-04-01,30.485,30.159,30.605,29.982,4939888
2024-04-02,30.178,29.862,30.578,29.648,4546086
2024-04-03,29.936,30.271,30.308,29.731,3258914
2024-04-04,30.512,30.485,30.689,30.168,5200441
2024-04-05,30.252,30.643,30.764,30.15,4266694
2024-04-08,30.838,30.28,31.098,30.196,3626656
2024-04-09,30.522,30.977,30.987,30.261,3996395
2024-04-10,30.689,30.392,30.857,29.899,4163994
2024-04-11,30.308,29.834,30.373,29.601,3736193
2024-04-12,29.694,28.941,29.787,28.746,3564292
2024-04-15,29.201,28.792,29.434,28.587,3363283
2024-04-16,28.597,28.29,28.68,28.271,3561407
2024-04-17,28.457,28.169,28.773,28.141,3003571
2024-04-18,28.513,28.336,28.699,28.225,3411277
2024-04-19,28.234,28.829,28.904,28.169,2951280
2024-04-22,28.615,28.587,28.839,28.225,2930251
2024-04-23,28.364,28.281,28.662,28.225,3935614
2024-04-24,28.085,28.355,28.401,28.002,3509290
2024-04-25,28.206,28.16,28.355,27.453,4689215
2024-04-26,28.002,28.132,28.262,27.927,2670272
2024-04-29,28.355,28.699,28.885,28.281,3972934
2024-04-30,28.857,29.192,29.443,28.467,7773713
2024-05-01,28.969,27.834,29.22,27.676,10026243
2024-05-02,27.574,26.421,27.657,25.881,12581749
2024-05-03,26.69,26.672,27.416,26.486,5229141
2024-05-06,27.034,27.006,27.239,26.709,5491417
2024-05-07,27.155,27.788,27.992,27.09,5205289
2024-05-08,27.36,27.499,27.723,27.276,3194815
2024-05-09,27.62,27.797,28.002,27.388,3286703
2024-05-10,27.946,27.369,28.039,27.313,2775291
2024-05-13,27.657,27.397,27.899,27.341,2796897
2024-05-14,27.797,27.974,28.122,27.676,3642843
