Date,Open,Last,High,Low,Volume
2024-01-29,112.209,112.144,112.311,111.414,9138402
2024-01-30,112.144,112.496,112.588,111.127,7469479
2024-01-31,113.3,111.682,113.596,111.423,10779041
2024-02-01,114.336,116.86,116.906,113.522,11650731
2024-02-02,117.165,116.888,117.951,116.611,10175595
2024-02-05,117.415,116.675,118.173,116.231,8027717
2024-02-06,117.073,117.323,117.914,116.574,6152994
2024-02-07,117.341,117.868,118.414,116.971,6742760
2024-02-08,117.729,117.073,117.877,116.463,6308268
2024-02-09,116.712,116.0,117.147,115.621,7891392
2024-02-12,115.584,115.899,116.028,115.029,5257536
2024-02-13,116.49,115.982,117.304,115.103,7273434
2024-02-14,116.148,116.342,116.537,115.418,6622438
2024-02-15,116.481,117.008,117.646,116.463,5756747
2024-02-16,116.971,118.164,118.441,116.666,6266778
2024-02-20,118.478,117.776,119.551,117.628,6952764
2024-02-21,117.84,118.469,118.506,117.249,4849322
2024-02-22,118.497,119.523,119.949,118.035,6517381
2024-02-23,120.013,119.699,120.429,119.153,5177378
2024-02-26,119.634,119.135,119.93,118.793,5158398
2024-02-27,118.599,119.311,119.431,118.173,4780340
2024-02-28,119.597,118.534,119.653,118.081,5697212
2024-02-29,118.451,117.572,119.144,117.489,11246128
2024-03-01,117.313,117.397,118.219,116.897,6023528
2024-03-04,115.085,114.706,117.008,114.003,12706167
2024-03-05,115.288,113.578,115.621,113.171,8277870
2024-03-06,113.587,114.428,115.362,113.282,8251362
2024-03-07,114.068,114.65,115.15,113.568,8982273
2024-03-08,113.948,114.197,114.696,112.866,9822679
2024-03-11,115.261,113.522,115.261,112.662,7769251
2024-03-12,113.735,113.42,113.929,112.283,11621795
2024-03-13,113.883,112.958,113.929,111.701,9186104
2024-03-14,112.893,112.139,112.893,111.348,10132544
2024-03-15,111.515,113.079,113.47,110.948,46477417
2024-03-18,113.386,113.004,114.0,112.716,8311895
2024-03-19,113.004,113.712,113.767,112.065,11696824
2024-03-20,112.855,115.247,115.303,112.018,9793420
2024-03-21,115.098,115.033,115.563,114.512,8156305
2024-03-22,115.191,115.247,115.842,114.661,7022502
2024-03-25,115.461,116.606,116.857,115.172,7605755
2024-03-26,117.043,116.801,117.322,116.177,8864402
2024-03-27,123.64,122.598,123.854,121.072,16061581
2024-03-28,122.831,122.784,123.222,121.975,10189650
2024-04-01,122.533,121.891,122.766,121.072,5377645
2024-04-02,121.063,121.295,121.677,120.3,6584174
2024-04-03,121.295,120.877,123.11,120.439,7741435
2024-04-04,121.742,118.792,121.844,118.495,6753178
2024-04-05,118.783,119.099,119.667,118.178,5692896
2024-04-08,118.774,117.769,119.034,117.136,6282534
2024-04-09,117.787,117.908,118.178,116.792,4696726
2024-04-10,117.117,117.945,118.178,116.364,5787733
2024-04-11,117.759,117.387,118.308,116.745,6187364
2024-04-12,118.215,117.006,118.28,116.41,7369989
2024-04-15,117.89,117.424,118.941,117.127,6241069
2024-04-16,117.769,116.373,117.992,116.345,5587332
2024-04-17,116.941,116.661,117.424,116.047,6122908
2024-04-18,116.801,116.531,116.801,115.852,5992700
2024-04-19,116.922,117.043,117.359,116.215,8404345
2024-04-22,117.908,118.122,119.183,117.452,7805992
2024-04-23,119.202,118.066,119.202,117.936,7743961
2024-04-24,118.011,118.178,118.727,116.643,7128300
2024-04-25,120.681,121.64,123.575,119.816,12750052
2024-04-26,121.091,122.086,122.747,121.091,7758230
2024-04-29,122.57,121.081,123.017,120.346,6829373
2024-04-30,121.826,120.244,121.826,120.021,6944968
2024-05-01,119.676,119.853,120.905,118.923,5895807
2024-05-02,120.095,119.351,120.681,119.099,7422542
2024-05-03,119.118,118.653,119.555,118.346,6221928
2024-05-06,118.346,118.709,118.857,117.955,6551962
2024-05-07,118.271,121.323,121.37,118.243,6682316
2024-05-08,121.509,120.551,122.375,120.346,6659121
2024-05-09,119.983,121.184,121.435,119.983,9216740
2024-05-10,121.733,121.026,121.789,120.923,5722627
2024-05-13,120.514,120.309,120.7,119.127,7109912
2024-05-14,120.225,119.723,120.225,119.137,6154340
2024-05-15,119.928,122.58,122.803,119.779,7237125
2024-05-16,122.245,121.789,122.626,121.705,5518302
2024-05-17,121.612,122.077,122.198,120.793,8281595
2024-05-20,121.723,121.891,122.589,121.575,4860410
2024-05-21,122.533,121.677,123.566,121.416,6254679
2024-05-22,121.128,121.993,122.459,121.109,4407644
2024-05-23,121.807,121.984,122.756,121.258,6830987
2024-05-24,122.319,120.495,122.319,120.188,5983846
2024-05-28,119.89,117.331,120.114,117.006,10263383
2024-05-29,117.378,117.155,117.666,116.578,8527837
2024-05-30,117.229,115.88,118.969,114.177,13003476
2024-05-31,116.438,116.82,117.815,115.898,18150452
2024-06-03,117.034,119.499,119.993,117.034,7702676
2024-06-04,118.318,119.769,120.374,118.066,6440167
2024-06-05,119.555,120.458,120.914,119.174,5009502
2024-06-06,120.188,121.454,121.835,119.946,8088641
2024-06-07,121.295,121.593,122.245,121.165,4945599
2024-06-10,121.556,122.356,122.533,120.644,6033808
2024-06-11,121.9,122.682,122.989,120.728,11453195
2024-06-12,123.482,121.156,123.491,121.119,5821965
2024-06-13,120.988,120.383,121.081,119.658,5004226
2024-06-14,120.188,120.486,120.849,119.714,7338462
2024-06-17,120.012,119.348,120.695,119.226,8524031
2024-06-18,120.068,119.806,120.499,118.964,6532400
2024-06-20,119.245,121.379,122.09,118.646,10348371
2024-06-21,121.847,122.362,122.811,120.836,17182704
2024-06-24,122.877,124.458,124.786,122.558,8554044
2024-06-25,124.608,124.421,126.022,124.121,6758429
2024-06-26,124.852,123.092,124.898,123.082,8492119
2024-06-27,123.55,121.519,123.831,118.674,11927599
2024-06-28,121.257,115.884,122.596,113.142,57055458
2024-07-01,117.363,119.722,120.93,117.101,11532966
2024-07-02,120.012,119.554,120.04,118.561,5645359
2024-07-03,119.525,117.803,119.759,117.288,4002054
2024-07-05,118.44,118.365,118.505,116.923,6786713
2024-07-08,118.692,117.738,119.31,117.316,5743436
2024-07-09,117.232,117.981,118.037,115.791,6339265
2024-07-10,117.831,119.16,119.329,117.784,4588745
2024-07-11,119.451,120.724,120.864,119.432,7052117
2024-07-12,121.126,119.591,121.622,119.179,7022250
2024-07-15,119.816,119.928,120.134,119.067,6918594
2024-07-16,119.694,117.419,120.78,117.195,8194439
2024-07-17,117.447,117.841,118.589,116.596,7627972
