Date,Open,Last,High,Low,Volume
2024-01-29,398.331,401.921,402.176,396.634,24510236
2024-01-30,404.413,400.813,405.188,398.713,33477610
2024-01-31,399.214,390.012,407.414,389.649,47871097
2024-02-01,394.181,396.094,400.234,394.152,30657726
2024-02-02,396.124,403.392,404.795,395.878,28256670
2024-02-05,402.098,397.929,403.334,396.3,25352286
2024-02-06,398.154,397.772,400.204,395.241,18382624
2024-02-07,399.684,406.169,406.414,399.645,22340526
2024-02-08,406.169,406.227,407.65,404.678,21225257
2024-02-09,407.346,412.545,412.81,407.189,22032844
2024-02-12,412.555,407.356,412.731,406.855,21202921
2024-02-13,397.232,398.586,402.264,395.712,27824936
2024-02-14,401.024,402.42,402.764,397.585,20401190
2024-02-15,401.093,399.54,402.066,397.31,21825525
2024-02-16,400.916,397.084,401.241,396.474,22296495
2024-02-20,396.278,395.835,397.506,391.138,24307915
2024-02-21,393.261,395.236,395.344,390.362,18631072
2024-02-22,403.108,404.543,405.702,401.516,27009869
2024-02-23,408.493,403.255,408.68,401.909,16295879
2024-02-26,404.356,400.503,405.044,400.327,16193505
2024-02-27,400.946,400.445,401.27,396.877,14835827
2024-02-28,401.132,400.68,402.233,398.322,13183125
2024-02-29,401.584,406.498,407.048,398.911,31947263
2024-03-01,404.169,408.326,408.69,403.786,17823445
2024-03-04,406.302,407.756,410.144,405.201,17595956
2024-03-05,406.813,395.698,407.098,393.723,26919177
2024-03-06,396.012,395.148,398.165,391.511,22344149
2024-03-07,399.108,402.076,402.705,395.295,18718479
2024-03-08,400.916,399.206,403.334,397.349,18002186
2024-03-11,396.789,397.536,398.676,394.332,16120752
2024-03-12,400.582,408.11,408.395,399.766,22457003
2024-03-13,410.881,407.933,410.96,404.346,17115931
2024-03-14,412.984,417.878,420.433,410.773,34157299
2024-03-15,412.051,409.23,415.303,405.663,45079903
2024-03-18,407.098,410.115,413.466,406.636,20105977
2024-03-19,410.616,414.134,414.389,408.375,19837915
2024-03-20,414.714,417.888,418.605,413.397,17860085
2024-03-21,422.409,421.957,423.382,419.785,21296222
2024-03-22,422.281,421.337,422.438,418.714,17648473
2024-03-25,417.898,415.559,420.03,414.331,18060450
2024-03-26,418.261,414.37,418.635,414.075,16725647
2024-03-27,417.112,414.154,417.121,411.775,16704978
2024-03-28,413.692,413.456,414.586,411.884,21871161
2024-04-01,416.63,417.239,420.502,414.93,16315961
2024-04-02,412.856,414.163,415.087,410.626,17911992
2024-04-03,412.483,413.191,415.952,411.854,16502264
2024-04-04,417.652,410.665,421.269,410.36,19370875
2024-04-05,412.758,418.173,419.146,411.097,16554761
2024-04-08,417.829,417.259,419.903,415.991,14272387
2024-04-09,419.077,418.92,420.355,414.34,12512289
2024-04-10,414.901,415.952,416.709,412.454,16216581
2024-04-11,418.468,420.541,421.957,415.068,17966423
2024-04-12,416.728,414.616,417.839,412.522,19253750
2024-04-15,419.234,406.498,419.451,406.292,20273538
2024-04-16,407.412,407.422,411.176,406.587,16765616
2024-04-17,410.046,404.729,411.648,403.245,15855485
2024-04-18,403.54,397.29,404.778,396.975,21029917
2024-04-19,397.054,392.229,398.479,390.902,30565789
2024-04-22,393.172,394.037,395.894,388.917,20286875
2024-04-23,397.26,400.533,401.152,396.101,15734501
2024-04-24,402.489,401.997,405.348,399.757,15065330
2024-04-25,387.227,392.15,392.986,381.33,40586450
2024-04-26,405.054,399.305,405.869,398.754,29694654
2024-04-29,398.253,395.305,399.305,392.298,19582091
2024-04-30,394.558,382.608,395.216,382.451,28781374
2024-05-01,385.831,388.121,394.784,383.571,23562481
2024-05-02,390.794,390.971,393.025,387.836,17709364
2024-05-03,395.334,399.639,400.12,394.922,17446724
2024-05-06,401.702,406.4,406.783,399.354,16996639
2024-05-07,407.501,402.272,407.51,402.027,20018228
2024-05-08,401.123,403.452,405.112,399.688,11792308
2024-05-09,403.481,405.201,405.594,402.037,14689727
2024-05-10,405.81,407.579,408.208,404.69,13402281
2024-05-13,410.793,406.577,411.127,403.727,15440226
2024-05-14,404.906,409.368,410.282,404.444,15109306
2024-05-15,411.425,416.525,417.244,410.805,22239533
2024-05-16,415.265,414.467,418.829,413.837,17530050
2024-05-17,415.993,413.699,416.367,411.553,15352239
2024-05-20,413.699,418.75,420.158,413.483,16272137
2024-05-21,420.217,422.393,426.262,418.267,21453255
2024-05-22,423.426,423.85,425.71,420.512,18073698
2024-05-23,426.262,420.384,426.882,418.829,17211689
2024-05-24,420.571,423.495,424.381,417.834,11855285
2024-05-28,422.973,423.653,424.145,419.99,15718024
2024-05-29,419.094,422.52,424.263,419.094,15517130
2024-05-30,417.726,408.245,417.726,407.822,28424847
2024-05-31,410.293,408.698,410.293,398.243,47995250
2024-06-03,409.092,407.113,409.978,402.584,17484675
2024-06-04,406.04,409.623,409.988,403.332,14348917
2024-06-05,411.337,417.44,417.509,409.85,16988038
2024-06-06,417.44,417.943,418.72,414.064,14861251
2024-06-07,419.597,417.283,419.675,416.446,13621650
2024-06-10,418.12,421.241,421.447,417.322,14003034
2024-06-11,418.888,425.976,426.114,418.661,14551101
2024-06-12,428.575,434.226,436.53,426.537,22366233
2024-06-13,434.02,434.738,436.52,432.562,15960565
2024-06-14,431.489,435.713,436.274,429.954,13581985
2024-06-17,435.733,441.423,443.953,433.892,20790030
2024-06-18,442.742,439.424,443.166,437.997,17112504
2024-06-20,439.385,438.794,439.612,434.433,19877378
2024-06-21,440.448,442.811,443.599,439.592,34486172
2024-06-24,442.831,440.734,445.735,439.493,15913719
2024-06-25,441.305,443.963,444.426,439.828,16747529
2024-06-26,442.043,445.154,446.572,441.246,16507030
2024-06-27,445.174,445.834,449.102,444.77,14806324
2024-06-28,446.05,440.025,448.324,439.493,28362271
2024-07-01,441.709,449.653,450.284,438.755,17662818
2024-07-02,446.178,452.164,452.469,446.09,13979779
2024-07-03,451.091,453.631,453.877,450.786,9932830
2024-07-05,452.489,460.316,461.093,451.859,16000290
2024-07-08,459.321,459.016,460.454,457.264,12962321
2024-07-09,459.764,452.42,460.089,450.904,17228507
2024-07-10,454.074,459.026,459.233,451.75,18196100
2024-07-11,455.807,447.655,457.579,444.554,23111175
2024-07-12,447.291,446.523,449.289,443.668,16324274
2024-07-15,446.277,446.926,450.175,444.436,14429447
2024-07-16,447.182,442.555,447.261,439.739,17175679
2024-07-17,435.733,436.648,437.958,432.375,21754021
2024-07-18,437.455,433.547,437.761,427.669,20794822
2024-07-19,426.39,430.337,434.305,425.307,20940417
2024-07-22,434.945,436.077,437.711,432.11,15808755
2024-07-23,437.022,437.958,441.443,436.235,13107050
2024-07-24,433.626,422.255,434.64,420.965,26805800
2024-07-25,422.156,411.917,423.141,411.041,29943795
2024-07-26,411.72,418.681,422.274,410.805,23583839
2024-07-29,424.893,420.118,425.454,418.12,15125836
2024-07-30,421.093,416.367,422.402,410.893,32687578
2024-07-31,413.985,411.868,415.245,405.823,42891366
2024-08-01,414.27,410.647,420.837,406.69,30296400
2024-08-02,406.099,402.161,408.57,398.075,29437900
2024-08-05,383.14,389.028,394.826,379.606,40709238
2024-08-06,393.802,393.418,399.385,392.326,24946525
2024-08-07,402.309,392.257,403.726,391.312,20650906
2024-08-08,396.205,396.451,399.572,393.743,20203030
2024-08-09,397.77,399.729,401.728,396.027,19276666
2024-08-12,400.753,400.507,402.427,397.977,16762883
2024-08-13,403.244,407.595,408.521,403.224,19414271
2024-08-14,408.373,410.401,411.248,406.06,18266980
2024-08-15,414.041,415.254,415.333,411.93,20752144
2024-08-16,414.83,412.729,415.56,411.575,22775593
2024-08-19,413.212,415.747,415.964,410.747,15233957
2024-08-20,415.915,418.972,420.018,415.856,16387581
2024-08-21,418.262,418.321,420.55,415.934,16067298
2024-08-22,418.538,409.849,420.935,408.922,19361901
2024-08-23,411.26,411.072,413.508,406.437,18493784
2024-08-26,410.658,407.817,411.555,405.697,13152830
2024-08-27,407.196,408.163,408.675,404.622,13492911
2024-08-28,409.188,404.967,409.307,401.722,14882660
2024-08-29,409.247,407.452,416.26,404.967,17045241
2024-08-30,409.898,411.417,411.763,406.476,24308324
2024-09-03,412.177,403.823,414.12,401.446,20313603
2024-09-04,400.341,403.29,405.598,398.822,15135806
2024-09-05,402.028,402.787,407.433,400.558,14195516
2024-09-06,403.448,396.189,405.016,395.301,19609526
2024-09-09,401.653,400.154,403.044,396.633,15295134
2024-09-10,402.6,408.518,410.618,402.107,19594287
2024-09-11,409.8,417.236,418.173,403.961,19266923
2024-09-12,417.503,421.142,421.507,413.991,17418759
2024-09-13,419.988,424.683,425.906,419.623,15874555
2024-09-16,424.693,425.422,427.582,422.345,13834697
2024-09-17,434.191,429.18,435.788,426.34,18874231
2024-09-18,429.032,424.9,430.048,424.505,18898042
2024-09-19,435.177,432.672,435.443,430.906,21706559
2024-09-20,431.222,429.299,433.214,428.263,55167106
2024-09-23,428.322,427.563,430.472,424.486,15128891
2024-09-24,427.06,423.282,427.405,420.254,17015754
2024-09-25,423.933,426.182,427.178,422.69,13396364
2024-09-26,429.121,425.393,429.328,423.243,14492044
2024-09-27,425.6,422.148,425.925,421.606,14896131
2024-09-30,422.335,424.397,424.515,419.534,16854606
2024-10-01,422.572,414.919,422.602,413.064,19092945
2024-10-02,416.783,411.407,417.019,410.993,16582257
2024-10-03,411.901,410.826,413.794,408.606,13686421
2024-10-04,412.502,410.352,413.991,409.277,19190913
2024-10-07,410.293,403.922,411.388,403.389,20919761
2024-10-08,405.263,409.021,409.958,402.57,19229261
2024-10-09,410.155,411.733,414.613,408.616,14974257
2024-10-10,409.534,410.135,411.624,407.482,13848376
2024-10-11,410.431,410.609,411.407,407.581,14144944
2024-10-14,412.039,413.39,418.223,411.792,16653086
2024-10-15,416.388,412.995,416.684,409.563,18900201
2024-10-16,409.474,410.411,410.648,404.849,15508932
2024-10-17,416.566,411.003,416.704,409.889,14820004
2024-10-18,411.417,412.423,413.893,410.549,17145317
2024-10-21,410.411,413.035,413.212,408.074,14206115
2024-10-22,412.749,421.645,424.673,412.305,25482197
2024-10-23,424.949,418.775,425.166,416.733,19654379
2024-10-24,419.495,418.903,420.136,416.605,13581631
2024-10-25,420.905,422.276,426.586,420.718,16899064
2024-10-28,425.738,420.738,426.014,420.452,14882444
2024-10-29,422.128,426.024,427.227,419.958,17644080
2024-10-30,431.439,426.596,432.484,426.172,29749149
2024-10-31,409.662,400.775,410.451,400.726,53970981
2024-11-01,403.399,404.74,409.8,401.91,24230442
2024-11-04,404.178,402.856,404.789,400.006,19672286
2024-11-05,402.768,405.815,409.208,402.482,17626011
2024-11-06,406.762,414.416,414.682,404.888,26681842
2024-11-07,415.501,419.594,420.994,414.12,19901782
2024-11-08,419.485,416.743,420.649,415.994,16891414
2024-11-11,416.723,412.275,418.982,410.293,24503321
2024-11-12,412.512,417.227,418.617,411.476,19401204
2024-11-13,415.856,419.367,423.44,412.473,21502185
2024-11-14,419.169,421.034,422.296,414.238,30246881
2024-11-15,414.061,409.307,417.0,407.965,28247644
2024-11-18,409.178,410.056,412.66,406.446,24742013
2024-11-19,407.443,412.058,412.206,405.904,18133529
2024-11-20,411.151,409.79,411.565,404.947,19191655
2024-11-21,414.574,408.022,414.851,405.472,20780162
2024-11-22,406.54,412.104,412.499,406.233,24814626
2024-11-25,413.467,413.873,416.136,409.979,27691090
2024-11-26,414.663,422.965,424.002,413.932,23458889
2024-11-27,420.118,418.023,422.214,417.065,18332444
2024-11-29,415.157,418.488,419.891,412.894,16271921
2024-12-02,416.62,425.919,427.916,416.363,20207223
2024-12-03,424.793,426.137,427.392,422.718,18301987
2024-12-04,427.945,432.284,434.507,427.55,26009429
2024-12-05,432.778,437.423,439.439,431.049,21697775
2024-12-06,437.107,438.362,440.862,436.583,18821002
2024-12-09,437.403,440.783,443.066,435.328,19144388
2024-12-10,439.172,438.124,444.341,436.415,18469459
2024-12-11,438.836,443.718,445.062,438.836,19200208
2024-12-12,443.837,444.281,450.804,443.837,20834779
2024-12-13,443.174,442.018,446.129,440.348,20177833
2024-12-16,442.018,446.287,446.871,440.052,23598834
2024-12-17,445.714,449.124,449.944,444.291,22733494
2024-12-18,446.021,432.254,447.335,431.889,24444545
2024-12-19,436.435,431.898,437.976,431.197,22963681
2024-12-20,428.024,431.473,438.53,423.597,64263694
2024-12-23,431.612,430.139,432.511,427.748,19152519
2024-12-24,429.546,434.171,434.438,429.092,7164543
2024-12-26,433.924,432.966,435.763,431.503,8199927
2024-12-27,429.497,425.475,430.11,421.344,18117713
2024-12-30,421.057,419.842,422.53,416.946,13158703
2024-12-31,421.097,416.551,421.719,415.721,13246509
2025-01-02,420.533,413.665,421.067,409.979,16896469
2025-01-03,416.136,418.379,419.051,414.614,16662943
2025-01-06,422.974,422.826,429.22,420.484,20573648
2025-01-07,423.963,417.411,425.593,415.859,18139065
2025-01-08,418.488,419.575,421.957,416.59,15054575
2025-01-10,419.644,414.031,419.723,410.147,20201132
2025-01-13,410.364,412.291,413.586,407.449,17604780
2025-01-14,412.904,410.789,414.811,405.897,16935856
2025-01-15,414.209,421.304,423.123,413.359,19637838
2025-01-16,423.666,419.595,424.447,419.407,15300023
2025-01-17,428.993,423.992,429.378,423.142,26197507
2025-01-21,425.149,423.469,425.84,420.603,26085703
2025-01-22,432.422,440.961,442.018,430.881,27803811
2025-01-23,436.81,441.465,441.504,436.316,18389270
2025-01-24,439.933,438.846,441.405,436.217,15549453
2025-01-27,419.031,429.457,430.09,418.527,35647805
2025-01-28,429.497,441.949,443.115,426.315,23491703
2025-01-29,441.445,437.136,441.633,435.229,23581370
2025-01-30,413.853,410.117,417.895,408.309,54586260
2025-01-31,414.06,410.186,415.75,410.038,34223388
2025-02-03,406.767,406.095,410.532,403.862,25679149
2025-02-04,407.844,407.528,409.06,404.929,20532096
2025-02-05,407.508,408.437,408.971,405.581,16336188
2025-02-06,409.139,410.937,413.29,409.139,16309755
2025-02-07,411.59,404.939,413.734,403.308,22886844
2025-02-10,408.852,407.38,410.582,406.095,20817919
2025-02-11,404.83,406.609,407.647,404.494,18140592
2025-02-12,402.429,404.237,405.927,399.622,19121734
2025-02-13,402.221,405.719,406.174,401.589,23891731
2025-02-14,403.002,403.634,404.109,401.114,22758464
2025-02-18,403.209,404.83,405.779,401.727,21423051
2025-02-19,403.091,409.9,410.611,402.863,24114197
2025-02-20,411.236,412.068,415.217,408.513,23508728
2025-02-21,413.266,404.225,413.969,403.908,27524799
2025-02-24,404.522,400.056,405.374,395.422,26443656
2025-02-25,397.185,394.016,397.997,392.827,29387402
2025-02-26,394.125,395.828,399.66,390.401,19618954
2025-02-27,397.353,388.698,401.779,388.342,21127406
2025-02-28,388.827,393.115,393.748,382.796,32845658
2025-03-03,394.927,384.698,394.927,382.39,23007726
2025-03-04,379.657,384.816,388.748,377.281,29342923
2025-03-05,385.539,397.105,397.749,385.014,23433132
2025-03-06,390.431,393.016,398.224,388.847,23304625
2025-03-07,388.49,389.471,390.946,381.776,22034087
2025-03-10,382.073,376.449,382.628,373.538,32840134
2025-03-11,375.3,376.736,382.232,373.231,30380177
2025-03-12,379.212,379.529,381.46,375.251,24253567
2025-03-13,379.42,375.072,381.559,373.765,20473017
2025-03-14,376.073,384.767,386.421,375.805,19952846
2025-03-17,382.925,384.906,388.876,381.806,22474272
2025-03-18,383.291,379.776,383.589,377.38,19486850
2025-03-19,381.767,384.034,385.876,380.251,19185532
2025-03-20,381.974,383.064,387.965,379.538,18470542
2025-03-21,379.479,387.441,387.916,379.063,39675928
2025-03-24,391.54,389.243,391.54,386.005,21004548
2025-03-25,390.075,391.302,392.491,388.807,15774968
2025-03-26,391.144,386.163,391.451,384.777,16132906
2025-03-27,386.322,386.767,388.411,383.618,13766761
2025-03-28,384.292,375.102,385.331,373.25,21632016
2025-03-31,368.903,371.725,373.389,363.655,35184676
