Date,Open,Last,High,Low,Volume
2024-01-29,50.0,51.381,52.497,49.021,1364889
2024-01-30,51.698,51.951,52.58,50.764,738813
2024-01-31,50.8,50.121,52.789,49.943,937963
2024-02-01,50.18,50.348,51.506,49.596,628083
2024-02-02,49.725,50.01,50.9,49.1,609800
2024-02-05,50.2,49.06,50.348,48.2,859930
2024-02-06,49.33,49.8,50.919,49.312,689874
2024-02-07,49.947,50.801,50.863,46.749,1099748
2024-02-08,53.0,58.781,58.846,52.505,2263110
2024-02-09,62.74,64.632,64.89,61.412,2468457
2024-02-12,65.199,71.752,72.527,65.017,2309973
2024-02-13,67.5,68.602,70.122,65.555,1391453
2024-02-14,74.6,76.988,77.484,73.417,2070474
2024-02-15,79.244,71.8,80.678,70.751,2382769
2024-02-16,73.5,69.956,74.0,68.938,1340711
2024-02-20,71.079,70.498,72.198,67.027,968005
2024-02-21,68.43,67.28,68.538,66.426,703306
2024-02-22,68.37,71.315,72.325,67.999,1042512
2024-02-23,69.901,68.744,70.429,67.806,739284
2024-02-26,68.794,79.648,80.995,68.794,2269529
2024-02-27,86.61,87.18,89.0,84.176,2274761
2024-02-28,95.2,96.295,100.888,91.55,4838819
2024-02-29,99.9,102.284,104.0,96.044,3520603
2024-03-01,99.6,107.939,108.0,99.2,2696436
2024-03-04,120.0,133.401,135.991,119.001,5424989
2024-03-05,124.419,105.101,133.779,103.506,5736628
2024-03-06,114.0,124.621,128.555,113.11,3693999
2024-03-07,128.498,130.002,132.104,122.5,2167716
2024-03-08,132.804,142.559,145.173,128.366,3741774
2024-03-11,155.0,148.423,165.706,147.735,4102423
2024-03-12,154.4,159.335,159.497,143.8,3548865
2024-03-13,166.0,176.615,177.4,162.0,3775945
2024-03-14,170.801,167.685,174.6,155.077,4986759
2024-03-15,160.001,178.236,181.5,157.0,4474994
2024-03-18,171.845,150.276,173.49,144.501,4511120
2024-03-19,132.607,141.75,145.0,123.012,4464413
2024-03-20,142.301,154.652,155.0,136.301,3331432
2024-03-21,159.412,159.929,170.436,158.102,3158981
2024-03-22,152.0,152.3,159.449,149.0,2083618
2024-03-25,160.5,185.6,187.365,159.442,3884027
2024-03-26,188.243,187.699,190.95,179.2,2393890
2024-03-27,195.3,191.916,199.999,184.2,2622609
2024-03-28,194.3,170.456,198.9,164.552,4555914
2024-04-01,164.501,163.674,169.019,158.656,1992954
2024-04-02,149.2,157.883,159.229,146.294,1854584
2024-04-03,158.001,160.611,169.949,156.832,1977245
2024-04-04,169.298,161.542,173.972,161.01,2017134
2024-04-05,157.0,143.9,167.425,143.2,2273995
2024-04-08,160.21,151.299,162.378,149.12,2057363
2024-04-09,147.81,144.102,148.017,137.5,1671666
2024-04-10,138.75,156.6,156.6,137.377,1939188
2024-04-11,154.3,155.181,157.837,151.009,1438591
2024-04-12,153.5,147.958,153.782,143.3,1290564
2024-04-15,147.0,133.588,148.997,132.105,1612542
2024-04-16,130.602,125.403,132.85,121.515,1729229
2024-04-17,125.8,118.805,126.422,113.199,2037397
2024-04-18,119.2,120.816,128.788,116.843,1769671
2024-04-19,123.7,117.411,125.865,116.624,1474654
2024-04-22,120.9,132.401,134.79,120.8,1941069
2024-04-23,131.1,133.864,139.445,129.889,1047846
2024-04-24,132.701,126.567,134.5,126.0,951186
2024-04-25,122.6,124.041,126.772,120.114,773403
2024-04-26,122.5,128.238,128.597,120.401,881462
2024-04-29,125.0,129.297,130.842,122.842,1013073
2024-04-30,119.901,106.503,121.542,106.317,2493603
2024-05-01,101.553,102.827,110.933,101.0,1924884
2024-05-02,105.5,112.942,114.23,104.176,1540225
2024-05-03,120.101,122.301,124.2,117.282,1560962
2024-05-06,127.385,126.881,133.9,126.01,1387032
2024-05-07,127.82,125.745,131.9,125.13,996768
2024-05-08,119.839,123.312,125.99,119.0,859016
2024-05-09,123.0,126.364,130.3,120.099,1053370
2024-05-10,128.999,118.048,130.199,117.853,1403844
2024-05-13,121.794,124.596,126.415,120.3,875725
2024-05-14,122.648,129.763,129.869,122.648,926786
2024-05-15,137.96,150.347,152.034,135.109,2058643
2024-05-16,149.41,143.998,151.89,143.545,1365555
2024-05-17,150.098,158.45,158.5,146.9,1652932
2024-05-20,159.7,172.724,172.896,155.142,1671697
2024-05-21,173.0,165.542,174.0,164.5,1297751
2024-05-22,166.3,164.7,171.8,162.015,1033930
2024-05-23,166.921,154.407,167.0,153.033,1158811
2024-05-24,154.0,168.484,168.5,152.8,1206856
2024-05-28,165.0,167.535,169.155,161.002,1079936
2024-05-29,165.0,161.87,165.907,161.118,734425
2024-05-30,165.3,154.1,171.499,153.196,1477645
2024-05-31,159.7,152.449,161.482,144.2,2215356
2024-06-03,160.1,162.741,165.6,156.042,1122236
2024-06-04,161.742,163.877,169.7,161.5,1322951
2024-06-05,167.5,169.469,171.784,163.624,1095585
2024-06-06,169.859,165.663,173.47,164.705,1162291
2024-06-07,167.102,159.62,171.77,158.5,1262688
2024-06-10,157.501,159.992,164.776,156.029,726460
2024-06-11,154.2,155.549,156.415,148.66,1141182
2024-06-12,162.0,160.367,169.271,159.177,1368125
2024-06-13,156.33,148.388,157.376,144.101,2110766
2024-06-14,150.5,149.554,153.8,146.151,1379009
2024-06-17,149.98,150.726,156.901,142.117,1207636
2024-06-18,145.793,146.943,151.095,144.6,893368
2024-06-20,148.211,146.54,150.559,142.206,909760
2024-06-21,142.0,148.376,149.105,140.902,1149463
2024-06-24,139.8,137.215,144.89,132.554,1608074
2024-06-25,141.377,149.574,149.9,139.339,1362797
2024-06-26,147.229,145.773,150.502,144.5,750175
2024-06-27,148.5,152.54,153.9,146.35,930767
2024-06-28,151.642,137.748,151.9,136.702,3411349
2024-07-01,141.0,136.597,143.595,136.308,1412932
2024-07-02,136.551,132.019,138.441,130.657,922911
2024-07-03,129.8,130.209,132.8,127.347,665940
2024-07-05,121.55,128.172,129.917,120.232,1502908
2024-07-08,131.453,129.058,132.5,125.878,873639
2024-07-09,131.388,130.177,132.0,127.809,896851
2024-07-10,131.97,130.572,134.5,129.6,638729
2024-07-11,139.6,135.856,143.2,132.924,1354893
2024-07-12,133.92,139.676,143.54,132.419,1064083
2024-07-15,152.4,161.128,163.9,149.243,2467083
2024-07-16,161.5,166.43,167.578,157.64,1580962
2024-07-17,161.1,159.0,167.408,153.0,1721167
2024-07-18,163.39,155.516,163.7,151.625,1023633
2024-07-19,157.34,177.85,178.5,156.5,2045826
2024-07-22,178.402,180.009,181.066,173.613,1539112
2024-07-23,176.399,172.177,179.8,171.502,1074661
2024-07-24,175.0,167.269,176.952,166.702,1377377
2024-07-25,161.65,160.647,167.786,150.766,1477233
2024-07-26,170.0,175.271,177.697,168.601,1413767
2024-07-29,181.999,168.485,183.7,167.127,1280162
2024-07-30,168.799,160.407,169.5,159.249,915480
2024-07-31,164.603,161.444,168.5,160.855,753381
2024-08-01,161.5,151.181,163.436,148.202,1193000
2024-08-02,148.581,144.799,159.14,141.71,1412619
2024-08-05,105.165,130.9,135.427,102.402,2267755
2024-08-06,132.6,136.921,139.494,126.218,1226023
2024-08-07,140.878,124.685,142.158,124.013,1093385
2024-08-08,130.23,135.99,136.76,128.06,10378305
2024-08-09,135.89,135.37,136.69,129.55,7330433
2024-08-12,133.49,131.46,139.21,129.22,6932336
2024-08-13,132.28,135.38,140.0,130.26,8123111
2024-08-14,136.37,130.37,137.4,129.33,8535928
2024-08-15,132.7,131.93,139.0,130.73,10856852
2024-08-16,133.25,133.04,136.32,126.59,11360411
2024-08-19,133.7,135.35,137.44,131.16,6595737
2024-08-20,139.74,133.69,141.36,130.63,11274578
2024-08-21,134.34,141.42,142.58,132.87,11774541
2024-08-22,141.39,133.81,141.78,133.69,7963436
