Date,Open,Last,High,Low,Volume
2024-01-29,130.788,132.327,132.373,129.982,741268
2024-01-30,132.03,133.226,133.801,131.789,951771
2024-01-31,127.488,128.007,131.594,127.108,1715174
2024-02-01,127.349,122.103,127.349,118.933,3870917
2024-02-02,119.415,123.734,124.745,119.415,1998480
2024-02-05,122.529,123.261,124.504,122.223,1003555
2024-02-06,123.122,122.603,124.717,121.092,1077528
2024-02-07,123.336,120.935,123.336,118.933,2208145
2024-02-08,120.156,122.001,122.77,119.906,1089409
2024-02-09,121.491,123.586,123.753,120.583,1021548
2024-02-12,123.567,126.737,128.304,123.512,1057315
2024-02-13,124.652,123.03,125.532,121.278,1224880
2024-02-14,124.587,126.209,126.802,124.3,1229421
2024-02-15,126.876,127.646,129.75,126.571,1149254
2024-02-16,126.737,128.202,128.434,126.089,1168948
2024-02-20,126.923,127.321,128.258,126.098,797773
2024-02-21,127.043,127.099,127.803,125.403,761436
2024-02-22,127.497,127.896,129.37,126.719,1432281
2024-02-23,128.026,128.007,128.397,126.96,534715
2024-02-26,127.544,125.764,129.073,125.31,813550
2024-02-27,126.71,128.591,128.897,126.515,835921
2024-02-28,127.766,128.035,128.953,127.535,547264
2024-02-29,129.768,129.527,130.371,127.572,1444950
2024-03-01,128.685,128.096,129.2,125.504,944133
2024-03-04,130.014,130.94,133.307,129.995,1138288
2024-03-05,130.229,134.598,135.085,130.229,1143463
2024-03-06,133.747,132.521,134.448,130.042,1488803
2024-03-07,133.653,134.14,136.067,132.296,1649930
2024-03-08,135.431,133.55,135.852,133.503,758332
2024-03-11,133.008,133.634,134.916,132.521,982547
2024-03-12,133.709,134.018,135.0,132.998,843783
2024-03-13,134.617,133.971,137.339,133.569,952077
2024-03-14,133.213,131.305,134.355,130.463,1139945
2024-03-15,130.285,131.482,133.148,130.285,5118396
2024-03-18,132.577,131.857,132.792,129.686,881814
2024-03-19,131.492,130.622,132.24,130.21,889975
2024-03-20,129.948,133.971,134.364,129.527,868938
2024-03-21,134.327,136.46,136.834,133.971,1129996
2024-03-22,136.797,132.998,137.545,132.942,913666
2024-03-25,133.363,133.138,135.075,132.961,810760
2024-03-26,134.018,132.137,134.083,131.922,805245
2024-03-27,133.017,135.478,135.524,132.746,817732
2024-03-28,135.899,136.076,136.797,134.869,820144
2024-04-01,136.076,133.999,136.076,133.485,716101
2024-04-02,132.783,131.595,133.26,131.23,946640
2024-04-03,131.66,130.098,132.568,129.592,1042317
2024-04-04,131.885,129.218,132.119,128.657,1145142
2024-04-05,128.648,129.78,130.051,128.273,786426
2024-04-08,130.584,131.52,132.727,129.864,968964
2024-04-09,131.96,131.698,132.783,130.987,750478
2024-04-10,128.395,126.177,128.956,125.204,1181123
2024-04-11,126.402,126.477,127.188,124.465,973336
2024-04-12,124.512,125.897,126.617,124.512,1432527
2024-04-15,130.93,131.866,136.048,129.695,2948536
2024-04-16,131.146,128.545,131.529,127.413,1233249
2024-04-17,129.686,130.088,131.136,128.891,1169843
2024-04-18,129.985,130.332,131.903,129.471,816814
2024-04-19,130.912,134.149,134.186,130.575,1525408
2024-04-22,134.785,136.301,136.656,133.793,861276
2024-04-23,136.404,137.405,138.163,135.87,727096
2024-04-24,136.254,138.434,138.537,135.693,757389
2024-04-25,138.528,137.442,138.705,136.282,920277
2024-04-26,137.498,136.956,139.342,136.844,657622
2024-04-29,136.825,136.151,137.91,136.076,736908
2024-04-30,135.169,135.094,136.479,134.692,545630
2024-05-01,135.674,136.722,138.528,135.552,776127
2024-05-02,138.004,136.853,138.359,136.17,667687
2024-05-03,137.536,137.143,139.192,137.096,531891
2024-05-06,138.228,139.632,139.678,137.517,878348
2024-05-07,140.202,138.762,140.586,138.687,837705
2024-05-08,138.2,141.522,141.587,137.545,1048680
2024-05-09,141.194,142.831,143.065,140.558,819360
2024-05-10,143.468,143.767,144.965,142.822,1396092
2024-05-13,144.45,143.889,144.88,143.253,643551
2024-05-14,144.553,145.077,145.33,143.468,595749
2024-05-15,146.087,144.637,146.565,143.823,548427
2024-05-16,144.6,143.589,145.386,143.561,727215
2024-05-17,144.609,143.889,144.759,143.533,764101
2024-05-20,144.085,142.457,145.732,142.41,709307
2024-05-21,142.392,143.505,143.767,142.326,551759
2024-05-22,143.795,143.178,143.795,142.102,640798
2024-05-23,143.571,139.884,143.571,139.435,736055
2024-05-24,140.109,140.96,141.681,139.519,513456
2024-05-28,140.923,139.239,141.634,138.397,588719
2024-05-29,136.778,136.282,136.862,134.954,657315
2024-05-30,137.442,138.341,138.649,135.777,483106
2024-05-31,138.799,141.84,142.083,138.294,1061356
2024-06-03,142.925,139.998,143.113,138.497,775258
2024-06-04,138.337,138.308,140.876,138.261,597987
2024-06-05,138.988,137.865,138.988,137.025,602211
2024-06-06,138.063,137.176,138.95,136.76,448881
2024-06-07,135.939,138.601,138.865,135.75,386109
2024-06-10,136.958,135.797,137.846,134.674,783106
2024-06-11,134.325,132.946,134.325,131.955,1100305
2024-06-12,135.278,135.599,138.148,135.146,1058932
2024-06-13,134.532,134.995,135.391,133.654,844228
2024-06-14,133.333,134.221,135.212,133.107,591699
2024-06-17,134.108,136.685,136.798,133.239,615021
2024-06-18,136.685,138.601,139.234,136.534,791032
2024-06-20,138.025,139.545,139.772,137.591,787969
2024-06-21,139.441,139.252,139.696,137.119,1446782
2024-06-24,140.045,141.216,142.443,137.95,736652
2024-06-25,140.659,139.281,142.207,139.111,1029689
