Date,Open,Last,High,Low,Volume
2024-01-29,56.418,56.35,56.592,55.673,2378110
2024-01-30,56.215,56.544,56.699,56.186,2504028
2024-01-31,56.689,55.886,58.74,55.635,4305777
2024-02-01,55.664,55.228,55.857,54.445,2879247
2024-02-02,55.064,54.803,55.538,54.483,2556831
2024-02-05,54.406,54.154,54.551,53.913,2244335
2024-02-06,54.009,54.483,54.619,53.942,4260506
2024-02-07,54.89,55.054,55.199,54.483,1881466
2024-02-08,54.851,54.909,55.315,54.822,1358326
2024-02-09,55.025,55.383,55.48,54.803,1296684
2024-02-12,55.451,54.977,55.509,54.88,2152749
2024-02-13,54.387,53.884,54.406,53.381,3184525
2024-02-14,54.232,53.99,54.358,53.555,2661252
2024-02-15,54.106,53.68,54.474,53.226,4038966
2024-02-16,53.642,53.613,53.99,53.4,2042738
2024-02-20,53.206,53.729,53.787,53.11,2745399
2024-02-21,53.584,54.212,54.232,53.313,2207258
2024-02-22,54.425,54.716,54.957,54.406,2040197
2024-02-23,54.996,54.803,55.015,54.522,1346114
2024-02-26,54.628,54.358,54.783,54.0,1905314
2024-02-27,54.445,54.532,54.638,54.261,1767179
2024-02-28,54.474,54.483,54.793,54.367,1920153
2024-02-29,54.822,54.367,54.832,54.251,4017418
2024-03-01,54.454,54.686,54.832,53.709,3170635
2024-03-04,54.677,55.112,55.267,54.464,3621752
2024-03-05,55.141,55.073,56.554,55.044,3504660
2024-03-06,55.267,56.002,56.041,54.899,3833017
2024-03-07,56.399,57.202,57.279,56.254,3979658
2024-03-08,57.366,58.053,58.575,56.911,4228727
2024-03-11,58.13,58.072,58.44,57.569,2324629
2024-03-12,57.985,57.792,58.556,57.782,3482053
2024-03-13,57.977,57.812,58.094,57.424,2169976
2024-03-14,57.715,56.987,57.822,56.55,2097785
2024-03-15,56.278,57.948,58.123,56.278,3527425
2024-03-18,58.201,58.54,58.948,58.006,3320673
2024-03-19,58.725,60.648,60.745,58.473,5250142
2024-03-20,58.191,59.113,59.735,57.88,18274314
2024-03-21,59.385,60.046,61.22,59.191,15426662
2024-03-22,60.046,59.842,60.473,59.686,5194954
2024-03-25,59.725,59.288,60.026,59.24,2202962
2024-03-26,60.356,60.424,61.026,60.152,4480998
2024-03-27,60.774,61.172,61.25,60.337,3036998
2024-03-28,61.667,61.269,61.677,60.997,2791766
2024-04-01,61.143,60.482,61.211,60.405,2310532
2024-04-02,59.958,59.55,60.016,59.104,3216064
