Date,Open,Last,High,Low,Volume
2024-01-29,422.119,420.498,424.575,417.466,857137
2024-01-30,424.997,425.477,426.974,419.558,2324819
2024-01-31,427.281,428.605,431.425,426.475,3213837
2024-02-01,428.614,428.087,429.574,424.71,2179403
2024-02-02,427.664,428.432,429.545,423.558,1616606
2024-02-05,425.89,424.307,427.703,422.35,1656039
2024-02-06,424.038,429.957,431.636,423.021,587889
2024-02-07,429.957,435.454,435.483,429.957,748257
2024-02-08,434.457,432.883,435.694,431.531,527816
2024-02-09,433.737,436.433,437.047,432.212,906752
2024-02-12,436.51,433.123,437.124,432.97,723449
2024-02-13,435.32,428.039,437.066,425.141,1020165
2024-02-14,429.315,428.23,431.713,424.997,1002245
2024-02-15,429.075,431.713,433.305,428.307,974710
2024-02-16,432.068,432.634,434.466,429.804,1016425
2024-02-20,434.802,435.464,441.825,434.447,1367775
2024-02-21,436.203,441.307,442.352,435.32,1284686
2024-02-22,440.04,438.476,440.769,433.162,1801373
2024-02-23,439.097,444.183,444.626,438.827,574672
2024-02-26,445.31,442.488,448.663,442.045,618601
2024-02-27,440.792,441.544,442.42,437.344,421081
2024-02-28,442.748,442.112,445.127,440.436,534692
2024-02-29,441.563,444.106,444.569,438.702,927199
2024-03-01,444.087,438.211,444.087,437.17,1272613
2024-03-04,439.27,443.201,444.308,438.741,692838
2024-03-05,446.235,441.447,447.536,441.158,1250601
2024-03-06,441.351,444.154,446.823,441.081,546179
2024-03-07,442.363,439.656,442.729,437.594,796373
2024-03-08,438.317,442.642,443.018,436.515,475584
2024-03-11,442.623,442.401,445.281,441.534,552494
2024-03-12,439.8,442.006,443.991,437.854,1213627
2024-03-13,441.736,441.419,445.243,441.226,698532
2024-03-14,441.197,443.952,444.463,440.455,669882
2024-03-15,441.081,444.809,447.353,441.081,1000053
2024-03-18,444.087,445.426,446.514,442.208,540801
2024-03-19,447.94,450.329,450.348,445.657,726841
2024-03-20,451.437,453.479,454.115,449.501,617300
2024-03-21,454.626,450.339,456.186,450.156,798061
2024-03-22,451.764,451.553,453.999,450.445,615412
