Date,Open,Last,High,Low,Volume
2024-01-29,19.43,19.598,19.608,19.029,3914443
2024-01-30,18.525,18.516,18.842,17.769,9030688
2024-01-31,18.628,18.208,18.684,18.152,4588425
2024-02-01,18.376,18.525,18.618,18.096,3998900
2024-02-02,18.506,16.444,18.665,16.416,14725590
2024-02-05,16.379,16.155,16.621,15.977,8150983
2024-02-06,16.173,16.351,16.491,15.996,6564196
2024-02-07,16.323,16.043,16.444,15.8,8064842
2024-02-08,16.015,16.117,16.22,15.875,21573087
2024-02-09,16.061,16.052,16.211,15.987,5009527
2024-02-12,16.22,16.313,16.565,16.201,5917141
2024-02-13,16.08,15.865,16.276,15.735,4212108
2024-02-14,16.043,16.127,16.173,15.921,5211250
2024-02-15,16.164,16.369,16.5,16.145,6079503
2024-02-16,16.36,16.071,16.397,16.043,4343290
2024-02-20,15.94,15.987,16.071,15.809,4602710
2024-02-21,16.015,16.117,16.276,15.987,2670515
2024-02-22,16.127,16.248,16.435,16.043,3314374
2024-02-23,16.015,16.08,16.201,15.837,3535837
2024-02-26,15.959,15.781,16.155,15.66,2819516
2024-02-27,15.903,16.052,16.145,15.753,3365512
2024-02-28,15.959,15.791,16.071,15.669,4598288
2024-02-29,15.94,15.772,16.08,15.688,3302386
2024-03-01,15.977,15.959,16.22,15.809,3721258
2024-03-04,16.071,15.744,16.173,15.725,2773755
2024-03-05,15.679,15.856,16.033,15.679,4039393
2024-03-06,16.117,16.089,16.295,15.893,2877671
2024-03-07,16.211,16.491,16.565,16.164,3177298
2024-03-08,16.491,16.491,16.584,16.295,2178444
2024-03-11,16.453,16.733,16.808,16.444,2767750
2024-03-12,16.752,16.696,16.771,16.491,2655448
2024-03-13,16.846,17.314,17.398,16.827,5593132
2024-03-14,17.398,17.482,17.604,17.314,3885987
2024-03-15,17.51,17.37,17.828,17.351,6657403
2024-03-18,17.463,17.379,17.566,17.201,2738088
2024-03-19,17.332,17.819,17.866,17.286,4348294
2024-03-20,17.632,17.95,18.119,17.557,7578384
2024-03-21,17.959,18.109,18.334,17.941,3219703
2024-03-22,18.119,17.885,18.222,17.81,3444154
2024-03-25,17.969,18.006,18.268,17.969,4626111
2024-03-26,18.044,17.828,18.109,17.81,4032340
2024-03-27,17.828,17.969,18.053,17.763,3585793
2024-03-28,18.109,18.268,18.54,18.109,3475140
2024-04-01,18.381,18.437,18.727,17.997,3065705
2024-04-02,18.689,18.736,18.811,18.334,3614782
2024-04-03,18.783,18.811,19.083,18.699,8840535
2024-04-04,18.895,18.774,19.017,18.652,5181848
2024-04-05,18.783,19.195,19.307,18.764,4052969
2024-04-08,19.345,19.073,19.41,19.026,2109755
2024-04-09,19.167,18.951,19.204,18.83,2238680
2024-04-10,18.783,18.98,19.157,18.699,2061364
2024-04-11,19.045,18.802,19.045,18.474,1462779
2024-04-12,18.97,18.371,18.998,18.278,2051853
2024-04-15,18.409,17.941,18.558,17.941,2398401
2024-04-16,17.8,17.651,17.894,17.463,2101034
2024-04-17,17.604,17.286,17.885,17.276,2156375
2024-04-18,17.417,17.314,17.594,17.192,2185983
2024-04-19,17.201,17.548,17.566,17.117,3188200
2024-04-22,17.389,17.398,17.585,17.033,6256810
2024-04-23,17.267,17.651,17.669,17.136,3277924
2024-04-24,17.548,17.623,17.707,17.361,3232151
2024-04-25,17.632,17.735,17.81,17.417,4033031
2024-04-26,17.791,17.66,18.54,17.08,8698721
2024-04-29,17.726,18.109,18.184,17.66,6322365
2024-04-30,17.913,17.304,17.969,17.286,3719430
2024-05-01,17.239,17.201,17.454,17.033,2735639
2024-05-02,17.445,17.37,17.548,17.239,1844348
2024-05-03,17.426,17.351,17.66,17.276,2101016
2024-05-06,17.576,17.688,17.857,17.548,2592436
2024-05-07,17.688,17.744,17.959,17.585,2440964
2024-05-08,17.576,17.707,17.866,17.51,2092126
2024-05-09,17.81,17.903,17.988,17.707,1629176
2024-05-10,18.025,17.632,18.062,17.632,2548421
2024-05-13,17.716,17.557,17.772,17.501,1863544
2024-05-14,17.623,17.688,17.8,17.492,1841710
2024-05-15,17.744,17.641,17.754,17.342,2264414
2024-05-16,17.716,17.679,17.978,17.613,3451341
2024-05-17,17.688,17.838,17.875,17.51,3913472
2024-05-20,17.922,17.763,18.1,17.679,3079932
2024-05-21,17.716,17.885,18.137,17.716,2982611
2024-05-22,17.791,17.07,17.828,16.902,2438005
2024-05-23,17.089,17.08,17.267,16.893,2993481
2024-05-24,17.192,17.07,17.351,16.902,1706698
2024-05-28,17.192,17.361,17.529,17.089,2516432
2024-05-29,17.211,16.949,17.286,16.883,2066036
2024-05-30,16.921,17.155,17.173,16.818,2291414
2024-05-31,17.173,17.613,17.632,17.108,4209195
2024-06-03,17.604,16.612,17.613,16.518,2726096
2024-06-04,16.453,16.172,16.471,16.106,2716020
2024-06-05,16.322,16.209,16.462,16.153,2176896
2024-06-06,16.181,16.284,16.35,16.088,1400636
2024-06-07,16.135,16.209,16.453,16.05,3175790
2024-06-10,16.294,16.481,16.631,16.219,1827106
2024-06-11,16.275,16.687,16.752,16.153,3746837
2024-06-12,16.977,16.902,17.08,16.752,2900810
2024-06-13,16.864,16.752,16.967,16.294,4574764
2024-06-14,16.626,16.447,16.626,16.184,2326867
2024-06-17,16.456,17.02,17.03,16.419,3655497
2024-06-18,17.048,17.058,17.34,17.048,2784608
2024-06-20,17.095,17.067,17.218,17.048,2105190
2024-06-21,17.142,16.926,17.142,16.766,4884294
2024-06-24,16.992,17.462,17.603,16.983,2158654
2024-06-25,17.34,17.744,17.772,17.321,2522826
2024-06-26,17.631,17.716,17.734,17.424,2551625
2024-06-27,17.819,17.744,17.819,17.622,2459832
2024-06-28,17.979,17.866,18.007,17.697,4077701
2024-07-01,17.941,17.377,17.941,17.265,2873107
2024-07-02,17.547,17.368,17.547,17.218,3494463
2024-07-03,17.49,17.387,17.584,17.33,1350339
2024-07-05,17.34,16.936,17.443,16.672,5687474
2024-07-08,16.879,16.926,17.095,16.842,2221360
2024-07-09,16.748,16.635,16.889,16.532,1936525
2024-07-10,16.635,16.719,16.832,16.569,1984617
2024-07-11,16.832,17.255,17.283,16.729,2270218
2024-07-12,17.49,17.406,17.5,17.302,2065499
2024-07-15,17.481,18.045,18.261,17.293,2610111
2024-07-16,17.885,18.336,18.43,17.791,3042610
2024-07-17,18.411,18.298,18.646,18.298,2515474
2024-07-18,18.336,18.092,18.468,18.092,2701206
2024-07-19,17.96,17.828,18.11,17.631,2721538
2024-07-22,17.763,17.659,17.828,17.481,1935875
2024-07-23,17.528,17.518,17.688,17.396,1938291
2024-07-24,17.537,17.152,17.603,17.133,1919199
2024-07-25,17.124,17.547,17.866,17.095,7027189
2024-07-26,19.445,18.656,19.718,18.035,10995190
2024-07-29,18.496,18.618,18.806,18.355,3534696
2024-07-30,18.684,19.229,19.342,18.552,5863818
2024-07-31,19.464,19.567,19.924,19.285,5500381
2024-08-01,19.464,18.421,19.52,18.139,5810198
2024-08-02,18.082,17.565,18.186,17.33,3438117
2024-08-05,16.823,16.522,16.973,16.456,3783733
2024-08-06,16.607,16.588,16.907,16.485,2951879
2024-08-07,16.954,16.513,17.048,16.447,4262791
2024-08-08,16.691,16.907,16.954,16.597,2187269
2024-08-09,16.907,16.776,16.954,16.55,4827677
2024-08-12,16.87,16.597,16.954,16.569,2444609
2024-08-13,16.475,16.644,16.691,16.391,3310082
2024-08-14,16.738,16.513,16.757,16.475,2406081
2024-08-15,16.785,16.851,17.114,16.766,1885275
2024-08-16,16.832,16.86,16.954,16.729,1859782
2024-08-19,16.917,17.039,17.133,16.86,2049036
2024-08-20,16.973,16.456,17.011,16.447,2615724
2024-08-21,16.701,16.485,16.748,16.456,2607857
2024-08-22,16.522,16.409,16.626,16.391,2135925
2024-08-23,16.541,16.917,16.964,16.541,1365719
2024-08-26,17.283,16.926,17.293,16.87,1673685
2024-08-27,16.851,16.813,16.945,16.654,1634168
2024-08-28,16.569,16.738,16.766,16.428,2646197
2024-08-29,16.945,16.87,17.03,16.701,1878488
2024-08-30,16.71,16.701,16.804,16.569,2619980
2024-09-03,16.334,16.146,16.475,15.921,3545688
2024-09-04,16.146,15.836,16.297,15.723,3232721
2024-09-05,16.005,15.686,16.024,15.62,3114940
2024-09-06,15.667,15.291,15.939,15.263,3726531
2024-09-09,15.338,15.253,15.507,15.235,3398302
2024-09-10,15.225,14.915,15.338,14.793,5305618
2024-09-11,14.981,14.924,14.981,14.539,3494774
2024-09-12,15.0,15.037,15.263,14.887,2488216
2024-09-13,15.231,14.976,15.429,14.806,7598560
2024-09-16,15.24,15.174,15.382,14.957,4783415
