Date,Open,High,Low,Close,Volume
2026-06-03,127.99,128.08,117.34,117.9,34316415
2026-06-02,129.9,132.74,124.12,127.65,22661403
2026-06-01,135.77,139.2,131.61,135.86,68788965
2026-05-29,118.48,124.74,116.29,124.37,68243445
2026-05-28,107.0,110.16,104.6,108.73,39117684
2026-05-27,99.21,105.4,98.55,102.12,28633258
2026-05-26,100.56,102.54,98.72,99.92,23589915
2026-05-22,102.18,104.59,99.43,102.13,23646295
2026-05-21,100.99,101.59,98.11,99.69,26474043
2026-05-20,100.75,103.35,97.5,103.3,30037715
2026-05-19,110.14,110.83,100.77,101.83,55624414
2026-05-18,98.86,104.68,97.85,103.42,51220734
2026-05-15,92.09,96.67,91.97,95.07,34569746
2026-05-14,87.32,92.0,85.44,90.5,25571514
2026-05-13,88.58,88.58,86.01,87.05,22107022
2026-05-12,92.47,92.77,88.69,89.0,22354585
2026-05-11,91.04,94.75,90.47,91.49,21402857
2026-05-08,91.13,91.85,88.99,91.18,24699020
2026-05-07,92.17,95.56,91.89,93.59,27960738
2026-05-06,91.6,91.68,88.21,89.05,23117901
2026-05-05,92.25,92.89,89.14,92.01,22756773
2026-05-04,91.27,95.62,91.1,91.97,21863487
2026-05-01,90.93,92.6,87.87,91.16,22911831
2026-04-30,87.95,88.71,85.88,88.31,22152196
2026-04-29,89.06,89.3,87.1,88.89,18646580
2026-04-28,91.1,93.0,90.13,90.49,20990419
2026-04-27,89.06,94.03,87.81,90.45,32789128
2026-04-24,85.78,90.39,84.93,90.17,39011787
2026-04-23,87.25,90.02,83.58,84.78,84103053
2026-04-22,101.5,104.31,101.03,103.07,35714825
2026-04-21,100.35,104.5,99.06,100.14,24147878
2026-04-20,97.44,100.67,96.81,99.72,20306567
2026-04-17,97.95,98.82,96.13,96.66,17754618
2026-04-16,97.61,99.39,95.37,96.44,21971842
2026-04-15,90.2,94.83,89.2,94.19,25835933
2026-04-14,90.74,92.4,87.12,87.79,25132668
2026-04-13,84.77,89.24,84.18,89.06,31675449
2026-04-10,88.91,88.91,81.24,83.0,58715602
2026-04-09,96.5,97.16,88.66,89.81,42131524
2026-04-08,104.76,105.58,96.96,97.47,19796897
2026-04-07,102.77,103.96,99.5,100.55,12008228
2026-04-06,102.97,103.33,100.4,102.42,9141302
2026-04-02,101.79,103.41,98.46,102.0,16629939
2026-04-01,105.23,105.9,102.01,104.04,12439653
2026-03-31,105.54,106.58,104.06,104.55,16821305
2026-03-30,100.06,105.99,99.5,104.97,18685639
2026-03-27,102.64,102.67,98.34,99.41,18109916
2026-03-26,102.42,105.84,100.88,103.64,11595349
2026-03-25,106.5,106.88,101.14,103.06,14728636
2026-03-24,109.14,109.25,104.32,104.65,17835244
2026-03-23,110.76,113.25,109.89,110.95,12219082
2026-03-20,111.3,112.15,109.12,110.38,18863005
2026-03-19,114.18,117.09,111.95,113.27,11361578
2026-03-18,115.0,117.44,113.53,113.71,10080118
2026-03-17,115.4,118.99,114.2,116.72,13368492
2026-03-16,116.9,117.2,113.8,114.88,12289433
2026-03-13,112.81,115.91,111.71,113.62,14846421
2026-03-12,115.28,117.21,112.42,112.97,18372088
2026-03-11,117.4,118.83,113.6,115.63,14594932
2026-03-10,120.99,121.43,114.66,116.61,21872618
2026-03-09,123.06,126.67,121.29,121.93,20324655
2026-03-06,120.5,124.66,120.18,124.34,25972281
2026-03-05,114.77,122.08,114.13,120.38,26567952
2026-03-04,112.11,115.21,111.5,113.86,17432036
2026-03-03,108.0,114.92,107.51,113.19,17606052
2026-03-02,105.98,111.08,105.1,109.42,14780512
2026-02-27,105.0,108.7,104.0,108.01,19085185
2026-02-26,107.45,110.15,106.57,109.3,26565077
2026-02-25,101.63,104.73,100.16,104.23,15493136
2026-02-24,100.96,105.7,100.51,102.49,18461695
2026-02-23,101.94,101.94,99.18,100.8,24199956
2026-02-20,106.0,107.8,103.82,104.27,15700314
