Date,Open,Last,High,Low,Volume
2024-01-29,219.794,226.208,226.986,217.63,2765251
2024-01-30,224.775,224.727,226.255,222.498,1798643
2024-01-31,225.686,223.2,226.682,223.019,1740369
2024-02-01,238.869,243.555,244.099,235.921,4001301
2024-02-02,242.047,239.595,242.391,236.999,2538098
2024-02-05,239.327,237.114,241.303,236.923,1252391
2024-02-06,237.123,240.339,241.904,236.675,952247
2024-02-07,240.892,239.089,241.656,238.65,1103765
2024-02-08,239.347,242.429,242.753,239.347,975163
2024-02-09,242.62,243.173,244.633,242.085,929217
2024-02-12,243.001,242.305,243.469,240.558,710420
2024-02-13,240.453,238.822,240.826,236.913,977883
2024-02-14,239.48,240.721,242.524,238.965,1572056
2024-02-15,241.627,242.706,245.244,241.627,1520283
2024-02-16,241.894,240.511,242.791,239.738,1154899
2024-02-20,244.213,242.181,245.96,239.843,1535055
2024-02-21,249.404,245.835,249.414,244.051,1347184
2024-02-22,245.769,244.471,246.341,244.156,1401414
2024-02-23,245.063,246.208,247.305,244.29,1207108
2024-02-26,244.919,242.906,247.0,241.894,1573790
2024-02-27,242.581,240.931,244.328,240.644,1461505
2024-02-28,240.721,241.952,243.555,239.919,1083158
2024-02-29,242.639,241.789,244.156,241.331,1490445
2024-03-01,241.331,245.711,246.055,241.284,1070251
2024-03-04,246.904,247.315,248.86,245.797,830947
2024-03-05,247.171,245.578,248.784,244.519,807969
2024-03-06,245.139,242.753,246.866,242.486,1754918
2024-03-07,244.223,243.679,245.187,242.858,1088567
2024-03-08,244.118,247.668,247.983,244.118,882354
2024-03-11,247.448,246.446,247.887,244.07,839188
2024-03-12,246.112,248.87,249.5,245.721,807851
2024-03-13,247.963,251.093,251.599,247.324,1125918
2024-03-14,249.481,246.656,250.492,243.412,1385486
2024-03-15,243.707,244.127,246.837,243.44,2068766
2024-03-18,244.509,244.5,245.845,243.822,736569
2024-03-19,244.938,244.862,246.246,243.526,664143
2024-03-20,246.198,249.28,249.605,244.423,962365
2024-03-21,250.235,245.998,250.836,245.702,1463083
2024-03-22,246.36,242.496,247.038,242.429,910441
2024-03-25,240.959,236.684,242.372,234.279,2349192
2024-03-26,236.656,235.911,239.528,234.365,1515258
2024-03-27,237.371,240.205,240.444,236.446,954430
2024-03-28,241.016,243.211,244.07,238.927,1001325
2024-04-01,242.772,240.473,242.915,239.041,619418
2024-04-02,239.194,239.289,240.673,238.163,718542
2024-04-03,239.576,240.31,242.352,239.06,629544
2024-04-04,241.875,237.142,243.736,235.673,705658
2024-04-05,237.667,238.593,239.184,236.522,668885
2024-04-08,239.28,238.812,240.702,238.23,861919
2024-04-09,241.274,241.799,244.719,238.545,1296072
2024-04-10,235.444,238.23,239.213,234.117,1077848
2024-04-11,238.459,238.306,240.091,235.176,751271
2024-04-12,235.825,234.499,237.486,232.819,1090600
2024-04-15,239.929,234.337,239.929,232.648,857844
2024-04-16,234.022,231.798,234.814,230.987,823417
2024-04-17,231.798,228.392,232.151,228.144,1011058
2024-04-18,230.749,229.279,232.953,228.792,922154
2024-04-19,231.474,230.243,232.839,229.355,963434
2024-04-22,230.882,233.421,235.014,228.726,976086
2024-04-23,233.974,233.821,235.864,232.819,1148580
2024-04-24,228.974,225.414,230.72,221.531,2577908
2024-04-25,226.159,229.814,231.293,222.38,1854411
2024-04-26,227.218,228.964,231.541,227.218,1461075
2024-04-29,229.012,230.396,231.627,227.037,1385051
2024-04-30,229.012,219.784,232.81,218.801,3569814
2024-05-01,219.317,220.032,223.458,217.675,1618504
2024-05-02,221.54,224.429,226.493,219.236,1643133
2024-05-03,227.501,226.109,227.981,224.602,1072692
2024-05-06,227.309,221.233,227.443,220.043,1605630
2024-05-07,223.316,223.009,223.853,221.089,1296309
2024-05-08,221.031,222.836,224.065,221.031,1182663
2024-05-09,211.163,217.259,218.161,211.163,4719229
2024-05-10,218.689,221.06,221.242,217.288,1986722
2024-05-13,221.646,221.722,222.519,221.041,2171928
2024-05-14,223.153,220.724,223.153,217.451,1831383
2024-05-15,222.615,222.087,222.98,221.022,1501267
2024-05-16,221.924,223.229,223.239,219.908,1290086
2024-05-17,224.065,222.193,224.353,221.492,1310831
