Date,Open,Last,High,Low,Volume
2024-01-29,208.301,208.819,208.915,204.806,1828064
2024-01-30,206.976,206.611,208.608,205.708,1708229
2024-01-31,204.412,202.194,206.755,201.406,3150816
2024-02-01,203.269,204.537,205.526,201.109,1968641
2024-02-02,201.8,206.438,206.985,201.512,2136288
2024-02-05,209.674,212.228,214.533,209.328,4119437
2024-02-06,212.19,214.129,216.453,210.135,3949333
2024-02-07,216.05,212.564,216.05,209.914,2788986
2024-02-08,212.631,218.767,219.747,212.631,2815415
2024-02-09,220.726,224.26,224.365,219.247,2621521
2024-02-12,224.692,227.265,231.663,223.828,2787798
2024-02-13,220.947,222.839,224.913,219.026,2723745
2024-02-14,224.653,224.653,226.094,223.184,1824982
2024-02-15,226.055,225.162,228.657,224.721,2078353
2024-02-16,225.172,222.925,227.275,222.099,1476242
2024-02-20,220.851,222.147,222.963,218.268,2140523
2024-02-21,220.87,225.959,225.988,220.534,1641086
2024-02-22,231.865,229.973,232.758,227.678,3173421
2024-02-23,231.24,229.349,231.73,228.053,1817815
2024-02-26,230.799,234.092,235.254,230.597,1595984
2024-02-27,236.099,235.955,242.773,235.254,2438279
2024-02-28,233.439,234.275,236.09,232.374,1489157
2024-02-29,238.077,239.796,240.343,235.888,3374693
2024-03-01,241.861,247.267,248.774,240.334,2444768
2024-03-04,249.168,244.184,249.168,243.637,2667655
2024-03-05,241.697,238.577,244.165,236.973,2319781
2024-03-06,242.043,241.256,245.202,240.382,2527872
2024-03-07,243.627,248.736,253.748,243.099,2942300
2024-03-08,249.581,242.005,252.452,241.774,2481950
2024-03-11,240.66,243.214,244.194,239.786,2020545
2024-03-12,245.999,247.219,247.727,241.716,2104492
2024-03-13,243.599,240.996,244.232,240.209,2457706
2024-03-14,240.391,234.035,241.352,231.721,3520138
2024-03-15,225.162,228.091,229.791,223.732,5827326
2024-03-18,230.616,227.208,232.364,226.91,2236909
2024-03-19,225.566,226.977,228.677,224.25,2172363
2024-03-20,227.186,232.673,233.126,226.192,2102466
2024-03-21,237.861,237.34,241.073,235.846,2926572
2024-03-22,235.643,235.624,238.372,234.65,2236543
2024-03-25,232.316,231.776,233.878,230.108,1703458
2024-03-26,233.56,230.542,234.659,230.281,1443134
2024-03-27,233.618,236.694,237.369,231.911,1631219
2024-03-28,237.128,238.941,239.462,236.27,1731419
2024-04-01,239.53,237.504,242.895,236.116,1478243
2024-04-02,235.132,232.191,235.132,231.062,1607854
2024-04-03,230.571,235.19,235.605,229.519,1061625
2024-04-04,238.421,230.648,239.25,229.49,2501008
2024-04-05,231.689,232.422,232.914,230.339,1617576
2024-04-08,233.522,236.193,237.437,233.3,1188068
2024-04-09,238.401,242.857,242.982,237.591,1708516
2024-04-10,237.938,232.49,239.655,231.641,2028324
2024-04-11,234.197,235.624,236.174,231.95,1736545
2024-04-12,231.082,225.286,232.306,224.466,2597791
2024-04-15,229.028,221.911,229.037,220.252,2304189
2024-04-16,223.367,222.46,224.264,219.856,1652709
2024-04-17,222.836,218.834,223.212,217.793,1971013
2024-04-18,214.09,211.534,215.42,209.605,3495081
2024-04-19,211.534,207.455,212.489,205.43,2760717
2024-04-22,210.878,210.869,212.354,206.693,2230361
2024-04-23,211.216,217.571,218.805,211.052,3024080
2024-04-24,227.07,226.665,229.22,224.042,3810687
2024-04-25,228.42,229.597,231.053,225.421,2052353
2024-04-26,228.507,234.052,235.585,227.967,2059388
2024-04-29,234.1,238.324,239.105,233.502,2976344
2024-04-30,248.537,247.061,251.844,241.584,4800102
2024-05-01,244.322,240.542,249.009,237.765,3538450
2024-05-02,244.409,245.2,246.29,236.463,2317172
2024-05-03,251.7,248.662,252.77,247.948,2513186
2024-05-06,250.022,250.379,251.208,247.524,2213775
2024-05-07,251.285,249.434,252.664,249.125,1605475
2024-05-08,246.473,250.938,251.015,246.473,1636505
2024-05-09,251.227,251.507,252.548,248.884,1777769
2024-05-10,253.146,252.404,254.593,250.909,1072539
2024-05-13,254.583,254.525,257.129,253.629,1395228
2024-05-14,255.268,258.123,258.865,254.535,1618396
2024-05-15,260.533,262.308,262.588,258.209,2231483
2024-05-16,261.44,260.003,263.629,259.945,1550132
2024-05-17,260.109,258.18,260.553,256.29,1344629
2024-05-20,258.441,263.822,264.748,257.997,1271743
2024-05-21,259.666,264.642,265.674,258.614,1156026
2024-05-22,267.13,268.895,270.254,265.432,2185496
2024-05-23,269.907,263.002,269.907,260.071,2327137
2024-05-24,268.412,267.294,270.765,265.731,1319923
2024-05-28,266.696,269.666,272.164,266.281,1503834
2024-05-29,264.661,264.073,267.313,263.658,1696332
2024-05-30,261.749,261.758,264.516,260.601,1785404
2024-05-31,262.154,262.404,264.14,254.805,3065120
2024-06-03,265.799,260.321,267.631,255.663,1273305
2024-06-04,257.939,256.811,261.575,256.174,1783789
2024-06-05,260.437,265.876,266.242,259.193,1692868
2024-06-06,264.844,262.318,265.365,261.845,1438293
2024-06-07,263.07,262.202,267.13,261.151,1211311
2024-06-10,258.614,266.985,267.438,258.499,1353965
2024-06-11,266.927,268.027,268.441,262.183,1123035
2024-06-12,271.952,272.906,276.648,269.627,1653643
2024-06-13,263.304,266.614,270.447,263.256,1382729
2024-06-14,261.32,260.207,263.653,257.71,1680348
2024-06-17,259.82,262.54,262.907,255.658,1702687
2024-06-18,262.075,262.675,264.437,260.701,1650101
2024-06-20,260.943,256.171,261.63,254.797,3003883
2024-06-21,257.865,262.317,262.985,256.326,4027521
2024-06-24,260.333,258.678,263.033,257.991,1680638
2024-06-25,261.62,261.243,262.627,258.107,1460697
2024-06-26,260.352,259.549,262.152,257.274,1693168
2024-06-27,259.588,256.491,261.059,255.91,1489106
2024-06-28,258.842,260.439,265.037,257.333,2228047
2024-07-01,260.468,257.129,261.107,254.09,1724119
2024-07-02,257.129,263.295,263.488,256.974,1421450
2024-07-03,263.624,263.536,265.763,259.772,1084497
2024-07-05,266.634,264.746,266.643,261.127,1237696
2024-07-08,265.54,268.308,268.869,265.346,1006988
2024-07-09,268.337,266.072,269.198,264.398,1072913
2024-07-10,268.172,273.292,273.66,266.237,1233329
2024-07-11,274.396,265.753,275.828,265.637,2096053
2024-07-12,268.879,271.183,274.802,266.876,1558787
2024-07-15,272.808,273.68,276.893,270.999,1431390
2024-07-16,276.215,281.432,282.1,274.154,1356659
2024-07-17,275.412,267.408,286.562,267.098,4527233
2024-07-18,270.931,270.292,276.37,267.176,2209022
2024-07-19,270.05,260.633,270.892,259.481,2403162
2024-07-22,266.992,274.686,275.596,262.307,4005420
2024-07-23,252.406,253.868,260.962,246.947,6654257
2024-07-24,252.387,246.222,254.148,246.038,4060921
2024-07-25,242.311,239.553,247.248,237.53,4244335
2024-07-26,243.502,245.467,247.993,242.524,2111290
2024-07-29,248.98,247.586,253.81,246.134,2421539
2024-07-30,250.151,243.589,250.151,242.311,2477980
2024-07-31,250.519,254.7,256.036,246.986,3232341
2024-08-01,249.716,235.788,252.232,233.64,4006598
2024-08-02,228.558,230.107,231.23,223.651,4567156
2024-08-05,224.571,227.842,234.201,221.658,3227591
2024-08-06,229.613,229.149,235.207,226.816,1854896
2024-08-07,235.701,221.919,236.659,220.961,2678128
2024-08-08,229.091,237.356,238.053,225.51,2776151
2024-08-09,234.588,234.24,236.069,231.375,1089276
2024-08-12,234.898,232.439,235.304,229.41,2299072
2024-08-13,233.698,240.037,240.618,233.349,2323540
2024-08-14,239.824,235.808,240.889,233.504,1786039
2024-08-15,242.563,245.109,246.57,239.408,2790226
2024-08-16,243.889,246.26,247.557,242.002,1524003
2024-08-19,244.45,249.938,250.112,242.592,1381441
2024-08-20,248.332,245.854,249.106,244.431,1516412
2024-08-21,248.361,246.134,251.39,242.941,2218687
2024-08-22,246.783,237.472,247.16,236.359,3142475
2024-08-23,243.105,244.509,246.096,240.444,2568464
2024-08-26,243.221,241.808,243.928,240.25,2042049
2024-08-27,239.447,244.605,246.357,238.14,1653476
2024-08-28,244.257,238.972,245.225,237.027,1439409
2024-08-29,241.305,240.782,246.076,239.524,1666545
2024-08-30,246.599,248.119,249.328,243.899,2696453
2024-09-03,243.163,228.549,244.131,227.378,3464128
2024-09-04,226.487,231.181,232.604,224.619,2492380
2024-09-05,228.578,229.091,232.12,227.126,1976784
2024-09-06,228.578,219.412,228.868,218.425,3035625
2024-09-09,222.703,223.187,223.642,219.441,2549490
2024-09-10,220.07,217.951,221.561,214.418,2911128
2024-09-11,217.147,223.448,223.893,213.024,3876759
2024-09-12,221.655,218.865,222.851,216.172,2532950
2024-09-13,221.752,223.522,225.417,220.712,3017664
2024-09-16,220.673,223.599,224.076,219.05,1866372
2024-09-17,225.874,226.088,228.139,223.113,1920660
2024-09-18,226.866,225.058,231.989,224.523,2161234
2024-09-19,231.989,232.067,235.732,229.277,3657010
2024-09-20,226.905,225.417,227.643,222.17,6787626
2024-09-23,226.458,225.398,227.478,224.504,1470425
2024-09-24,228.062,227.235,232.504,224.241,1913947
2024-09-25,225.077,227.449,228.586,224.737,1621535
2024-09-26,235.868,235.489,237.316,228.402,2067698
2024-09-27,238.347,238.104,240.096,235.926,2444061
2024-09-30,230.774,233.321,233.505,229.636,2898566
2024-10-01,232.154,225.748,233.146,223.979,2440727
2024-10-02,226.117,228.8,231.843,224.397,1404519
2024-10-03,226.263,226.739,228.363,224.494,1748083
2024-10-04,232.883,227.712,233.029,225.058,1599654
2024-10-07,230.375,227.498,230.482,225.728,1806137
2024-10-08,227.498,228.411,229.597,225.913,1469579
