Date,Open,Last,High,Low,Volume
2024-01-29,72.25,73.02,73.02,71.67,8614620
2024-01-30,72.91,72.57,73.6,72.17,6609602
2024-01-31,71.43,71.13,73.06,70.72,7175750
2024-02-01,71.6,70.19,71.95,69.25,9565161
2024-02-02,69.2,70.83,71.14,68.78,9865430
2024-02-05,75.6,77.59,78.75,75.44,15999445
2024-02-06,77.03,76.32,77.37,74.9,11111105
2024-02-07,77.04,76.96,77.48,75.09,7464887
2024-02-08,77.13,80.71,80.93,77.13,8992123
2024-02-09,81.39,80.8,81.59,79.71,6266626
2024-02-12,81.0,80.92,83.43,80.68,6575283
2024-02-13,78.0,78.59,79.66,77.16,7442466
2024-02-14,79.91,81.67,81.82,79.21,8508159
2024-02-15,82.23,80.62,82.6,80.45,5519821
2024-02-16,80.94,78.64,81.22,78.19,4910305
2024-02-20,77.42,77.47,77.95,76.23,5255281
2024-02-21,76.37,77.62,77.71,76.12,5597985
2024-02-22,79.59,78.36,79.59,77.45,8038454
2024-02-23,78.1,76.19,78.38,76.19,5996788
2024-02-26,76.87,77.57,78.31,76.36,4435928
2024-02-27,78.5,76.97,79.81,76.97,4919216
2024-02-28,75.96,76.47,77.21,75.56,3362183
2024-02-29,77.62,78.92,79.08,77.04,7597728
2024-03-01,79.16,81.14,82.33,78.77,6852466
2024-03-04,81.76,79.88,81.95,79.43,5362050
2024-03-05,78.4,76.99,79.27,75.72,6556352
2024-03-06,78.81,77.62,79.39,77.06,8108775
2024-03-07,77.83,82.96,85.16,77.83,10642420
2024-03-08,82.44,78.95,83.64,78.9,7834494
2024-03-11,78.66,81.6,81.6,78.11,6604190
2024-03-12,82.3,82.59,82.65,80.29,5919719
2024-03-13,81.13,79.89,82.33,79.7,5260893
2024-03-14,79.43,77.17,79.69,76.15,6778756
2024-03-15,74.44,74.87,76.28,74.44,9727054
2024-03-18,75.49,73.82,75.72,73.73,5860263
2024-03-19,73.16,74.04,74.56,72.85,4609674
2024-03-20,73.64,75.57,76.05,73.08,5947078
2024-03-21,76.83,75.78,77.41,75.17,5929716
2024-03-22,75.0,74.68,75.74,73.87,3345768
2024-03-25,72.2,73.54,74.55,72.12,5462657
2024-03-26,74.0,72.89,74.16,72.67,5876643
2024-03-27,73.92,75.61,75.77,73.0,6723557
2024-03-28,75.43,73.55,76.08,73.38,7408866
2024-04-01,73.89,73.85,74.89,73.14,4601409
2024-04-02,71.8,70.48,72.0,70.31,7107288
2024-04-03,70.29,70.73,71.51,69.87,5308713
2024-04-04,71.39,69.1,72.54,68.8,7280107
2024-04-05,69.1,69.32,69.67,68.11,7565480
2024-04-08,69.31,68.75,70.36,68.58,3915062
2024-04-09,69.83,70.94,71.98,69.64,6344848
2024-04-10,69.23,69.23,70.02,68.39,4859446
2024-04-11,69.64,70.6,70.77,69.06,5206664
2024-04-12,69.19,66.64,69.38,66.57,7453643
2024-04-15,67.85,65.64,67.95,64.88,7077440
2024-04-16,65.4,64.72,65.5,64.06,5214678
2024-04-17,65.28,64.47,65.87,64.11,6826364
2024-04-18,63.01,62.93,63.77,61.51,8437310
2024-04-19,61.15,60.71,62.51,60.26,9859218
2024-04-22,61.02,60.65,61.31,59.34,7414875
2024-04-23,60.58,61.68,61.98,60.37,6917518
2024-04-24,67.17,65.53,67.45,64.33,12812255
2024-04-25,65.55,66.38,67.32,65.47,9329903
2024-04-26,66.22,68.06,68.96,66.17,12858958
2024-04-29,68.0,70.82,71.44,67.58,13468215
2024-04-30,70.0,70.16,72.75,69.94,8420800
2024-05-01,68.99,69.01,71.92,68.76,8882003
2024-05-02,70.22,70.01,70.85,68.06,6509061
