Date,Open,Last,High,Low,Volume
2024-01-29,68.305,68.702,68.877,67.847,255891
2024-01-30,68.701,69.443,69.873,68.511,256921
2024-01-31,69.156,68.237,69.758,68.197,330865
2024-02-01,68.775,69.485,69.505,68.12,278096
2024-02-02,69.168,69.856,70.34,69.029,314719
2024-02-05,69.618,70.41,70.517,69.409,342615
2024-02-06,70.343,70.159,70.457,69.76,292048
2024-02-07,70.416,71.17,71.639,70.067,605587
2024-02-08,67.4,68.089,71.33,67.32,810185
2024-02-09,68.427,68.422,69.457,68.151,553829
2024-02-12,68.414,68.46,68.52,67.825,408158
2024-02-13,68.368,69.319,69.483,68.368,487463
2024-02-14,69.035,69.988,70.075,69.01,515205
2024-02-15,70.1,69.895,70.515,69.17,406179
2024-02-16,70.384,70.105,70.736,69.501,443135
2024-02-20,70.084,69.077,70.445,68.885,413704
2024-02-21,69.309,69.353,69.868,68.914,259916
2024-02-22,69.581,70.356,70.629,69.581,305682
2024-02-23,70.297,70.57,71.11,70.285,223840
2024-02-26,70.629,70.84,71.289,70.448,338590
2024-02-27,71.316,72.153,72.274,70.625,354778
2024-02-28,72.036,72.9,72.969,71.694,336800
2024-02-29,73.3,72.531,73.3,71.913,422869
2024-03-01,72.417,72.4,72.785,72.178,233548
2024-03-04,72.574,71.901,72.756,71.558,321595
2024-03-05,72.173,72.014,72.36,71.864,296777
2024-03-06,72.014,72.146,72.684,71.701,333946
2024-03-07,72.733,72.665,73.149,72.436,264265
2024-03-08,72.299,72.316,73.037,71.961,316670
2024-03-11,72.669,72.445,72.669,71.474,229541
2024-03-12,72.436,73.01,73.267,72.356,309299
2024-03-13,72.965,73.463,73.735,72.603,268123
2024-03-14,73.704,74.497,74.577,73.418,374455
2024-03-15,74.264,74.249,74.837,74.064,533788
2024-03-18,74.875,74.293,75.06,74.14,325431
2024-03-19,74.809,75.68,75.789,74.804,263951
2024-03-20,76.121,76.391,76.42,75.779,297086
2024-03-21,76.679,77.568,77.98,76.314,427747
2024-03-22,77.568,77.874,77.946,77.097,273592
2024-03-25,77.688,75.843,77.716,75.8,350196
