Date,Open,Last,High,Low,Volume
2024-01-29,84.501,85.458,85.554,84.454,1485439
2024-01-30,85.305,86.109,86.109,84.961,2580988
2024-01-31,87.219,84.616,88.147,84.08,4270449
2024-02-01,85.286,85.707,85.707,83.784,3526479
2024-02-02,85.927,87.037,87.314,85.429,2051541
2024-02-05,86.109,86.96,87.276,86.003,1579960
2024-02-06,87.286,87.965,88.003,86.932,1546497
2024-02-07,87.927,87.802,88.453,87.525,2226228
2024-02-08,87.687,86.941,87.84,86.558,1441222
2024-02-09,86.941,87.142,87.152,86.377,2087331
2024-02-12,86.999,87.391,87.697,86.999,1942036
2024-02-13,86.884,86.195,87.008,85.506,1871838
2024-02-14,86.865,86.903,86.989,86.319,1668589
2024-02-15,87.744,88.56,88.599,87.331,2604640
2024-02-16,88.608,87.619,89.108,87.542,1967582
2024-02-20,87.206,87.408,87.735,86.909,2789956
2024-02-21,87.773,88.042,88.099,87.206,2771064
2024-02-22,89.069,88.743,89.242,88.023,1785086
2024-02-23,89.031,89.809,90.116,88.973,1671568
2024-02-26,89.405,90.097,90.193,89.29,1613371
2024-02-27,90.395,90.126,90.548,89.521,1356163
2024-02-28,90.126,91.153,91.307,90.02,1501722
2024-02-29,91.605,91.518,91.777,90.827,2401560
2024-03-01,91.413,91.883,92.027,90.894,1698906
2024-03-04,91.806,91.605,92.037,91.393,1292268
2024-03-05,91.441,90.788,91.701,90.26,1491360
2024-03-06,91.23,91.413,91.893,91.0,1086798
2024-03-07,91.835,93.093,93.256,91.624,1659540
2024-03-08,93.276,93.756,93.804,92.949,2389743
2024-03-11,93.544,92.488,93.996,92.056,1880376
2024-03-12,92.603,93.583,93.775,92.315,1450737
2024-03-13,93.602,94.399,94.466,92.968,2716497
2024-03-14,94.524,94.582,95.052,93.919,3307054
2024-03-15,93.785,94.591,94.898,93.785,4137755
2024-03-18,94.927,94.149,95.254,94.082,1438070
2024-03-19,94.399,94.918,94.918,94.245,1596350
2024-03-20,94.774,95.388,95.494,94.38,1709656
2024-03-21,95.455,96.243,96.349,95.033,1816387
2024-03-22,96.368,95.398,96.368,95.206,1230991
2024-03-25,95.513,95.11,95.888,94.937,1657963
2024-03-26,95.11,94.716,95.628,94.716,1808577
2024-03-27,95.215,95.897,95.916,95.052,1501619
2024-03-28,96.032,95.331,96.08,95.158,1587451
2024-04-01,95.167,94.658,95.619,94.649,1226819
2024-04-02,94.409,93.871,94.62,93.823,1411907
2024-04-03,93.871,94.351,94.649,93.66,1374036
2024-04-04,94.975,93.324,95.158,93.266,1879877
2024-04-05,93.64,93.89,94.005,93.112,1595528
2024-04-08,94.226,94.14,94.438,93.525,1449455
2024-04-09,94.38,95.187,95.225,93.41,1718795
2024-04-10,93.881,93.439,94.447,93.391,1238172
2024-04-11,93.525,94.082,94.159,93.083,1474981
2024-04-12,93.285,92.344,93.458,91.835,1537256
2024-04-15,93.775,92.238,93.938,91.806,1475825
2024-04-16,92.066,92.171,92.584,91.288,1192671
2024-04-17,92.786,91.192,92.786,90.711,2506067
2024-04-18,91.489,91.701,92.469,91.461,1966990
2024-04-19,92.104,91.336,92.469,91.172,2339698
2024-04-22,91.643,92.469,93.026,91.384,2007041
2024-04-23,92.795,93.602,93.842,92.623,2074834
2024-04-24,93.064,89.665,93.064,89.329,4222882
2024-04-25,89.924,89.329,90.222,88.887,2219337
2024-04-26,89.309,88.541,89.972,88.464,2314121
2024-04-29,88.791,89.665,90.097,88.512,1769118
2024-04-30,89.233,87.581,89.588,87.514,1997861
2024-05-01,87.667,87.802,89.146,86.976,1937360
2024-05-02,88.215,88.128,88.436,87.427,1958095
2024-05-03,88.829,88.464,89.444,88.205,1788702
2024-05-06,88.983,89.396,89.425,88.589,1319642
2024-05-07,89.943,90.164,90.471,89.54,1705906
2024-05-08,89.953,90.769,90.904,89.924,1664894
2024-05-09,90.817,92.315,92.363,90.798,1800342
2024-05-10,92.767,93.247,93.324,92.45,2485697
2024-05-13,93.41,92.757,93.602,92.162,1746912
2024-05-14,93.333,93.218,93.929,92.824,1606897
2024-05-15,93.439,93.41,94.332,92.834,2144581
2024-05-16,93.322,93.101,93.718,92.725,2517267
2024-05-17,93.332,93.322,93.361,92.705,1627112
2024-05-20,93.428,93.602,93.718,92.946,1288497
2024-05-21,93.313,94.634,94.682,92.811,1869674
2024-05-22,94.287,95.164,95.174,93.824,2101101
2024-05-23,95.453,93.65,95.453,93.168,2439716
2024-05-24,93.978,94.074,94.161,93.419,1345696
2024-05-28,94.123,91.838,94.258,91.703,2176182
2024-05-29,91.008,91.394,91.905,90.816,1668939
2024-05-30,91.49,92.937,93.091,91.384,2657056
2024-05-31,93.438,95.646,95.897,93.168,7140302
2024-06-03,95.53,95.289,95.685,93.939,2469145
2024-06-04,94.961,95.656,95.926,94.826,2059608
2024-06-05,95.955,97.169,97.179,95.607,1740749
2024-06-06,97.227,95.848,97.227,95.53,1508218
2024-06-07,95.627,95.125,96.446,95.019,1916171
2024-06-10,95.039,94.248,95.318,94.065,2339861
2024-06-11,93.949,93.043,93.988,92.532,2041180
2024-06-12,94.055,93.959,94.479,93.216,1616978
2024-06-13,93.669,93.949,94.094,92.782,1307632
2024-06-14,92.937,93.65,93.737,92.339,1774294
2024-06-17,93.621,93.978,94.605,93.245,1590859
2024-06-18,93.371,93.043,93.997,91.24,2647266
2024-06-20,92.696,93.139,93.689,92.377,1557466
2024-06-21,93.187,92.484,93.216,92.136,2547640
2024-06-24,92.802,93.399,93.814,92.416,1355202
2024-06-25,93.332,92.233,93.496,91.809,1916223
2024-06-26,91.606,92.32,92.609,91.259,2094524
2024-06-27,92.165,92.561,92.879,91.789,1391011
2024-06-28,93.101,92.811,93.66,91.963,4754345
2024-07-01,93.149,91.548,93.274,91.384,2967356
2024-07-02,91.404,92.512,92.782,91.346,1793143
2024-07-03,92.908,93.052,93.708,92.773,1317741
2024-07-05,92.86,93.409,93.409,92.194,1639984
2024-07-08,93.853,93.911,94.479,93.515,1822564
2024-07-09,93.631,92.86,93.968,92.782,2927036
2024-07-10,92.753,93.399,93.515,92.464,1860078
2024-07-11,93.833,95.685,96.205,93.496,2191754
2024-07-12,96.417,96.62,97.218,96.118,1393907
2024-07-15,96.658,95.877,96.909,95.723,2214339
2024-07-16,95.993,96.051,96.572,95.048,2564405
2024-07-17,95.8,95.386,96.89,95.27,1881094
2024-07-18,94.672,95.174,96.687,94.672,2870941
2024-07-19,95.424,94.229,95.55,93.959,2410630
2024-07-22,95.231,95.906,95.945,93.833,1739578
2024-07-23,95.714,94.855,96.157,94.72,2340728
2024-07-24,86.978,88.154,90.247,86.978,5838228
2024-07-25,88.222,89.697,91.587,87.557,4281249
2024-07-26,90.536,90.131,90.642,88.501,2466089
2024-07-29,90.063,89.697,90.623,89.389,1466478
2024-07-30,90.141,90.459,91.008,89.63,2026260
2024-07-31,91.22,91.114,91.982,90.816,2060769
2024-08-01,91.114,90.922,91.529,90.006,2687938
2024-08-02,90.256,90.912,91.278,89.282,3107146
2024-08-05,89.514,90.073,91.635,89.225,3733302
2024-08-06,90.401,90.044,91.722,89.871,3123196
2024-08-07,90.835,89.157,91.78,89.032,2143560
2024-08-08,89.842,89.311,90.006,88.916,2477791
2024-08-09,89.215,90.054,90.179,88.617,1554265
2024-08-12,90.092,88.984,90.131,88.849,1499037
2024-08-13,89.331,89.109,90.025,88.27,1722565
2024-08-14,89.041,88.81,89.755,88.665,1830212
2024-08-15,89.678,89.871,90.17,88.839,2539588
2024-08-16,89.494,89.194,90.288,89.001,1674959
2024-08-19,89.272,89.717,89.727,88.972,2293949
2024-08-20,89.717,89.804,90.114,88.981,1521778
2024-08-21,90.182,90.976,91.005,89.94,1360896
2024-08-22,91.111,90.744,91.276,90.443,974686
2024-08-23,91.179,91.208,91.77,90.763,1063314
2024-08-26,91.528,90.676,91.712,90.337,1085692
2024-08-27,90.453,90.172,90.763,90.056,1301410
2024-08-28,90.259,90.443,90.879,89.969,978497
2024-08-29,91.015,90.85,91.77,90.288,1194890
