Date,Open,Last,High,Low,Volume
2024-01-29,188.826,191.902,192.039,188.053,626649
2024-01-30,190.511,191.51,193.489,189.737,490817
2024-01-31,191.167,186.338,191.491,186.191,563408
2024-02-01,187.426,188.768,188.856,184.37,993361
2024-02-02,188.709,190.991,191.902,187.083,911722
2024-02-05,190.021,190.247,190.609,186.074,798732
2024-02-06,191.588,193.606,195.134,191.353,1378789
2024-02-07,193.988,194.948,196.026,188.023,1264093
2024-02-08,185.055,191.735,195.281,182.283,1777359
2024-02-09,192.059,186.103,193.479,183.615,1784148
2024-02-12,186.466,187.768,191.344,186.466,1129536
2024-02-13,182.92,183.135,184.791,180.226,1097692
2024-02-14,185.124,185.369,188.386,184.027,1015821
2024-02-15,187.073,190.394,192.392,185.712,1612295
2024-02-16,189.541,186.907,192.147,186.858,904831
2024-02-20,184.634,186.152,187.279,184.291,745911
2024-02-21,183.733,178.287,184.007,176.818,697703
2024-02-22,180.393,177.983,182.009,177.014,1238545
2024-02-23,177.778,180.883,181.451,176.318,1335554
2024-02-26,180.275,176.387,180.275,175.926,729587
2024-02-27,176.916,179.345,182.46,176.916,748320
2024-02-28,177.954,179.835,180.814,177.817,755412
2024-02-29,180.079,178.649,182.469,177.552,911862
2024-03-01,178.593,181.342,181.381,177.72,659825
2024-03-04,180.017,174.765,180.478,173.519,913620
2024-03-05,173.509,170.682,173.529,167.737,929677
2024-03-06,171.929,172.635,174.01,170.535,715119
2024-03-07,173.745,178.328,179.006,173.185,799786
2024-03-08,179.016,177.877,179.33,175.884,721146
2024-03-11,177.818,181.096,181.833,177.445,895177
2024-03-12,181.528,183.393,183.491,179.281,635121
2024-03-13,183.59,184.777,186.358,183.393,791245
2024-03-14,185.258,186.299,187.418,184.012,820050
2024-03-15,184.954,186.2,188.232,182.559,1680277
2024-03-18,187.997,188.075,189.577,185.71,756319
2024-03-19,187.918,186.083,187.918,184.247,691798
2024-03-20,186.897,187.81,189.018,186.102,493303
2024-03-21,189.224,189.96,191.216,188.438,565705
2024-03-22,189.724,188.919,190.097,186.495,459051
2024-03-25,188.203,187.732,189.175,185.857,397259
2024-03-26,188.723,187.084,188.802,186.22,1098554
2024-03-27,189.44,193.582,193.866,189.44,766626
2024-03-28,194.711,195.339,198.077,194.141,750657
2024-04-01,194.652,194.622,195.29,191.55,785226
2024-04-02,188.458,194.023,194.534,186.2,1156163
2024-04-03,193.562,195.142,196.036,192.855,980768
2024-04-04,198.234,194.102,200.855,194.092,749683
2024-04-05,193.474,194.632,195.172,190.127,622269
2024-04-08,196.173,198.136,199.078,194.917,707186
2024-04-09,199.451,203.986,204.153,199.01,647914
2024-04-10,199.785,199.559,200.031,195.898,1152746
2024-04-11,201.552,200.747,201.552,196.045,521903
2024-04-12,199.275,194.347,199.275,194.102,758391
2024-04-15,194.102,189.175,194.514,188.262,601172
2024-04-16,188.026,186.642,188.615,186.112,795466
2024-04-17,186.956,183.413,187.712,183.246,821838
2024-04-18,184.247,181.46,185.101,181.038,614044
2024-04-19,181.244,179.869,183.737,179.86,572598
2024-04-22,181.057,183.266,184.924,179.025,522104
2024-04-23,183.364,184.62,187.987,183.364,607194
2024-04-24,184.483,184.443,185.091,180.802,549314
2024-04-25,182.068,183.138,183.442,180.292,843714
2024-04-26,184.355,185.405,188.213,184.355,674972
2024-04-29,185.543,189.626,191.079,185.543,757833
2024-04-30,187.859,184.512,189.979,184.512,883678
2024-05-01,184.149,182.804,187.437,182.451,1366077
2024-05-02,176.679,163.644,177.268,156.067,2756585
2024-05-03,169.612,168.13,172.783,164.42,1207026
2024-05-06,169.298,171.222,172.066,166.599,748365
2024-05-07,171.242,173.215,174.765,170.731,502245
2024-05-08,171.134,169.102,172.753,168.562,501998
2024-05-09,168.748,170.378,171.408,168.012,521613
2024-05-10,170.672,170.191,171.772,168.65,474217
2024-05-13,170.996,170.869,173.401,170.594,468504
2024-05-14,171.772,171.291,173.735,171.163,494624
2024-05-15,173.205,174.176,174.569,169.436,673364
2024-05-16,174.54,177.73,178.093,174.491,615277
2024-05-17,177.779,178.917,178.957,176.365,493214
2024-05-20,178.937,176.964,179.123,175.109,484817
2024-05-21,176.248,176.355,177.337,174.962,379313
2024-05-22,176.297,177.337,177.789,174.952,646695
2024-05-23,177.612,171.222,178.377,171.183,629355
2024-05-24,171.032,167.884,171.484,165.464,759251
2024-05-28,168.199,164.058,168.553,163.507,824934
2024-05-29,161.471,160.91,163.91,160.792,876806
2024-05-30,159.612,156.346,160.202,155.569,959700
2024-05-31,154.399,142.939,154.399,141.523,2551869
2024-06-03,144.985,142.772,146.51,142.025,1758485
2024-06-04,142.113,144.228,146.874,141.523,946199
2024-06-05,144.474,141.956,145.576,141.523,804493
2024-06-06,143.294,142.871,144.602,141.051,1076331
2024-06-07,141.444,142.949,145.192,140.392,792436
2024-06-10,141.405,143.903,144.198,140.077,878161
2024-06-11,141.671,141.041,142.772,139.969,883456
2024-06-12,143.854,141.798,145.379,141.238,694468
2024-06-13,141.356,138.68,142.084,138.366,725368
2024-06-14,138.671,140.441,141.641,137.825,795572
2024-06-17,140.766,140.549,143.038,138.907,1009683
2024-06-18,140.146,139.143,141.907,139.113,1085363
2024-06-20,138.926,143.294,143.569,138.592,802757
2024-06-21,143.392,144.985,145.064,141.631,2648674
2024-06-24,142.507,142.625,144.297,141.641,657664
2024-06-25,142.31,139.221,142.31,138.848,721691
2024-06-26,138.73,138.69,140.293,137.402,1023893
2024-06-27,138.69,139.457,140.903,137.707,584795
2024-06-28,139.821,140.697,140.707,138.248,995247
2024-07-01,140.618,139.969,141.012,138.533,699888
2024-07-02,140.451,139.841,141.7,138.051,712872
2024-07-03,140.166,140.766,142.084,139.782,458017
2024-07-05,140.52,139.634,140.638,138.356,427715
2024-07-08,140.313,138.051,140.421,137.48,666262
2024-07-09,137.608,137.864,138.592,137.215,741760
2024-07-10,138.149,137.982,138.336,137.244,581730
2024-07-11,139.674,142.113,142.467,138.385,764144
2024-07-12,143.608,145.998,147.966,142.231,908242
2024-07-15,146.962,153.553,154.281,145.792,1091013
2024-07-16,153.828,158.392,159.838,153.759,987334
2024-07-17,157.379,158.048,159.11,154.025,752906
2024-07-18,158.048,152.254,159.592,151.29,735534
2024-07-19,152.421,155.51,155.854,149.953,747768
2024-07-22,156.818,157.369,157.94,152.382,610777
2024-07-23,157.743,162.71,165.228,156.808,997170
2024-07-24,162.454,155.982,164.727,155.608,700105
2024-07-25,156.641,160.222,164.618,155.874,651979
2024-07-26,161.353,161.343,162.327,158.953,585889
2024-07-29,162.09,161.54,165.12,160.605,560868
