Date,Open,Last,High,Low,Volume
2024-01-29,94.467,94.429,95.035,93.75,1833102
2024-01-30,93.731,94.97,95.23,93.554,1712974
2024-01-31,94.951,93.498,95.184,93.144,2070162
2024-02-01,94.29,95.016,95.212,93.656,1725061
2024-02-02,94.765,96.041,96.441,94.42,1665214
2024-02-05,95.37,97.009,97.205,95.184,2589441
2024-02-06,97.447,97.074,97.792,96.516,2120922
2024-02-07,97.661,97.847,98.36,96.767,1885313
2024-02-08,97.978,98.36,98.937,97.447,2223618
2024-02-09,98.695,98.732,98.797,97.754,1474686
2024-02-12,98.62,98.742,99.105,97.978,1378158
2024-02-13,97.903,97.969,98.164,96.832,2295823
2024-02-14,98.383,99.606,100.073,98.383,2048251
2024-02-15,100.101,100.904,101.389,99.569,1524885
2024-02-16,101.007,100.633,101.473,100.362,2594387
2024-02-20,100.39,100.297,101.119,99.867,2322898
2024-02-21,100.306,101.473,101.511,99.923,1673345
2024-02-22,101.959,103.201,103.341,101.763,2020916
2024-02-23,103.528,103.444,103.668,102.827,1690000
2024-02-26,103.313,104.816,105.218,103.145,2085191
2024-02-27,104.751,103.957,104.928,103.266,1794648
2024-02-28,104.125,103.995,104.63,103.808,1632258
2024-02-29,104.265,103.546,104.312,103.378,3660519
2024-03-01,104.097,105.694,105.844,103.808,2190514
2024-03-04,105.965,104.854,106.656,104.844,1742996
2024-03-05,105.059,106.525,108.113,104.91,2556660
2024-03-06,106.871,107.823,108.458,106.731,2290442
2024-03-07,108.393,106.759,109.14,106.675,2759174
2024-03-08,106.861,107.057,108.383,106.684,2038562
2024-03-11,107.244,106.479,107.599,104.882,1972474
2024-03-12,106.6,107.179,107.627,105.862,1765209
2024-03-13,107.58,108.29,108.374,107.085,2036014
2024-03-14,109.018,107.58,109.018,106.292,2864627
2024-03-15,108.822,110.494,111.073,108.542,7281403
2024-03-18,111.11,112.371,112.455,110.811,3021432
2024-03-19,112.483,112.987,113.202,112.231,1949954
2024-03-20,113.388,113.407,113.809,112.231,2535108
2024-03-21,113.921,116.18,116.321,113.585,2014348
2024-03-22,116.358,115.555,116.619,115.499,2397299
2024-03-25,115.676,115.228,116.003,114.92,1321203
2024-03-26,114.892,114.864,115.658,114.285,1740491
2024-03-27,115.76,116.218,116.414,115.051,1363838
2024-03-28,116.722,115.686,117.189,115.368,2280848
2024-04-01,115.854,114.948,116.152,114.92,1351309
2024-04-02,114.322,113.547,114.612,112.669,2341059
2024-04-03,111.586,112.445,113.304,109.7,3740373
2024-04-04,113.631,112.548,114.276,112.277,1896131
2024-04-05,112.996,114.117,114.621,112.557,1391733
2024-04-08,114.014,114.397,115.041,113.883,1838359
2024-04-09,114.518,111.287,114.752,110.018,2461392
2024-04-10,109.42,110.83,111.484,108.832,2412854
2024-04-11,110.344,111.007,111.773,109.905,1437480
2024-04-12,110.186,110.335,111.026,109.896,1976024
2024-04-15,112.52,110.204,113.687,109.859,1959253
2024-04-16,110.204,109.756,110.503,109.252,1736256
2024-04-17,110.354,108.253,110.624,107.683,2458326
2024-04-18,108.701,106.226,109.13,106.18,2343529
2024-04-19,106.497,103.827,106.768,103.042,4538652
2024-04-22,104.639,105.125,106.161,104.415,2021362
2024-04-23,105.545,105.816,106.133,105.003,2403811
2024-04-24,105.498,106.208,107.226,105.498,2865337
2024-04-25,104.079,105.162,106.124,103.901,3322831
2024-04-26,104.527,104.546,105.358,103.855,2802541
2024-04-29,105.293,106.114,106.609,104.891,3813787
2024-04-30,100.848,99.083,101.455,97.328,7380165
2024-05-01,99.083,99.298,100.829,98.467,4020928
2024-05-02,99.354,99.41,99.69,97.654,3094895
2024-05-03,100.017,97.85,100.185,97.524,3899161
2024-05-06,98.261,98.187,98.868,97.916,2779592
2024-05-07,98.149,99.541,100.017,98.084,2287058
2024-05-08,99.26,99.961,100.465,98.569,2887767
2024-05-09,100.091,101.707,101.838,99.97,1887663
2024-05-10,101.819,101.95,102.398,101.52,1810853
