Date,Open,Last,High,Low,Volume
2024-01-29,73.347,73.52,73.63,72.972,584155
2024-01-30,73.017,73.822,73.932,73.017,790439
2024-01-31,73.767,72.314,73.95,72.158,1099846
2024-02-01,71.774,71.061,71.875,69.16,1117224
2024-02-02,70.878,71.326,71.701,70.476,852607
2024-02-05,70.522,70.869,71.253,69.909,712682
2024-02-06,70.851,71.674,71.747,70.851,990587
2024-02-07,71.856,71.408,72.149,71.29,1223441
2024-02-08,71.408,71.088,71.472,70.202,908897
2024-02-09,70.823,71.491,71.747,70.229,843159
2024-02-12,71.792,72.167,73.081,71.591,1254715
2024-02-13,74.05,72.46,76.235,71.61,2377374
2024-02-14,72.953,71.939,73.209,71.436,1824465
2024-02-15,72.387,73.996,74.352,72.387,1551149
2024-02-16,73.584,73.173,73.612,72.789,1490885
2024-02-20,72.88,73.411,73.785,72.524,959373
2024-02-21,73.411,72.816,73.502,72.505,1018220
2024-02-22,72.643,73.447,73.593,72.579,882513
2024-02-23,73.31,73.356,74.297,73.081,938129
2024-02-26,72.889,73.237,73.712,72.816,874728
2024-02-27,73.548,73.758,73.804,72.917,939162
2024-02-28,73.785,73.648,74.06,73.52,1131952
2024-02-29,74.096,73.923,74.434,73.374,2110588
2024-03-01,73.438,73.182,73.868,72.935,1138330
2024-03-04,72.825,73.758,73.941,72.825,1121184
2024-03-05,73.493,74.041,74.553,73.493,1088567
2024-03-06,74.041,73.804,74.178,73.118,1290383
2024-03-07,74.133,73.109,74.581,72.862,1332312
2024-03-08,73.401,73.109,73.721,73.072,1179620
2024-03-11,72.839,73.826,73.863,72.452,1355680
2024-03-12,73.761,73.595,73.909,73.051,1217074
2024-03-13,73.494,74.591,74.684,73.227,1248378
2024-03-14,74.453,74.241,75.062,73.356,1906544
2024-03-15,73.974,76.122,76.288,73.974,6705682
2024-03-18,76.168,75.845,76.657,75.716,1853566
2024-03-19,76.094,76.519,76.703,76.094,1211671
2024-03-20,76.343,77.468,77.468,76.15,1559897
2024-03-21,77.653,77.911,78.28,77.496,1045540
