Date,Open,Last,High,Low,Volume
2024-01-29,103.091,104.072,104.602,102.62,2840445
2024-01-30,105.79,103.572,108.675,103.229,3473317
2024-01-31,103.16,102.601,105.711,102.336,2255521
2024-02-01,103.788,104.73,105.005,102.483,1563766
2024-02-02,102.836,103.984,105.162,101.394,1641366
2024-02-05,102.934,102.395,103.072,101.325,1893534
2024-02-06,102.581,100.648,102.581,99.637,2195379
2024-02-07,101.394,101.08,102.326,100.854,1765473
2024-02-08,101.345,101.325,102.149,100.285,1430883
2024-02-09,101.089,101.168,101.982,100.236,1695563
2024-02-12,101.462,103.7,104.347,101.227,1516780
2024-02-13,99.412,100.089,101.315,98.362,2120549
2024-02-14,101.531,101.874,102.552,100.304,1390627
2024-02-15,102.453,102.522,102.964,101.237,1336873
2024-02-16,101.129,99.549,101.462,99.392,1528127
2024-02-20,98.617,101.109,101.315,98.362,1704535
2024-02-21,102.659,101.678,103.886,100.668,1265004
2024-02-22,102.669,102.718,104.131,102.267,1462398
2024-02-23,103.15,103.758,104.828,103.15,1013267
2024-02-26,103.955,104.21,105.181,103.739,1527430
2024-02-27,104.818,104.857,105.888,104.082,1653313
2024-02-28,104.504,104.436,105.289,103.817,1226744
2024-02-29,105.27,106.349,106.692,104.946,2580275
2024-03-01,106.349,109.126,109.322,106.025,1715985
2024-03-04,110.127,108.949,111.304,108.714,2510049
2024-03-05,108.567,108.38,110.951,107.733,2096298
2024-03-06,109.361,109.352,109.568,108.204,2046489
2024-03-07,110.382,111.667,112.57,110.382,1864321
2024-03-08,112.217,110.568,113.041,109.793,1285024
2024-03-11,110.117,108.773,110.235,107.065,1464379
2024-03-12,108.547,110.058,110.824,107.684,1528420
2024-03-13,110.441,112.138,112.649,109.989,1988343
2024-03-14,112.419,107.858,112.694,107.366,2828881
2024-03-15,106.757,109.018,109.559,106.747,4465558
2024-03-18,109.421,108.31,109.844,107.17,1596402
2024-03-19,107.701,109.519,109.716,107.278,1635549
2024-03-20,109.657,112.056,112.645,108.979,1512754
2024-03-21,113.333,114.09,115.182,113.304,1625592
2024-03-22,114.366,114.474,115.417,113.53,1645645
2024-03-25,113.835,113.727,115.29,113.687,1107359
2024-03-26,113.913,114.022,114.847,113.746,1360921
2024-03-27,115.024,116.007,116.253,114.346,1407662
2024-03-28,116.174,118.573,118.838,116.086,1624236
2024-04-01,118.445,116.42,119.025,115.86,1246522
2024-04-02,113.864,112.262,114.071,110.453,2025412
2024-04-03,111.77,113.658,113.776,111.584,1461013
2024-04-04,115.103,111.908,115.752,111.328,1778807
2024-04-05,112.164,114.375,114.661,111.938,1298977
2024-04-08,114.592,113.098,115.005,113.058,1679828
2024-04-09,113.913,113.432,114.041,110.846,1307193
2024-04-10,109.106,107.543,109.962,107.249,2238961
2024-04-11,107.563,108.703,109.677,107.563,1175421
2024-04-12,108.035,109.008,109.028,107.425,1535394
2024-04-15,109.028,106.944,109.647,106.58,1839593
2024-04-16,105.548,105.047,105.803,103.562,1577056
2024-04-17,106.226,104.349,106.354,104.172,1285052
2024-04-18,107.642,104.162,107.799,104.122,1905538
2024-04-19,104.447,103.641,106.157,102.825,2319309
2024-04-22,104.516,106.0,106.0,103.405,2698896
2024-04-23,105.243,110.846,111.328,104.024,3514512
2024-04-24,111.476,110.355,112.675,109.303,2045283
2024-04-25,108.133,109.47,109.745,105.292,1889876
2024-04-26,110.394,111.869,112.763,110.119,1747255
2024-04-29,112.547,112.616,113.333,111.731,1238944
2024-04-30,111.348,109.529,112.39,109.185,1547814
2024-05-01,109.686,109.922,112.93,108.566,1416303
2024-05-02,110.994,111.918,111.977,109.116,1679082
2024-05-03,115.624,114.661,118.691,114.611,1874965
2024-05-06,116.125,115.653,116.725,114.975,1653836
2024-05-07,115.781,114.965,116.735,114.936,1887417
2024-05-08,113.835,113.825,114.729,113.127,1293408
2024-05-09,114.159,115.005,115.653,114.061,1277888
2024-05-10,115.231,115.683,116.076,114.877,1614469
2024-05-13,116.548,114.405,116.548,114.307,1254406
2024-05-14,115.044,114.208,115.309,113.874,1351893
2024-05-15,116.538,119.998,120.274,116.44,2897936
2024-05-16,119.595,116.646,120.637,116.401,1872974
2024-05-17,117.049,117.049,117.443,115.85,1320031
2024-05-20,117.01,117.177,118.239,117.01,1541101
2024-05-21,116.931,115.899,117.374,115.378,1084785
2024-05-22,114.7,112.262,115.359,111.19,2004006
2024-05-23,112.97,110.827,113.255,110.384,1378366
2024-05-24,112.036,112.36,112.842,111.692,812989
2024-05-28,112.596,111.338,113.068,110.551,1335827
2024-05-29,110.188,110.63,111.358,109.608,1512042
2024-05-30,111.652,113.805,113.904,111.377,1343416
2024-05-31,114.552,115.329,115.427,113.304,3452509
2024-06-03,115.791,113.53,115.791,113.333,1481354
2024-06-04,112.763,110.974,113.353,110.257,1364114
2024-06-05,111.485,113.609,113.727,110.493,1333843
2024-06-06,113.628,112.547,113.904,111.898,1477432
2024-06-07,108.998,109.647,110.129,106.993,1627981
2024-06-10,108.841,111.476,111.613,108.408,1828300
2024-06-11,110.65,109.067,111.014,108.723,1247004
2024-06-12,114.641,113.402,116.096,112.881,2509801
2024-06-13,113.422,113.51,113.953,111.761,908241
2024-06-14,112.105,112.154,112.596,110.532,1458787
2024-06-17,111.82,112.468,112.537,110.984,1324741
2024-06-18,111.488,109.44,112.0,109.076,1916849
2024-06-20,109.233,108.997,110.553,107.658,2068266
2024-06-21,109.282,109.863,109.863,107.116,3713704
2024-06-24,109.863,110.956,112.089,109.666,1521983
2024-06-25,110.681,108.357,110.681,107.431,1496298
2024-06-26,107.687,108.367,108.721,107.333,1224183
2024-06-27,108.278,108.071,108.692,107.539,1203988
2024-06-28,108.426,108.416,109.814,107.372,3680695
2024-07-01,108.8,104.605,109.292,104.329,2152339
2024-07-02,101.493,102.921,103.512,101.178,2588535
2024-07-03,102.675,103.453,105.019,102.291,1180686
2024-07-05,103.197,102.36,103.778,101.661,1853271
2024-07-08,103.364,103.65,104.241,102.429,1543420
2024-07-09,103.177,103.098,104.871,102.655,1445429
2024-07-10,103.758,105.511,105.669,103.482,1439586
2024-07-11,109.282,112.099,113.182,108.721,2625807
2024-07-12,113.221,114.551,115.752,113.221,2337251
2024-07-15,115.063,114.462,116.461,114.117,2146351
2024-07-16,116.53,122.655,122.891,116.146,2862347
2024-07-17,121.453,119.858,122.399,119.74,2643503
2024-07-18,121.768,122.891,127.864,121.552,3257706
2024-07-19,122.694,122.852,124.378,121.69,2098768
2024-07-22,122.379,123.718,123.748,120.922,2564574
2024-07-23,118.864,123.748,125.018,118.164,3585326
2024-07-24,123.403,120.685,123.954,120.547,2765686
2024-07-25,121.296,123.088,125.107,120.183,2618171
2024-07-26,126.318,128.002,128.927,125.678,2541442
2024-07-29,128.504,130.877,131.468,127.608,2915659
2024-07-30,131.113,131.143,132.58,129.853,2031280
2024-07-31,132.108,129.981,133.545,128.799,1866763
2024-08-01,130.906,127.302,131.487,126.072,2417863
2024-08-02,124.358,125.717,127.106,122.241,1964243
2024-08-05,117.258,121.473,123.442,116.638,2254997
2024-08-06,120.242,121.759,125.205,119.041,2051961
2024-08-07,123.502,118.145,125.077,118.076,2348557
2024-08-08,119.543,120.262,121.059,118.322,1261742
2024-08-09,120.892,121.138,122.773,119.947,1564136
2024-08-12,121.138,120.094,121.463,118.903,1294536
2024-08-13,121.01,121.69,122.822,120.459,1350044
2024-08-14,122.231,120.006,123.078,119.464,1683597
2024-08-15,121.119,120.646,121.512,118.657,1644074
2024-08-16,120.144,120.715,122.428,119.858,1439831
2024-08-19,121.768,123.265,123.295,120.567,1429956
2024-08-20,123.63,122.832,125.166,122.408,1389953
2024-08-21,125.116,126.574,127.706,124.437,2025579
2024-08-22,126.682,127.243,128.002,126.072,1656314
2024-08-23,129.154,133.063,133.516,128.218,2783667
2024-08-26,133.181,131.586,134.382,131.369,1386888
2024-08-27,130.375,129.567,130.995,129.026,1149427
2024-08-28,128.947,129.104,130.66,128.12,1227781
2024-08-29,129.4,128.139,129.941,127.096,1206025
2024-08-30,129.242,129.636,130.266,127.273,2316953
2024-09-03,129.676,126.82,132.157,125.609,2032297
2024-09-04,125.875,126.328,126.475,123.423,1844744
2024-09-05,126.682,126.308,127.411,125.166,1816271
2024-09-06,126.958,128.208,130.572,126.958,2570698
2024-09-09,128.021,129.587,131.025,127.48,2105392
2024-09-10,130.522,130.67,130.946,128.376,1678270
2024-09-11,128.996,129.429,129.735,125.904,1823356
2024-09-12,129.912,133.23,133.467,129.804,1466858
2024-09-13,134.904,137.406,138.617,134.904,1968629
2024-09-16,138.577,137.918,139.02,135.712,1810530
2024-09-17,139.038,138.505,139.462,136.938,1453593
2024-09-18,138.87,139.028,142.174,136.799,2211631
2024-09-19,142.854,142.963,143.811,139.255,2182360
2024-09-20,141.286,139.886,141.809,138.929,7599591
2024-09-23,141.05,141.543,141.819,138.229,1582717
2024-09-24,140.764,141.266,142.213,140.024,1958251
2024-09-25,140.024,138.505,140.754,138.15,1641272
2024-09-26,139.925,138.022,140.123,137.726,1202837
2024-09-27,139.551,141.178,142.598,138.634,1343791
