Date,Open,Last,High,Low,Volume
2024-01-29,116.912,117.805,118.229,116.313,2553942
2024-01-30,117.013,116.552,117.639,115.668,2764301
2024-01-31,117.289,116.7,118.911,116.0,4811303
2024-02-01,116.626,120.154,120.172,116.248,3984071
2024-02-02,118.1,119.058,119.997,116.525,4194988
2024-02-05,117.418,116.902,117.98,116.138,3591914
2024-02-06,117.474,120.209,120.44,116.921,3764291
2024-02-07,120.034,118.911,120.716,118.597,3907499
2024-02-08,118.855,121.278,121.932,118.634,3260971
2024-02-09,121.02,122.033,122.3,120.163,2870352
2024-02-12,122.512,121.637,123.645,121.407,2523834
2024-02-13,118.597,120.559,120.661,117.206,4759062
2024-02-14,120.615,120.209,121.425,119.039,4294108
2024-02-15,121.315,122.604,122.687,121.315,3409249
2024-02-16,121.536,122.871,123.599,120.974,3421275
2024-02-20,121.913,122.835,123.378,121.195,2995336
2024-02-21,122.733,122.899,123.885,122.54,2436381
2024-02-22,122.982,122.918,124.207,122.494,2946963
2024-02-23,122.954,122.706,123.618,122.558,2131842
2024-02-26,122.346,122.107,122.715,121.158,2000472
2024-02-27,122.742,122.042,123.857,121.361,2976954
2024-02-28,121.609,123.424,124.456,121.527,2478789
2024-02-29,124.428,122.761,124.999,122.512,5131520
2024-03-01,122.549,123.986,124.106,119.961,2786529
2024-03-04,123.673,123.074,123.986,120.633,3316342
2024-03-05,122.558,121.996,123.175,121.388,2328916
2024-03-06,122.623,122.586,123.304,121.978,2245496
2024-03-07,123.47,122.273,123.949,121.563,2080373
2024-03-08,123.194,124.419,124.751,122.908,2942184
2024-03-11,124.069,123.544,125.055,122.65,2068933
2024-03-12,123.065,123.958,124.354,122.319,1729215
2024-03-13,124.087,122.816,124.603,122.236,3061369
2024-03-14,122.429,120.44,122.678,119.288,3076112
2024-03-15,118.597,119.72,120.898,118.198,6698774
2024-03-18,119.516,118.903,120.453,118.662,2274319
2024-03-19,118.848,118.634,119.562,117.809,2641202
2024-03-20,118.031,119.423,119.971,117.549,2565797
2024-03-21,119.674,120.527,121.028,119.061,3020095
2024-03-22,120.815,119.349,120.815,118.783,2738532
2024-03-25,119.609,117.966,119.646,117.948,2472691
2024-03-26,117.4,116.12,117.911,116.055,3567260
2024-03-27,117.771,119.572,119.785,117.697,3202226
2024-03-28,120.082,120.834,121.13,119.794,3676095
2024-04-01,120.834,118.699,121.344,118.263,1762975
2024-04-02,117.734,116.528,117.985,115.841,3187442
2024-04-03,116.055,117.001,117.53,115.637,3585007
2024-04-04,118.996,115.702,119.432,115.359,4335834
2024-04-05,115.09,115.749,115.916,114.366,5099653
2024-04-08,116.194,117.075,117.187,115.749,2821583
2024-04-09,117.261,117.159,117.66,116.537,2965964
2024-04-10,113.011,111.926,113.28,110.534,4753185
2024-04-11,112.482,111.582,113.494,110.32,4098164
2024-04-12,111.341,110.422,111.786,109.958,3735258
2024-04-15,111.276,107.444,111.332,106.887,3993845
2024-04-16,107.295,106.469,107.564,105.755,5666402
2024-04-17,100.865,98.814,103.463,97.951,11034012
2024-04-18,98.322,97.144,98.628,96.132,6310394
2024-04-19,97.097,96.03,97.311,95.13,6932203
2024-04-22,96.318,96.578,97.032,95.158,3673089
2024-04-23,97.005,97.274,97.997,96.568,4232302
2024-04-24,96.299,95.743,97.051,95.019,4819689
2024-04-25,94.657,95.9,96.568,94.314,3798836
2024-04-26,95.975,96.559,97.088,95.353,4037744
2024-04-29,97.858,97.441,97.96,96.652,2872980
2024-04-30,95.121,94.694,96.513,94.648,5608029
2024-05-01,94.518,94.536,96.624,94.304,5526239
2024-05-02,96.327,96.995,97.032,93.822,5836385
2024-05-03,99.055,98.257,100.289,97.803,3517673
2024-05-06,98.712,97.125,98.935,96.689,4259861
2024-05-07,98.805,99.992,100.206,97.877,4088211
2024-05-08,99.241,98.248,99.593,97.71,2947737
2024-05-09,98.823,100.354,100.549,98.396,4208775
2024-05-10,100.642,99.742,100.688,99.269,2872799
2024-05-13,100.512,99.918,101.152,99.482,3043080
2024-05-14,101.013,100.475,101.941,100.252,3727358
2024-05-15,102.628,102.062,103.444,101.486,4347618
2024-05-16,102.581,102.804,103.834,102.257,4232353
2024-05-17,103.12,103.463,103.5,102.275,3260724
2024-05-20,103.166,103.973,104.883,102.656,3941455
2024-05-21,103.491,102.628,103.667,101.839,2524966
2024-05-22,102.182,101.347,103.37,100.744,3158100
2024-05-23,101.319,98.025,101.514,97.803,4364563
2024-05-24,98.313,97.199,98.48,96.986,3107976
2024-05-28,98.118,97.431,98.573,96.847,4857209
2024-05-29,96.207,97.431,97.506,95.659,2946050
2024-05-30,98.285,99.816,99.909,97.803,4325782
2024-05-31,99.983,102.526,102.683,99.807,14977808
2024-06-03,102.786,99.658,102.999,99.25,3262373
2024-06-04,98.823,100.93,101.95,98.823,5538525
2024-06-05,101.143,100.902,101.551,99.77,2824710
2024-06-06,100.206,102.08,102.294,99.844,3144360
2024-06-07,100.262,102.257,102.331,100.03,4786890
2024-06-10,101.885,103.157,103.305,101.208,5780804
2024-06-11,102.925,103.537,104.27,102.145,7061094
2024-06-12,105.838,104.678,107.629,104.335,4650477
2024-06-13,105.077,104.279,105.263,103.417,3122201
2024-06-14,103.871,104.196,104.335,102.461,3672418
2024-06-17,103.405,104.144,104.827,102.983,2696352
2024-06-18,104.144,102.993,104.818,102.927,4337157
2024-06-20,102.384,102.16,103.114,101.823,4760707
2024-06-21,102.366,102.384,102.909,101.505,6715249
2024-06-24,102.431,104.471,105.894,102.3,2924225
2024-06-25,104.368,102.787,104.378,102.618,3043339
2024-06-26,101.973,103.33,104.172,101.636,3384957
2024-06-27,103.433,104.209,104.808,102.843,3174339
2024-06-28,104.743,105.108,105.51,103.283,5436382
