Date,Open,Last,High,Low,Volume
2024-01-29,64.018,63.324,64.333,63.315,1333015
2024-01-30,63.27,63.468,63.928,62.81,918302
2024-01-31,64.098,62.884,64.162,62.628,1619124
2024-02-01,62.601,64.007,64.043,62.263,1032777
2024-02-02,63.158,62.702,63.687,61.862,924243
2024-02-05,62.054,61.889,62.428,61.314,853707
2024-02-06,61.743,62.136,62.263,61.606,596738
2024-02-07,62.464,61.369,62.656,61.223,1161572
2024-02-08,61.196,60.593,61.205,59.507,1847028
2024-02-09,60.593,61.15,61.177,60.402,1060555
2024-02-12,61.15,62.145,62.154,60.675,1246999
2024-02-13,61.944,61.305,62.099,60.475,1453402
2024-02-14,61.332,61.013,61.533,60.821,1463779
2024-02-15,61.186,61.971,62.063,61.186,1535085
2024-02-16,61.698,61.99,62.263,61.342,2508997
2024-02-20,62.172,63.067,63.423,61.971,1126523
2024-02-21,63.423,64.043,64.08,63.003,1374182
2024-02-22,63.614,64.08,64.563,63.158,1546036
2024-02-23,64.317,64.344,64.919,63.888,1836915
2024-02-26,64.016,63.222,64.144,62.574,2591624
2024-02-27,63.769,62.984,63.988,62.601,3140972
2024-02-28,63.076,61.059,63.076,60.94,1263912
2024-02-29,61.962,62.364,63.523,61.615,6148293
2024-03-01,62.254,62.108,62.464,61.625,3184521
2024-03-04,61.798,62.875,63.039,61.78,1323272
2024-03-05,63.313,62.619,63.824,61.825,2331923
2024-03-06,63.076,63.669,63.988,62.902,1177331
2024-03-07,64.226,65.138,65.348,63.915,1456000
2024-03-08,65.166,65.44,65.786,64.828,1488184
2024-03-11,65.786,65.987,66.188,65.211,1327286
2024-03-12,65.741,64.627,65.768,64.308,1168951
2024-03-13,65.047,65.23,65.631,64.956,1180369
2024-03-14,64.792,64.627,64.983,63.432,1187207
2024-03-15,64.144,64.782,65.011,64.125,2200974
2024-03-18,66.078,65.786,66.444,65.303,1759449
2024-03-19,65.923,66.17,66.425,65.357,1188741
2024-03-20,66.069,66.425,66.973,65.869,925204
2024-03-21,66.635,66.517,67.028,66.288,608421
2024-03-22,66.872,66.635,67.092,66.343,800638
2024-03-25,66.982,66.252,67.073,66.17,805844
2024-03-26,66.188,65.704,66.416,65.704,892317
2024-03-27,66.042,67.566,67.639,65.887,1500538
2024-03-28,67.712,68.205,68.26,67.447,903242
2024-04-01,68.095,67.584,68.095,67.183,707624
2024-04-02,67.603,67.575,68.242,67.475,767752
2024-04-03,67.493,66.699,67.557,66.59,1074829
2024-04-04,67.146,66.644,67.174,66.334,750388
2024-04-05,66.279,66.407,66.644,65.786,505565
2024-04-08,66.507,67.612,67.84,66.507,759811
2024-04-09,67.858,68.105,68.15,67.493,1051183
2024-04-10,66.945,65.896,67.046,65.686,911924
2024-04-11,66.325,65.905,66.352,65.312,1499971
2024-04-12,66.124,65.932,66.644,65.686,1565139
2024-04-15,66.215,65.814,66.453,65.321,1478990
2024-04-16,65.613,64.992,65.613,64.554,1418552
2024-04-17,65.522,65.686,65.942,64.938,801928
2024-04-18,65.942,66.599,66.909,65.704,817106
2024-04-19,66.653,67.904,67.986,66.608,689636
2024-04-22,67.648,68.178,68.388,67.32,627649
2024-04-23,68.041,67.995,68.707,67.876,698817
2024-04-24,67.21,68.032,68.415,66.681,931856
2024-04-25,67.849,67.721,68.287,67.155,766728
2024-04-26,67.676,67.256,68.114,67.238,864408
2024-04-29,67.53,68.369,68.588,67.53,738990
2024-04-30,68.237,68.015,68.634,67.212,1049257
2024-05-01,67.877,69.206,69.76,67.544,1097106
2024-05-02,70.185,69.299,70.259,69.096,1045691
2024-05-03,69.927,69.991,70.25,69.262,1042561
2024-05-06,70.185,70.195,70.352,69.64,708389
2024-05-07,70.638,70.564,70.933,70.158,988136
2024-05-08,70.195,70.767,71.081,69.973,869529
2024-05-09,70.739,71.478,71.7,70.647,1002041
2024-05-10,71.728,71.33,71.774,70.952,695341
2024-05-13,71.45,71.072,71.792,70.776,717407
2024-05-14,71.423,71.109,71.644,70.97,716637
2024-05-15,71.811,71.607,72.125,71.515,919578
2024-05-16,71.663,71.866,72.208,71.404,492183
2024-05-17,71.977,72.439,72.485,71.543,590926
2024-05-20,72.633,72.042,72.633,71.82,486705
2024-05-21,72.115,72.605,72.743,71.986,550736
2024-05-22,72.235,71.82,72.402,71.654,684041
2024-05-23,71.478,70.629,71.478,70.573,715948
2024-05-24,70.73,70.943,71.063,70.342,430375
2024-05-28,70.952,70.629,71.377,70.573,531065
2024-05-29,69.945,69.936,70.342,69.677,604584
2024-05-30,70.287,71.127,71.164,69.964,704076
2024-05-31,71.478,72.826,72.854,71.303,824694
2024-06-03,71.1,71.035,72.439,70.776,2645230
2024-06-04,70.601,72.032,72.826,70.481,2744010
2024-06-05,71.968,71.247,72.032,71.118,976024
2024-06-06,71.589,70.693,71.866,70.582,1057505
2024-06-07,70.028,69.899,70.712,69.89,780789
2024-06-10,69.724,70.019,70.462,69.345,806491
2024-06-11,69.428,70.721,70.841,69.271,1094918
