Date,Open,Last,High,Low,Volume
2024-01-29,13.166,13.166,13.252,12.888,0
2024-01-30,12.975,13.099,13.319,12.917,0
2024-01-31,14.995,13.97,15.033,13.951,0
2024-02-01,14.267,14.057,14.363,13.817,0
2024-02-02,13.903,13.817,13.932,13.654,0
2024-02-05,13.741,13.425,13.769,13.3,0
2024-02-06,13.405,13.396,13.568,13.338,0
2024-02-07,13.31,12.304,13.319,12.256,0
2024-02-08,12.448,12.458,12.572,12.122,0
2024-02-09,12.505,12.352,12.611,12.295,0
2024-02-12,12.4,12.841,13.032,12.333,0
2024-02-13,12.544,12.448,12.592,12.228,0
2024-02-14,12.601,12.63,12.678,12.429,0
2024-02-15,12.122,12.055,12.563,11.826,0
2024-02-16,11.931,11.49,12.008,11.49,0
2024-02-20,11.433,11.443,11.644,11.337,0
2024-02-21,11.328,11.299,11.385,11.203,0
2024-02-22,11.414,11.213,11.433,11.194,0
2024-02-23,10.868,10.734,11.021,10.523,0
2024-02-26,10.724,10.619,10.906,10.552,0
2024-02-27,10.648,10.772,10.858,10.437,0
2024-02-28,10.61,10.59,10.887,10.466,0
2024-02-29,10.897,10.571,11.471,10.533,0
2024-03-01,10.581,10.485,10.6,10.351,0
2024-03-04,10.389,9.863,10.437,9.767,0
2024-03-05,9.815,9.776,9.949,9.729,0
2024-03-06,9.834,10.054,10.179,9.776,0
2024-03-07,10.083,10.341,10.523,10.073,0
2024-03-08,10.437,10.466,10.562,10.332,0
2024-03-11,10.456,11.127,11.194,10.389,0
2024-03-12,11.682,11.098,11.692,10.973,0
2024-03-13,11.06,11.184,11.376,11.06,0
2024-03-14,11.203,10.828,11.203,10.703,0
2024-03-15,10.828,10.78,10.934,10.713,0
2024-03-18,10.8,10.771,10.828,10.607,0
2024-03-19,10.675,10.761,10.934,10.655,0
2024-03-20,10.732,12.031,12.079,10.646,0
2024-03-21,12.088,11.367,12.223,11.319,0
2024-03-22,11.386,10.819,11.386,10.809,0
2024-03-25,10.915,11.011,11.03,10.761,0
2024-03-26,11.088,10.934,11.184,10.867,0
2024-03-27,10.953,11.252,11.29,10.848,0
2024-03-28,11.175,11.319,11.454,11.165,0
2024-04-01,11.357,11.3,11.386,11.117,0
2024-04-02,11.146,11.309,11.328,11.04,0
2024-04-03,11.405,13.002,13.271,10.886,0
2024-04-04,11.915,11.896,13.002,11.636,0
2024-04-05,12.031,11.511,12.3,11.232,0
2024-04-08,11.377,10.636,11.386,10.636,0
2024-04-09,10.588,10.55,10.819,10.473,0
2024-04-10,10.29,10.098,10.559,9.732,0
2024-04-11,10.194,10.838,10.944,10.174,0
2024-04-12,10.684,10.54,10.809,10.482,0
2024-04-15,10.511,10.482,10.665,10.338,0
2024-04-16,10.29,10.03,10.415,9.973,0
2024-04-17,10.098,10.396,10.482,10.088,0
2024-04-18,10.376,10.55,10.751,10.348,0
2024-04-19,11.482,11.963,12.098,11.223,0
2024-04-22,11.982,11.905,12.05,11.473,0
2024-04-23,11.742,12.252,12.482,11.732,0
2024-04-24,12.165,12.194,12.319,11.925,0
2024-04-25,12.05,11.713,12.242,11.617,0
2024-04-26,11.434,11.454,11.761,11.367,0
2024-04-29,12.021,11.78,12.261,11.694,0
2024-04-30,11.636,10.953,11.655,10.896,0
2024-05-01,11.03,11.79,11.848,11.021,0
2024-05-02,11.8,13.329,13.463,11.598,0
2024-05-03,13.8,12.396,13.983,12.367,0
2024-05-06,12.829,12.781,13.261,12.675,0
2024-05-07,12.742,12.396,12.848,12.348,0
2024-05-08,12.309,12.329,12.415,12.117,0
2024-05-09,12.329,12.579,12.608,12.213,0
2024-05-10,12.627,12.55,12.742,12.502,0
2024-05-13,12.55,12.511,12.886,12.482,0
2024-05-14,12.646,11.857,12.848,11.434,0
2024-05-15,11.848,12.079,12.184,11.848,0
2024-05-16,12.011,12.156,12.271,12.002,0
2024-05-17,12.098,11.559,12.117,11.559,0
2024-05-20,11.819,11.559,11.819,11.444,0
2024-05-21,11.454,11.636,11.809,11.444,0
2024-05-22,11.55,11.732,11.771,11.463,0
2024-05-23,11.665,11.338,11.694,11.203,0
2024-05-24,11.405,11.502,11.521,11.28,0
2024-05-28,11.386,11.55,11.588,11.328,0
2024-05-29,11.386,11.252,11.463,11.184,0
2024-05-30,11.223,11.367,11.655,10.934,0
2024-05-31,11.434,11.454,11.665,11.3,0
2024-06-03,12.357,12.309,12.55,12.194,0
2024-06-04,12.165,11.771,12.184,11.627,0
2024-06-05,11.819,11.617,11.896,11.53,0
2024-06-06,11.53,11.511,11.723,11.444,0
2024-06-07,11.444,11.55,11.732,11.434,0
2024-06-10,11.444,11.521,11.55,11.319,0
2024-06-11,11.425,10.617,11.925,10.242,0
2024-06-12,10.271,10.694,10.732,10.271,0
2024-06-13,10.559,9.953,10.559,9.838,0
2024-06-14,9.934,9.78,10.251,9.761,0
2024-06-17,9.77,9.5,9.819,9.48,0
2024-06-18,9.48,9.287,9.577,9.22,0
2024-06-20,9.287,9.722,9.751,9.268,0
2024-06-21,9.674,9.809,9.925,9.674,0
2024-06-24,9.79,9.944,10.031,9.664,0
2024-06-25,9.722,9.77,9.906,9.5,0
2024-06-26,9.712,9.635,9.761,9.538,0
2024-06-27,9.616,9.915,9.944,9.596,0
2024-06-28,9.925,10.041,10.128,9.877,0
2024-07-01,10.041,9.799,10.128,9.722,0
2024-07-02,10.147,10.36,10.389,9.964,0
2024-07-03,11.713,11.075,11.723,11.007,0
2024-07-05,11.065,11.413,11.462,10.969,0
2024-07-08,11.558,10.804,11.558,10.737,0
2024-07-09,10.688,11.143,11.172,10.679,0
